Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1051243,426322,11965937.0,5164156.0,1397286.0,15737927,1228796,8637110.0,235862.0,1570576.0,1806438.0,3189635.0,11400423.0,10675867.0,4235592.0,n.d.,42018.0,42018,25201514.0,367452,25296981.0,n.d.,318,7530464.0,101094.0,3140076.0,15737927.0,71.0,-3517024,4289294.0,139192.0,5511711.0,7988478,92293,6021880.0,1143536.0,7676998.0,63330,1528876.0,1161424.0,1570576.0,9559054,1161424.0,-41700.0,n.d.,100797.0,19496401.0,19496401.0,6042348.0,ACO PRODUCTOS POLIMEROS SAU_resum
2022,1550960,326605,10878821.0,3964156.0,993143.0,15051454,1169841,7291387.0,240737.0,1007089.0,1247826.0,3496827.0,10461609.0,8314443.0,3647003.0,n.d.,30527.0,23533,23317556.0,224159,23440616.0,n.d.,3,6063415.0,136509.0,1627499.0,15051454.0,68.0,-3494333,4299407.0,90607.0,4350287.0,7382073,83918,5496469.0,1634878.0,6992915.0,54955,976565.0,752406.0,1007089.0,8389162,752406.0,-30524.0,n.d.,62210.0,16942236.0,16942236.0,4887838.0,ACO PRODUCTOS POLIMEROS SAU_resum
2021,n.d.,257158,11343381.0,3964156.0,1031397.0,13013812,n.d.,6415971.0,253170.0,1051106.0,1304276.0,3342172.0,9500985.0,7562037.0,3396525.0,n.d.,16168.0,13566,20467591.0,256908,20560610.0,n.d.,197,1861362.0,192570.0,1573010.0,13013812.0,61.0,-2845997,95782.0,1585238.0,3597881.0,6495692,78150,5307398.0,78150.0,5564556.0,49187,1035135.0,778227.0,1051106.0,7546798,778227.0,-15971.0,n.d.,1561990.0,13204743.0,13204743.0,4698396.0,ACO PRODUCTOS POLIMEROS SAU_resum
2020,n.d.,521685,9224489.98,2464150.0,877076.98,11464091,n.d.,6735970.0,262550.0,787357.98,1049907.98,2088294.0,8302579.0,5283801.98,3182898.0,n.d.,19653.0,12778,17843533.0,153178,17956504.0,n.d.,0,1895447.0,281621.0,1509389.0,11464091.0,61.0,-2259607.02,104437.0,400225.98,2819651.98,5705055.02,48053,5266397.0,48053.0,5788082.0,19080,767704.98,614526.98,787357.98,6492413,614526.98,-19653.0,n.d.,370997.98,11119936.98,11119936.98,4225930.98,ACO PRODUCTOS POLIMEROS SAU_resum
2019,n.d.,653381,9188382.0,2464150.0,717728.0,12014210,1275849,6703724.0,221366.0,675743.0,897109.0,2362278.0,8412621.0,4669275.0,3314562.0,n.d.,14761.0,9509,18930245.0,166911,19057290.0,n.d.,2291,2055547.0,148276.0,1799684.0,12014210.0,62.0,-2831409,107587.0,122380.0,2205125.0,6367337,28990,4616434.0,28990.0,6545664.0,n.d.,663273.0,496362.0,675743.0,7043080,496362.0,-12470.0,n.d.,114784.0,11243929.0,11243929.0,4208710.0,ACO PRODUCTOS POLIMEROS SAU_resum
2018,n.d.,618188,8031318.0,2464150.0,640320.0,10607864,410615,5603039.0,190545.0,619153.0,809698.0,2256561.0,7241412.0,4572913.0,2782283.0,n.d.,13933.0,4147,16357017.0,155445,16454248.0,n.d.,0,1958924.0,217560.0,1649113.0,10607864.0,48.0,-2254403,92251.0,171718.0,2108763.0,5227231,29061,4359465.0,29061.0,5388268.0,n.d.,605220.0,449775.0,619153.0,5846384,449775.0,-13933.0,n.d.,164740.0,9990242.0,9990242.0,3582195.0,ACO PRODUCTOS POLIMEROS SAU_resum
2017,n.d.,816000,6968000.0,2464000.0,597000.0,9281000,n.d.,4648000.0,138000.0,610000.0,748000.0,1872000.0,5704000.0,4408000.0,2328000.0,n.d.,2000.0,n.d.,14266000.0,149000,14369000.0,n.d.,0,1900000.0,175000.0,1608000.0,9281000.0,42.0,-2012000,117000.0,448000.0,1944000.0,4478000,8000,3636000.0,8000.0,4452000.0,n.d.,608000.0,459000.0,610000.0,5088000,459000.0,-2000.0,n.d.,441000.0,8868000.0,8868000.0,3074000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2016,n.d.,412000,6025000.0,2464000.0,483000.0,8431000,n.d.,4218000.0,118000.0,433000.0,551000.0,1342000.0,5148000.0,4149000.0,2161000.0,n.d.,4000.0,1000,12707000.0,66000,12889000.0,n.d.,2000,1592000.0,75000.0,1422000.0,8431000.0,40.0,-1746000,95000.0,465000.0,1685000.0,4025000,8000,3048000.0,8000.0,3460000.0,n.d.,431000.0,365000.0,433000.0,4458000,365000.0,-2000.0,n.d.,460000.0,7617000.0,7617000.0,2711000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2015,n.d.,377000,5216000.0,2464000.0,362000.0,6929000,n.d.,3127000.0,99000.0,297000.0,396000.0,1279000.0,4029000.0,3884000.0,1901000.0,n.d.,4000.0,2000,10740000.0,32000,10810000.0,n.d.,2000,1564000.0,56000.0,1410000.0,6929000.0,36.0,-1584000,98000.0,810000.0,1420000.0,3584000,8000,2511000.0,8000.0,2888000.0,n.d.,295000.0,263000.0,297000.0,3881000,263000.0,-2000.0,n.d.,585000.0,6780000.0,6780000.0,2297000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2014,n.d.,303000,5033000.0,2464000.0,203000.0,7495000,n.d.,2985000.0,140000.0,93000.0,233000.0,1333000.0,4015000.0,3621000.0,1747000.0,n.d.,0.0,n.d.,10888000.0,39000,10958000.0,n.d.,9000,1249000.0,46000.0,1072000.0,7154000.0,33.0,-1483000,131000.0,715000.0,1157000.0,3370000,9000,2349000.0,9000.0,2652000.0,n.d.,102000.0,63000.0,93000.0,3463000,63000.0,9000.0,n.d.,440000.0,6282000.0,6282000.0,1989000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2013,n.d.,312000,4783000.0,2464000.0,-238000.0,6141000,n.d.,3083000.0,186000.0,-484000.0,-298000.0,1070000.0,3841000.0,3558000.0,2318000.0,n.d.,26000.0,20000,9817000.0,-84000,9884000.0,n.d.,2000,1332000.0,62000.0,1094000.0,6038000.0,35.0,-1723000,176000.0,630000.0,1094000.0,4227000,16000,2229000.0,16000.0,2541000.0,n.d.,-508000.0,-424000.0,-484000.0,3743000,-424000.0,-24000.0,n.d.,356000.0,6115000.0,6115000.0,2016000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2012,n.d.,302000,4069000.0,2464000.0,-85000.0,4995000,n.d.,2733000.0,237000.0,-366000.0,-129000.0,1231000.0,3662000.0,3982000.0,2647000.0,n.d.,39000.0,39000,8872000.0,-79000,8981000.0,n.d.,4000,1794000.0,59000.0,1628000.0,4750000.0,47.0,-1468000,107000.0,105000.0,1518000.0,4352000,30000,1549000.0,30000.0,1851000.0,n.d.,-401000.0,-322000.0,-366000.0,3986000,-322000.0,-35000.0,n.d.,102000.0,5863000.0,5863000.0,2522000.0,ACO PRODUCTOS POLIMEROS SAU_resum
2011,175000,874000,5997000.0,2464000.0,186000.0,6613000,414000,3981000.0,249000.0,-55000.0,194000.0,2006000.0,5113000.0,4304000.0,2824000.0,n.d.,34000.0,32000,11398000.0,-26000,11587000.0,n.d.,0,1851000.0,30000.0,1774000.0,6647000.0,53.0,-1956000,47000.0,10000.0,1840000.0,5029000,49000,2032000.0,224000.0,3320000.0,n.d.,-89000.0,-63000.0,-55000.0,4974000,-63000.0,-34000.0,n.d.,7000.0,7848000.0,7848000.0,3016000.0,ACO PRODUCTOS POLIMEROS SAU_resum
