Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,211224.54,2494642.75,20202828.67,7680000.0,3595300.57,33730040.41,666952.8400000001,6476990.23,417346.65,3863353.33,4280699.98,2584581.13,6566928.608999999,29724482.52,2506266.31,n.d.,107793.299,69574.28,45737016.64,720500.37,45745492.37,n.d.,142894.26,14830984.85,203069.65,7653712.03,33645778.809999995,45.0,-5228485.67,6974203.17,11141257.309,22044482.52,8152098.63,4871.2,1931639.668,216095.74,5093235.26,n.d.,3898454.29,3177953.92,3863353.33,12015451.959,3177953.92,35100.96,n.d.,7642887.470000001,35033813.52,35033813.52,6891641.53,AGRI-ENERGIA SA_resum
2022,868491.69,2578071.51,17587614.47,7680000.0,4169910.75,47439692.2,688157.4600000001,7322670.64,351965.25,5754233.2700000005,6106198.52,2811176.39,7555775.52,27048616.26,2271282.45,n.d.,805769.7,103913.11,61544935.64,1147187.14,61548727.94,n.d.,16669.07,16125185.93,8125.46,9157424.92,47647458.25,46.0,-5731554.7700000005,6959635.55,7453767.439,19368616.259,8354802.470000001,5567.08,2523896.4,874058.7699999999,5790125.37,n.d.,4965132.64,3817945.5,5754233.2700000005,14109035.738999998,3817945.5,-789100.63,n.d.,6219732.29,33712800.4,33712800.4,7692293.45,AGRI-ENERGIA SA_resum
2021,1599909.34,2501320.97,18360001.71,7680000.0,1611313.52,34565912.44,2581221.36,8322951.75,401676.29,1584844.04,1986520.33,5292438.649999999,11114069.43,26587799.93,1736493.31,n.d.,87243.68000000001,87243.68000000001,42116900.79000001,323502.17,42141154.43,n.d.,35539.04,16478440.6,21106.91,6135606.23,34642391.1,38.0,-3852228.349,10321727.459,4744611.31,18907799.93,5990397.95,6262.96,1561927.75,1606172.3,6644470.08,n.d.,1533139.4,1209637.23,1584844.04,7575241.989,1209637.23,-51704.639,n.d.,3388480.86,34838442.309999995,34838442.309999995,3758552.68,AGRI-ENERGIA SA_resum
2020,2419321.12,2523590.7,15400095.92,7680000.0,2089862.57,24335350.69,931137.16,4933645.92,406852.25,2603861.44,3010713.69,5119376.31,7529431.53,25872869.34,1617806.43,n.d.,515489.22,82063.68000000001,32062906.610000003,448532.59,32077929.31,n.d.,43170.69,17394042.0,29621.75,6451593.470000001,24303277.42,34.0,-3114058.5,10912826.78,5347073.688999999,18192869.339,5138717.179,12447.07,1034772.53,2431768.19,4489500.39,n.d.,2131542.91,1683010.32,2603861.44,7742578.618999999,1683010.32,-472318.529,n.d.,4810950.96,32794137.92,32794137.92,4238265.268999999,AGRI-ENERGIA SA_resum
2019,1035200.2,3838709.13,14240515.79,7680000.0,1762579.8690000002,27259747.22,1408108.45,5346331.17,397136.43000000005,2021337.49,2418473.92,5113368.2700000005,6620990.31,25349369.37,1506573.04,n.d.,1178243.34,193567.44,34677104.99,147493.51,34678663.79000001,n.d.,669842.8,18917309.66,33746.97,5870480.159999999,27244301.78,36.0,-3493869.61,13013082.53,3780816.35,17669369.37,5397579.08,0,1526438.3,1035200.2,6773255.88,n.d.,1512936.95,1365443.44,2021337.49,7418916.57,1365443.44,-508400.54,n.d.,3161116.93,33157825.45,33157825.45,3610213.86,AGRI-ENERGIA SA_resum
2018,1377304.6,4024310.59,13770409.55,7680000.0,1483411.819,26163268.59,2530248.91,5529176.24,408063.18,482809.84,890873.02,5318056.4,6822922.05,23979445.7,1358642.3,n.d.,108692.15,108692.15,31992043.130000003,130774.5,31992355.130000003,n.d.,832005.4500000001,19495416.89,38136.05,6371176.56,26248745.610000003,34.0,-3579571.22,13086104.28,2923176.91,16299445.7,5346276.7,0,1354516.64,1377304.6,7909076.14,n.d.,1206123.14,1075348.64,482809.84,5829086.539,1075348.64,723313.2989999999,n.d.,1916610.77,33265826.44,33265826.44,3081520.77,AGRI-ENERGIA SA_resum
2017,2003316.91,3499816.8,13242061.42,7680000.0,3293656.1,22076578.439999998,2432696.73,4947807.04,405652.54,743876.93,1149529.47,4816954.59,6264944.828999999,22898482.73,1144761.27,n.d.,132020.209,100160.42,27460975.17,152452.14,27463252.57,n.d.,2428598.98,18047490.24,63015.95,6374462.35,21999701.76,31.0,-3092383.3899999997,11610011.94,3477299.79,15218482.73,4642797.2,0,455238.4900000001,2003316.91,6387752.02,n.d.,3040455.7,2888003.56,743876.93,5386674.128999999,2888003.56,2296578.77,n.d.,2852956.05,31289551.66,31289551.66,4691029.930000001,AGRI-ENERGIA SA_resum
2016,2645037.49,3095094.31,14490204.48,7680000.0,2466612.84,21870334.57,2834959.13,4822362.430000001,443539.88,1251144.23,1694684.1090000002,4792303.819999999,6519571.939,20195613.630000003,1144842.53,n.d.,175308.29,141437.44999999998,28065060.35,270666.52,28065060.35,n.d.,1217903.54,15723758.07,40653.51,6657657.7700000005,21838159.57,28.0,-3355199.139,9025446.79,4875538.23,12515613.629,4943581.55,0,1443257.99,2645037.49,7373311.430000001,n.d.,2293739.48,2023072.96,1251144.23,6194725.78,2023072.96,1042595.25,n.d.,4387803.08,30213962.55,30213962.55,4023559.34,AGRI-ENERGIA SA_resum
2015,2780677.31,3572640.87,14272307.95,7680000.0,1566166.829,24430902.9,3028204.01,5232044.67,422644.46,260367.94,683012.4,5136682.63,6796086.430000001,18160103.24,1358542.51,n.d.,378998.69,196347.77,29569566.88,-16883.43,29569931.279,n.d.,1245269.6900000002,14735046.27,64538.68,6794836.52,24465296.54,27.0,-3097473.4699999997,7875671.068999999,3903580.65,10480103.239999998,4878660.439,0,1465728.79,2780677.31,8066573.67,n.d.,1126638.94,1143522.3690000002,260367.94,5139028.379,1143522.3690000002,866271.0,n.d.,3541497.0,29007354.22,29007354.22,3104173.68,AGRI-ENERGIA SA_resum
2014,2892387.26,3520159.58,17066116.579,7680000.0,902388.399,23999210.439,2911122.7800000003,5853216.81,340446.2,-961927.86,-621481.659,9152763.739999998,11485820.97,16939674.439999998,1311886.34,n.d.,410761.73,294489.01,28964085.46,-397458.9,28966971.76,n.d.,1537172.89,10466061.2,96729.8,3000627.09,24150065.83,29.0,-4277356.6389999995,7368704.31,2060136.029,9259674.439,5929689.18,0,1268833.72,2892387.26,7700116.08,n.d.,164483.3,561942.2,-961927.86,4967761.319999999,561942.2,1126411.16,n.d.,1462750.14,27532177.78,27532177.78,2111304.85,AGRI-ENERGIA SA_resum
