Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,2540543.08,1833271.84,3583469.58,103947.48,-472413.97,3788888.13,91,2545414.19,175318.1,-429346.51,-254028.41,221585.91999999998,933728.269,530675.9,5162611.159999999,n.d.,218458.81,218458.81,9640046.34,n.d.,10078746.95,n.d.,73.25,2714268.58,n.d.,2705340.6,3788888.13,11.0,-1381276.07,8927.98,816469.47,426728.42,6719205.33,0,1393156.3390000002,2540543.08,3226519.18,n.d.,-647732.07,-647732.07,-429346.51,6289858.818999999,-647732.07,-218385.56,n.d.,816469.47,6297738.159999999,6297738.159999999,4908655.999,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2022,760423.14,1450407.74,4121430.67,103947.48,62748.21,3217326.1,n.d.,3382703.27,5644.5,112671.53,118316.03,63147.119999999995,1995442.65,678407.97,2069956.42,n.d.,5822.33,5822.33,5948285.72,51393.880000000005,6354095.818999999,n.d.,1648.3899999999999,104757.52,n.d.,103882.46,3220744.7,5.0,-948497.2699999999,875.06,675580.2799999999,574460.49,3024098.19,0,1336949.3390000002,760423.14,2787357.08,n.d.,108497.59,57103.71,112671.53,3136769.719,57103.71,-4173.938999999999,n.d.,666887.3600000001,4226188.19,4226188.19,2189920.84,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2021,n.d.,624007.6799999999,1307000.9,103947.48,75449.7,1414811.26,n.d.,631461.14,1787.56,57336.86,59124.42,415.18,7868.64,621304.23,522621.21,n.d.,795.91,795.91,1912057.63,-11814.49,2351396.889,n.d.,5306.7,242710.27,n.d.,9143.95,1414811.26,6.0,-354840,233566.32,675124.58,517356.75,879248.7699999999,0,304399.26,n.d.,928406.94,n.d.,61847.65,73662.14,57336.86,936585.629,73662.14,4510.79,n.d.,660370.09,1549711.1700000002,1549711.1700000002,587052.3300000001,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2020,n.d.,8740.93,142887.77000000002,103947.48,-122888.41,118753.93999999999,n.d.,124583.7,637.56,-109486.02,-108848.46,1000,116842.769,547642.09,504744.05,n.d.,1104.038,513.808,491746.69,19654.07,594174.48,n.d.,6718.160000000001,517695.31,n.d.,3877.15,66802.64,9.0,-79524.95,513818.16,17304.07,443694.61,584906.56,0,104200.06,n.d.,112940.99,n.d.,-103871.9,-123525.97,-109486.02,475420.53900000005,-123525.97,5614.121000000001,n.d.,11793.33,660583.08,660583.08,402023.518,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2019,n.d.,211639.91,2176404.99,103947.48,-85504.86,972604.72,n.d.,293228.95,18852.05,-125172.74,-106320.69,99206.20999999999,180795.25,671168.06,155240.69,n.d.,984.49,984.47,1153905.91,37528.78,1154012.14,n.d.,59329.1,26541.41,n.d.,1957.54,1030774.72,1.0,-132487.419,24583.87,1783969.829,567220.58,306580.16,0,1320138.43,n.d.,1531778.34,n.d.,-66828.13,-104356.91,-125172.74,181407.419,-104356.91,58344.61,n.d.,1779921.2,2202946.4,2202946.4,108249.08,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2018,n.d.,35947.51,1924901.4,187213.68,-437902.649,310584.12,n.d.,496215.42,30690.64,-230926.51,-200235.87,96133.23,556401.14,2475524.97,287180.61,n.d.,245908.42,7236.96,507227.54,9985.48,507580.649,n.d.,18227.12,587759.9500000001,n.d.,54913.48,310584.12,5.0,-110051.79,532846.47,1332552.75,2288311.29,427923.04,0,1188.87,n.d.,37136.380000000005,n.d.,-458607.81,-468593.29,-230926.51,196996.52899999998,-468593.29,-227681.3,n.d.,1083848.2,2512661.35,2512661.35,-133499.6,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2017,215701.5,102024.37000000001,3712619.83,187213.68,400879.74,1082570.7,25946.49,216396.63,20896.16,252.03,21148.19,99710.6,214082.86,4262209.34,268009.07,n.d.,17909.43,8050.42,1612020.23,2371.86,1613222.28,n.d.,400012.83999999997,1141867.74,77.16,84493.37000000001,1152083.58,5.0,-241494.31999999998,1057297.21,3396512.6,4074995.66,530399.55,0,248605.87,215701.5,376576.73,n.d.,382355.44,379983.58,252.03,530651.58,379983.58,382103.41,n.d.,2826636.73,4854487.57,4854487.57,679311.09,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2016,272113.8,79655.77,3326254.04,187213.68,336408.21,482980.62,n.d.,278285.76,20044.89,478370.33,498415.22,30197.72,228827.709,4058715.99,163363.53,n.d.,221398.949,1372.1399999999999,1256645.45,19896.27,1257209.14,n.d.,79288.20999999999,1252568.21,963.12,45682.28,482980.62,5.0,-112449.77,1205922.81,3017770.559,3871502.309,295858.19,0,168336.69,272113.8,247992.46,n.d.,336259.59,316363.32,478370.33,774228.519,316363.32,-142110.74000000002,n.d.,2373564.57,4578822.25,4578822.25,521040.15,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2015,328525.8,93902.13,2853296.4,187213.68,146583.61000000002,2900034.29,61485.7,1150263.08,24229.59,98040.74,122270.33,28729.51,1085090.46,3736568.97,152326.18,n.d.,4539.87,3029.25,3231217.55,36954.729999999996,3232219.829,n.d.,65807.88,1530555.66,3536.23,35357.119999999995,2739324.77,3.0,-57589.03,1491662.31,1674303.81,3549355.29,234144.8,0,163369.46,328525.8,318757.29000000004,n.d.,159308.75,122354.019,98040.74,332185.53900000005,122354.019,61268.01,n.d.,1325219.55,4383852.06,4383852.06,338893.77,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
2014,384937.5,92378.66,2714541.5,187213.68,146767.33,606689.2889999999,63061.64,555498.22,27685.07,130656.95,158342.02,160709.52,623829.08,3943651.09,134340.97999999998,n.d.,157280.65,n.d.,1079193.75,8750.43,1089522.51,n.d.,154456.38999999998,2890202.82,33269.559,72157.06,840210.69,2.0,-190150.22,2784776.199,1998333.76,3756437.409,352176.27,660984.54,459730.89,1045922.04,615171.19,660984.54,127832.69,119082.26,130656.95,482833.22000000003,119082.26,-2824.259,n.d.,1972239.54,5604744.319999999,5604744.319999999,289858.74,AGUA RESIDUOS Y MEDIO AMBIENTE SA_resum
