Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,81801.4,105903.15000000001,1247822.09,60101.21,134916.34,4686498.53,n.d.,873106.48,34019.43,112949.11,146968.54,115082.93,882286.259,1170324.16,729705.71,n.d.,924.42,924.42,6406554.930000001,34029.54,6468784.41,n.d.,22901.76,363726.81,n.d.,292915.73000000004,4686498.53,30,-905611.63,70811.08,259632.68,1110222.95,1669336.769,6603.54,246916.65,88404.93999999999,352819.8,n.d.,134926.44999999998,100896.91,112949.11,1782285.8800000001,100896.91,21977.34,n.d.,40164.59,1611548.9,1611548.9,899576.01,ALL EXPORT SA_resum
2022,n.d.,35961.21,1310095.6,60101.21,40029.63,3125134.59,341705.31,704771.13,22765.51,-13255.2,9510.309,454351.64,1123161.56,1069427.25,734152.12,n.d.,23.71,n.d.,4503388.21,5754.71,4570705.49,n.d.,36297.74,272339.35,331.01,201197.26,3125134.59,31,-701908.47,70811.08,150972.83,1009326.04,1458826.1,3200.58,132140.6,3200.58,509807.12,n.d.,23018.83,17264.12,-13255.2,1445570.9,17264.12,36274.03,n.d.,23233.87,1582434.95,1582434.95,779936.4600000001,ALL EXPORT SA_resum
2021,n.d.,124572.17000000001,1235063.98,60101.21,102940.95,3541349.03,n.d.,837784.6699999999,26131.26,80020.48,106151.739,277695.8,990908.299,1102163.13,699099.21,n.d.,344.42999999999995,344.42999999999995,4836108.25,25726.08,4890389.51,n.d.,22859.72,184631.2,750.75,113069.37,3541349.03,32,-543789.529,70811.08,119583.51,1042061.919,1269020,2625.11,190334.77,2625.11,314906.94,n.d.,102535.77,76809.69,80020.48,1349040.48,76809.69,22515.29,n.d.,44598.14,1419695.1800000002,1419695.1800000002,828110.6699999999,ALL EXPORT SA_resum
2020,n.d.,151634.05,1499790.56,60101.21,80276.29,3680255.62,172625.1,663091.48,27212.44,135233.3,162445.74000000002,750150.43,1261607.86,1176935.86,770778.55,n.d.,66249.69900000001,10.32,5078736.71,17850.47,5114944.470000001,n.d.,1930.72,144618.88999999998,1170.49,72637.32,3680255.62,36,-501464.562,70811.08,86548.65000000001,1116834.65,1299455.5520000001,1052.47,142161.97,1052.47,466421.12,n.d.,70914.32,53063.850000000006,135233.3,1434688.8490000002,53063.850000000006,-64318.979,n.d.,20722.71,1644409.45,1644409.45,868915.63,ALL EXPORT SA_resum
2019,n.d.,183055.25,1782436.72,60101.21,57173.72,2032708.3800000001,375552.85,651325.2699999999,36992.56,20911.42,57903.979,980825.93,1449095.95,1125787.45,741638.3500000001,n.d.,156.01,156.01,3340484.32,6727.06,3371807.04,n.d.,6152.809,181694.08,553.5,93890.44,2032708.38,36,-539556.329,87250.14,150285.52,1065686.24,1318187.24,3011.12,276724.13,3011.12,835332.23,n.d.,26908.22,20181.16,20911.42,1339098.6600000001,20181.16,5996.799,n.d.,18547.89,1964130.8,1964130.8,805695.139,ALL EXPORT SA_resum
2018,n.d.,148837.58,1501761.04,60110.0,-75053.31,2147841.42,231597.34,611278.65,32642.64,-86726.04,-54083.399,726506.88,1188947.95,1107530.52,739564.2899999999,n.d.,62443.17,105.11999999999999,3356641.44,-34815.09,3379910.58,n.d.,6658.17,210950.16,1314.1499999999999,111958.81,2147841.42,37,-546588.269,97677.2,163975.51,1047420.52,1318795.2,7349.6,217396.16,7349.6,597831.08,n.d.,-142511.04,-107695.95,-86726.04,1232069.1600000001,-107695.95,-55785.0,n.d.,43128.92,1712711.2,1712711.2,629801.01,ALL EXPORT SA_resum
2017,n.d.,265476.57,1663515.77,60101.21,56246.289,3551117.15,90576.07,641263.39,28678.480000000003,-7604.14,21074.34,745518.58,1121305.4,1217133.12,668611.88,n.d.,35.879999999999995,35.879999999999995,4825296.26,9189.28,4865886.688999999,n.d.,44397.11,191159.85,2238.25,118110.52,3551117.15,35,-625083.3200000001,70811.08,276733.8,1157031.91,1322373.6800000002,15937.05,265552.81,15937.05,621605.4500000001,n.d.,36757.09,27567.809,-7604.14,1314769.539,27567.809,44361.23,n.d.,90135.2,1854675.62,1854675.62,734083.3300000001,ALL EXPORT SA_resum
2016,n.d.,653519.2699999999,1962214.56,60110.0,364336.04,3547804.38,n.d.,819797.9,27850.38,66013.7,93864.08,767322.3300000001,933600.96,1191489.54,649184.42,n.d.,21612.06,766.66,4749548.359999999,12161.89,4794215.619999999,n.d.,304245.91000000003,198619.75,558.63,127250.04,3547804.38,34,-503362.74,70811.08,375094.33,1131379.539,1180397.54,18986.6,296838.9,18986.6,950358.17,n.d.,348647.55,336485.66,66013.7,1246411.24,336485.66,282633.85,n.d.,58138.39,2160834.31,2160834.31,1026449.01,ALL EXPORT SA_resum
2015,n.d.,596311.4500000001,1852444.28,60110.0,58010.8,2525693,n.d.,668455.57,27895.22,77486.25,105381.47,709618.72,781762.8400000001,1206919.32,581813.05,n.d.,49433.01,2.3699999999999997,3617076.87,10038.52,3697949.44,n.d.,12100.86,220133.49,953.81,148368.6,2525693.0,31,-485061.92000000004,70811.08,474369.9900000001,1146809.32,1094770.1900000002,21738.89,247608.11,21738.89,843919.56,n.d.,40154.1,30115.579,77486.25,1172256.44,30115.579,-37332.15,n.d.,330707.11,2072577.77,2072577.77,649864.74,ALL EXPORT SA_resum
2014,n.d.,n.d.,1318418.48,60110.0,177962.51,2083302.53,n.d.,436323.83,28366.64,60773.58,89140.22,542259.58,978583.409,1378719.1800000002,567201.13,n.d.,0.38,0.38000000000000006,3037701.8,16531.960000000003,3173888.9,n.d.,105354.63,231080.92,n.d.,160269.84,2083302.53,31,-434245.02,70811.08,339835.07,1318609.1800000002,1029812.7889999999,24703.52,146076.7,24703.52,146076.7,n.d.,166127.83,149595.87,60773.58,1090586.3690000002,149595.87,105354.25,n.d.,335708.57,1549499.4,1549499.4,761695.98,ALL EXPORT SA_resum
