Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,2066892.1400000001,121680.28,1810752.92,24040.480000000003,46676.22,641169.12,417152.52,154799.12,31402.27,58865.05,90267.32,1598570.96,1631689.8,2814898.42,408007.78,n.d.,49843.72899999999,49817.53,1611611.83,4201.4,1612155.27,n.d.,10454.03,3686798.2,45269.67,3238289.66,640285.37,13.0,-472711.05,403238.86799999996,57382.84,2790857.94,912121.1,7541.29,69386.47,2074433.43,608219.2699999999,n.d.,19475.35,15273.949,58865.05,970986.15,15273.949,-39389.7,n.d.,6456.620000000001,5497551.119999999,5497551.119999999,508702.93000000005,ARTESANIA ESTEBAN FERRER SL_resum
2022,2108120.23,303026.29000000004,2081633.3,24040.480000000003,53698.57,825601.16,337456.63,223430.13,27978.81,65625.229,93604.039,1736962.58,1657366.42,2807762.7800000003,422519.68,n.d.,52908.78,49341.51,1816114.92,-5118.26,1820993.089,n.d.,7885.05,3560891.2,51454.07,3101671.03,824344.31,13.0,-479268.20900000003,407766.1,121240.59,2783722.3,929766.7,6579.92,79578.65000000001,2114700.15,720061.57,n.d.,20601.5,25719.76,65625.229,995391.929,25719.76,-45023.72899999999,n.d.,39762.36,5642524.5,5642524.5,520441.5,ARTESANIA ESTEBAN FERRER SL_resum
2021,1497576.52,246986.91999999998,1815301.46,24040.480000000003,84406.269,743267.57,75698.98999999999,125785.07,30512.12,86516.66,117028.78,1475539.21,1354337.36,2777554.43,391415.48,n.d.,33506.57,33506.57,1581274.02,13709.86,1631234.33,n.d.,14593.92,2863316.01,41596.189999999995,2419071.98,742952.37,16.0,-379522.5,402647.83999999997,213977.18,2753513.949,801450.1,9083.720000000001,71716.89,1506660.24,394402.8,n.d.,67604.01,53894.149,86516.66,887966.76,53894.149,-18912.65,n.d.,97820.21,4678617.470000001,4678617.470000001,523038.18,ARTESANIA ESTEBAN FERRER SL_resum
2020,869631.81,183219.47,1958207.88,24040.480000000003,-124539.69,680096.05,64864.09,291948.48000000004,29341.57,-149242.44999999998,-119900.88,1505749.23,1614478.24,2728040.4,348524.96,n.d.,49306.78999999999,22085,1331997.1700000002,-43885.62,1365038.77,n.d.,782.3599999999999,1928854.82,13193.09,1499304.03,687727.05,17.0,-456318.639,416357.7,160510.169,2703999.92,834185.169,10543.77,30763.16,880175.58,278846.72000000003,n.d.,-197766.88,-153881.26,-149242.44999999998,684942.72,-153881.26,-48524.43,n.d.,93012.44,3887062.7,3887062.7,202184.65,ARTESANIA ESTEBAN FERRER SL_resum
2019,n.d.,106806.72,2235546.17,24040.480000000003,86614.12000000001,867596.7699999999,n.d.,191564.28,29149.23,79348.11,108497.34,1817125.66,1901883.22,2850290.37,505394.06,n.d.,4632.45,n.d.,2095249.31,22912.86,2095411.17,n.d.,5662.09,815256.99,3853.8900000000003,427653.1,868185.62,18.0,-613923,383750,226856.23,2826249.89,1148466.29,14200.15,79505.92,14200.15,186312.64,n.d.,80377.75,57464.89,79348.11,1227814.4,57464.89,1029.64,n.d.,67446.85,3050803.16,3050803.16,614921.04,ARTESANIA ESTEBAN FERRER SL_resum
2018,n.d.,218509.69,2347107.86,24040.480000000003,101577.92,824203.65,n.d.,297676.79000000004,28861.08,72987.09,101848.17,1765729.6,1844896.7,2792825.48,570682.05,n.d.,407.14,14.15,2139297.259,21665.62,2140032.919,n.d.,21802.51,751370.5,5326.31,361736.85,824442.24,18.0,-643299.05,384307.33999999997,283701.47000000003,2768785.0,1242842.1800000002,11964.6,75178.59,11964.6,293688.28,n.d.,94382.46,72716.84,72987.09,1315829.269,72716.84,21395.37,n.d.,31520.71,3098478.36,3098478.36,693939.74,ARTESANIA ESTEBAN FERRER SL_resum
2017,n.d.,169583.47,2293535.01,24040.480000000003,166158.539,1130211.3690000002,994.3299999999999,377749.27,29381.13,154095.53,183476.66,1509405.64,1717571.44,2720108.64,552274.62,n.d.,1052.26,260.51,2570913.62,41788.08,2571267.13,n.d.,25522.22,719124.11,4450.76,330923.35,1130010.1700000002,17.0,-705304.48,383750,406380.1,2696068.16,1286960.23,9742.3,112230.38,9742.3,282808.18,n.d.,178565.49,136777.409,154095.53,1441055.759,136777.409,24469.960000000003,n.d.,114650.77,3012659.12,3012659.12,760481.75,ARTESANIA ESTEBAN FERRER SL_resum
2016,994.3299999999999,246808.47999999998,2271043.47,24040.480000000003,129067.17,1162348.3,3773.4100000000003,315235.46,33916.53,116152.39,150068.919,1561396.0,1629822.98,2583331.23,524988.6889999999,n.d.,11682.23,592.51,2542735.02,30571.6,2542918.21,n.d.,21252.08,669970.3500000001,1050,286770.35,1158232.05,21.0,-705512.3,382150,394412.01,2559290.75,1264417.519,5563.49,100542.88,6557.820000000001,351124.77,n.d.,125722.24,95150.64,116152.39,1380569.91,95150.64,9569.85,n.d.,74256.85,2941013.82,2941013.82,685219.969,ARTESANIA ESTEBAN FERRER SL_resum
2015,4767.74,64700.08,1947795.88,24040.480000000003,116909.51,1261083.46,3466.9700000000003,373683.75,31998.74,110050.69,142049.43,1384494.01,1693477.6800000002,2488180.59,434523.95,n.d.,1126.85,1126.85,2530742.26,25063.29,2535821.86,n.d.,1050.22,666138.3600000001,3030,278755.8,1257214.85,14.0,-698165.02,384352.56,189618.12,2464140.11,1164687.71,2506.3300000000004,50312.53,7274.07,118479.58,n.d.,109974.06,84910.769,110050.69,1274738.4,84910.769,-76.62899999999999,n.d.,108755.33,2613934.24,2613934.24,577623.6,ARTESANIA ESTEBAN FERRER SL_resum
2014,n.d.,100146.55,2361949.55,24040.480000000003,130450.689,1394476.24,n.d.,384125.01,27083.480000000003,131767.26,158850.74000000002,1453823.59,1737802.05,2403269.82,437312.79,n.d.,2901.8990000000003,1068.78,2668394.42,25498.15,2679039.26,n.d.,0.0,220079.12,5010,207227.32,1392212.26,14.0,-688399.49,7841.8,524000.95,2379229.34,1152795.76,0,78612.3,n.d.,178758.84999999998,n.d.,128865.36,103367.209,131767.26,1284563.019,103367.209,-2901.8990000000003,n.d.,456387.27,2582028.67,2582028.67,594330.409,ARTESANIA ESTEBAN FERRER SL_resum
