Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,662538.99,4624154.39,19748342.26,932310.0,1200239.42,19046808.41,1370701.9,10221789.15,171762.7,1446391.47,1618154.1700000002,320188.72000000003,5917823.48,7546792.7,2576307.66,n.d.,307878.28,292407.52,27493394.89,186140.96,27583075.71,n.d.,76104.48999999999,1100785.41,417598.83999999997,104241.66,19045319.62,41.0,-4341805.470000001,578944.91,9206364.389,6614482.7,7089875.83,0,6644939.69,662538.99,12639795.98,n.d.,1214617.6800000002,1028476.72,1446391.47,8536267.3,1028476.72,-231773.79,n.d.,3803162.82,20849127.67,20849127.67,4255095.56,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2022,1538004.04,6448185.63,22940914.47,932310.0,762831.3200000001,15813721.2,4818989.108999999,17084487.57,119386.37,957224.86,1076611.23,263808.55,10900110.49,6518315.98,2009445.98,n.d.,227401.34,224343.24000000002,21032160.74,92300.48,21174411.24,n.d.,5921.91,965646.75,552846.37,94336.86,15595582.13,36.0,-2274632.8299999996,318463.51900000003,5592618.35,5586005.98,4403465.18,0,4583066.46,1538004.04,15850241.2,n.d.,735745.43,643444.9500000001,957224.86,5360690.039,643444.9500000001,-221479.43,n.d.,2208929.61,23906561.22,23906561.22,3088921.02,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2021,2264024.66,12277542.870000001,33701071.5,1013310.0,1555656.09,16883744.169,3778359.73,28241142.55,421139.33,1627124.97,2048264.3,1394100.01,17357699.69,6307871.04,3651174.0,n.d.,326607.13,325883.59,26750192.41,169865.18,26845476.68,n.d.,3864.1,1592274.8,810993.8500000001,464078.85,16803914.809,80.0,-4262294.21,317202.1,4065828.939,5294561.04,8334607.54,0,10665548.0,2264024.66,26721450.6,n.d.,1304381.94,1134516.76,1627124.97,9961732.511,1134516.76,-322743.03,n.d.,1613291.2,35293346.3,35293346.3,5702578.858999999,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2020,2854955.2800000003,4594485.79,15873572.19,1013310.0,2035596.239,20166092.169,1605825.82,11273133.84,523262.87,1985740.92,2509003.79,1009507.19,7688155.239,5173354.28,4325539.6,n.d.,206556.93,203801.24000000002,30306615.22,327688.07,30361678.169,n.d.,60837.45,1645963.86,765231.4,559730.3600000001,20147569.88,92.0,-3361042.61,321002.1,3590931.16,4160044.28,8209845.079,0,3290914.88,2854955.2800000003,9491226.49,n.d.,1840021.44,1512333.3690000002,1985740.92,10195586,1512333.3690000002,-145719.479,n.d.,1871418.22,17519536.05,17519536.05,6892625.148999999,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2019,1058381.55,5513236.109999999,15244927.89,1013310.0,1306057.12,13206484.298999999,2247099.29,11886901.8,585436.15,985790.58,1571226.73,1061870.28,7435535.970000001,5569743.92,4281583.79,n.d.,101525.01,96542.20999999999,21984150.35,172169.83,22062460.3,n.d.,8525.230000000001,1909057.48,1090340.85,607134.6799999999,13090437.2,88.0,-3003165.48,211581.95,2296155.809,4556433.92,7870185.42,0,2765524.5,1058381.55,10525859.9,n.d.,892790.8,720620.97,985790.58,8855976,720620.97,-92999.78,n.d.,2107541.589,17153985.37,17153985.37,5856352.95,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2018,1645513.82,5177549.44,16086758.0,1013310.0,1083528.55,10774825.07,3160693.92,13591300.7,650835.8600000001,566625.58,1217461.44,1006257.41,9420008.669,5285122.95,3827249.13,n.d.,99719.09,99719.09,18207308.29,52663.5,18309125.08,n.d.,18449.7,2155683.42,1452036.71,545405.08,10861398.31,83.0,-2489589.439,158241.63,1489199.89,4271812.95,6967674.430000001,0,2973561.29,1645513.82,11311804.65,n.d.,485356.19,432692.69,566625.58,7534300.009,432692.69,-81269.39,n.d.,1180805.87,18242441.42,18242441.42,5063160.2700000005,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2017,2279240.58,6283364.59,15431408.02,1013310.0,941609.0,9798853.89,593878.51,10882329.47,640231.04,723062.42,1363293.46,1184517.16,5783482.04,5295791.75,3879808.78,n.d.,338371.45900000003,134093.609,17740474.54,87295.22,17814730.529,n.d.,3982.22,2400771.77,1622378.96,636509.48,9780397.72,85.0,-2772774.4,141883.33,3364561.389,4282481.75,7292814.22,0,3379904.36,2279240.58,10257147.46,n.d.,388673.18,301377.95900000003,723062.42,8015876.6389999995,301377.95900000003,-334389.23900000006,n.d.,3115159.15,17832179.79,17832179.79,5042806.608999999,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2016,2744510.51,4094439,12204820.71,1013310.0,131587.769,9815303.450000001,2737105.8,9348233.38,595622.61,-651308.7699999999,-55686.16,1473685.6,6727479.98,5001136.64,5106568.96,n.d.,113186.62,113186.62000000001,17827117.85,-256016.31,17901228.459999997,n.d.,44444.24,3892593.11,1783104.6600000001,757377.74,9831259.0,113.0,-3035042.21,1352110.71,1382901.73,3987826.639,8737233.78,0,1520221.87,2744510.51,8351766.67,n.d.,-720051.15,-464034.84,-651308.7699999999,8085925.01,-464034.84,-68742.38,n.d.,1183566.06,16097413.82,16097413.82,5095327.04,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2015,1176992.76,7515964,19516816.87,1013310.0,441803.1,21576432.610000003,3624407.5,17095125.52,417474.79,141104.97,558579.76,1867066.38,11446227.899,5460465.52,5889122.51,n.d.,133128.22,99643.3,32681448.49,27548.58,32726198.15,n.d.,43900.14,3469178.71,1178687.21,1347128.22,20203936.05,129.0,-4702063.2700000005,943363.28,554624.97,4447155.52,11008660.57,447972.86,4760192.939,1624965.62,15900564.44,443266.77,51876.89,24328.309,141104.97,11149765.54,24328.309,-89228.08,n.d.,460648.95,22985995.58,22985995.58,6458117.489,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
2014,1503682.85,10689700.96,21587681.87,1013310.0,-384796.72,26218961.06,2138970.79,16064840.46,444995.65,-1164404.77,-719409.12,2943717.26,8318856.759,5438557.48,5578964.99,n.d.,161804.75,95178.05,36896860.56,-463595.74,37168703.83,n.d.,32821.41,2730718.82,1169442.4,1388497.84,24989099.23,125.0,-6090186.9,172778.58,2579124.149,4425247.479,12114147.54,5647.31,4541841.3,1509330.1600000001,17370513.05,n.d.,-1293388.11,-829792.37,-1164404.77,10949742.77,-829792.37,-128983.34,n.d.,1399109.33,24318400.69,24318400.69,4825750.58,BIANNA RECYCLING SOCIEDAD LIMITADA._resum
