Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1976858.25,70870.58,547291.9600000001,136366.9,445290.399,671882.72,n.d.,15090.33,424697.24,14551.63,439248.87,20882.0,-34898.25,512825.0,560851.13,n.d.,38432.08,38425.12,1816509.68,881.54,1859149.03,n.d.,45355.15,2151932.08,n.d.,1111755.65,671882.72,25.0,-187166.31,1040176.43,511319.63,376458.1,1172714.6800000002,0,138670.21000000002,1976858.25,209540.79,n.d.,21474.7,20593.16,14551.63,1187266.31,20593.16,6923.07,n.d.,511319.63,2699224.04,2699224.04,1045448.19,BOIRA-GIRONA SL_resum
2022,1987046.08,81777.01,344557.87,136366.9,688605.2,672134.04,n.d.,64058.47,671384.08,51032.24,722416.3200000001,23745.8,6027.26,492231.84,710264.03,n.d.,32986.219999999994,32986.219999999994,2321148.76,881.54,2347076.75,n.d.,56.64,2326384.2,n.d.,1291025.46,672134.04,30.0,-242262.36,1035358.74,256753.6,355864.94,1623910.47,0,109887.14,1987046.08,191664.15,n.d.,18102.66,17221.12,51032.24,1674942.71,17221.12,-32929.58,n.d.,251533.6,2670942.07,2670942.07,1432736.99,BOIRA-GIRONA SL_resum
2021,2300115.19,61608.6,309099.85,136366.9,352063.56,664170.69,n.d.,25068.95,308254.69,83974.48,392229.17,32378.5,-4161.150000000001,475010.72,623093.1,n.d.,40019.4,40019.4,1606999.29,881.54,1786230.94,n.d.,735.3299999999999,2631341.05,n.d.,1580700.77,664170.69,31.0,-106737.98,1050640.28,251652.4,338643.819,1038085.7699999999,0,103706.39,2300115.19,165314.99,n.d.,44690.41,43808.87,83974.48,1122060.25,43808.87,-39284.07,n.d.,251652.4,2940440.9,2940440.9,1016057.6,BOIRA-GIRONA SL_resum
2020,2403243.21,69486.42,466244.06,136366.9,51416.07,380450.52,n.d.,47910.19,146913.17,-87487.1,59426.07,35245.7,13669.47,431201.85,471446.54,n.d.,40181.45,40181.45,1031477.28,881.54,1044129.1,n.d.,33052.989,2531746.37,n.d.,1480224.55,380450.52,34.0,-132805.97,1051521.82,383088.17,294834.949,751165.6799999999,0,94058.95,2403243.21,163545.37,n.d.,-94615.56,-95497.099,-87487.1,663678.58,-95497.099,-7128.46,n.d.,383088.17,2997990.43,2997990.43,563925.6,BOIRA-GIRONA SL_resum
2019,1816061.78,15308.46,173585.19,136366.9,462266.84,802360.51,n.d.,30055.69,404474.27,39569.67,444043.94,37884.4,52631.63,526698.949,893044.47,n.d.,35934.52,35934.52,2409429.2,1071.57,2436029.41,n.d.,55228.99,2265424.56,n.d.,1213021.2,802360.51,37.0,-296580.49000000005,1052403.36,105645.1,390332.05,1594099.23,0,80940.56,1816061.78,96249.02,n.d.,58864.14,57792.57,39569.67,1633668.9,57792.57,19294.47,n.d.,74778.75,2439009.75,2439009.75,1392317.4,BOIRA-GIRONA SL_resum
2018,1835112.7,82905.14,233157.75,136366.9,279110.81,789307.8300000001,n.d.,14737.8,243003.73,40794.25,283797.98000000004,38672.8,-29494.539,468906.38,920669.27,n.d.,34099.21,34099.21,2295846.55,881.54,2319294.32,n.d.,30293.58,2213111.69,n.d.,1160945.79,789307.8300000001,44.0,-325519.24,1052165.8990000002,179747.15,332539.48000000004,1489192.24,0,59345.22,1835112.7,142250.36,n.d.,36988.62,36107.08,40794.25,1529986.489,36107.08,-3805.629,n.d.,124808.76,2446269.44,2446269.44,1234760.83,BOIRA-GIRONA SL_resum
2017,1939331.24,40736.1,375635.55,136366.9,206422.68,833069.43,n.d.,62305.48,172402.21000000002,35840.94,208243.15,39307.7,60877.079,432799.3,931357.61,n.d.,35369.16,35369.16,2208747.43,881.54,2254311.93,n.d.,34430.23,2149685.61,n.d.,1095038.1700000002,833069.43,40.0,-281641.74,1054647.44,274022.37,296432.4,1385401.56,0,112454.52,1939331.24,153190.62,n.d.,34902.01,34020.47,35840.94,1421242.5,34020.47,-938.93,n.d.,274022.37,2525321.16,2525321.16,1174030.99,BOIRA-GIRONA SL_resum
2016,1930359.42,54277.06,232080.91,136366.9,181817.88,805883.39,n.d.,46290.17,168095.51,32466.22,200561.73,37680.4,29693.51,398778.83,851127.37,n.d.,29970.49,29970.49,2229377.26,881.54,2261732.19,n.d.,12108.18,2263380.73,n.d.,1263394.1800000002,805883.39,40.0,-404159.7,999986.549,148110.34,262411.93000000005,1423382.58,0,112046.33,1930359.42,166323.38999999998,n.d.,14603.91,13722.369,32466.22,1455848.799,13722.369,-17862.309999999998,n.d.,99307.53,2495461.64,2495461.64,1063797.28,BOIRA-GIRONA SL_resum
2015,1840545.38,49564.99,252135.41,136366.9,164953.47,756567.6699999999,413.6,128246.12,156310.57,17402.21,173712.78,39166.97,117848.1,385056.46,817740.04,n.d.,32969.489,32969.489,2179032.81,881.54,2201768.27,n.d.,25091.72,2130192.259,n.d.,1124564.87,756567.6699999999,41.0,-453747.77900000004,1005627.389,84722.319,248689.559,1427798.3900000001,0,106747.24,1840545.38,156725.83,n.d.,9524.44,8642.9,17402.21,1445200.6,8642.9,-7877.769,n.d.,67349.34,2382327.67,2382327.67,1016544.539,BOIRA-GIRONA SL_resum
2014,1451732.44,106153.54,303632.37,136366.9,137528.27000000002,699201.63,n.d.,93686.53,117538.9,29494.1,147033.0,38747.8,26280.79,376413.56,739654.6699999999,n.d.,28309.04,28309.04,2019845.14,-8815.42,2036916.799,n.d.,9988.89,1752519.51,n.d.,814658.7799999999,699201.63,34.0,-451027.5,937860.73,171198.039,240046.659,1308221.0690000001,0,121852.34,1451732.44,228005.88,n.d.,11173.95,19989.37,29494.1,1337715.1700000002,19989.37,-18320.15,n.d.,133666.269,2056151.88,2056151.88,896676.56,BOIRA-GIRONA SL_resum
