Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,456968.17,291442.08,3389090.4,282480.0,307631.24,1983620.24,1204469.48,178564.33,60590.28,395547.03,456137.31,3067433.89,2954556.14,2849792.16,685500.41,n.d.,66850.009,65838.72,4223395.58,82206.48999999999,4227680.94,n.d.,550.43,1677200.22,2416.9300000000003,618585.8300000001,1983620.24,20.0,-1102422.98,1056197.46,143092.18,2567312.16,1848513.6700000002,0,263618.72900000005,456968.17,1759530.29,n.d.,329247.45,247040.96,395547.03,2244060.7,247040.96,-66299.58,n.d.,27860.36,5066290.619999999,5066290.619999999,1141176.86,BRUCS CASA SL_resum
2022,693511.65,300174.33999999997,3445704.47,282480.0,280500.43000000005,2347725.17,1194748.36,362704.19,61031.73,333459.63,394491.36,2868852.71,2931382.56,2602751.2,656582.43,n.d.,44260.61,44260.61,4649472.29,73299.26,4649661.02,n.d.,3568.94,1743894.14,2554.4300000000003,602935.76,2347725.17,20.0,-1250862.06,1138403.95,214147.57,2320271.2,1968476.22,0,398413.06,693511.65,1893335.76,n.d.,292767.96,219468.7,333459.63,2301935.8499999996,219468.7,-40691.67,n.d.,54510.72,5189598.609999999,5189598.609999999,1054642.73,BRUCS CASA SL_resum
2021,975863.3400000001,123806.48999999999,2770342.74,282480.0,108923.4,1577130.21,646630.8200000001,400099.1,61603.82,112471.14,174074.96,2192423.7800000003,2468716.389,2383282.5,511497.14,n.d.,47671.41,47671.41,2884066.43,17617.57,2914066.43,n.d.,137.42000000000002,1868707.91,2691.9300000000003,654312.7699999999,1577130.21,19.0,-651364.12,1211703.21,177819.86,2100802.5,1224465.0790000001,0,509467.5,975863.3400000001,1279904.81,n.d.,64937.15,47319.58,112471.14,1336936.22,47319.58,-47533.99,n.d.,50828.39,4639050.649999999,4639050.649999999,685709.52,BRUCS CASA SL_resum
2020,1235430.29,40320.59,2646046.98,282480.0,-27964.67,1191862.2,782603.1699999999,346633.11,59326.08,-58332.86,993.22,2219340.43,2525652.95,2335962.92,523028.44,n.d.,58248.12,58248.12,2388948.62,-29094.7,2388948.62,n.d.,195.53,1940581.45,1616,709644.6699999999,1191862.2,19.0,-673064.76,1229320.78,80073.439,2053482.92,1255419.28,0,192311.46,1235430.29,1015235.22,n.d.,-116385.45,-87290.75,-58332.86,1197086.42,-87290.75,-58052.59,n.d.,2426.4,4586628.430000001,4586628.430000001,524217.19,BRUCS CASA SL_resum
2019,821796.3300000001,125387.33,2710238.64,282480.0,-5762.929999999999,1560258.6400000001,1016917.04,255090.82,55158.59,-27610.18,27548.409,2290762.64,2420466.13,2423253.67,641139.7,n.d.,53959.78,53649.27,3271707.71,-20281.72,3271707.71,n.d.,366.72,1934054.15,1616,732212.07,1560258.64,19.0,-1042760.9600000001,1200226.08,164385.18,2140773.67,1739059.25,0,256938.419,821796.3300000001,1399242.79,n.d.,-81203.23999999999,-60921.52,-27610.18,1711449.07,-60921.52,-53593.06,n.d.,2112.3500000000004,4644292.79,4644292.79,668744.3200000001,BRUCS CASA SL_resum
2018,345654.64999999997,204902.99,2768419.37,282480.0,59713.14,1822946.6600000001,1070452.32,312268.2,48518.45,63206.71,111725.16,2274798.91,2382164.12,2484175.19,579122.16,n.d.,48643.24,48643.24,3584191.5,3782.94,3584191.5,n.d.,414.16,1966682.34,1616,785121.98,1822946.66,17.0,-1070397.52,1179944.3590000002,181352.26,2201695.19,1698038.1300000001,0,629916.56,345654.64999999997,1905271.87,n.d.,14977.63,11194.689,63206.71,1761244.84,11194.689,-48229.079,n.d.,5892.469999999999,4735101.71,4735101.71,691261.48,BRUCS CASA SL_resum
2017,551690.05,143795.94999999998,2312811.03,282480.0,68761.05,1577456.58,884710.39,131438.299,44394.86,87341.22,131736.08,2064440.22,2052082.569,2472980.5,551596.25,n.d.,55135.01,55132.11,3173041.71,8196.44,3173041.71,n.d.,356.42,1961849.42,1616,776506.12,1577456.58,16.0,-912252.8,1183727.3,116932.51,2190500.5,1508243.91,0,221483.56,551690.05,1249989.9,n.d.,32562.63,24366.19,87341.22,1595585.1300000001,24366.19,-54778.59,n.d.,2412.28,4274660.45,4274660.45,683685.8500000001,BRUCS CASA SL_resum
2016,276878.39,223870.18,2085385.82,282480.0,53427.49,1561936.7,961211.1699999999,160487.18,44786.880000000005,62486.84,107273.72,1838782.16,1775399.16,2448614.31,534850.0789999999,n.d.,51677.92,51677.92,3102553.94,2901.25,3102553.94,n.d.,732.9399999999999,1974324.27,1616,780784.53,1561936.7,15.0,-898493.4400000001,1191923.74,86116.48,2166134.31,1478130.398,0,149136.04,276878.39,1334217.39,n.d.,11541.86,8640.61,62486.84,1540617.24,8640.61,-50944.979,n.d.,1022.71,4059710.09,4059710.09,642856.739,BRUCS CASA SL_resum
2015,508400.39,54357.78999999999,2913593.01,282480.0,-72123.459,1480707.76,854184.62,972264.13,50950.65,-99356.71,-48406.06,1869444.82,2787351.16,2439973.7,642870.76,n.d.,65802.069,65757.39,3052602.88,-40979.719999999994,3062599.25,n.d.,1104.95,1140099.1,1616,843658.11,1480707.76,18.0,-987426.7899999999,294824.99000000005,71884.06,2157493.7,1681248.2,0,196775.61,508400.39,1105318.02,n.d.,-164053.83,-123074.109,-99356.71,1581891.49,-123074.109,-64697.119,n.d.,870.4399999999999,4053692.11,4053692.11,595524.97,BRUCS CASA SL_resum
2014,827588.76,62767.810000000005,3342538.27,282480.0,-69471.37000000001,1185800.1800000002,771905.13,1196978.96,60133.44,-80670.34,-20536.899,1999891.93,3134103.079,2563047.81,606498.8,n.d.,94438.14,92471.18,2745520.4,-43197.03,2752595.37,n.d.,2306.64,1132016.35,21506.02,856665.06,1187194.14,15.0,-980833.2899999999,253845.27000000002,145667.37999999998,2280567.81,1647465.53,0,249245.11,827588.76,1083918.05,n.d.,-172801.84,-129604.81,-80670.34,1566795.1900000002,-129604.81,-92131.5,n.d.,4413.1900000000005,4474554.619999999,4474554.619999999,586301.58,BRUCS CASA SL_resum
