Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,64926.24,1836.6699999999998,217730.95,3005.06,53706.0,n.d.,14916.48,27866.95,12318.11,56074.56,68392.67000000001,n.d.,26030.28,116728.31,145273.55,n.d.,2235.75,2235.75,434631.0,12450.92,443207.17,n.d.,0.0,109632.3,n.d.,105868.66,n.d.,5,-229540.94999999998,3763.64,189864.0,113723.25,387132.61,13969.130000000001,114986.42,78895.37000000001,131739.57,n.d.,53838.810000000005,41387.89,56074.56,443207.17,41387.89,-2235.75,n.d.,189864.0,327363.25,327363.25,213666.219,C VENTURA-CONSULTORS SLP_resum
2022,79842.72,1874.73,179954.97999999998,3005.06,48177.850000000006,n.d.,14548.57,38469.52,20206.02,51782.51,71988.53,n.d.,36594.789,77598.15000000001,126240.57,n.d.,2552.67,2552.67,410610.02,21258.01,426754.66,n.d.,0.0,121910.74,34.58,118112.52,n.d.,5,-228525.56,3763.64,141485.46,74593.09,374972.14999999997,14768.710000000001,113232.84,94611.43,129656.14,n.d.,49229.84,27971.829,51782.51,426754.66,27971.829,-2552.67,n.d.,141485.46,301865.72000000003,301865.72000000003,198229.1,C VENTURA-CONSULTORS SLP_resum
2021,122420.76,26.36,225577.51,3005.06,65134.880000000005,n.d.,n.d.,35937.65,23071.460000000003,53972.77,77044.23,n.d.,35911.28999999999,135204.23,101803.48,n.d.,2902.66,2902.66,394232.18,9006.69,394242.67,n.d.,0.0,138756.4,1434.32,133558.44,n.d.,3,-215394.96,3763.64,189639.86,132199.169,340269.9,4567.650000000001,102114.909,126988.40999999999,102141.27,n.d.,51070.11,42063.42,53972.77,394242.67,42063.42,-2902.66,n.d.,175800.12,364333.91,364333.91,178847.71000000002,C VENTURA-CONSULTORS SLP_resum
2020,122420.76,1590.58,189319.22,3005.06,70175.66,n.d.,n.d.,42933.41,23303.22,53715.67,77018.89,n.d.,41342.83,97978.53,83583.37000000001,n.d.,3244.01,3244.01,378702.17,3599.22,379190.149,n.d.,0.0,160902.21000000002,2665.3900000000003,154473.18,n.d.,3,-218587.88999999998,3763.64,146385.81,94973.47,325474.48000000004,4567.650000000001,123663.909,126988.40999999999,125254.49,n.d.,50471.66,46872.44,53715.67,379190.149,46872.44,-3244.01,n.d.,146385.81,350221.43000000005,350221.43000000005,160602.26,C VENTURA-CONSULTORS SLP_resum
2019,122420.76,1536.56,93899.88,3005.06,51514.28999999999,n.d.,13498.39,11685.62,23678.32,32433.49,56111.810000000005,n.d.,10149.06,83064.03,87928.03,n.d.,4642.58,4642.58,303886.3,n.d.,304183.13,n.d.,45.06,183702.6,2162.56,177776.4,n.d.,3,-160143.29,3763.64,82214.26,80058.97,271749.639,4567.650000000001,52515.09,126988.40999999999,67550.04,n.d.,27835.97,27835.97,32433.49,304183.13,27835.97,-4597.519,n.d.,82214.26,277602.48000000004,277602.48000000004,144084.9,C VENTURA-CONSULTORS SLP_resum
2018,n.d.,1214.59,201631.87,3005.06,4976.03,n.d.,n.d.,64132.13,4448.51,3443.12,7891.63,n.d.,62917.54,176399.75,101558.61,n.d.,0.0,n.d.,287335.54,3366.69,287347.55,n.d.,451.09,44013.52,0.01,40249.87,n.d.,3,-177897.31,3763.64,137499.74000000002,173394.69,283904.43000000005,4567.650000000001,63463.4,4567.650000000001,64677.99,n.d.,3894.21,527.52,3443.12,287347.55,527.52,451.09,n.d.,112694.6,245645.39,245645.39,109901.33,C VENTURA-CONSULTORS SLP_resum
2017,n.d.,947.88,122073.39,3005.06,21649.589,n.d.,n.d.,21116.75,8587.51,19183.960000000003,27771.47,n.d.,20168.87,136367.57,102245.62,n.d.,0.0,n.d.,273111.54,6683.929999999999,274762.8,n.d.,562.05,33330.28999999999,0.01,29566.64,n.d.,4,-144745.71000000002,3763.64,100956.64,133362.509,255578.84,4903.160000000001,13185.07,4903.160000000001,14132.95,n.d.,19746.01,13062.079,19183.960000000003,274762.8,13062.079,562.05,n.d.,76825.57,155403.68,155403.68,130579.139,C VENTURA-CONSULTORS SLP_resum
2016,n.d.,44.44,110488.24,3005.06,26789.62,n.d.,n.d.,31596.01,10555.04,15910.38,26465.42,n.d.,31551.57,126050.76,98438.69,n.d.,0.0,n.d.,261910.69,n.d.,266184.28900000005,n.d.,324.2,39866.880000000005,1106.87,34996.37,n.d.,4,-141280.18,3763.64,78892.23,123045.7,250273.91,4903.160000000001,19356.76,4903.160000000001,19401.2,n.d.,16234.58,16234.58,15910.38,266184.28900000005,16234.58,324.2,n.d.,60801.65,150355.12,150355.12,125228.31,C VENTURA-CONSULTORS SLP_resum
2015,n.d.,n.d.,124249.96,3005.06,19814.97,n.d.,n.d.,25363.11,6762.72,13999.54,20762.26,n.d.,25363.11,109816.18,82738.08,n.d.,0.0,n.d.,240596.66,993.9599999999999,245683.88,n.d.,46.67,48692.17,3447.9,41480.63,n.d.,3,-142183.54,3763.64,98886.849,106811.12,231684.34,4903.160000000001,58222.78999999999,4903.160000000001,58222.78999999999,n.d.,14046.21,13052.25,13999.54,245683.87999999998,13052.25,46.67,n.d.,83190.45,172942.13,172942.13,103547.01,C VENTURA-CONSULTORS SLP_resum
2014,n.d.,221.88000000000002,121978.57,3005.06,19892.86,n.d.,n.d.,19663.4,9638.66,17681.980000000003,27320.64,n.d.,19441.52,96763.93,85931.18000000001,n.d.,0.0,n.d.,235966.26,7696.89,239423.0,n.d.,269.11,19181.37,6222.52,9195.21,n.d.,4,-126171.18000000001,3763.64,102315.17,93758.87,221741.02,4903.160000000001,39270.97,4903.160000000001,39492.850000000006,n.d.,17951.09,10254.2,17681.980000000003,239423,10254.2,269.11,n.d.,85677.70999999999,141159.94,141159.94,113520.93,C VENTURA-CONSULTORS SLP_resum
