Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,9883.49,50456.69,90150.0,-18478.23,71755.6,900,n.d.,2967.65,-16497.867000000002,-13530.217,42876.94,32993.450000000004,59012.41,72487.51,n.d.,224.45,224.45,164035.86,4723.56,171068.93899999998,n.d.,0,110377.38,n.d.,15801.02,71755.6,3.0,-40356.05,94576.36,7579.75,-31137.589,115811.209,0,91038.17,n.d.,101821.66,n.d.,-16722.32,-21445.88,-16497.867000000002,99313.339,-21445.88,-224.45,n.d.,7579.75,160834.07,160834.07,58957.289,CAN PIJAUME SL_resum
2022,900,15310.640000000001,53729.13,90150.0,-18791.44,72364.52,2233.12,4252.26,1813.56,-26915.08,-25101.52,43058.7,32000.32,80458.29,73908.61,n.d.,558.25,558.25,169843.29,-6868.33,173132.1,n.d.,0,115569.94,n.d.,16270.02,72364.52,3.0,-51960.49,99299.92,6418.17,-9691.709,127682.66,0,70397.02,900,87940.78,n.d.,-27473.33,-20605.0,-26915.08,100767.58,-20605.0,-558.25,n.d.,6418.17,169299.07,169299.07,48807.09,CAN PIJAUME SL_resum
2021,3168.75,16752.329999999998,46171.92,90150.0,-8426.69,68255.51,3254.4700000000003,n.d.,2233.48,-13321.85,-11088.37,42695.7,25943.369,101063.29,55408.53,n.d.,891.71,891.71,142917.84,-3553.3900000000003,145233.53,n.d.,0,99001.95,n.d.,6570.360000000001,68255.51,3.0,-32657.86,92431.59,3476.22,10913.29,90299.87000000001,0,20935.03,3168.75,40941.83,n.d.,-14213.56,-10660.17,-13321.85,76978.02,-10660.17,-891.71,n.d.,3476.22,145173.87,145173.87,44320.16,CAN PIJAUME SL_resum
2020,6458.79,2791.04,44419.42,90150.0,-21557.35,55468.25,3228.3700000000003,2087.59,4844.89,-31835.19,-26990.3,41028.76,40325.310000000005,111723.46,22556.68,n.d.,1405.89,1405.89,54037.12,-6838.84,54091.0,n.d.,0,97682.04,n.d.,8803.84,55468.25,1.0,-3056.3700000000003,88878.2,1303.07,21573.460000000003,30457.940000000002,0,17899.8,6458.79,23919.21,n.d.,-33241.08,-26402.24,-31835.19,-1377.25,-26402.24,-1405.89,n.d.,1303.07,142101.46,142101.46,-4433.620000000001,CAN PIJAUME SL_resum
2019,6000,12269.849999999999,71160.63,90150.0,-12508.339,59819.28999999999,30313.23,3665.9,5225.24,-22935.06,-17709.82,66974.119,58370.169,73643.2,22158.53,n.d.,806.74,806.74,92111.33,-5911.2,92749.5,n.d.,97.02,95688.09,n.d.,13648.73,59819.28999999999,1.0,-28481.5,82039.36,520.61,-16506.8,55865.27,0,44622.44,6000,87205.52,n.d.,-23644.78,-17733.578999999998,-22935.06,32930.21,-17733.578999999998,-709.72,n.d.,520.61,166848.72,166848.72,4545.73,CAN PIJAUME SL_resum
2018,19277.309999999998,23633.36,69943.07,90149.99,-2784.01,24410.39,20846.24,2968.9500000000003,5276.67,-4312.42,964.25,66974.119,46309.709,57765.09,43696.850000000006,n.d.,6435.150000000001,6435.150000000001,114061.77,-2686.8900000000003,115273.17,n.d.,0,96740.88,n.d.,18873.97,24410.39,1.0,-46201.68,77866.90999999999,n.d.,-32384.9,95175.2,0,45161.95,19277.309999999998,89641.55,n.d.,-10747.57,-8060.68,-4312.42,90862.78,-8060.68,-6435.150000000001,n.d.,n.d.,166683.94999999998,166683.94999999998,44661.1,CAN PIJAUME SL_resum
2017,38598.87,201289.93,235442.5,90149.99,11616.71,231752.64,17676.79,n.d.,4989.23,14088.18,19077.41,67021.479,-134268.45099999997,53078.18,136435.17,n.d.,5288.320000000001,5288.320000000001,459544.17,2209.16,463966.93000000005,n.d.,36.78,94903.88,n.d.,19723.86,231752.64,6.0,-76701.70999999999,75180.02,168421.02,-37071.810000000005,218126.11000000002,0,19702.61,38598.87,238669.33,n.d.,8836.640000000001,6627.48,14088.18,232214.289,6627.48,-5251.54,n.d.,168421.02,330346.38,330346.38,155549.36,CAN PIJAUME SL_resum
2016,56285.310000000005,30359,100378.01,90149.99,19103.019,162929.64,14821.88,1421.51,7800.92,20833.07,28633.989,98956.5,70019.01,51530.7,120854.92,n.d.,5764.06,5764.06,373901.16,3767.3700000000003,386062.93000000005,n.d.,0.46,101284.83,n.d.,23895.65,162929.64,6.0,-73644.38,77389.18000000001,n.d.,-38619.289,202300.22,0,48665.95,56285.310000000005,93846.83,n.d.,15069.47,11302.099,20833.07,223133.289,11302.099,-5763.6,n.d.,n.d.,201662.84,201662.84,149489.37,CAN PIJAUME SL_resum
2015,72477.29,22741.38,106790.27,90149.99,12661.55,157010.31999999998,17056.87,735.57,7858.84,15100.13,22958.97,106054.7,84048.89,40228.6,101200.37,n.d.,8696.52,8696.52,352247.74,1600.9,354973.17,n.d.,0,105614.37,n.d.,26196.57,157010.31999999998,5.0,-73803.51,79417.8,n.d.,-49921.389,182862.72,0,59900.5,72477.29,99698.75,n.d.,6403.610000000001,4802.709,15100.13,197962.849,4802.709,-8696.52,n.d.,n.d.,212404.64,212404.64,124159.34,CAN PIJAUME SL_resum
2014,89534.16,89102.20999999999,106786.18,90149.99,5917.08,149050.44,15633,1645.43,9988.89,8976.91,18965.8,105140.75,17683.969,-44674.11,126535.05,n.d.,14405.99,14405.99,351145.06,-1357.27,354468.46,n.d.,0,104361.61,n.d.,23342.91,149050.44,5.0,-59917.17,81018.7,n.d.,-134824.099,196441.11000000002,0,61552.53,89534.16,166287.74000000002,n.d.,-5429.08,-4071.81,8976.91,205418.02,-4071.81,-14405.99,n.d.,n.d.,211147.79,211147.79,145500.849,CAN PIJAUME SL_resum
