Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,609111.24,882807.4,1883787.35,135227.72,273742.6,4740866.41,182766.83,1019303.38,236390.1,71485.82,307875.92000000004,503959.2,640455.1799999999,1188791.61,1124468.88,n.d.,25889.38,25889.38,7345443.13,8243.94,7356939.75,n.d.,0.0,1501458.49,232571.05,1257057.29,4740866.41,25,-1183728.54,11830.15,360524.77,1053563.8890000002,2544587.52,756.6700000000001,521012.09,609867.91,1586586.32,n.d.,45596.44,37352.5,71485.82,2616073.34,37352.5,-25889.38,n.d.,360524.77,3385245.84,3385245.84,1432344.799,CAPDEVILA GERMANS SA_resum
2022,662260.88,854791.2,1939061.62,135227.72,185968.84,3803457.1,330514.14999999997,1124202.07,166560.7,36226.06,202786.76,699849.7899999999,969260.66,1155899.24,952778.99,n.d.,13007.91,13007.91,6084393.4,3810.01,6089351.99,n.d.,0.0,1574842.26,242591.54,1320420.57,3803457.1,21,-1130329.1400000001,11830.15,115009.76,1020671.52,2249668.8299999996,1146.12,509292.29,663407.0,1694597.64,n.d.,23218.15,19408.14,36226.06,2285894.8899999997,19408.14,-13007.91,n.d.,115009.76,3513903.88,3513903.88,1155565.75,CAPDEVILA GERMANS SA_resum
2021,681935.06,636472.9500000001,1608281.32,135227.72,186775.71,2780978.4499999997,135216.05,1002577.91,169178.47999999998,30582.960000000003,199761.44,457872.4900000001,823977.4500000001,1140951.23,763493.11,n.d.,10928.54,10928.54,4450878.59,2057.19,4458779.29,n.d.,0.0,1431803.04,244972.06,1175000.83,2780978.45,21,-714546.2899999999,11830.15,147830.91999999998,1005723.51,1647217.8800000001,1535.57,443973.5,683470.63,1215662.5,n.d.,19654.42,17597.23,30582.960000000003,1677800.8390000002,17597.23,-10928.54,n.d.,147830.91999999998,3040084.36,3040084.36,963254.55,CAPDEVILA GERMANS SA_resum
2020,557979.99,663885.43,1641188.89,135227.72,133844.23,2770082.63,183128.47999999998,757615.59,121904.16,30076.93,151981.09,544114.55,637844.71,1083212.83,588775.38,n.d.,15380.77,15380.77,4291103.76,3306.61,4292339.219,n.d.,550.52,1095320.41,38770.5,1044719.76,2770082.63,24,-781500.12,11830.15,339458.75,947985.11,1492179.6600000001,1925.02,246377.55,559905.01,1093391.46,n.d.,15246.68,11940.07,30076.93,1522256.5890000002,11940.07,-14830.25,n.d.,339458.75,2736509.3,2736509.3,741306.99,CAPDEVILA GERMANS SA_resum
2019,392354.51,1034936.8400000001,2161462.72,135227.72,121623.889,4206783.04,469107.66,1515850.77,105872.43,30862.11,136734.539,554895.01,1035808.94,1071272.75,982887.11,n.d.,10047.06,10047.06,6227231.26,5102.13,6230571.76,n.d.,38.54,1139007.05,28125.53,1099751.37,4206783.04,19,-904167.07,11130.15,90716.94,936045.029,1992926.6090000002,2314.4700000000003,330483.54,394668.98,1834528.04,n.d.,20853.59,15751.46,30862.11,2023788.719,15751.46,-10008.519,n.d.,90716.94,3300469.77,3300469.77,1119660.1900000002,CAPDEVILA GERMANS SA_resum
2018,240457.84,805769.72,1667007.11,135227.72,156754.66,3518978.04,362796.14999999997,1240785.1,132451.37,39869.63,172321.0,313475.67,748491.05,1055521.29,941358.85,n.d.,7668.63,7668.63,5501661.08,7952.73,5502447.54,n.d.,55.02,1049938.6790000002,5773.150000000001,1033035.38,3518978.04,24,-869789.65,11130.15,112746.34,920293.57,1943599.87,2703.92,249696.87,243161.76,1418262.74,n.d.,32256.02,24303.29,39869.63,1983469.5,24303.29,-7613.610000000001,n.d.,103342.72,2716945.79,2716945.79,1113734.8690000002,CAPDEVILA GERMANS SA_resum
2017,255136.28,850445.4500000001,1856875.48,135227.72,179120.53,4251719.3889999995,291093.36,1288641.94,141771.31999999998,63127.74,204899.06,218651.92,656848.409,1075662.44,894643.3,n.d.,14217.55,14217.55,6172564.859999999,11706.37,6174229.4,n.d.,145.39,1078583.64,1345.46,1066108.03,4251719.389,25,-822967.65,11130.15,349581.62,940434.72,1859382.27,3093.3700000000003,460028.22,258229.65,1601567.03,n.d.,49055.58,37349.21,63127.74,1922510.011,37349.21,-14072.16,n.d.,259806.0,2935459.12,2935459.12,1099687.75,CAPDEVILA GERMANS SA_resum
2016,319988.19,881084.23,1765408.6,135227.72,205203.539,3703242.08,200921.83,1302278.54,152279.58,81427.53,233707.11,131969.66,553163.97,1082757.6700000002,814677.2,n.d.,11743.36,11743.36,5552109.42,16897.95,5553151.05,n.d.,137.73999999999998,1069656.73,3008.2,1055518.3790000002,3703242.08,25,-801524.66,11130.15,331160.4,947529.95,1768481.44,5044.7,345268.71,325032.89,1427274.77,n.d.,69821.90999999999,52923.96,81427.53,1849908.969,52923.96,-11605.62,n.d.,267184.78,2835065.33,2835065.33,1048522.049,CAPDEVILA GERMANS SA_resum
2015,381731.67,740858.3400000001,1768093.47,135227.72,243976.389,3699640.4899999998,49624.28,1273443.77,134452.36,155139.28,289591.64,123878.33,656463.76,1074278.15,794671.6699999999,n.d.,10212.75,10212.75,5681997.98,35764.65,5683897.53,n.d.,362.15,984916.39,5228.610000000001,964281.27,3699640.49,25,-899993.73,15406.51,370771.37,939050.43,1829117.759,6996.03,499521.39,388727.7,1290004.01,n.d.,145288.68,109524.03,155139.28,1984257.04,109524.03,-9850.6,n.d.,321385.75,2753009.86,2753009.86,1084625.46,CAPDEVILA GERMANS SA_resum
2014,232354.93,594430.16,1567413.85,135227.72,161236.25,3046625.07,48712.61,1193822.6700000002,113834.87,68500.89,182335.76,125384.26,724776.769,1009474.62,736970.49,n.d.,6924.03,6924.03,4743233.85,15057.09,4744638.989,n.d.,881.61,644085.8400000001,7449.02,621230.31,3046625.07,22,-778707.669,15406.51,248206.92,874246.9,1629513.03,8947.359999999999,317580.01,241302.29,960722.78,n.d.,62458.47,47401.380000000005,68500.89,1698013.919,47401.380000000005,-6042.42,n.d.,201061.92,2211499.69,2211499.69,920187.86,CAPDEVILA GERMANS SA_resum
