Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,81014.06,87689.95,403525.72,36060.8,25424.698999999997,695361.38,104175.26,169780.2,14271.240000000002,21925.74,36196.98,101704.45,183794.7,322210.4,349069.01,n.d.,7384.9,7384.9,1211252.9,3387.38,1218698.38,n.d.,0,255845.21,18188.86,234644.33,696276.8300000001,12.0,-138071.009,3012.02,132041.068,286149.6,501411.26,0,64281.26,81014.06,256146.47,n.d.,14540.84,11153.46,21925.74,523336.99900000007,11153.46,-7384.9,n.d.,131891.079,659370.93,659370.93,385265.9900000001,CARROSSERIES CORNELLA SL_resum
2022,101179.72,85182.52,409721.51,36060.8,27273.47,396721.94,102845.2,172920.3,15020.9,25258.58,40279.48,100789.0,188526.779,311056.94,372874.73,n.d.,8699.94,8699.94,967415.37,4306.07,971871.42,n.d.,0,234591.01,18401.920000000002,213177.07,404049.56,12.0,-161995.27000000002,3012.02,136012.21000000002,274996.14,549890.899,0,44048.14,101179.72,232075.86,n.d.,16558.64,12252.57,25258.58,575149.48,12252.57,-8699.94,n.d.,136012.21000000002,644312.52,644312.52,413154.21,CARROSSERIES CORNELLA SL_resum
2021,155974.99,89845.81,448286.36,36060.8,25102.989,350341.36,126573.18000000001,170152.44999999998,16297.09,17912.19,34209.28,92081.18,172387.81999999998,258804.37,338238.41000000003,n.d.,6106.44,6106.44,812623.26,2999.8500000000004,862292.37,n.d.,0,239323.3,13325.04,222986.24,352341.97000000003,12.0,-139503.319,3012.02,186052.73,222743.57,494038.82,0,56411.310000000005,155974.99,272830.3,n.d.,11805.75,8805.9,17912.19,511951.01,8805.9,-6106.44,n.d.,186052.73,687609.66,687609.66,372447.69,CARROSSERIES CORNELLA SL_resum
2020,225391.54,59675.340000000004,452396.53,36060.8,26987.378999999997,261868.39899999998,103818.6,133149.76,17034.07,14406.15,31440.22,91311.35,164785.77000000002,249998.47,302030.44,n.d.,1654.48,1654.48,714313.03,2798.36,715582.99,n.d.,0,252368.79,12387.42,236898.58,281801.97000000003,9.0,-120243.93,3082.79,227935.42,213937.669,439308.44,1192.04,64689.33,226583.58,228183.27,n.d.,12751.67,9953.31,14406.15,453714.58900000004,9953.31,-1654.48,n.d.,227935.41999999998,704765.3200000001,704765.3200000001,333470.66,CARROSSERIES CORNELLA SL_resum
2019,91570.22,90795.8,255660.74,36060.8,43406.67,726520.2,18905.23,104638.8,23981.940000000002,20009.23,43991.17,71377.78,85220.78,244701.7,357561.54,n.d.,584.5,584.5,1268718.85,n.d.,1269475.59,n.d.,0,264314.2,12748.98,248553.2,738552.19,9.0,-141402.68,3012.02,79644.16,208640.9,522946.16,1914.78,72087.20999999999,93485.0,181788.24,n.d.,19424.73,19424.73,20009.23,542955.39,19424.73,-584.5,n.d.,79644.16,519974.94,519974.94,401552.709,CARROSSERIES CORNELLA SL_resum
2018,59933.13,81469.35,214689.97,36060.8,36446.27,449417.57,20627.940000000002,154645.78,12993.62,32319.4,45313.02,59345.78999999999,132522.22,265276.968,325480.38,n.d.,1049.2,1049.2,930550.45,7817.55,932069.34,n.d.,0,276950.75,11910.54,262028.19,457143.28,9.0,-111858.37000000001,3012.02,698.4,229216.169,450332.37,1914.78,62418.55,61847.91,164515.84,n.d.,31270.2,23452.65,32319.4,482651.76900000003,23452.65,-1049.2,n.d.,n.d.,491640.72,491640.72,370793.4,CARROSSERIES CORNELLA SL_resum
2017,99565.03,90647.29,225618.35,36060.8,19721.09,434263.48000000004,16021.58,139585.41,15165.3,8552.29,23717.59,53140.380000000005,102078.5,241824.32,357997.42000000004,n.d.,2478.36,2478.36,934211.3,1518.6,935279.46,n.d.,0.46,274756.81,10103,261641.79,464978.68,10.0,-119300.97,3012.02,32892.559,205763.52,492463.69,1914.78,50402.16,101479.81,157071.03,n.d.,6074.39,4555.79,8552.29,501015.98000000004,4555.79,-2477.9,n.d.,32194.16,500375.16,500375.16,381715.47,CARROSSERIES CORNELLA SL_resum
2016,116888.9,69250.59,207294.92,36060.8,50051.619999999995,903233.98,7416.67,141060.7,12411.26,52988.850000000006,65400.11,17109.38,88919.48999999999,237268.53,317378.9,n.d.,3430.64,3430.64,1352709.29,11920.41,1353203.4,n.d.,2.56,265548.45,10103,255445.45,891018.57,9.0,-67190.40999999999,n.d.,49124.84,201207.729,396980.57,1914.78,40103.9,118803.68,116771.16,n.d.,49560.77,37640.36,52988.850000000006,449969.42000000004,37640.36,-3428.08,n.d.,48426.44,472843.37,472843.37,382781.57,CARROSSERIES CORNELLA SL_resum
2015,127808.19,59038.840000000004,255898.26,36060.8,32802.53,377448.39900000003,22112.4,180426.54,11120.359999999999,33423.26899999999,44543.62899999999,32040.07,153427.77000000002,199628.17,266435.34,n.d.,4516.18,4516.18,761142.03,7227.39,761893.69,n.d.,2.4699999999999998,250011.33,10103,239908.33,361122.93000000005,7.0,-73466.319,n.d.,43431.65,163567.37,351022.02,722.74,96599.25,128530.93,177750.49,n.d.,28909.56,21682.17,33423.26899999999,384445.29000000004,21682.17,-4513.71,n.d.,42733.25,505909.59,505909.59,310981.44,CARROSSERIES CORNELLA SL_resum
2014,153606.65,61451.8,183818.72,36060.8,9692.230000000001,331700.47000000003,18413.22,116769.07,8256.230000000001,8283.958999999999,16540.188000000002,53681.350000000006,108998.62,177946.0,248823.03,n.d.,6369.3,6369.3,653603.26,478.66,653678.3300000001,n.d.,0,257812.78,10103,247709.78,330671.76,6.0,-56614.64,n.d.,13368.3,141885.2,313693.9,0,30213.83,153606.65,110078.85,n.d.,1914.66,1436.0,8283.958999999999,321977.86,1436.0,-6369.3,n.d.,12669.9,441631.5,441631.5,265363.22000000003,CARROSSERIES CORNELLA SL_resum
2013,178160.67,39138.58,162931.17,36060.8,19965.03,237965.97,n.d.,73107.48,17460.91,10481.81,27942.72,53539.58,87508.48,176510.0,228673.11,n.d.,7142.98,7142.98,544286.23,834.71,544377.88,n.d.,0,262925.53,10103,252822.53,253565.56,8.0,-49796.08,n.d.,36284.11,140449.199,295930.09900000005,0,32047.45,178160.67,71186.03,n.d.,3338.8300000000004,2504.12,10481.81,306411.91000000003,2504.12,-7142.98,n.d.,35585.71,425856.7,425856.7,256615.83,CARROSSERIES CORNELLA SL_resum
2012,201542.66,11766.78,133448.09,36060.8,n.d.,205424.4,n.d.,87431.73,n.d.,9837.83,9837.83,31265.9,106930.85,174005.87999999998,205542.69,n.d.,7817.89,7817.89,477046.71,504.98999999999995,478002.53,n.d.,0,279663.01,10103,269560.01,202519.76,8.0,-57197.61,n.d.,14750.46,137945.08,262740.3,0,25795.78,201542.66,37562.56,n.d.,2019.94,1514.95,9837.83,272578.13,1514.95,-7817.89,n.d.,14052.06,413111.1,413111.1,215380.52,CARROSSERIES CORNELLA SL_resum
2011,211137.13,26973.4,166128.86,36060.8,12969.25,286520.74,n.d.,87071.64,14009.03,6893.610000000001,20902.64,36840.64,96938.88,172490.93,192717.83,n.d.,8279.99,8279.99,568450.24,-346.6,568590.53,n.d.,0,269817.51,n.d.,269470.91000000003,290672.65,8.0,-68449.32,346.6,42216.58,136430.13,275176.18,0,25344.91,211137.13,52318.310000000005,n.d.,-1386.38,-1039.78,6893.610000000001,282069.79000000004,-1039.78,-8279.99,n.d.,41518.18,435946.37,435946.37,213620.469,CARROSSERIES CORNELLA SL_resum
2010,231435.03,19501.52,176552.01,36060.8,19076.39,222019.88999999998,n.d.,112854.94,16545.82,12712.55,29258.37,33589.24,126942.659,173530.71000000002,199998.43,n.d.,9338.740000000002,9338.740000000002,502905.9,843.53,503949.65,n.d.,0.29000000000000004,280920.48000000004,59.760000000000005,280860.72000000003,236489.01,8.0,-52672.96,n.d.,30107.83,137469.91,269217.20900000003,0,33005.23,231435.03,52506.75,n.d.,3374.1,2530.569,12712.55,281929.76,2530.569,-9338.449,n.d.,29409.43,457472.4900000001,457472.4900000001,229257.09,CARROSSERIES CORNELLA SL_resum
2009,255951.23,18836.39,188660.8,36060.8,37625.21,221422.91999999998,n.d.,118308.3,18220.86,37551.61,55772.47,5699.23,105171.14,171000.14,217577.39,n.d.,11679.14,11679.14,542729.6,6468.120000000001,542764.64,n.d.,0,296298.16,419.04,295879.12,221422.92,9.0,-47991.86,n.d.,64653.27,134939.34,283790.11,0,39171.2,255951.23,58007.59,n.d.,25872.47,19404.35,37551.61,321341.72000000003,19404.35,-11679.14,n.d.,63954.87,484958.96,484958.96,273349.86,CARROSSERIES CORNELLA SL_resum
2008,279066.4,19946.9,176713.86,36060.8,35602.840000000004,393585.57,n.d.,92458.63,16354.19,39130.49,55484.68,16610.4,89122.13,151595.79,231487.91,n.d.,13465.62,13465.62,737682.19,6416.22,737742.409,n.d.,0,313453.06,778.3199999999999,312674.74,393585.57,10.0,-57184.25,n.d.,67644.82900000001,115534.989,305026.35,0,39557.83,279066.4,59504.73,n.d.,25664.87,19248.649,39130.49,344156.83900000004,19248.649,-13465.62,n.d.,66946.429,490166.92,490166.92,286972.58900000004,CARROSSERIES CORNELLA SL_resum
2007,301136.85,n.d.,237318.65,36060.8,49197.75,n.d.,n.d.,162191.41,17577.87,53878.87,71456.73999999999,11500.65,173692.06,132347.14,237580.25,n.d.,12719.78,12719.78,829078.8600000001,10539.96,829558.3400000001,1000.75,n.d.,328451.43000000005,1137.6,327313.83,457071.08,11.0,n.d.,0,63626.59,96286.34,n.d.,n.d.,132286.09,301136.85,132286.09,n.d.,41159.09,30619.129,53878.87,n.d.,31619.88,-12719.78,1000.75,63626.59,565770.08,565770.08,310037.74,CARROSSERIES CORNELLA SL_resum
2006,323460.01,n.d.,240730.99,36060.8,37666.8,n.d.,n.d.,107948.71,16412.829999999998,41996.78,58409.61,9185.4,117134.11,100727.26,209124.69,n.d.,11964.5,11964.5,737041.38,9108.84,737043.11,305.28999999999996,25.24,341928.58,n.d.,341928.58,430819.33,9.0,n.d.,0,123596.87900000002,64666.459,n.d.,n.d.,158472.3,323460.01,158472.3,n.d.,30057.52,20948.68,41996.78,n.d.,21253.97,-11939.26,305.28999999999996,123596.88,582659.57,582659.57,267864.83,CARROSSERIES CORNELLA SL_resum
2005,318706.44,n.d.,198924.16,36060.8,23040.05,n.d.,n.d.,112040.89,15190.08,22119.23,37309.310000000005,30390.35,142431.24000000002,79473.29,171592.16,n.d.,11761.76,11761.76,586711.1,3364.27,586711.1,834.24,22.53,346394.41000000003,n.d.,346394.41000000003,335259.7,8.0,n.d.,0,56492.92,43412.489,n.d.,n.d.,147138.84,318706.44,147138.84,n.d.,10380.0,7015.73,22119.23,n.d.,7849.969999999999,-11739.23,834.24,56492.92,545318.57,545318.57,209758.24,CARROSSERIES CORNELLA SL_resum
2004,345774.6,n.d.,179824.37999999998,36060.8,22862.67,n.d.,n.d.,74848.79,15363.44,22810.39,38173.83,39402.28,114251.069,71623.32,163152.08,n.d.,12465.7,12465.7,513862.58,3213.9500000000003,513862.58,353.66,14.83,361584.4900000001,n.d.,361584.4900000001,269157.4,8.0,n.d.,0,65573.31,35562.52,n.d.,n.d.,124010.95,345774.6,124010.95,n.d.,10359.52,7145.57,22810.39,n.d.,7499.23,-12450.87,353.66,65573.31,541408.87,541408.87,201694.4,CARROSSERIES CORNELLA SL_resum
2003,240512.46,n.d.,147425.03,36060.8,12947.720000000001,n.d.,n.d.,76723.06,7014.63,14798.68,21813.31,28203.69,104926.75,64124.09,126291.07,n.d.,7284.06,7284.06,405773.1,2542.75,406511.44,899.38,61.839999999999996,307278.24,n.d.,305619.45,217909.02,7.0,n.d.,1658.789,42498.28,28063.289,n.d.,n.d.,150066.72,240512.46,150066.72,n.d.,7576.46,5033.71,14798.68,n.d.,5933.09,-7222.22,899.38,42498.28,454703.27,454703.27,149065.6,CARROSSERIES CORNELLA SL_resum
2002,111350.94,n.d.,106008.8,36060.8,11935.99,n.d.,n.d.,48817.27,9914.43,3577.58,13492.01,21193.960000000003,70011.23,58191.0,124629.71,n.d.,245.55,245.55,374713.53,2151.21,374713.92,818.3,22.439,100856.99,n.d.,99198.2,203191.56,7.0,n.d.,1658.79,35997.57,22130.199,n.d.,n.d.,37323.850000000006,111350.94,37323.850000000006,n.d.,3354.4700000000003,1203.259,3577.58,n.d.,2021.56,-223.11,818.3,35997.57,206865.79,206865.79,138962.46,CARROSSERIES CORNELLA SL_resum
2001,17185.780000000002,n.d.,112850.67,36060.87,17752.280000000002,n.d.,n.d.,50570.810000000005,12681.39,7409.91,20091.3,5034.75,55605.56,56169.44,131090.269,n.d.,297.8,297.8,430656.47,2173.24,430656.47,102.94000000000001,29.08,13006.03,n.d.,11347.240000000002,235568.06,7.0,n.d.,1658.79,57245.11,20108.57,n.d.,n.d.,52501.49,17185.780000000002,52501.49,n.d.,7141.1900000000005,4967.95,7409.91,n.d.,5070.89,-268.72,102.94000000000001,57245.11,125856.71,125856.71,151313.588,CARROSSERIES CORNELLA SL_resum
2000,23450.03,n.d.,95163.75,36060.73,24918.27,n.d.,n.d.,38193.380000000005,12614.58,18165.69,30780.269,17986.67,56180.049,51098.55,118365.01,n.d.,602.3599999999999,602.3599999999999,397931.74,5273,397931.74,n.d.,13.360000000000001,23640.9,n.d.,23640.9,205495.79,8.0,n.d.,0,38983.7,15037.82,n.d.,n.d.,44256.07,23450.03,44256.07,n.d.,17576.69,12303.689,18165.69,n.d.,12303.69,-589.0,n.d.,38983.7,118804.65,118804.65,149158.639,CARROSSERIES CORNELLA SL_resum
1999,38453.37,n.d.,79288.92,36060.73,15349.66,n.d.,n.d.,25179.25,14126.220000000001,2240.56,16366.779,30032.89,55212.14,39831.06,106081.88,n.d.,962.57,962.57,336213.5,54.57,336213.5,n.d.,0.02,36255.48,n.d.,36255.48,189100.19,7.0,n.d.,0,24076.78,3770.329,n.d.,n.d.,37259.98,38453.37,37259.98,n.d.,1278.01,1223.44,2240.56,n.d.,1223.44,-962.54,n.d.,24076.79,115544.4,115544.4,122448.68,CARROSSERIES CORNELLA SL_resum
