Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,226658.62,432308.79000000004,4103394.53,60120.0,531123.839,7335358.95,1230863.8690000002,1689516.58,62554.22,664294.8400000001,726849.059,1698523.11,2955730.9,3072144.33,1682063.33,n.d.,46835.66,46835.66,10173259.2,156169.87999999998,10184728.61,n.d.,7280.320000000001,1512134.6900000002,8424.9,1238218.65,7335358.95,32.0,-440457.27,265491.14,715354.8400000001,3012024.33,2185074.82,0,653553.61,226658.62,2316726.27,n.d.,624739.5,468569.62,664294.8400000001,2849369.659,468569.62,-39555.34,n.d.,708829.2,5615529.22,5615529.22,2416192.71,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2022,517485.44,675930.9600000001,4458541.05,60120.0,658664.69,6742685.88,1131032.779,1855565.4,57727.03,815232.9,872959.93,2200984.15,3380618.59,3130909.91,1601720.16,n.d.,18674.53,18674.53,9624136.55,200285.89,9638374.26,n.d.,4665.18,1481485.48,1230.1,1262037.98,6742685.88,29.0,-421008.29000000004,218217.4,401991.5,3070789.91,2080455.48,0,484667.44,517485.44,2291631.18,n.d.,801223.55,600937.66,815232.9,2895688.38,600937.66,-14009.349,n.d.,398073.63,5940026.53,5940026.53,2479345.2690000003,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2021,771779.99,515052.28,4077014.56,60120.0,499485.44,6584352.24,1016036.52,1651858.27,52340.24,656357.3200000001,708697.559,1628850.84,2765656.83,2680797.95,1438137.1900000002,n.d.,52130.86,17179.45,9087689.03,158336.07,9105261.26,n.d.,1254.81,1323033.1800000002,5194.67,1233303.16,6584352.24,27.0,-374074.27,84535.35,796305.4500000001,2620677.95,1864551.7,0,416381.0,771779.99,1947469.8,n.d.,605481.2699999999,447145.2,656357.3200000001,2520909.019,447145.2,-50876.05,n.d.,792821.97,5400047.74,5400047.74,2113138.15,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2020,698272.63,270903.2,3029875.75,60120.0,301268.17,5140460.14,529605.16,1391534.6800000002,56701.59,338242.41000000003,394944.0,1033567.24,2154198.719,2566141.05,1168799.75,n.d.,12905.62,12905.62,6997726.819999999,81101.12000000001,7021459.23,n.d.,330.91,1235296.35,7763.58,1178489.41,5140460.14,26.0,-317255.33900000004,49043.36,604773.8300000001,2506021.05,1542756.6800000002,0,200250.06,698272.63,1000758.42,n.d.,325667.7,244566.58,338242.41000000003,1880999.09,244566.58,-12574.71,n.d.,601116.8200000001,4265172.098999999,4265172.098999999,1564074.66,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2019,15481.62,435859.26,3077775.25,60120.0,182685.06,5345972.649999999,1354153.48,1602304.97,50559.24,183899.32,234458.56,1198087.59,2364533.3,2321574.47,1348427.34,n.d.,8390.27,8390.27,7318096.84,44097.32,7326248.38,n.d.,714.09,1229068.08,4892.56,1173382.24,5345972.649999999,27.0,-397389.83,50793.28,277382.69,2261454.469,1796376.41,0,179774.5,15481.62,1969787.24,n.d.,176223.14,132125.81999999998,183899.32,1980275.729,132125.81999999998,-7676.18,n.d.,273605.15,4306843.33,4306843.33,1583599.99,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2018,n.d.,99569.7,2907211.57,60120.0,340811.86,5334459.819999999,1636741.34,1602856.33,52901.66,380187.68,433089.339,1139691.35,2642977.98,2189448.65,1234909.39,n.d.,8690.57,8690.57,7340462.2,85817.93999999999,7344365.21,n.d.,2231.029,1244492.61,2128.63,1187603.92,5334459.819999999,27.0,-341906.66,54760.06,164663.88899999997,2129328.65,1629717.71,0,225944.49,n.d.,1962255.53,n.d.,373728.14,287910.2,380187.68,2009905.3890000002,287910.2,-6459.54,n.d.,159896.47,4151704.18,4151704.18,1670229.759,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2017,92122.3,172624.01,2886130.84,60120.0,319614.249,4875391.09,1675517.5,1491654.97,60880.36,310530.57,371410.93000000005,921030.32,2240061.2800000003,1953476.06,1078628.8,n.d.,8960.29,8960.29,6675808.28,86281.52,6678346.18,n.d.,43445.13,1250053.74,6850.14,1184985.7,4875391.09,25.0,-352915.36,58217.9,473445.55,1893356.06,1492424.52,0,242444.71,92122.3,2090586.22,n.d.,345015.41000000003,258733.889,310530.57,1802955.09,258733.889,34484.840000000004,n.d.,469645.48,4136184.58,4136184.58,1493484.86,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2016,147294.31,195070.37999999998,2576325.05,60120.0,297633.76900000003,4505099.95,1168704.1700000002,1362895.81,59576.61,324857.74,384434.35,825455.7699999999,1993281.2,1794742.1700000002,970469.55,n.d.,10619.75,10619.75,6233901.8,81279.25,6243044.818999999,n.d.,5098.42,995407.72,10712.42,920051.62,4505099.95,21.0,-383040.97000000003,64643.679,387973.47,1734622.1700000002,1413087.1300000001,0,265921.74,147294.31,1629696.29,n.d.,319336.41000000003,238057.159,324857.74,1737944.8690000002,238057.159,-5521.33,n.d.,384080.42,3571732.77,3571732.77,1360002.32,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2015,288659.24,58243.86,2590224.39,60120.0,366229.98,4607150.970000001,1265242.33,1340307.33,56922.24,354467.87,411390.11,809733.9500000001,2091797.42,1606685.01,948998.93,n.d.,13537.38,13537.38,6335577.71,106718.59,6339412.319999999,n.d.,75095.84,1016241.15,10991.37,937735.76,4607150.970000001,21.0,-371872.31,67514.019,440183.11,1546565.01,1377793.48,0,387635.1,288659.24,1711121.29,n.d.,416026.33,309307.74,354467.87,1732261.35,309307.74,61558.46,n.d.,395150.5,3606465.54,3606465.54,1435484.88,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
2014,519787.11,341525.27,2357151.4,60120.0,336843.09,4213701.98,862487.919,1111785.0,73092.58,364914.03,438006.61,738425.4,1508685.13,1337377.27,860766.97,n.d.,23515.74,23515.74,5877159.119999999,88716.04,5877899.649999999,n.d.,11068.26,1088577.31,12318.57,973105.01,4213701.98,18.0,-365424.09,103153.73,506941.0,1277257.27,1299283.6400000001,0,384551.14,519787.11,1588564.33,n.d.,352466.55,263750.51,364914.03,1664197.6700000002,263750.51,-12447.48,n.d.,347330.19,3445728.71,3445728.71,1309841.84,"COEVA GIRONA, SOCIEDAD ANONIMA_resum"
