Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,26970.84,73379.1,668171.64,60110.0,55648.39,690122.97,6601.120000000001,151163.12,14520.2,54797.43,69317.63,123023.58,200807.6,150076.47999999998,642716.6699999999,n.d.,414.08,414.08,1492546.51,13255.16,1492546.51,n.d.,0.0,81945.97,1939.83,75323.59,694803.9400000001,11.0,-90389.23999999999,4682.55,393984.94,89966.48,747626.11,163.78,492926.29,27134.62,572906.51,n.d.,54383.350000000006,41128.19,54797.43,802423.54,41128.19,-414.08,n.d.,389050.58,750117.61,750117.61,712034.2989999999,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2022,n.d.,73658.04,916895.4,60110.0,10412.189,998482.2899999999,n.d.,70025.43,13329.83,2175.65,15505.48,122508.52,118875.91,738948.2899999999,635285.12,n.d.,5905.860000000001,n.d.,1771695.61,-484.96999999999997,1771695.61,n.d.,327.6,47824.65,1262.6699999999998,41879.43,626215.74,13.0,-122422.72,4682.55,724361.4500000001,678838.2899999999,771037.6699999999,431.65000000000003,151682.07,431.65000000000003,225340.11,n.d.,-3402.61,-2917.64,2175.65,773213.3200000001,-2917.64,-5578.259,n.d.,720107.91,964720.05,964720.05,645212.3400000001,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2021,n.d.,126950.06,1305039.74,60110.0,66348.649,593552.92,n.d.,140214.34,17957.62,65353.8,83311.42,489799.32,503063.6,741865.93,540075.13,n.d.,726.11,n.d.,1322200.64,16236.66,1322200.64,n.d.,0.0,57078.05,n.d.,52702.64,750934.66,14.0,-105261.17000000001,4375.41,675026.08,681755.93,663293.92,1019,492282.8,1019,619232.8600000001,n.d.,64627.69,48391.03,65353.8,728647.7189999999,48391.03,-726.11,n.d.,189294.41,1362117.79,1362117.79,622660.4400000001,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2020,n.d.,92024.18000000001,1188209.73,60110.0,72393.48,630011.549,n.d.,119129.14,17774.920000000002,86852.14,104627.06,332552.53,359657.49000000005,693474.9,546852.15,n.d.,14027.39,1305.25,1389958.0,18206.19,1389958.0,n.d.,0.0,74899.53,134.41,70082.57,650054.2,15.0,-108467.239,4682.55,736528.059,633364.899,673094.31,1606.35,476003.83,1606.35,568028.01,n.d.,72824.75,54618.56,86852.14,759946.4500000001,54618.56,-14027.39,n.d.,732676.7,1263109.26,1263109.26,638757.07,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2019,n.d.,128127.26,1569141.48,60110.0,205554.11,676470.039,n.d.,129797.27,17504.74,207159.65,224664.389,313157.06,314827.07,1013856.34,526585.22,n.d.,0.0,n.d.,1510667.1800000002,62722.53,1510667.1800000002,n.d.,43612.25,91730.63,80.71000000000001,86967.37000000001,737734.59,15.0,-82947.53,4682.55,1126187.15,953746.34,627037.489,1477.22,517411.29,1477.22,645538.55,n.d.,250771.9,188049.37,207159.65,834197.14,188049.37,43612.25,n.d.,1122659.64,1660872.11,1660872.11,794861.8600000001,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2018,n.d.,137016.74000000002,2172217.76,60110.0,188830.919,886766.3600000001,n.d.,186607.63,10173.78,277073.98000000004,287247.76,251278.2,300869.09,1825806.97,475544.1,n.d.,37026.27,108.24000000000001,1743613.65,61390.57,1743613.65,n.d.,0.0,116956.96,n.d.,103044.9,860367.09,14.0,-94055.43,13912.06,1734331.93,1765696.97,579773.31,889.87,325461.14,889.87,462477.88,n.d.,240047.71,178657.139,277073.98000000004,856847.2889999999,178657.139,-37026.27,n.d.,767819.4,2289174.72,2289174.72,725873.8300000001,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2017,n.d.,147616.97999999998,2455814.18,60110.0,241882.129,871601.3500000001,n.d.,158586.06,8915.359999999999,288731.21,297646.57,277320.31,288289.39,2017549.83,457327.11,n.d.,0.0,n.d.,1717370.11,71418.14,1717370.11,n.d.,15653.7,56483.58,n.d.,51833.58,800872.3200000001,12.0,-90795.08,4650.0,2019907.81,1957439.829,557037.55,302.52,346828.43000000005,302.52,494445.41,n.d.,304384.91000000003,232966.769,288731.21,845768.76,232966.769,15653.7,n.d.,1017210.57,2512297.76,2512297.76,770627.38,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2016,n.d.,198047.2,2598699.86,60110.0,156477.669,453148.40900000004,n.d.,232127.1,3710.47,130691.21,134401.68,348528.24,382608.139,1882204.74,437388.35,n.d.,0.0,n.d.,1108661.81,800.23,1108661.81,n.d.,22876.22,48980.01,n.d.,46065.28,682255.8300000001,11.0,-83723.37100000001,2914.73,2018044.52,1822094.74,524822.191,0,567427.93,n.d.,765475.13,n.d.,153567.43,152767.199,130691.21,655513.4,152767.199,22876.22,n.d.,785239.05,2647679.87,2647679.87,594666.25,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2015,864.63,74816.25,2476044.61,60110.0,-20588.24,583843.59,n.d.,102869.04,7514.660000000001,-48295.1,-40780.44,119674.36,147727.15,1729437.54,426049.09,n.d.,5514.63,n.d.,1071201.6790000002,-1378.6599999999999,1071201.6790000002,n.d.,24328.17,4123.42,n.d.,2744.76,488795.09,12.0,-102089.43999999999,1378.66,2253501.21,1669327.54,535653.19,0,675049.61,864.63,749865.8600000001,n.d.,-29481.56,-28102.9,-48295.1,487358.08900000004,-28102.9,18813.539,n.d.,733501.21,2480168.03,2480168.03,404082.19,COMERCIAL CYP SOCIEDAD ANONIMA_resum
2014,n.d.,91286.35,2576680.63,60110.0,-28734.059,691567,n.d.,64505.46,10229.22,-65563.52,-55334.3,213990.42,187209.53,1757540.44,420506.72,n.d.,0.0,n.d.,1226014.63,n.d.,1226014.63,n.d.,26600.24,13865.42,n.d.,10259.42,699856.53,12.0,-169275.211,3606.0,2298184.75,1697430.44,600011.1510000001,0,741719.26,n.d.,833005.61,n.d.,-38963.28,-38963.28,-65563.52,534447.629,-38963.28,26600.24,n.d.,734881.8200000001,2590546.05,2590546.05,391772.659,COMERCIAL CYP SOCIEDAD ANONIMA_resum
