Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,11372.130000000001,26935.59,186595.37,3005.06,18619.798000000003,870498.49,11472.47,113468.66,16708.187,4249.99,20958.178,40052.350000000006,126585.42,123430.91,559298.3600000001,n.d.,777.72,777.72,1498332.36,1560.6599999999999,1519933.3,n.d.,0,65085.45,n.d.,53818.310000000005,870498.49,16.0,-69178.269,11267.140000000001,33074.36,120425.85,645184.8180000001,0,78469.72,11372.130000000001,116877.78,n.d.,3472.27,1911.61,4249.99,649434.81,1911.61,-777.72,n.d.,20960.41,251680.82,251680.82,580256.5380000001,CONSTRUCCIONES ESTRAGUES SL_resum
2022,22425.41,51489.759999999995,203743.93,3005.06,33694.6,535306.16,11351.31,109713.78,17564.39,24561.54,42125.93,12715.240000000002,70939.26,121519.3,484393.59,n.d.,2633.02,2633.02,1132649.6800000002,5798.31,1137149.6800000002,n.d.,0,69518.26,n.d.,56935.24,535306.16,14.0,-75324,12583.02,81314.90999999999,118514.239,577281.98,0,66476.40999999999,22425.41,129317.48,n.d.,21928.52,16130.21,24561.54,601843.519,16130.21,-2633.02,n.d.,71443.83,273262.19,273262.19,526519.52,CONSTRUCCIONES ESTRAGUES SL_resum
2021,34674.71,20168.89,109617.51,3005.06,6532.21,379594.17,11860.140000000001,53087.1,13397.99,-3269.84,10128.15,18420.5,51338.71,105389.09,534101.3600000001,n.d.,3547.9,3547.9,986692.76,48.04,987532.76,n.d.,0,95121.96,n.d.,76740.63,379594.17,15.0,-63709.08,18381.329999999998,38109.91,102384.03,611208.43,0,32646.64,34674.71,64675.67,n.d.,-6817.74,-6865.78,-3269.84,607938.59,-6865.78,-3547.9,n.d.,29548.38,204739.47,204739.47,544229.51,CONSTRUCCIONES ESTRAGUES SL_resum
2020,15433.4,24202.38,128457.64,3005.06,17473.058999999997,242310.84999999998,13115.240000000002,103840.63,11403.64,8963.91,20367.55,15333.55,94971.8,112254.87,419221.78,n.d.,871.3499999999999,871.3499999999999,735011.6,2023.1399999999999,735011.6,n.d.,0,72702.56,n.d.,54273.19,242310.85,14.0,-53111.42,18429.37,9283.46,109249.81,483736.83999999997,0,36154.310000000005,15433.4,73471.93,n.d.,8092.56,6069.42,8963.91,492700.75,6069.42,-871.3499999999999,n.d.,3367.75,201160.2,201160.2,439589.33,CONSTRUCCIONES ESTRAGUES SL_resum
2019,3068.19,38995.68,159171.37,3005.06,-2861.969,371666.83,32428.04,131907.51,8441.58,-9852.36,-1410.78,22791.22,115703.05,106185.45,496943.8,n.d.,1451.1899999999998,1451.1899999999998,939788.64,n.d.,939788.64,n.d.,0,61126.95,n.d.,40674.44,371666.83,14.0,-72588.79,20452.51,4472.64,103180.39,577974.169,0,39620.96,3068.19,111044.68,n.d.,-11303.55,-11303.55,-9852.36,568121.81,-11303.55,-1451.1899999999998,n.d.,3367.75,220298.32,220298.32,495533.02,CONSTRUCCIONES ESTRAGUES SL_resum
2018,4063.4900000000002,23298.29,132790.32899999997,3005.06,11045.28,131637.98899999997,4020.2599999999998,81439.61,8633.1,5034.29,13667.39,25729.3,83870.62000000001,117489.0,316408.26,n.d.,1818.05,1818.05,517428.26,804.06,517428.26,n.d.,0,60959.15,n.d.,40506.64,131637.98899999997,10.0,-55714.619999999995,20452.51,25621.420000000002,114483.94,380755.98000000004,0,44878.44,4063.4900000000002,72196.98999999999,n.d.,3216.24,2412.18,5034.29,385790.271,2412.18,-1818.05,n.d.,23945.09,193749.48,193749.48,330075.649,CONSTRUCCIONES ESTRAGUES SL_resum
2017,8083.72,5379.79,108775.68,3005.06,11480.99,261180.05,29982.88,89527.53,7003.1900000000005,5330.3,12333.49,17279.82,101427.56,115076.82,279309.41000000003,n.d.,852.5,852.5,604553.56,n.d.,604806.56,n.d.,0,69509.31,n.d.,48252.74,261180.05,8.0,-51983.61,21256.57,1968.33,112071.76,338296.21,0,19761.78,8083.72,55124.45,n.d.,4477.8,4477.8,5330.3,343626.51,4477.8,-852.5,n.d.,225.29,178284.99,178284.99,291642.89900000003,CONSTRUCCIONES ESTRAGUES SL_resum
2016,3276.4100000000003,24809.38,98962.12,3005.06,10272.68,155273.44999999998,4135.08,27978.56,7485.820000000001,3846.51,11332.33,44779.82,47949.0,110599.02,224037.72,n.d.,750.0,750.0,418657.16,309.65000000000003,418657.16,n.d.,0,58744.83,n.d.,37488.26,155273.44999999998,7.0,-28013.66,21256.57,26203.74,107593.96,259537.2,0,14887.06,3276.4100000000003,43831.52,n.d.,3096.51,2786.86,3846.51,263383.70900000003,2786.86,-750.0,n.d.,24051.809999999998,157706.94999999998,157706.94999999998,235370.05,CONSTRUCCIONES ESTRAGUES SL_resum
2015,7411.49,13194.88,94294.39,3005.06,10329.61,138341.99,20743.960000000003,39513.05,8995.09,2029.11,11024.2,54779.82,81097.989,107812.16,202101.64,n.d.,1552.23,1080.9,378164.51,-857.64,378164.51,n.d.,0,66230.649,n.d.,44974.08,138341.99,6.0,-26696.68,21256.57,1.52,104807.1,237793.41,0,11362.55,7411.49,45301.39,n.d.,476.88,1334.52,2029.11,239822.52,1334.52,-1552.23,n.d.,1.52,160525.04,160525.04,212654.51,CONSTRUCCIONES ESTRAGUES SL_resum
2014,n.d.,20811.35,112385.46,3005.06,17149.16,179880.21000000002,23955.760000000002,57343.37,6571.57,11750.38,18321.949,54779.82,91311.84,106477.64,176441.84999999998,n.d.,315.15000000000003,315.15000000000003,424076.71,857.64,424076.71,n.d.,0,61439.25,n.d.,40182.68,179880.21000000002,6.0,-49432.7,21256.57,262.27,103472.58,232446.12,0,22579.960000000003,n.d.,67347.07,n.d.,11435.23,10577.59,11750.38,244196.5,10577.59,-315.15000000000003,n.d.,262.27,173824.71000000002,173824.71000000002,194763.8,CONSTRUCCIONES ESTRAGUES SL_resum
2013,n.d.,27896.43,91366.65,3005.06,13163.8,67217.67000000001,17057.558999999997,5378.8,7123.120000000001,9169.44,16292.56,77029.82,54512.19,95900.05,111453.9,n.d.,3128.76,3128.76,226980.16,n.d.,226980.16,n.d.,0,68010.82,n.d.,46754.25,67217.67000000001,3.0,-32016.03,21256.57,8958.029,92894.989,150593.05,0,18523.43,n.d.,63477.42,n.d.,6040.68,6040.68,9169.44,159762.49,6040.68,-3128.76,n.d.,1072.75,159377.47,159377.47,127746.459,CONSTRUCCIONES ESTRAGUES SL_resum
2012,10310.19,39406.48,106784.24,3005.06,-819.07,73628.39,27500,27342.78,6275.429999999999,-9319.69,-3044.26,77029.82,64966.12,89859.37000000001,151527.43,n.d.,3071.18,3071.18,n.d.,-5296.37,263332.07,n.d.,0,74431.88,756.87,52418.44,73628.39,4.0,-41220.51,21256.57,2411.64,86854.31,199023.37,0,14140.08,10310.19,81046.56,n.d.,-12390.87,-7094.5,-9319.69,189703.68,-7094.5,-3071.18,n.d.,n.d.,181216.12,181216.12,148483.169,CONSTRUCCIONES ESTRAGUES SL_resum
2011,7739.860000000001,32412.920000000002,93313.27,3005.06,-39444.66,99818.7,n.d.,36282.5,8435.94,-57189.47,-48753.53,57029.82,60899.4,96953.87,220934.44,n.d.,6651.33,6651.33,n.d.,-15960.2,309328.4,n.d.,0,77167.72,756.87,60450.65,142408.7,7.0,-37328.78999999999,15960.2,0.9500000000000001,93948.81,266699.169,0,33374.339,7739.860000000001,65787.259,n.d.,-63840.8,-47880.6,-57189.47,209509.7,-47880.6,-6651.33,n.d.,n.d.,170480.99,170480.99,172180.91,CONSTRUCCIONES ESTRAGUES SL_resum
2010,7739.860000000001,28283.309999999998,168052.25,3005.06,14204.849,391748.67,2190.3,71201.33,6246.31,11690.81,17937.12,96850.92,139768.94,144834.47,299719.7,n.d.,1081.52,1081.52,n.d.,2652.8500000000004,750518.24,n.d.,2.1,35589.68,n.d.,35589.68,391748.67,11.0,-41112.75,n.d.,n.d.,141829.41,347078.76,0,20593.989,7739.860000000001,51067.6,n.d.,10611.39,7958.539,11690.81,358769.57,7958.539,-1079.42,n.d.,n.d.,203641.93,203641.93,317658.92000000004,CONSTRUCCIONES ESTRAGUES SL_resum
2009,n.d.,85291.34,218659.32,3005.06,18095.93,761569.3400000001,n.d.,141108.4,6726.41,15601.44,22327.85,77550.92,133367.97999999998,136875.93,292802.89,n.d.,445.4,445.4,n.d.,3789.84,1115281.24,n.d.,3.32,29853.23,n.d.,29853.23,761569.3400000001,9.0,-38581.159999999996,n.d.,n.d.,133870.87,338110.46,0,26345.28,n.d.,111636.62,n.d.,15159.36,11369.52,15601.44,353711.9,11369.52,-442.08,n.d.,n.d.,248512.55,248512.55,315134.06,CONSTRUCCIONES ESTRAGUES SL_resum
2008,n.d.,23885.91,123930.94,3005.06,21890.019,276444.18,n.d.,31266.05,6878.44,20700.56,27579.0,62172.0,69552.14,125506.41,364003.74,n.d.,694.47,694.47,n.d.,5003.860000000001,708417.23,n.d.,9.350000000000001,36579.64,n.d.,36579.64,276444.18,12.0,-40390.310000000005,n.d.,30492.89,122501.35,411272.49000000005,0,11118.26,n.d.,35004.17,n.d.,20015.44,15011.579,20700.56,431973.05,15011.579,-685.12,n.d.,30492.89,160510.58,160510.58,391592.089,CONSTRUCCIONES ESTRAGUES SL_resum
2007,4432.429999999999,n.d.,132737.75,3005.06,27133.8,n.d.,n.d.,84895.18000000001,10896.42,23328.44,34224.86,40000.0,124895.18,110494.83,391056.84,n.d.,1695.14,1695.14,n.d.,5412.46,905969.25,n.d.,16.54,41428.08,n.d.,41428.08,447330.69,11.0,n.d.,0,7842.57,107489.77,n.d.,n.d.,59238.57,4432.429999999999,59238.57,n.d.,21649.84,16237.38,23328.44,n.d.,16237.38,-1678.6,n.d.,7842.57,174165.83,174165.83,425298.24,CONSTRUCCIONES ESTRAGUES SL_resum
2006,8628.220000000001,n.d.,114295.549,3005.06,24104.989,n.d.,n.d.,48324.22,8593.710000000001,24810.22,33403.93,46000.0,94324.22,94257.45,320121.07,n.d.,2889.42,2889.42,n.d.,6647.6900000000005,929780.28,226.94,11.229999999999999,51232.26,18482.1,32750.16,539501.65,16.0,n.d.,0,19971.328999999998,91252.39,n.d.,n.d.,62642.14,8628.220000000001,62642.14,n.d.,21932.03,15284.34,24810.22,n.d.,15511.28,-2878.19,226.94,19779.21,165527.81,165527.81,353763.17,CONSTRUCCIONES ESTRAGUES SL_resum
2005,19244.36,n.d.,149808.47,3005.06,21791.87,n.d.,n.d.,92871.91,9076.94,20895.25,29972.19,34900.0,127771.91,78746.17000000001,329910.12,n.d.,2737.25,2737.25,n.d.,5449.26,628691.56,n.d.,6.1899999999999995,48217.1,24547.7,23669.4,232331.42,15.0,n.d.,0,22036.558999999997,75741.11,n.d.,n.d.,100035.04,19244.36,100035.04,n.d.,18164.19,12714.929,20895.25,n.d.,12714.93,-2731.06,n.d.,21638.309999999998,198025.57,198025.57,359888.5,CONSTRUCCIONES ESTRAGUES SL_resum
