Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,103148.05,118641.3,377928.93000000005,3005.06,64535.22,493485.06,1328.8,49322.5,27432.88,52509.96,79942.84,150830.66,81511.86,863312.81,248919.47,n.d.,4325.110000000001,4325.110000000001,911402.58,11082.51,939284.98,n.d.,0,1328352.51,n.d.,880239.24,493485.06,8,-116937.61,448113.26900000003,177775.77000000002,860307.75,393289.96,6298.98,613551.5,109447.03,733521.6,n.d.,48184.850000000006,37102.34,52509.96,445799.92000000004,37102.34,-4325.110000000001,n.d.,83920.06,1706281.44,1706281.44,328862.31,CONSTRUCCIONS MAESAR SL_resum
2022,103148.05,169251.05,317172.8,3005.06,28023.63,310129.96,11172.59,21428.5,27704.83,2195.03,29899.86,150830.66,3008.11,826210.47,378663.08,n.d.,1783.6799999999998,1783.6799999999998,775549.23,92.55,834903.059,n.d.,0,1356727.1700000002,n.d.,900192.12,310129.96,11,-116210.16100000001,456535.05,144913.639,823205.41,522578.071,7852.2,556265.61,111000.25,736689.25,n.d.,411.35,318.8,2195.03,524773.0989999999,318.8,-1783.6799999999998,n.d.,113069.93,1673899.97,1673899.97,408562.94,CONSTRUCCIONS MAESAR SL_resum
2021,114320.64,182642.83,316301.06,3005.06,28754.899,238719.12,26997.4,35111.16,26123.16,3983.68,30106.84,151563.47,4031.8,825891.6699999999,380902.85,n.d.,1922.12,1922.12,556518.4500000001,-570.08,610570.4400000001,n.d.,0.1,1274136.86,n.d.,814921.81,254669.13,12,39158.369,459215.05,129626.43,822886.61,367867.639,8349.42,432235.959,122670.06,641876.19,n.d.,2061.659,2631.739,3983.68,371851.319,2631.739,-1922.02,n.d.,51263.77,1590437.92,1590437.92,411009.788,CONSTRUCCIONS MAESAR SL_resum
2020,127187.95999999999,58552.52,442163.63,3005.06,60660.359,99102.29,50520.11,49357.66,17240.37,71588.85,88829.22,134880.65,125685.79,823259.93,325878.01,n.d.,2440.8700000000003,2440.8700000000003,636454.43,25727.99,693153.47,n.d.,0,1078082.75,n.d.,819552.14,99102.29,11,-179343.94999999998,258530.61000000002,257925.32,820254.87,522462.33,9246.97,451478.89,136434.93,560551.52,n.d.,69147.98,43419.989,71588.85,594051.1799999999,43419.989,-2440.8700000000003,n.d.,181915.3,1520246.38,1520246.38,414707.23,CONSTRUCCIONS MAESAR SL_resum
2019,141533.53,52749.340000000004,375395.76,3005.06,58780.310000000005,61547.37,30858.67,12196.07,15210.04,74425.28,89635.32,133776.75,93223.48,438518.77,516210.48,n.d.,6450.27,6450.27,836722.8300000001,24424.82,905186.58,n.d.,20.08,1094124.77,n.d.,832114.16,62138.01,17,-237793.41,262010.61000000002,229422.94,435513.71,769213.93,7414.04,798446.1799999999,148947.57,882054.19,n.d.,67995.09,43570.27,74425.28,843639.21,43570.27,-6430.1900000000005,n.d.,153412.91999999998,1469520.53,1469520.53,605865.88,CONSTRUCCIONS MAESAR SL_resum
2018,147334.61000000002,16299.39,315999.8,3005.06,51644.979,32721.9,52974.55,114091.16,13681.87,68254.2,81936.069,133186.109,230977.879,394948.5,463947.4,n.d.,2389.49,2389.49,653819.54,27905.32,707252.51,n.d.,3.72,1113312.01,n.d.,887261.4,32721.9,14,-128647.14,226050.61000000002,68722.53,391943.44,606276.41,4971.56,812783.2,152306.17,882057.14,n.d.,65868.429,37963.109,68254.2,674530.61,37963.109,-2385.77,n.d.,7367.02,1429311.81,1429311.81,545887.1889999999,CONSTRUCCIONS MAESAR SL_resum
2017,158020.41999999998,19385.38,432982.65,3005.06,-896.3689999999999,6780.339,n.d.,88428.67000000001,18439.79,-1561.05,16878.74,242152.66,311195.95,354025.91000000003,528814.2699999999,n.d.,12802.91,12802.91,644801.41,4972.2,706504.97,n.d.,0,964486.63,n.d.,748566.63,73168.0,18,-154031.62,215920,102401.32,351020.85,701285.6799999999,2181.03,863856.54,160201.44999999998,883241.92,n.d.,-14363.96,-19336.16,-1561.05,699724.63,-19336.16,-12802.91,n.d.,n.d.,1397469.28,1397469.28,545693.01,CONSTRUCCIONS MAESAR SL_resum
2016,179035.27000000002,3069.3100000000004,651044.3500000001,3005.06,37371.25,42383.05,n.d.,154916.76,23506.52,33772.71,57279.22899999999,329765,481612.45,382850.04,631864.54,n.d.,16289.46,15189.86,828396.1699999999,3618.52,853129.53,n.d.,0,827155.7,n.d.,821334.8400000001,42383.05,24,-121602.70999999999,5820.860000000001,166362.59,379844.98,776973.7699999999,1683.81,911561.62,180719.08,914630.93,n.d.,17483.25,13864.73,33772.71,810746.48,13864.73,-16289.46,n.d.,9698.359999999999,1478200.05,1478200.05,688044.1699999999,CONSTRUCCIONS MAESAR SL_resum
2015,221201.51,92571.43,1001520.99,3005.06,-198126.17,789414.1,n.d.,488548.25,27028.980000000003,-197250.73,-170221.75,329765,725741.8200000001,368985.31,895430.25,n.d.,20505.719,18295.44,1847695.56,7398.7,1871740.74,n.d.,0,257890.23,n.d.,257890.23,789414.1,31,-357118.13999999996,n.d.,183207.74,365980.25,1279577.37,6560.73,570092.24,227762.24000000002,662663.6699999999,n.d.,-217756.45,-225155.15,-197250.73,1082326.6400000001,-225155.15,-20505.719,n.d.,182305.97,1259411.22,1259411.22,722998.22,CONSTRUCCIONS MAESAR SL_resum
2014,244006.9,99901.65000000001,1301825.55,3005.06,-69362.2,161091.21000000002,n.d.,351470.78,27467.66,-82362.17000000001,-54894.509,949453,1201022.13,594140.4600000001,631125.37,n.d.,15503.13,15024.75,938315.96,3175.4500000000003,955115.96,n.d.,4210.89,284221.69,n.d.,284221.69,161091.21000000002,22,-217793.88999999998,n.d.,901.77,591135.4,876386.92,5820.860000000001,642177.37,249827.76,742079.02,n.d.,-93654.41,-96829.86,-82362.17000000001,794024.75,-96829.86,-11292.239,n.d.,n.d.,1586047.24,1586047.24,579963.37,CONSTRUCCIONS MAESAR SL_resum
