Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,220.04,204225.57,91798.59,n.d.,9704,n.d.,12323.16,n.d.,8547.97,8547.97,79516.45999999999,91619.58,214193.76,n.d.,n.d.,0.0,n.d.,24260.0,2582.6,24260.0,n.d.,0.0,27514.68,3739.19,18526.58,9704.0,n.d.,-6008.03,5248.91,112385.95,122395.17,6008.03,0,17326.45,n.d.,17546.49,n.d.,8547.97,5965.369000000001,8547.97,14556,5965.369000000001,0.0,n.d.,109107.03,231740.25,231740.25,8547.97,CONTRACT & CUSTOM SA._resum
2022,n.d.,206.8,195448.77,91798.59,n.d.,7234.120000000001,n.d.,8741.56,n.d.,18919.3,18919.3,89220.45999999999,97755.22,208228.39,n.d.,n.d.,132.4,132.4,18085.3,4069.67,18085.3,n.d.,0.0,30097.28,3739.19,18526.58,7234.120000000001,n.d.,8068.120000000001,7831.51,97486.75,116429.8,-8068.120000000001,0,17110.86,n.d.,17317.66,n.d.,18786.9,14717.23,18919.3,10851.18,14717.23,-132.4,n.d.,94207.83,225546.05,225546.05,18919.3,CONTRACT & CUSTOM SA._resum
2021,n.d.,196.02,164579.69,91798.59,n.d.,7166.42,n.d.,6714.81,n.d.,5491.83,5491.83,96454.58,102973.37,193511.16,n.d.,n.d.,173.86,173.86,17916.05,6029.14,17916.05,n.d.,0.0,46060.15,3739.19,30419.78,7166.42,n.d.,-5257.8,11901.18,61410.29899999999,101712.57,5257.8,0,16932.66,n.d.,17128.68,n.d.,5317.969999999999,-711.1700000000001,5491.83,10749.630000000001,-711.1700000000001,-173.86,n.d.,58131.380000000005,210639.84,210639.84,5491.83,CONTRACT & CUSTOM SA._resum
2020,n.d.,n.d.,159143.47999999998,91798.59,n.d.,5760.6,n.d.,8935.16,n.d.,4746.0,4746.0,103621.0,112556.16,194222.33,n.d.,n.d.,56.7,56.7,14401.5,6914.18,14401.5,n.d.,0.0,52089.28999999999,3739.19,30419.78,5760.6,n.d.,-3894.9,17930.32,46587.32,102423.739,3894.9,0,17010.440000000002,n.d.,17010.440000000002,n.d.,4689.3,-2224.88,4746.0,8640.9,-2224.88,-56.7,n.d.,43308.4,211232.77,211232.77,4746.0,CONTRACT & CUSTOM SA._resum
2019,n.d.,302.5,154946.34999999998,91798.59,n.d.,4871.5,n.d.,9604.83,n.d.,1285.62,1285.62,109381.6,118683.93,196447.21,n.d.,n.d.,18.3,18.3,12178.75,17451.39,12178.75,n.d.,0.0,59003.47,3739.19,30419.78,2700.42,n.d.,-6021.63,24844.5,35959.92,104648.62,6021.63,0,17200.109999999997,n.d.,17502.609999999997,n.d.,1267.32,-16184.07,1285.62,7307.25,-16184.07,-18.3,n.d.,32681.0,213949.82,213949.82,1285.619,CONTRACT & CUSTOM SA._resum
2018,n.d.,n.d.,152946.6,91798.59,n.d.,3514.12,n.d.,6714.81,n.d.,2454.25,2454.25,114253.1,120967.91,212631.28,n.d.,n.d.,0.0,n.d.,8785.3,n.d.,8785.3,n.d.,0.0,76454.86,3739.19,30419.78,3514.12,n.d.,-2816.9300000000003,42295.89,31978.69,120832.69,2816.9300000000003,0,16770.18,n.d.,16770.18,n.d.,2454.25,2454.25,2454.25,5271.179,2454.25,0.0,n.d.,28681.32,229401.46,229401.46,2454.25,CONTRACT & CUSTOM SA._resum
2017,n.d.,171.82000000000002,150787.44,91798.59,n.d.,3157.64,n.d.,9080.97,n.d.,1908.51,1908.51,117767.22,126676.37,210177.03,n.d.,n.d.,0.0,n.d.,7894.1,n.d.,7894.1,n.d.,0.0,76454.86,3739.19,30419.78,3157.64,n.d.,-2827.9500000000003,42295.89,23939.25,118378.439,2827.9500000000003,0,16893.45,n.d.,17065.27,n.d.,1908.51,1908.51,1908.51,4736.46,1908.51,0.0,n.d.,20641.88,227242.3,227242.3,1908.51,CONTRACT & CUSTOM SA._resum
2016,n.d.,169.4,148547.55,91798.59,n.d.,3382.4,n.d.,7416.610000000001,n.d.,5446.48,5446.48,120924.86,128172.07,208268.52,n.d.,n.d.,5.15,5.1499999999999995,11456.0,n.d.,11456.0,n.d.,0.0,76454.86,3739.19,30419.78,3382.4,n.d.,-2627.12,42295.89,20206.079,116469.93,2627.12,0,16564.49,n.d.,16733.89,n.d.,5441.33,5441.33,5446.48,8073.6,5441.33,-5.15,n.d.,16908.71,225002.41,225002.41,5446.48,CONTRACT & CUSTOM SA._resum
2015,n.d.,7524.7699999999995,151708.8,91798.59,n.d.,23137.14,n.d.,9247.44,n.d.,13343.89,13343.89,124307.26,126029.929,202827.19,n.d.,n.d.,27.68,27.68,39721.86,13833.43,39771.86,n.d.,0.0,76454.86,3739.19,30419.78,23137.14,n.d.,-3290.8300000000004,42295.89,18154.1,111028.6,3290.8300000000004,0,17811.7,n.d.,25336.47,n.d.,13316.21,-517.22,13343.89,16634.72,-517.22,-27.68,n.d.,14856.73,228163.66,228163.66,13343.89,CONTRACT & CUSTOM SA._resum
2014,n.d.,38106.689999999995,169160.69,91798.59,28250.6,44029.450000000004,n.d.,11206.57,2.23,32350.13,32352.36,134229.26,107329.14,203344.41,n.d.,n.d.,33.09,33.09,78667.76,4068.67,79738.76,n.d.,0.0,90288.29,3739.19,30419.78,44029.45,n.d.,-3356.9500000000003,56129.32,23724.86,111545.819,3359.18,0,17997.88,n.d.,56104.57,n.d.,32317.04,28248.37,32350.13,35709.310000000005,28248.37,-33.09,n.d.,20409.23,259448.98,259448.98,32352.36,CONTRACT & CUSTOM SA._resum
