Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,134802.55,53363.61,418031.38,26444.0,-3034.57,591688.11,n.d.,65178.83,11154.72,-16126.64,-4971.92,195582.98,207398.2,243948.09,595558.7799999999,n.d.,2792.42,2792.42,1525633.52,-4729.77,1543319.29,n.d.,0,200754.94,29917.49,149796.97999999998,591688.11,14.0,-361044.32,21040.47,157269.57,217504.09,967757.8200000001,0,186672.07,134802.55,240035.68,n.d.,-18919.06,-14189.29,-16126.64,951631.1799999999,-14189.29,-2792.42,n.d.,269.06,618786.3200000001,618786.3200000001,590586.8600000001,CREACIONES ARTESANAS SL_resum
2022,174191.46,68235.87000000001,566901.1699999999,26444.0,22077.69,682033.1799999999,n.d.,147311.83,28478.35,-6169.31,22309.039,178817.97999999998,257893.94,258137.38,582817.62,n.d.,2954.9100000000003,2954.9100000000003,1586707.57,-2133.56,1603624.73,n.d.,590,158448.3,37396.850000000006,113740.75,682033.1799999999,16.0,-316464.89,7310.7,240771.36,231693.38,927760.8600000001,0,224784.759,174191.46,293020.63,n.d.,-8534.220000000001,-6400.660000000001,-6169.31,921591.549,-6400.660000000001,-2364.9100000000003,n.d.,410.36,725349.47,725349.47,605716.66,CREACIONES ARTESANAS SL_resum
2021,201133.13,69416.01,581065.39,26444.0,24222.85,540191.61,n.d.,157722.47,28954.26,-3303.8100000000004,25650.449,185903.11,274209.569,264538.03900000005,515592.15,n.d.,3004.74,3004.74,1320130.84,-1577.14,1337453.01,n.d.,0,184793.09,58886.4,120729.55,540191.61,14.0,-256018.8,5177.14,237439.81,238094.04,800565.21,0,230771.3,201133.13,300187.31,n.d.,-6308.55,-4731.41,-3303.8100000000004,797261.4,-4731.41,-3004.74,n.d.,817.2900000000001,765858.48,765858.48,541242.6,CREACIONES ARTESANAS SL_resum
2020,201133.13,46458.67,490759.09,26444.0,34219.659,436598.79000000004,n.d.,132642.23,28954.26,9443.44,38397.7,157572.25,243755.81,273869.45,436689.8,n.d.,2422.9100000000003,2422.9100000000003,1083025.08,1755.13,1097574.57,n.d.,0,163693.99,58886.4,104807.59,436598.79,12.0,-185888.28,n.d.,200544.61,247425.45,651532.3400000001,0,132991.82899999997,201133.13,179450.5,n.d.,7020.53,5265.4,9443.44,660975.7799999999,5265.4,-2422.9100000000003,n.d.,197749.51,654453.08,654453.08,475087.5,CREACIONES ARTESANAS SL_resum
2019,5527,67661.01,345442.26,26444.0,21023.85,571336.43,n.d.,130455.14,13519.3,10693.86,24213.16,181566.94,244361.07,268604.05,518094.27,n.d.,687.7900000000001,687.7900000000001,1366843.39,2501.52,1367031.66,n.d.,0,192568.25,58886.4,133681.84999999998,583018.56,13.0,-253387.8,n.d.,33420.18,242160.05,785001.37,0,196218.449,5527,263879.46,n.d.,10006.07,7504.549,10693.86,795695.2289999999,7504.549,-687.7900000000001,n.d.,457.58,538010.51,538010.51,542307.43,CREACIONES ARTESANAS SL_resum
2018,5527,57129.48,377901.63,26444.0,23077.45,532416.03,4180.029,118731.5,8438.9,20943.32,29382.22,153752.34,215354.359,261099.5,583953.61,n.d.,1186.58,1186.58,1378139.78,5118.1900000000005,1378546.36,n.d.,0,144750.55,n.d.,144747.55,533316.2799999999,21.0,-232794.5,3,105417.79,234655.5,825187.01,0,194716.169,5527,256025.68,n.d.,19756.74,14638.55,20943.32,846130.3300000001,14638.55,-1186.58,n.d.,102626.1,522652.18,522652.18,613335.8300000001,CREACIONES ARTESANAS SL_resum
2017,9707.03,71951.29,420885.79,26444.0,32908.19899999999,548631.88,6893.6,135702.19,7432.63,36119.09,43551.719,154216.34999999998,217967.25,246460.95,587654.52,n.d.,1957.0,1957.0,1410938.73,8686.52,1411385.06,n.d.,0,151561.81999999998,n.d.,151558.81999999998,558968.3600000001,16.0,-231546.94,3,130967.25,220016.95,826634.09,0,237434.74,9707.03,316279.63,n.d.,34162.09,25475.569,36119.09,862753.1799999999,25475.569,-1957.0,n.d.,128218.16,572447.61,572447.61,631206.24,CREACIONES ARTESANAS SL_resum
2016,2917.02,47369.41,385509.5,26444.0,7192.459,392369.19,n.d.,129301.3,4635.110000000001,5306.2,9941.31,131769.62,213701.509,225585.38,469109.03,n.d.,1678.41,1600.1899999999998,1057239.79,1070.44,1057335.919,n.d.,0,124460.94,n.d.,124457.94,402473.44,14.0,-185916.38999999998,3,124438.58,199141.38,659660.53,0,234098.63,2917.02,281468.04,n.d.,3627.79,2557.3500000000004,5306.2,664966.73,2557.3500000000004,-1678.41,n.d.,2025.42,509970.44,509970.44,478972.12,CREACIONES ARTESANAS SL_resum
2015,7917.64,54548.229999999996,310986.99000000005,26444.0,69611.12900000002,563304.04,n.d.,93342.47,4349.0,90266.76,94615.76,101729.05,140523.29,223028.03,409721.67,n.d.,3250.58,3250.58,1257938.51,21754.05,1258553.11,n.d.,0,129096.05,n.d.,129093.05,490442.96,13.0,-190911.64,3,115915.469,196584.03,604982.31,0,154589.14,7917.64,209137.37,n.d.,87016.18000000001,65262.12899999999,90266.76,695249.07,65262.12899999999,-3250.58,n.d.,1271.04,440083.04,440083.04,504337.43000000005,CREACIONES ARTESANAS SL_resum
2014,30914.56,55796.49,249752.92,26444.0,10779.99,314248.04,4999.22,69219.95,4908.38,17527.82,22436.2,173382.75,186806.21,173765.9,302933.24,n.d.,9699.01,9699.01,776672.25,1957.2,776758.49,n.d.,0,131361.09,n.d.,131361.09,327376.04,11.0,-137141.01,n.d.,7150.22,147321.9,444982.63,0,115637.84,30914.56,176433.55,n.d.,7828.81,5871.610000000001,17527.82,462510.45,5871.610000000001,-9699.01,n.d.,7150.22,381114.01,381114.01,325369.44,CREACIONES ARTESANAS SL_resum
