Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,194842.92,805829.39,815500.0,-178605.31,1048670.31,n.d.,777972.3600000001,7372.37,-252936.07,-245563.7,n.d.,583129.4400000001,598088.69,1928828.39,n.d.,0.03,0.03,3550113.06,-61992.53,4115271.27,n.d.,4965.89,520138.27,1555.83,48596.880000000005,1048670.31,51.0,-1383336.27,469985.56,27857.03,-217411.31,3319537.03,0,533036.049,n.d.,727878.97,n.d.,-247970.21,-185977.68,-252936.07,3066600.96,-185977.68,4965.860000000001,n.d.,22835.0,1325967.66,1325967.66,1688230.58,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2022,n.d.,191378.03,796924.2799999999,815500.0,-85927.88,985393.2899999999,n.d.,659806.93,8022.39,-127582.04,-119559.65,n.d.,468428.9,534066.37,1677101.26,n.d.,0.16,0.16,3395838.41,-31316.760000000002,3878617.45,n.d.,2315.17,362492.81,1844.14,38774.32,985393.29,50.0,-1335682.55,321874.35,137117.34999999998,-281433.63,3020806.2,0,433972.69,n.d.,625350.72,n.d.,-125267.03,-93950.27,-127582.04,2893224.16,-93950.27,2315.01,n.d.,51999.28999999999,1159417.09,1159417.09,1559856.779,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2021,n.d.,199309.95,836114.72,815500.0,-180186.8,634058.26,n.d.,805786.04,9606.97,-256233.63,-246626.66,n.d.,606476.09,628016.64,1791031.07,n.d.,192.98,192.98,3030946.38,-63264.58,3430837.53,n.d.,3368.26,301488.14,3386.67,45254.18,634058.26,50.0,-1252374.86,252847.29,30328.68,-187483.36,3053012.9,0,310276.27,n.d.,509586.22,n.d.,-253058.35,-189793.77,-256233.63,2796779.2690000003,-189793.77,3175.28,n.d.,20847.15,1137602.86,1137602.86,1547772.6700000002,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2020,n.d.,155063.37999999998,619341.9600000001,815500.0,-332951.8,551257.88,n.d.,577177.8500000001,18417.82,-467880.77,-449462.95,n.d.,422114.47,567810.41,1824978.06,n.d.,487.4,487.4,2851385.5,-116998.01,3162321.82,n.d.,0.54,463181.45,5505.28,46462.54,551257.88,51.0,-1235548.83,411213.63,42164.108,-247689.59,3078944.71,0,359649.62,n.d.,514713.0,n.d.,-468367.63,-351369.62,-467880.77,2611063.94,-351369.62,-486.859,n.d.,33782.219999999994,1082523.41,1082523.41,1375515.65,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2019,n.d.,175731.9,689926.1699999999,815500.0,-394564.279,723231.3,n.d.,659598.3200000001,21571.3,-554841.61,-533270.309,n.d.,483866.41900000005,399180.03,1936776.07,n.d.,6.41,6.41,3365139.21,-138711.87,3633752.59,n.d.,0.5700000000000001,213772.54,3831.15,57266.67,723231.3,59.0,-1507015.529,152674.72,30327.85,-416319.97,3465362.9,0,328786.77900000004,n.d.,504518.68,n.d.,-554847.4500000001,-416135.579,-554841.61,2910521.29,-416135.579,-5.84,n.d.,19814.52,903698.71,903698.71,1403506.33,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2018,n.d.,190957.51,734372.7799999999,815500.0,-360465.78,713499.75,n.d.,702499.8,22072.53,-510050.38,-487977.85,n.d.,511542.29,425315.61,1953000.18,n.d.,2.07,2.07,3393919.35,-127512.78,3672917.21,n.d.,1.36,184594.44,6259.2,72712.02,713499.75,60.0,-1494395.1300000001,105623.218,31872.980000000003,-390184.39,3469467.8389999997,0,302694.1,n.d.,493651.61,n.d.,-510051.09,-382538.31,-510050.38,2959417.46,-382538.31,-0.7090000000000001,n.d.,22387.75,918967.22,918967.22,1465023.6900000002,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2017,12734.52,140536.91999999998,831907.63,815500.0,-247144.939,687755.4500000001,n.d.,796405.57,20814.62,-357277.98000000004,-336463.36,n.d.,655868.649,387853.96,2041396.58,n.d.,3.51,3.51,3501956.4,-89319.85,3816138.73,n.d.,2.08,124492.28,7937.94,90709.38,687755.4500000001,60.0,-1423450.06,25844.958,35502.06,-427646.04,3485661.2600000002,0,415274.51,12734.52,555811.43,n.d.,-357279.41000000003,-267959.559,-357277.98000000004,3128383.2800000003,-267959.559,-1.4289999999999998,n.d.,20409.68,956399.91,956399.91,1704935.3,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2016,n.d.,136351.83,731941.0,815500.0,-253540.08,711282.8,n.d.,690042.47,11232.05,-353026.46,-341794.41000000003,n.d.,553690.64,405813.52,1950085.99,n.d.,5.470000000000001,5.470000000000001,3498728.95,-88257.37000000001,3757140.47,n.d.,2.43,146237.61000000002,6482.04,105179.26,711282.8,61.0,-1437566.09,34576.310000000005,41898.53,-409686.4790000001,3398884.13,0,336013.259,n.d.,472365.09,n.d.,-353029.5,-264772.13,-353026.46,3045857.67,-264772.13,-3.039,n.d.,30213.82,878178.61,878178.61,1608294.01,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2015,212168.97999999998,169351.47999999998,1270803.38,815500.0,21456.72,796648.76,n.d.,1219059.6800000002,6704.1,4819.08,11523.18,n.d.,1049708.2,580585.65,1911877.47,n.d.,20.06,20.06,3939609.45,-4939.52,4171383.82,n.d.,5014.08,67087.70999999999,669.23,50159.16,796648.76,58.0,-1451334.41,16259.32,51743.7,-234914.349,3369915.98,0,375784.98,212168.97999999998,545136.4600000001,n.d.,9813.1,14752.62,4819.08,3374735.06,14752.62,4994.019,n.d.,32637.460000000003,1337891.09,1337891.09,1928414.73,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2014,n.d.,149622.6,1034555.05,815500.0,16359.33,830695.7799999999,n.d.,1005439.17,8436.6,11831.45,20268.05,n.d.,855816.57,565833.03,1807632.28,n.d.,3.27,3.27,3775799.61,4357.6,3986091.36,n.d.,452.15,82926.13,1522.41,43147.380000000005,830695.7799999999,57.0,-1327495.25,38256.34,29115.879,-249666.97,3143564.13,0,402025.55,n.d.,551648.15,n.d.,12280.33,7922.73,11831.45,3155395.58,7922.73,448.88,n.d.,18576.17,1117481.1800000002,1117481.1800000002,1828352.48,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2013,n.d.,167827.09,815665.66,815500.0,3096.08,886872.1699999999,n.d.,777164.2799999999,12134.06,-12763.39,-629.329,n.d.,609337.19,402910.3,1853522.34,n.d.,0.12,0.12,3926663.22,-2911.29,4116475.73,n.d.,814.24,152055.16,2999.27,46535.39,886872.1699999999,57.0,-1376710.55,102520.5,38501.380000000005,-412589.699,3242366.9499999997,0,396983.43000000005,n.d.,564810.52,n.d.,-11949.27,-9037.98,-12763.39,3229603.56,-9037.98,814.12,n.d.,12423.81,967720.82,967720.82,1853707.25,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2012,48367.97,161265.94999999998,887726.01,815500.0,-88406.95999999999,992206.75,10.9,859113.08,17590.67,-150203.28,-132612.609,n.d.,697847.129,351948.28,1985054.78,n.d.,238.44,82.28,4129907.45,-43966.689999999995,4337353.119999999,n.d.,477.4,87749.5,7432.46,47543.26,992206.75,60.0,-1492704.2,32773.78,28612.93,-463551.72,3495349.65,0,413882.41,48367.97,575159.26,n.d.,-149964.31999999998,-105997.63,-150203.28,3345146.3699999996,-105997.63,238.959,n.d.,19893.92,975475.51,975475.51,1852763.41,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2011,n.d.,207760.44,787672.58,815500.0,-273321.5,1056778.37,10.41,719466.8300000001,61222.99,-477165.32,-415942.33,n.d.,511706.389,457945.91,2378923.44,n.d.,1060.08,328.58,4556684.89,-142100.57,4692252.84,n.d.,1580.34,334503.69,12700.99,42302.59,1056778.37,65.0,-1672493.36,279500.11,68205.75,-357554.09,4112639.79,0,456459.51,n.d.,664230.3600000001,n.d.,-476645.06,-334544.49000000005,-477165.32,3635474.469,-334544.49000000005,520.26,n.d.,49924.24,1122176.27,1122176.27,1963829.95,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2010,2765.12,244768.89,801534.81,815500.0,21079.42,1010497.8200000001,29605.21,670671.12,67190.34,43439.06,110629.4,n.d.,425902.23,792490.4,2225605.69,n.d.,80959.908,1042.598,4914625.73,11221.93,5188864.859999999,n.d.,2631.86,691169.91,26958.18,83977.48,1010497.82,69.0,-1842131.95,580234.25,130863.69,-23009.599,4134927.98,0,423075.1,2765.12,697449.2,n.d.,-34888.99,-46110.92,43439.06,4178367.04,-46110.92,-78328.048,n.d.,121897.22,1492704.72,1492704.72,2258949.638,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2009,32370.32,64860.69,770880.41,815500.0,31976.83,1249555.22,46907.880000000005,635802.26,61026.39,-50505.310000000005,10521.08,n.d.,570941.57,838601.3200000001,2393603.06,n.d.,6304.52,6304.52,5323700.159999999,-10921.96,5631032.649999999,n.d.,16838.309999999998,846562.3500000001,46336.17,130139.83,1249555.22,75.0,-1977353.289,670086.3500000001,135078.15,23101.32,4431982.739,0,634702.55,32370.32,746471.12,n.d.,-39971.52,-29049.559,-50505.310000000005,4381477.430000001,-29049.559,10533.79,n.d.,100454.16,1617442.76,1617442.76,2420962.45,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2008,63031.18,79542.88,1191213.35,815500.0,-279726.81,1483671.3800000001,167851.81999999998,1080626.43,57796.92,-488915.51,-431118.59,n.d.,1001083.549,867650.88,2652657.23,n.d.,17610.38,7610.38,5822429.19,-138629.43,6155759.59,n.d.,30372.73,951298.51,38731.98,167980.8,1483671.38,75.0,-2450549.57,744585.73,110586.919,52150.880000000005,5161003.72,0,964435.1,63031.18,1211829.8,n.d.,-476153.16,-337523.73000000004,-488915.51,4672088.21,-337523.73000000004,12762.349,n.d.,40476.43,2142511.859,2142511.859,2241911.369,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2007,99544.32,408816.16,1531270.01,815500.0,115745.59,n.d.,123918.75,1384873.21,49831.57,63471.7,113303.269,2469.68,978526.73,1205174.61,2453581.7,n.d.,12122.84,12122.84,6194796.03,-33.8,6415899.9,323.2,14208.16,846258.3400000001,133091.62,91351.67,1606858.1700000002,75.0,n.d.,621815.049,143927.12,389674.61,n.d.,n.d.,540074.509,99544.32,1072809.419,n.d.,65557.02,65590.82,63471.7,n.d.,65914.02,2085.32,323.2,116750.27,2377528.35,2377528.35,2581416.33,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2006,n.d.,447704.14,1784347.539,815500.0,399862.27,n.d.,17073.7,1472508.1,99875.88,253802.12,353678.0,8749.369999999999,1033553.33,1139260.59,2338155.57,94.81,7728.87,7728.87,6322284.22,-21,6690606.58,46016.64,7970.31,706531.4,19355.15,76949.61,1779399.9,75.0,n.d.,610226.64,303090.069,323760.59,n.d.,n.d.,886840.51,n.d.,1351618.35,n.d.,254043.56,254064.56,253802.12,n.d.,299986.39,241.44,45921.83,147883.419,2490878.94,2490878.94,2745725.71,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2005,17008.23,424710.48,1786904.23,815500.0,277769.05,n.d.,22740.1,1664930.09,119410.45,112009.57,231420.02,25607.04,1265826.65,839274.2,2205290.07,n.d.,8143.94,8143.94,5784534.57,-6297.09,6009890.49,42027.93,6167.95,178593.17,82710.11,82228.64,1621557.44,75.0,n.d.,13654.42,96367.099,23774.199,n.d.,n.d.,661764.389,17008.23,1109214.97,n.d.,110033.58,116330.67,112009.57,n.d.,158358.6,-1975.99,42027.93,59212.78999999999,1965497.4,1965497.4,2484905.97,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2004,39650.28999999999,316493.44,1368590.73,815500.0,255533.47,n.d.,22663.73,1094351.6900000002,126474.71,92775.07,219249.78,12393.54,790251.7899999999,680915.6,2110790.9,51248.41,10036.25,10036.25,5438761.63,-6000,5716801.7,83901.79,7666.56,284125.14,167418.09,103052.63,1479772.4,74.0,n.d.,13654.42,261845.5,-134584.4,n.d.,n.d.,592992.81,39650.28999999999,932149.98,n.d.,90405.38,96405.38,92775.07,n.d.,129058.76,-2369.69,32653.378999999997,166481.78,1652715.87,1652715.87,2370360.619,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2003,62302.7,288896.38,1362692.03,815500.0,98954.47,n.d.,58895.86,1099127.15,128303.38,-38573.42,89729.95999999999,33066.44,843297.2089999999,551856.8400000001,1972049.93,n.d.,9967.01,9967.01,5057204.34,-14218,5272393.0,642.55,4330.969999999999,390481.12,260597.06,116229.64,1391379.97,87.0,n.d.,13654.419,230498.44,-263643.16,n.d.,n.d.,791221.37,62302.7,1139013.61,n.d.,-44209.46,-29991.460000000003,-38573.42,n.d.,-29348.91,-5636.04,642.55,193182.46,1753173.15,1753173.15,2066753.41,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2002,n.d.,320547.43000000005,1230336.85,815500.0,127817.85,n.d.,31929.17,1138799.31,192911.64,-3490.4100000000003,189421.23,45206.57,863458.4500000001,581205.75,1860790.53,61139.05,8449.69,8449.69,4789930.94,-1801.53,4981478.9,4720.74,1463.09,395711.07,260361.77,120269.52,1171858.59,84.0,n.d.,15079.779,46330.969,-234294.25,n.d.,n.d.,692365.57,n.d.,1044842.17,n.d.,-10477.01,-8675.48,-3490.4100000000003,n.d.,-65093.78999999999,-6986.6,-56418.310000000005,4230.44,1626047.92,1626047.92,1995256.54,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2001,5051.49,272293.57,1221322.8,815500.0,187441.03,n.d.,56476.59,1058276.75,184346.8,3326.52,187673.319,12580.54,798563.72,646299.53,1731413.94,11382.88,8077.75,8077.75,4395257.109999999,n.d.,4594486.7,16179.67,3048.67,1104251.0,407231.07,130196.2,1116321.3,82.0,n.d.,566823.73,150465.51,-169200.46899999998,n.d.,n.d.,1345452.6190000002,5051.49,1674222.78,n.d.,-1702.56,-1702.56,3326.52,n.d.,3094.23,-5029.08,4796.789,116882.81,2325573.8,2325573.8,1926932.72,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
2000,797630,767600.0,1271390.0,815500.0,-8160.0,n.d.,90800,1199290.0,163950.0,-1650.0,162300.0,10740,442430.0,643210.0,1612380.0,206690,-40250.0,12540.0,3741780.0,15610,3912110.0,5950,5640.0,1188030.0,525760.0,116560.0,942280.0,82.0,n.d.,545710.0,61360.0,-172290.0,n.d.,n.d.,160170.0,797630,1018570.0,n.d.,44250.0,28640.0,-1650.0,n.d.,-172110.0,45890.0,-200740,37490.0,2459410.0,2459410.0,1632370.0,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
1999,1828160,661240.0,1038950.0,240000.0,-322800.0,n.d.,113820,952570.0,143370.0,110430.0,253800.0,32600,323930.0,-234680.0,1470500.0,774880,67650.0,14860.0,3686210.0,-251010,3850600.0,9950,4970.0,1499540.0,573650.0,123310.0,879130.0,77.0,n.d.,802580.0,53780.0,-474680.0,n.d.,n.d.,169940.0,1828160,945000.0,n.d.,47750.0,298760.0,110430.0,n.d.,-466170.0,-62680.0,-764930,2520.0,2538490.0,2538490.0,911550.0,DIARI DE GIRONA SOCIEDAD ANONIMA_resum
