Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,77952.19,10461.240000000002,48080.96,1124.12,31777.16,5585.1900000000005,0.05,8437.6,-7670.8,766.8,7483.320000000001,-70468.82,-40892.53,25047.84,n.d.,553.98,553.98,103565.0,-911.3,103565.0,n.d.,0.0,126895.43,n.d.,117667.73,31888.55,3.0,-45973.2,9227.699,2977.8700000000003,-88973.48999999999,79458.64,24346.25,70365.57,24346.25,153902.94999999998,n.d.,-8224.78,-7313.48,-7670.8,71787.84,-7313.48,-553.98,n.d.,2766.92,137356.67,137356.67,25814.639,DISTOCORDAL SL_resum
2022,5587.48,66856.63,10524.09,48080.96,2715.05,28431.93,5232.52,10.05,9533.42,-7349.57,2183.8500000000004,7526.63,-59319.95,-33579.05,22459.54,n.d.,626.06,626.06,90458.1,-1157.26,90458.1,n.d.,0.0,134632.6,n.d.,125404.9,28431.93,2.0,-37382.78,9227.699,2987.4100000000003,-81660.009,69375.73999999999,25257.55,75801.56,30845.03,147890.71000000002,n.d.,-7975.63,-6818.37,-7349.57,62026.17,-6818.37,-626.06,n.d.,2791.34,145156.69,145156.69,24643.39,DISTOCORDAL SL_resum
2021,10820.15,59803.01,15192.13,48080.96,3466.8120000000004,29872.12,n.d.,220.05,10358.6,-7544.769999999999,2813.8300000000004,9249.61,-50333.350000000006,-26760.68,24180.69,n.d.,806.2,806.2,100388.5,-1459.1799999999998,100388.5,n.d.,0.0,143863.04,n.d.,134635.34,29910.52,3.0,-43521.86,9227.699,5722.469999999999,-74841.64,78061.15000000001,26414.809999999998,88777.87900000002,37234.96,148580.88999999998,n.d.,-8350.967999999999,-6891.788,-7544.769999999999,70516.37900000002,-6891.788,-806.2,n.d.,5539.18,159055.17,159055.17,26994.522,DISTOCORDAL SL_resum
2020,15887.7,59169.91,14185.77,48080.96,13513.78,30255.07,n.d.,0.05,12903.34,1905.65,14808.99,10501.210000000001,-48668.65,-19868.89,21769.75,n.d.,1091.73,1091.73,118479.5,203.48000000000002,118479.5,n.d.,0.0,152860.76,n.d.,143633.06,30255.07,3.0,-51645.689999999995,9227.699,3684.51,-67949.85,86318.78,27873.99,83983.82,43761.69,143153.73,n.d.,813.92,610.439,1905.65,88224.43,610.439,-1091.73,n.d.,3505.75,167046.53,167046.53,36578.74,DISTOCORDAL SL_resum
2019,20739.5,68890.66,23636.3,48080.96,-2791.54,50869.86,2806.9300000000003,0.05,13204.23,-16542.437,-3338.207,15785.44,-53105.17,-20479.33,44626.3,n.d.,1425.78,1425.78,171775.46,-1972.45,171775.46,n.d.,0.0,168631.77000000002,n.d.,156427.5,50869.86,4.0,-79617.51,12204.269,7850.81,-68560.29,137448.04,29493.59,90816.72,50233.09,162514.31,n.d.,-17968.22,-15995.77,-16542.437,120905.599,-15995.77,-1425.78,n.d.,7478.64,192268.07,192268.07,41288.09,DISTOCORDAL SL_resum
2018,28186.24,62967.47,25953.37,48080.96,15550.16,44060.28999999999,3200.23,30.05,13456.94,4999.46,18456.4,20832.07,-42105.350000000006,-4483.56,42619.0,n.d.,2208.49,2208.49,185108.5,697.75,185108.5,n.d.,0.0,181836.0,n.d.,169631.73,44060.28999999999,5.0,-79972.81,12204.269,5091.25,-52564.52099999999,136048.75,31466.04,86452.95,59652.28,152620.65,n.d.,2790.9700000000003,2093.219,4999.46,141048.21000000002,2093.219,-2208.49,n.d.,4724.78,207789.37,207789.37,61075.4,DISTOCORDAL SL_resum
2017,35867.65,60248.02,25521.24,48080.96,1265.379,40091.65,9706.720000000001,0.05,13814.13,-10350.07,3464.059,22928.69,-37319.28,-6576.78,40389.33,n.d.,2198.68,2198.68,151292.0,n.d.,151292.0,n.d.,0.0,195508.63,n.d.,182296.12,40123.33,5.0,-67346.95999999999,13212.51,2592.5,-54657.74,121550.42,31776.53,90007.73,67644.18000000001,159962.47,n.d.,-12548.75,-12548.75,-10350.07,111200.349,-12548.75,-2198.68,n.d.,2232.71,221029.87,221029.87,43853.39,DISTOCORDAL SL_resum
2016,40841.7,54325.47,25986.95,48080.96,7792.999,42854.2,8907.6,0.05,14212.99,-4216.3,9996.689,23295.97,-31029.45,5971.969999999999,41083.02,n.d.,2336.42,2336.42,173173.52,-132.73,173173.52,n.d.,0.0,199271.88,n.d.,186059.37,42959.09,5.0,-79239.61,13212.51,2690.9300000000003,-42108.989,134535.62,31776.53,83435.56,72618.23,146668.63,n.d.,-6552.72,-6419.99,-4216.3,130319.32,-6419.99,-2336.42,n.d.,2335.14,225258.83,225258.83,51079.709,DISTOCORDAL SL_resum
2015,53886.21,52777.219999999994,28930.72,48080.96,790.739,37989.14,8907.6,1155.45,14177.08,-10974.04,3203.039,25056.59,-26565.18,12391.96,44217.75,n.d.,2544.3500000000004,2544.3500000000004,147029.65,-132.05,147209.419,n.d.,0.0,212174.9,n.d.,198962.39,41028.18,6.0,-61799.49,13212.51,2718.68,-35689.0,120194.319,31909.260000000002,81233.37000000001,85795.47,142918.19,n.d.,-13518.39,-13386.34,-10974.04,109220.28,-13386.34,-2544.3500000000004,n.d.,2366.12,241105.62,241105.62,47420.78999999999,DISTOCORDAL SL_resum
2014,66738.729,45774.86,26645.56,48080.96,-38323.06,52581.63,8907.6,1212.45,14617.59,-55809.93,-41192.34,22516.88,-22045.53,25778.3,41631.54,n.d.,1121.04,1121.04,178405.2,-3990.32,178405.2,n.d.,0.0,226351.98,n.d.,213139.47,52734.59,5.0,-125384.37000000001,13212.51,2916.23,-22302.66,181633.5,32041.309999999998,73756.739,98780.04,128439.2,n.d.,-56930.97,-52940.65,-55809.93,125823.57,-52940.65,-1121.04,n.d.,2566.86,252997.54,252997.54,439.199,DISTOCORDAL SL_resum
2013,33403.5,43745.7,30592.63,48080.96,3667.9,38365.229999999996,8907.6,1155.45,15019.95,-11344.35,3675.6,26816.97,-15773.279,78718.95,48554.25,n.d.,616.7,616.7,159941.44999999998,-609,159941.44999999998,n.d.,0.0,240583.62,n.d.,227371.11,44908.01,6.0,-69346.37000000001,13212.51,2620.21,30637.99,132920.57,36031.63,70368.87000000001,69435.13,123022.17,n.d.,-11961.05,-11352.05,-11344.35,121576.22,-11352.05,-616.7,n.d.,2274.72,271176.25,271176.25,52229.849,DISTOCORDAL SL_resum
2012,42311.1,25301.480000000003,22591.77,48080.96,-2409.869,42191.229999999996,11876.55,1155.45,15847.98,-17504.79,-1656.81,20274.19,-3871.84,90071.0,45376.96,n.d.,1255.72,1255.72,159036.1,-502.66,159036.1,n.d.,0.0,256954.59,n.d.,243742.08,42191.23,4.0,-73124.72,13212.51,1162.13,41990.04,134349.66,36640.63,73345.6,78951.73,110523.63,n.d.,-18760.51,-18257.85,-17504.79,116844.87000000001,-18257.85,-1255.72,n.d.,824.63,279546.36,279546.36,43720.15,DISTOCORDAL SL_resum
2011,53399.189999999995,17306.86,27624.99,48080.96,-4397.389,59422.450000000004,19496.6,1230.32,15916.23,-19246.04,-3329.8100000000004,24059.01,7982.469,108328.85,41941.11,n.d.,930.1,930.1,185326.18,137.60999999999999,185326.18,n.d.,0.13,271533.67,n.d.,258321.16,59486.87,3.0,-87292.43,13212.51,2335.66,60247.89,145149.77000000002,37143.28999999999,63483.869,90542.48,100287.33,n.d.,-20176.01,-20313.62,-19246.04,125903.73,-20313.62,-929.97,n.d.,2000.16,299158.66,299158.66,38611.43,DISTOCORDAL SL_resum
2010,72895.79,18261.59,56212.57,48080.96,27244.72,53353.42,22821.87,20214.93,15836.28,17004.79,32841.07,33689.78,35643.119,128642.47,51910.28,n.d.,1406.46,1406.46,230566.09,4190.429999999999,230566.09,n.d.,0.54,287449.9,n.d.,274237.39,53353.42,4.0,-92461.32,13212.51,2307.86,80561.51,160207.87999999998,37005.68,64035.07,109901.47,105118.53,n.d.,15598.87,11408.44,17004.79,177212.669,11408.44,-1405.92,n.d.,1833.23,343662.47000000003,343662.47000000003,84751.89,DISTOCORDAL SL_resum
2009,95411.57,24869.93,63497.83,48080.96,30414.699,95174.62000000001,30117.73,17361.68,15720.56,16424.4,32144.960000000003,42234.77,34726.52,117234.03,56925.22,n.d.,2073.98,2073.98,295324.13,-342.9,295324.13,n.d.,0.8200000000000001,301054.45,n.d.,287823.27,95174.62,5.0,-111079.33,13231.18,3901.38,69153.07,183725.11000000002,36714.78,60204.24,132126.34999999998,115191.9,n.d.,14351.240000000002,14694.14,16424.4,200149.51,14694.14,-2073.159,n.d.,3433.65,364552.28,364552.28,89071.0,DISTOCORDAL SL_resum
2008,124770.61,18157.86,60832.89,48080.96,36645.9,70890.58,34852.67,15983.57,15883.79,23711.74,39595.53,43239.759999999995,41065.47,102539.89,65658.3,n.d.,4269.26,4269.26,286623.24,-1316.6499999999999,286623.24,n.d.,2.98,310244.42000000004,n.d.,138862.33,115248.63,5.0,-110478.83,171382.09,1609.56,54458.93,192020.91999999998,34957.46,55798.82,159728.07,108809.35,n.d.,19445.460000000003,20762.11,23711.74,215732.65899999999,20762.11,-4266.28,n.d.,1141.7,371077.31,371077.31,105256.81,DISTOCORDAL SL_resum
2007,162873,n.d.,49983.59,48080.96,-21825.18,n.d.,n.d.,14640.91,11090.240000000002,-26935.39,-15845.15,n.d.,14640.91,103075.85,48292.850000000006,n.d.,6176.6,6176.6,296285.03,n.d.,296285.03,n.d.,196.57,319783.96,193911.629,120159.69,142586.22,4.0,n.d.,5712.64,35342.679,54994.89,n.d.,n.d.,103818.7,162873.0,103818.7,n.d.,-32915.42,-32915.42,-26935.39,n.d.,-32915.42,-5980.03,n.d.,12571.8,369767.55,369767.55,32644.269,DISTOCORDAL SL_resum
2006,120950.85,n.d.,69599.15000000001,48080.96,28167.85,n.d.,n.d.,949.55,20257.94,15507.65,35765.59,25426.93,26376.480000000003,135991.27000000002,45841.810000000005,n.d.,4667.59,4667.59,272740.77,3335.9900000000002,272740.77,n.d.,405.84,250267.45,177993.02,71073.81,87154.9,4.0,n.d.,1200.62,43222.669,87910.31,n.d.,n.d.,62924.48,120950.85,62924.48,n.d.,11245.9,7909.91,15507.65,n.d.,7909.91,-4261.75,n.d.,20095.97,319866.6,319866.6,82013.239,DISTOCORDAL SL_resum
2005,141171.58,n.d.,96655.69,24040.480000000003,35333.32,n.d.,n.d.,n.d.,10240.83,40727.32,50968.15,27519.66,27519.66,152081.36,105908.42,n.d.,5390.02,5390.02,256143.77,10719.56,256143.77,n.d.,474.75,265153.11,183523.51,80927.97,69389.0,4.0,n.d.,701.629,69136.03,128040.87900000002,n.d.,n.d.,68555.86,141171.58,68555.86,n.d.,35812.05,25092.49,40727.32,n.d.,25092.49,-4915.27,n.d.,40973.43,361808.8,361808.8,157351.319,DISTOCORDAL SL_resum
2004,163600.3,n.d.,104378.36,24040.480000000003,32964.96,n.d.,n.d.,n.d.,10416.42,38145.68,48562.1,24657.34,24657.34,144988.87,85482.01,124.92,9568.14,9568.14,213529.66,6280.78,213529.66,n.d.,376.7,264165.78,186743.57,76720.58,53985.52,3.0,n.d.,701.629,79721.02,120948.39,n.d.,n.d.,59954.97,163600.3,59954.97,n.d.,28954.24,22673.460000000003,38145.68,n.d.,22548.54,-9191.44,-124.92,45703.0,368544.14,368544.14,134295.88899999997,DISTOCORDAL SL_resum
2003,186029.02,n.d.,91208.01,24040.480000000003,28609.28,n.d.,n.d.,n.d.,9407.740000000002,33887.39,43295.13,21742.64,21742.64,122440.33,71342.3,n.d.,6540.22,6540.22,194900.47,8198.34,194900.47,n.d.,52.71,270950.51,190683.699,79565.18000000001,55475.850000000006,3.0,n.d.,701.63,69465.37000000001,98399.85,n.d.,n.d.,53689.17,186029.02,53689.17,n.d.,27399.88,19201.54,33887.39,n.d.,19201.54,-6487.51,n.d.,25523.65,362158.52,362158.52,114690.14,DISTOCORDAL SL_resum
2002,77070.64,n.d.,41296.4,24040.480000000003,18961.38,n.d.,n.d.,227.96,7772.02,23875.9,31647.92,18287.22,18515.18,103238.79,48268.0,n.d.,4809.53,4809.53,151519.18,8163.41,151519.18,0.08,286.32,177043.5,89176.76,87165.11,43689.27,3.0,n.d.,701.63,22781.22,79198.31,n.d.,n.d.,38030.47,77070.64,38030.47,n.d.,19352.69,11189.279,23875.9,n.d.,11189.36,-4523.21,0.08,6669.929999999999,218339.9,218339.9,80202.32,DISTOCORDAL SL_resum
2001,71001.73999999999,n.d.,62396.91,24040.480000000003,30260.55,n.d.,n.d.,0.02,5825.24,40947.22,46772.46,14488.859999999999,14488.88,92049.54,41734.41,n.d.,6350.04,6350.04,158514.5,10445.31,158514.5,n.d.,283.44,135129.61000000002,87801.62000000001,47268.84,53296.310000000005,3.0,n.d.,59.149,47908.03,68009.06,n.d.,n.d.,34475.24,71001.73999999999,34475.24,n.d.,34880.619999999995,24435.31,40947.22,n.d.,24435.31,-6066.6,n.d.,31229.15,197526.52,197526.52,88790.31,DISTOCORDAL SL_resum
2000,82914.55,n.d.,69843.33,24040.480000000003,22813.66,n.d.,n.d.,n.d.,2469.72,34366.94,36836.66,12453.52,12453.52,67614.23,36239.850000000006,2613.3100000000004,3201.63,3201.63,130452.02,8656.3,130452.02,n.d.,448.24,118395.91,89598.86,28797.04,38750.93,2.0,n.d.,0.01,57389.810000000005,43573.75,n.d.,n.d.,37710.46,82914.55,37710.46,n.d.,31613.56,22957.26,34366.94,n.d.,20343.94,-2753.3900000000003,-2613.3100000000004,34459.39,188239.24,188239.24,70911.43999999999,DISTOCORDAL SL_resum
1999,8253.869999999999,n.d.,38179.850000000006,3005.06,20589.93,n.d.,n.d.,n.d.,3005.01,25756.51,28761.519,10162.6,10162.6,47270.28999999999,29608.15,n.d.,1230.79,1230.79,106188.62,7474.28,106188.62,n.d.,533.49,34361.71,19260.18,14680.82,34091.83,1.0,n.d.,420.709,28017.25,44265.23,n.d.,n.d.,17017.41,8253.869999999999,17017.41,n.d.,25059.21,17584.93,25756.51,n.d.,17584.920000000002,-697.3,n.d.,26628.41,72541.56,72541.56,58903.15,DISTOCORDAL SL_resum
