Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1639862.22,435233.3,906369.38,49920.0,1194233.9,1626219.06,743903.09,20000,424663.71,1106262.62,1530926.33,42758.24,-372475.06,1018765.26,539063.74,n.d.,80182.27,80182.27,4371500.03,256523.4,4401598.92,n.d.,13.239999999999998,4187980.18,2509310.27,385724.16,1626219.06,17,-705389.7899999999,1292945.75,843611.14,968845.26,1669117.24,0,1256585.6900000002,1639862.22,2435722.08,n.d.,1026093.59,769570.19,1106262.62,2775379.86,769570.19,-80169.03,n.d.,29552.89,5094349.56,5094349.56,2070003.31,EMPURIAPORT SL._resum
2022,2179275.8,472154.66,1105114.46,49920.0,507163.9900000001,1938300.6500000001,524717.1989999999,n.d.,421948.4,201310.13,623258.53,42204.28,-429950.38,1928629.67,530363.1,n.d.,88275.79,88275.79,4643124.06,28405.2,4674092.38,n.d.,586.4499999999999,4555491.659999999,2880422.6,382123.31,1946270.8,17,-1582170.1,1292945.75,1062910.1800000002,1878709.67,2534481.6,0,555828.7899999999,2179275.8,1552700.65,n.d.,113620.79,85215.59,201310.13,2735791.73,85215.59,-87689.34,n.d.,90677.88,5660606.119999999,5660606.119999999,1154208.08,EMPURIAPORT SL._resum
2021,2703993,25470.760000000002,2193664.88,49920.0,572292.55,1440667.98,510424.72000000003,417028.77,411556.63,315619.74,727176.37,31814.13,423372.14,3343414.08,487540.59,n.d.,101305.17000000001,101305.17000000001,3894580.35,53578.65,3917073.59,n.d.,0.0,4883904.5,3251534.9299999997,339423.82,1440667.98,10,-1261688.6500000001,1292945.75,1744821.979,3293494.08,2160785.8699999996,0,494266.819,2703993,1030162.3,n.d.,214314.57,160735.91999999998,315619.74,2476405.61,160735.91999999998,-101305.17,n.d.,529230.5889999999,7077569.38,7077569.38,1214716.96,EMPURIAPORT SL._resum
2020,3595192.11,18834.52,3860956.41,49920.0,621918.7899999999,1014596.8300000001,n.d.,317000.39,389301.85,415922.44,805224.2899999999,39230.96,337396.83,5182678.159999999,517265.84,n.d.,105881,105881,3236935.33,77538.98,3242209.65,n.d.,114.48,5075498.02,3622647.2600000002,152571.34999999998,1014596.83,10,-905122.69,1300279.41,3504725.06,5132758.158999999,1811690.3800000001,0,139749.64,3595192.11,158584.16,n.d.,310155.92000000004,232616.94,415922.44,2227612.82,232616.94,-105766.52,n.d.,538072.2799999999,8936454.43,8936454.43,1322604.6090000002,EMPURIAPORT SL._resum
2019,3470587.4699999997,96910.63,4402833.49,49920.0,-77043.05,1922481.1900000002,n.d.,879603.38,177946.97999999998,-302746.17,-124799.189,39463.78999999999,822156.54,4950061.22,811947.2799999999,n.d.,37240.54,37240.54,3951976.64,-84996.68000000001,3993189.22,n.d.,0.0,4229442.619999999,3952809.2600000002,188636.68,1922481.19,10,-1383559.94,87996.68000000001,3483766.319,4900141.219,2373454.199,0,114716.79,3470587.4699999997,211627.42,n.d.,-339986.71,-254990.03,-302746.17,2070708.03,-254990.03,-37240.54,n.d.,469854.33,8632276.11,8632276.11,687148.09,EMPURIAPORT SL._resum
2018,68829.45999999999,4655.14,772916.57,6010.120000000001,163689.47,2451258.8899999997,n.d.,153685.74000000002,37565.82,173000.26,210566.08,49418.89,198449.49,1451348.27,751835.88,n.d.,4835.39,4835.39,3663280.57,42041.219999999994,3688532.46,n.d.,0.0,988264.19,70221.70999999999,918042.48,2470521.49,10,-274871.61,n.d.,569811.9400000001,1445338.15,1064273.31,0,236347.89,68829.45999999999,241003.03,n.d.,168164.87,126123.65,173000.26,1237273.5690000001,126123.65,-4835.39,n.d.,189367.08,1761180.76,1761180.76,962401.96,EMPURIAPORT SL._resum
2017,105597.08,4884.48,738212.47,6010.120000000001,111777.36,2165762.77,n.d.,166648.57,43320.26,100096.82,143417.08,30156.29,191920.38,1325224.62,732831.37,n.d.,8820.68,8820.68,3309744.03,22819.04,3328882.309,n.d.,0.0,1016962.84,70221.70999999999,946741.13,2165762.77,10,-286871.09,n.d.,541407.61,1319214.5,1063022.72,0,319469.13,105597.08,324353.61,n.d.,91276.14,68457.1,100096.82,1163119.539,68457.1,-8820.68,n.d.,165454.57,1755175.31,1755175.31,876248.4500000001,EMPURIAPORT SL._resum
2016,140951.94999999998,41038.689999999995,632333.31,6010.120000000001,56193.22899999999,2229402.8099999996,n.d.,152456.34999999998,32109.8,35850.06,67959.86,45927.380000000005,157345.04,1256767.52,680388.97,n.d.,10801.02,10801.02,3306338.11,965.61,3334436.05,n.d.,0.0,989412.0,70221.70999999999,919190.29,2229402.81,10,-356684.41000000003,n.d.,433949.58,1250757.4,1069183.1790000002,0,182987.15,140951.94999999998,224025.84,n.d.,25049.04,24083.43,35850.06,1105033.239,24083.43,-10801.02,n.d.,44216.43,1621745.31,1621745.31,748348.8300000001,EMPURIAPORT SL._resum
2015,159254.37999999998,31085.5,661781.1799999999,6010.120000000001,111143.28,2396605.25,n.d.,203611.6,34704.350000000006,93161.02,127865.37,49710.3,222236.4,1232684.09,718710.22,n.d.,16722.09,16722.09,3505911.15,n.d.,3534017.1,n.d.,0.0,962978.78,70221.70999999999,892757.07,2399150.25,10,-290836.26,n.d.,408459.28,1226673.97,1044250.8300000001,0,201735.99,159254.37999999998,232821.49,n.d.,76438.93,76438.93,93161.02,1137411.85,76438.93,-16722.09,n.d.,79019.85,1624759.96,1624759.96,846575.5889999999,EMPURIAPORT SL._resum
2014,199793.81999999998,9450.44,678709.9600000001,6010.120000000001,691.459,2351179.73,n.d.,185347.43,38168.27,-21315.21,16853.058999999997,217165.3,393062.29,1156245.16,714662.09,n.d.,16161.6,16161.6,3320626.68,n.d.,3347461.7,n.d.,0.0,1000302.47,70221.70999999999,930080.76,2351179.73,10,-264766.82,n.d.,276197.23000000004,1150235.04,1017597.1789999999,0,313523.01,199793.81999999998,322973.45,n.d.,-37476.810000000005,-37476.810000000005,-21315.21,996281.97,-37476.810000000005,-16161.6,n.d.,n.d.,1679012.43,1679012.43,731515.15,EMPURIAPORT SL._resum
