Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,44217.43,586021.9600000001,3005700.75,102256.0,48516.789,2336492.8,6723.35,218897.92,15083.0,43232.91,58315.91,1084856.34,717732.3,2245244.61,601177.6699999999,n.d.,7005.26,7005.26,3528585.09,11492.84,3528585.09,n.d.,8698.98,1081140.13,1248.47,119869.98,2336492.8,15.0,-532598.7089999999,960021.679,1701946.49,2142988.609,1148859.3790000002,0,1204633.53,44217.43,1797378.84,n.d.,44926.63,33433.789,43232.91,1192092.29,33433.789,1693.719,n.d.,1674223.81,4086840.88,4086840.88,668192.56,EURO MUEBLE BRU SA_resum
2022,77873.58,605043.8,2891588.15,102256.0,176436.8,2594305.04,6306.31,511470.36,8212.7,224331.28,232543.98,1094856.34,1001282.9,2224173.82,577173.65,n.d.,7664.110000000001,7664.110000000001,3842459.18,56175.5,3842459.18,n.d.,7732.429999999999,1096223.13,1856.87,134344.58,2594305.04,14.0,-438436.51,960021.679,1285261.45,2121917.819,1023822.8600000001,0,1074413.77,77873.58,1685763.88,n.d.,224399.6,168224.1,224331.28,1248154.1400000001,168224.1,68.32,n.d.,1264585.54,3987811.28,3987811.28,817450.059,EURO MUEBLE BRU SA_resum
2021,58102.659999999996,657683.9,2685915.48,102256.0,201987.6,1895367.93,19964.71,439788.42,18915.77,237665.8,256581.569,994856.34,776960.8600000001,2115343.609,524347.4,n.d.,5578.03,5578.03,3029176.8,56748.37,3042676.8,n.d.,7732.429999999999,1036717.73,2465.27,74230.78,1895367.93,14.0,-366379.9,960021.679,1251270.72,2013087.61,909643.07,0,871538.3300000001,58102.659999999996,1549186.94,n.d.,239820.2,183071.83,237665.8,1147308.8690000002,183071.83,2154.4,n.d.,1225422.53,3722633.21,3722633.21,788661.4,EURO MUEBLE BRU SA_resum
2020,107827.05,364572.75,1796528.79,102256.0,151676.77000000002,1572585.3800000001,n.d.,197079.28,23409.57,165415.41999999998,188824.99,793514.74,626021.2699999999,1932271.78,436252.16,n.d.,1878.18,1878.18,2535027.41,43002.47,2535739.57,n.d.,7732.429999999999,1055633.5,3073.67,92538.15,1572585.38,11.0,-338077.04,960021.679,805934.7699999999,1830015.78,797738.769,0,447490.71,107827.05,812063.4600000001,n.d.,171269.67,128267.2,165415.41999999998,963154.19,128267.2,5854.25,n.d.,797758.99,2852162.29,2852162.29,632809.58,EURO MUEBLE BRU SA_resum
2019,n.d.,419620.48000000004,1662296.2,102256.0,60036.12,1785227.26,11660.38,199748.05,22876.41,79535.72,102412.13,668514.74,448642.31,1840300.84,543020.97,n.d.,3903.74,3903.74,3002625.7,46677.64,3002625.7,n.d.,8205.369999999999,1050245.82,3682.07,86542.07,1785227.26,11.0,-571965.3400000001,960021.679,794033.41,1738044.8390000002,1137862.72,0,440960.319,n.d.,872241.1799999999,n.d.,83837.35,37159.71,79535.72,1217398.44,37159.71,4301.63,n.d.,785252.04,2712542.02,2712542.02,653638.47,EURO MUEBLE BRU SA_resum
2018,11764.99,441226.25,1711829.9,102256.0,146359.53,1848071.92,46789.78999999999,238611.79,22998.13,161102.28,184100.41,618514.74,415900.28,1840313.31,559245.7,n.d.,3440.66,3401.21,2986569.99,40960.47,2986581.56,n.d.,6660.25,1070678.37,4290.469999999999,100520.68,1848071.92,12.0,-395163.52900000004,965867.22,854703.37,1738057.309,977407.3600000001,0,442413.93000000005,11764.99,930429.97,n.d.,164321.87,123361.4,161102.28,1138509.6400000001,123361.4,3219.59,n.d.,826176.2699999999,2782508.27,2782508.27,749966.909,EURO MUEBLE BRU SA_resum
2017,54267.1,547719.9,1670633.54,102256.01,94092.28,1912401.25,49836.6,286361.11,23945.97,91723.54,115669.51,573514.74,312155.949,1753451.83,579068.05,n.d.,5203.63,5202.01,3091920.36,23582.1,3091933.82,n.d.,7208.5,1093676.5,4898.87,122910.41,1912401.25,14.0,-484795.01,965867.22,810757.69,1651195.82,1087809.03,0,359034.61,54267.1,956591.11,n.d.,93728.41,70146.31,91723.54,1179532.5690000001,70146.31,2004.87,n.d.,788890.8400000001,2764310.04,2764310.04,701944.4400000001,EURO MUEBLE BRU SA_resum
2016,96638.73999999999,543723.62,1660739.56,102256.01,115293.91,1616570.6,51708.49,167128.14,28252.5,98350.22,126602.72,540949.48,164354.0,1713002.53,507802.85,n.d.,6674.629000000001,6668.1900000000005,2693148.83,29879.84,2693182.23,n.d.,25245.66,1117622.47,5507.2699999999995,146247.97999999998,1616570.6,13.0,-442206.06,965867.22,952661.94,1610746.52,978261.41,0,373288.65,96638.73999999999,968720.76,n.d.,116921.25,87041.40999999999,98350.22,1076611.6300000001,87041.40999999999,18571.03,n.d.,937455.3400000001,2778362.03,2778362.03,659644.7889999999,EURO MUEBLE BRU SA_resum
2015,148470.99,569214.4,1665873.05,102256.01,112431.04,1927325.9,42850.75,362699.45,26314.12,112135.69,138449.81,554601.8,348086.85,1665557.01,537901.03,n.d.,7470.54,7470.54,3163217.86,28920.64,3163603.07,n.d.,10372.41,1103604.42,n.d.,170223.74000000002,1927325.9,13.0,-559926.3300000001,933380.679,748571.798,1563301.0,1124141.48,0,343384.32,148470.99,955449.47,n.d.,115037.56,86116.92,112135.69,1236277.1700000002,86116.92,2901.8700000000003,n.d.,740240.99,2769477.47,2769477.47,686723.25,EURO MUEBLE BRU SA_resum
2014,151276.29,518344.51,1435682.1700000002,102256.01,366886.83,1902102.62,37308.56,89040.45,38156.4,327331.15,365487.55,488073.48,58769.419,1692843.44,527640.56,n.d.,9733.89,9733.89,3217598.03,n.d.,3217598.03,n.d.,11133.17,1083513.58,n.d.,155536.99,1902102.62,15.0,-422367.3,927976.59,858568.24,1590587.43,988164.26,0,119422.95,151276.29,675076.02,n.d.,328730.43000000005,328730.43000000005,327331.15,1315495.409,328730.43000000005,1399.28,n.d.,851493.59,2519195.75,2519195.75,904261.28,EURO MUEBLE BRU SA_resum
