Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,299557.29000000004,n.d.,154197.8,346451.0,23673.13,n.d.,n.d.,29942.52,15501.34,20796.41,36297.75,n.d.,29942.52,599036.51,21538.44,n.d.,12624.62,12624.62,67200,n.d.,67200,n.d.,0.0,786654.73,n.d.,769246.52,n.d.,1.0,-9363.81,17408.21,124255.28,252585.51,46403.59,0,42258.72899999999,299557.29000000004,42258.73,n.d.,8171.79,8171.79,20796.41,67200,8171.79,-12624.62,n.d.,124255.28,940852.53,940852.53,57836.19,EUROSTOCK DE BRU SL_resum
2022,299557.29000000004,n.d.,134079.25,346451.0,11447.25,n.d.,n.d.,25168.83,15432.04,7237.1,22669.14,n.d.,25168.83,590864.72,29230.74,n.d.,11221.89,11221.89,n.d.,n.d.,60000,n.d.,0.0,802156.07,n.d.,784747.8600000001,n.d.,1.0,-8100.120000000001,17408.21,108910.42,244413.72,52762.9,0,45813.310000000005,299557.29000000004,45813.310000000005,n.d.,-3984.79,-3984.79,7237.1,60000,-3984.79,-11221.89,n.d.,108910.42,936235.32,936235.32,51899.880000000005,EUROSTOCK DE BRU SL_resum
2021,299557.29000000004,n.d.,122962.64,346451.0,3080.18,n.d.,n.d.,32886.78999999999,22221.480000000003,-7919.41,14302.07,n.d.,32886.78999999999,594849.51,34615.350000000006,n.d.,11221.89,11221.89,n.d.,n.d.,57300,n.d.,0.0,817588.11,n.d.,800179.9,n.d.,1.0,-8382.58,17408.21,90075.85,248398.51,65219.41,0,46143.95,299557.29000000004,46143.95,n.d.,-19141.3,-19141.3,-7919.41,57300,-19141.3,-11221.89,n.d.,90075.85,940550.75,940550.75,48917.42,EUROSTOCK DE BRU SL_resum
2020,299557.29000000004,n.d.,122146.59,346451.0,-4755.0,n.d.,n.d.,33184.73,29424.39,-22957.5,6466.889,n.d.,33184.73,613990.81,29999.97,n.d.,11221.89,11221.89,46000,n.d.,46000,n.d.,0.0,839809.59,n.d.,822401.38,n.d.,1.0,-9533.140000000001,17408.21,88961.86,267539.81,68957.5,0,48408.08,299557.29000000004,48408.08,n.d.,-34179.39,-34179.39,-22957.5,46000,-34179.39,-11221.89,n.d.,88961.86,961956.18,961956.18,36466.86,EUROSTOCK DE BRU SL_resum
2019,306545.19,n.d.,132684.82899999997,346451.0,14809.21,-2403,n.d.,44544.9,21149.06,4044.88,25193.94,n.d.,44544.9,648170.2,22679.5,n.d.,10384.73,10384.730000000001,n.d.,n.d.,61000,n.d.,0.0,869233.98,n.d.,851825.7699999999,-2403,1.0,-15529.56,17408.21,88139.93,301719.2,59358.119,0,47203.42,306545.19,47203.42,n.d.,-6339.85,-6339.85,4044.88,63403,-6339.85,-10384.73,n.d.,88139.93,1001918.81,1001918.81,47873.44,EUROSTOCK DE BRU SL_resum
2018,278791.73000000004,n.d.,102631.11,346451.0,-202873.01,234854.51,n.d.,24480.81,35893.08,-228381.36,-192488.279,n.d.,24480.81,654510.05,43490.71,n.d.,10384.73,10384.730000000001,80070.43,n.d.,113722.78,n.d.,0.0,890383.04,n.d.,872974.8300000001,234854.51,1.0,-27865.84,17408.21,78150.3,308059.05,107249.63,0,59712.369,278791.73000000004,59712.37,n.d.,-238766.09,-238766.09,-228381.36,-121131.73,-238766.09,-10384.73,n.d.,78150.3,993014.15,993014.15,-148997.569,EUROSTOCK DE BRU SL_resum
2017,265791.72900000005,n.d.,301694.11,346451.0,-320173.39,491719.91000000003,n.d.,41263.02,37836.28,-347671.24,-309834.95900000003,221564.24000000002,262827.26,893276.14,74127.98,n.d.,10384.73,10384.730000000001,293609,n.d.,293609,n.d.,46.3,913276.12,n.d.,908867.91,491719.91000000003,3.0,-37596.07,4408.21,38866.850000000006,546825.14,149560.33,0,55902.36,265791.72900000005,55902.36,n.d.,-358009.67,-358009.67,-347671.24,-198110.90899999999,-358009.67,-10338.43,n.d.,38866.850000000006,1214970.23,1214970.23,-235660.68,EUROSTOCK DE BRU SL_resum
2016,265791.72900000005,n.d.,616890.13,346451.0,62199.32,124466.66,n.d.,32673.69,37836.28,34747.77,72584.049,553910.59,586584.2789999999,1251285.81,73434.45,n.d.,10384.73,10384.730000000001,298796.43000000005,n.d.,298796.43000000005,n.d.,0.0,951112.4,n.d.,946704.19,124466.66,2.0,-28311.27,4408.21,30305.85,904834.81,139582,0,50924.99,265791.72900000005,50924.99,n.d.,24363.04,24363.04,34747.77,174329.77000000002,24363.04,-10384.73,n.d.,30305.85,1568002.53,1568002.53,146018.5,EUROSTOCK DE BRU SL_resum
2015,265791.72900000005,n.d.,541855.6,346451.0,67290.52,136288.91999999998,n.d.,1048.2,37836.28,39979.42,77815.7,513384.27,514432.47,1226922.77,57578.28,n.d.,10525.18,10525.18,296396.4,n.d.,296420.74,n.d.,0.0,988948.68,n.d.,984540.47,136288.91999999998,2.0,-24737.838999999996,4408.21,27423.129999999997,880471.769,120152.4,0,38089.78,265791.72900000005,38089.78,n.d.,29454.24,29454.24,39979.42,160131.81999999998,29454.24,-10525.18,n.d.,27423.129999999997,1530804.28,1530804.28,135393.97999999998,EUROSTOCK DE BRU SL_resum
2014,265793.72900000005,n.d.,521169.59,346451.0,60597.17,124763.01,52073.27,10940.55,37836.28,33766.1,71602.38,469127.95,480068.5,1197467.21,54126.6,n.d.,11005.21,11005.210000000001,281383.24,n.d.,281576.24,n.d.,0.0,1026786.19,n.d.,1022377.98,124763.01,2.0,-31084.25,4408.21,41101.09,851016.21,123047.13,0,32621.57,265793.72900000005,84694.84,n.d.,22760.89,22760.89,33766.1,156813.229,22760.89,-11005.21,n.d.,41101.09,1547955.78,1547955.78,125728.979,EUROSTOCK DE BRU SL_resum
