Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,276949.13,705499.05,721718.97,9015.18,52467.08,1115790,n.d.,526865.31,31113.7,39112.98,70226.68000000001,16481.16,-162152.579,440886.59,24976.22,n.d.,10641.8,10641.8,1355593.0,7117.8,1355593.0,n.d.,0,812112.57,n.d.,229950.84,1115790.0,1,-144600.1,582161.73,178372.5,431871.41,200690.02,0,110496.77,276949.13,815995.8200000001,n.d.,28471.18,21353.38,39112.98,239803,21353.38,-10641.8,n.d.,1821.94,1533831.54,1533831.54,95202.9,FLAPS COMERCIAL SL_resum
2022,307547.78,429505.06,392402.52,9015.18,30636.329999999998,1580831,n.d.,300347.27,15556.849999999999,76421.38,91978.23,81545.98999999999,-47611.79899999999,419533.21,23045.84,n.d.,56315.4,16305.42,1845875.5,5026.5,1845875.5,n.d.,0,843226.2699999999,n.d.,261064.54,1580831.0,1,-150020.43,582161.73,10509.26,410518.029,188623.12,0,79042.73999999999,307547.78,508547.8,n.d.,20105.980000000003,15079.48,76421.38,265044.5,15079.48,-56315.4,n.d.,n.d.,1235628.79,1235628.79,75014.09,FLAPS COMERCIAL SL_resum
2021,340554.0,410213.82,464005.25,9015.18,n.d.,1038497.09,67628.98999999999,274883.83,n.d.,29022.52,29022.52,148814.5,13484.51,404453.73,22674.47,n.d.,16295.93,16295.93,1203152.56,3181.65,1261645.79,n.d.,0,858783.12,n.d.,276621.39,1038497.09,1,-171451.71000000002,582161.73,40306.92,395438.55,194126.18,0,99937.83,340554.0,577780.64,n.d.,12726.59,9544.94,29022.52,223148.7,9544.94,-16295.93,n.d.,296.94,1322788.37,1322788.37,51696.99,FLAPS COMERCIAL SL_resum
2020,327261.48000000004,255339.76,362051.1,9015.18,n.d.,543608.3200000001,118895.53,161244.17,n.d.,25921.52,25921.52,160450.4,66354.81,394908.79,34428.47,n.d.,17544.280000000002,17544.280000000002,717745.38,2094.3100000000004,717745.38,n.d.,0,848783.12,n.d.,266621.39,543608.3200000001,2,-113787.07,582161.73,40356.53,385893.61,148215.54,0,114428.66,327261.48000000004,488663.95,n.d.,8377.240000000002,6282.929999999999,25921.52,174137.06,6282.929999999999,-17544.280000000002,n.d.,346.55,1210834.22,1210834.22,60349.99,FLAPS COMERCIAL SL_resum
2019,355806.27,179756.37999999998,431859.22,9015.18,n.d.,1025592.06,225108,226285.65,n.d.,37069.350000000006,37069.350000000006,165217.04,211746.31,388625.86,45197.84,n.d.,20843.1,20843.1,1234254.92,4056.56,1234254.92,n.d.,0,832103.12,n.d.,249941.39,1072630.5,2,-126395.67000000001,582161.73,40356.53,379610.68,171593.51,0,114665.83,355806.27,519530.21,n.d.,16226.25,12169.69,37069.350000000006,208662.85899999997,12169.69,-20843.1,n.d.,346.55,1263962.34,1263962.34,82267.19,FLAPS COMERCIAL SL_resum
2018,383964.84,109309.98,447843.14,9015.18,n.d.,840149.05,279238.7,289308.01,n.d.,38114.15,38114.15,118178.6,298176.63,376456.17,44115.84,n.d.,26641.94,26641.94,1044965.27,2868.05,1044965.27,n.d.,0,832103.12,n.d.,249941.39,840149.05,2,-122586.23,582161.73,40356.53,367440.9900000001,166702.07,0,130976.57,383964.84,519525.25,n.d.,11472.21,8604.16,38114.15,204816.219,8604.16,-26641.94,n.d.,346.55,1279946.26,1279946.26,82229.989,FLAPS COMERCIAL SL_resum
2017,366729.4,239635.2,552192.9600000001,9015.18,n.d.,660129.15,261474.49,243171.93,n.d.,31746.71,31746.71,160136.6,163673.33,367852.01,40555.48,n.d.,23379.94,23379.94,850787.08,2091.69,854214.6789999999,n.d.,0,832103.12,n.d.,249941.39,693666.73,2,-121783.34,582161.73,148884.43,358836.83,162338.81999999998,0,148604.97999999998,366729.4,649714.6699999999,n.d.,8366.77,6275.08,31746.71,194085.52899999998,6275.08,-23379.94,n.d.,346.55,1384296.08,1384296.08,72302.19,FLAPS COMERCIAL SL_resum
2016,361984.76,182339.58,583513.93,9015.18,n.d.,1207131.33,205680.49,307012.03,n.d.,43069.64,43069.64,127964.02,252636.47,361576.93000000005,86812.68000000001,n.d.,33929.71,33929.71,1490669.06,2284.98,1490669.06,n.d.,0,808959.66,n.d.,226797.93,1207131.33,2,-153655.41,582161.73,148537.87999999998,352561.75,240468.09,0,280891.83,361984.76,668911.9,n.d.,9139.93,6854.95,43069.64,283537.73000000004,6854.95,-33929.71,n.d.,n.d.,1392473.59,1392473.59,129882.319,FLAPS COMERCIAL SL_resum
2015,381062.6,171728.34,392148.64,9015.18,n.d.,844624.879,114444.439,169850.75,n.d.,46990.96,46990.96,222297.88999999998,220420.3,354721.98000000004,131968.97,n.d.,42939.2,42939.2,1159882.65,1012.94,1159882.65,n.d.,0,814331.56,n.d.,232169.83,927965.32,3,-136297.84,582161.73,n.d.,345706.8,268266.81,126.19,184396.65,381188.79,470569.43000000005,n.d.,4051.76,3038.82,46990.96,315257.76900000003,3038.82,-42939.2,n.d.,n.d.,1206480.2,1206480.2,178959.93,FLAPS COMERCIAL SL_resum
2014,388734.07,504652.81,649671.74,9015.18,16114.82,2146675.94,185572.84,510714.29,7063,88027.34,95090.34,138957.44999999998,145018.93,351683.16,102734.74,n.d.,74390.48,74390.48,2528964.63,4585.04,2528964.63,n.d.,0,907718.87,n.d.,215557.14,2148312.2800000003,2,-184463.61000000002,692161.7289999999,n.d.,342667.98000000004,294261.35,0,126747.73,388734.07,816973.38,n.d.,13636.86,9051.82,88027.34,382288.689,9051.82,-74390.48,n.d.,n.d.,1557390.61,1557390.61,197825.08,FLAPS COMERCIAL SL_resum
