Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,102859.86,32355.56,954039.16,84141.69,37069.840000000004,253335.93,5899,157476.64,17181.21,26736.89,43918.1,10053.4,135174.47999999998,984886.86,225679.88,n.d.,6848.26,6848.26,591448.52,n.d.,608796.6799999999,n.d.,0.0,253376.96,n.d.,228495.94,253335.93,7.0,-85862.769,24881.02,786509.12,900745.17,328723.86,0,81414.84,102859.86,119669.4,n.d.,19888.63,19888.63,26736.89,355460.75,19888.63,-6848.26,n.d.,576.65,1207416.12,1207416.12,269597.98000000004,FRED LLORET SA_resum
2022,146901.75,24680.29,953204.72,84141.69,n.d.,176021.81999999998,30553.95,104195.18,n.d.,11963.83,11963.83,41614.08,121128.97,964998.23,197344.61,n.d.,7878.68,7878.68,457613.64,n.d.,475158.41,n.d.,0.0,270466.13,n.d.,245585.11,176021.81999999998,7.0,-89828.15000000001,24881.02,807395.4600000001,880856.54,287172.76,0,56536.63,146901.75,111770.87,n.d.,4085.15,4085.15,11963.83,299136.59,4085.15,-7878.68,n.d.,373.09,1223670.85,1223670.85,209308.439,FRED LLORET SA_resum
2021,205603.25,42502.67,1026506.83,84141.69,n.d.,141473.49,40782.39,86910.87000000001,n.d.,-19766.31,-19766.31,24356.34,68764.54,960913.08,194945.84,n.d.,9334.26,9334.26,359318.03,n.d.,365918.03,n.d.,7.15,269832.49000000005,n.d.,245585.11,141473.49,6.0,-49265.01,24247.38,915239.62,876771.39,244210.84999999998,0,46537.93,205603.25,129822.99,n.d.,-29093.42,-29093.42,-19766.31,224444.54,-29093.42,-9327.11,n.d.,2242.3,1296339.32,1296339.32,175186.68,FRED LLORET SA_resum
2020,260528.24,24052.329999999998,1086549.34,84141.69,16568.759,209711.87999999998,1011.8299999999999,98142.23,17181.21,11489.64,28670.85,8764.9,82854.799,990006.5,187559.57,n.d.,10695.9,10695.9,533116.31,1436.28,533116.31,n.d.,30.09,254597.42,n.d.,230350.04,209711.88,5.0,-107174.01,24247.38,979642.21,905864.81,311914.79000000004,0,65547.86,260528.24,90612.02,n.d.,823.8299999999999,-612.449,11489.64,323404.43000000005,-612.449,-10665.81,n.d.,94141.2,1341146.76,1341146.76,216260.509,FRED LLORET SA_resum
2019,113349.89,32826.949,961750.89,84141.69,23404.86,262275.94,14643.869999999999,86714.37000000001,16819.109999999997,18131.4,34950.51,9853.62,63741.04,990618.95,158858.94,n.d.,9566.48,9566.48,650690.01,2195.25,652902.38,n.d.,216.08,259173.58,n.d.,240933.6,262275.94,5.0,-196816.99,18239.980000000003,865182.899,906477.26,372495.04,0,69484.81,113349.89,116955.63,n.d.,8781.0,6585.75,18131.4,390626.44,6585.75,-9350.4,n.d.,5474.7,1220924.47,1220924.47,194025.53,FRED LLORET SA_resum
2018,148218.19,42927.07,987050.71,84141.69,52133.64,433686.72000000003,60952.619999999995,120785.88,18484.91,49788.66,68273.57,58108.380000000005,135967.19,984033.2,199129.5,n.d.,11531.59,11531.59,843453.71,4608.34,843453.71,n.d.,0.0,266183.58,n.d.,254014.64,433686.72,6.0,-142363.91999999998,12168.94,808156.4500000001,899891.51,359978.329,0,17103.21,148218.19,120982.9,n.d.,38257.07,33648.72899999999,49788.66,409766.99000000005,33648.72899999999,-11531.59,n.d.,6661.150000000001,1253234.29,1253234.29,267403.07,FRED LLORET SA_resum
2017,167325.83,67527.68000000001,1058112.37,84141.69,48749.159999999996,240819.77000000002,60250.86,97244.82,16882.38,53342.42,70224.8,111790.98,141508.12,950384.47,178975.28,n.d.,21475.64,21475.64,546045.9400000001,n.d.,546048.73,n.d.,0.0,195357.62,n.d.,154949.93,240819.77,5.0,-56028.880000000005,40407.69,849076.57,866242.7799999999,251886.54,0,7981.150000000001,167325.83,135759.69,n.d.,31866.78,31866.78,53342.42,305228.95900000003,31866.78,-21475.64,n.d.,5850.46,1253469.99,1253469.99,249200.08,FRED LLORET SA_resum
2016,198570.0,65486.98,1042616.06,84141.69,9451.43,163150.81,74214.65000000001,127369.4,19214.24,12440.06,31654.3,96244.36,158126.78,918517.69,202797.47,n.d.,22202.87,22202.87,456555.52,n.d.,456555.52,n.d.,0.0,312615.25,n.d.,300446.31,163150.81,6.0,-58952.94,12168.94,819002.2989999999,834376.0,280964.64999999997,0,98441.99,198570.0,238143.62,n.d.,-9762.81,-9762.81,12440.06,293404.71,-9762.81,-22202.87,n.d.,5833.84,1355231.31,1355231.31,234451.77,FRED LLORET SA_resum
2015,228147.78,27166.55,994867.68,84141.69,173503.71000000002,176910,81354.6,103752.89,19214.24,186035.29,205249.53,100964.34,177550.68,928280.5,200999.37,n.d.,31745.82,31616.82,466004.41,n.d.,466004.41,n.d.,0.0,331829.49000000005,n.d.,319660.55,176910.0,6.0,117154.489,12168.94,790150.4500000001,844138.809,103059.12000000001,0,61747.74,228147.78,170268.88999999998,n.d.,154289.47,154289.47,186035.29,289094.41000000003,154289.47,-31745.82,n.d.,3508.8300000000004,1326697.1700000002,1326697.1700000002,406119.899,FRED LLORET SA_resum
2014,104125.95,15864.08,659688.38,84141.69,-90230.019,155886.37,267234.83999999997,97792.48,22835.1,-75286.29,-52451.189,116006.6,197935.0,773991.03,231281.45,n.d.,37778.83,37778.83,406597.87,n.d.,406597.87,n.d.,0.0,567702.23,n.d.,555533.2899999999,155886.37,6.0,-71881.23999999999,12168.94,445889.3,689849.3400000001,325997.79000000004,0,66174.70999999999,104125.95,349273.63,n.d.,-113065.12,-113065.12,-75286.29,250711.5,-113065.12,-37778.83,n.d.,1846.31,1227390.61,1227390.61,178830.26,FRED LLORET SA_resum
