Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,42793.39,1581011.59,72121.45,232469.72,891648.04,n.d.,335118.43000000005,61454.54,227898.0,289352.54,426755.07,719080.11,1517450.23,302282.35,n.d.,2209.5,2209.5,1834065.72,57005.06,1834134.72,n.d.,2331.74,214015.18,583.2700000000001,212431.91,891648.04,6.0,-350851.79000000004,1000,819138.09,1445328.78,714588.6789999999,7501.46,227281.69,7501.46,270075.08,n.d.,228020.24,171015.18,227898.0,942486.6789999999,171015.18,122.239,n.d.,819138.09,1795026.77,1795026.77,593966.63,FREIXA RIGAU SA_resum
2022,n.d.,298460.22000000003,1560594.39,72121.45,253357.87,948555.1699999999,n.d.,436691.59,74846.58,239580.79,314427.37,289898.43000000005,428129.8,1359956.2,218481.19,n.d.,1565.74,1565.74,1798993.61,59503.76,1799444.05,n.d.,0,275469.72000000003,887.58,273582.14,948555.17,5.0,-317980.32,1000,834004.37,1287834.75,611308.09,7501.46,170146.229,7501.46,468606.45,n.d.,238015.05,178511.289,239580.79,850888.88,178511.289,-1565.74,n.d.,712407.89,1836064.11,1836064.11,532908.559,FREIXA RIGAU SA_resum
2021,n.d.,238078.16,1248664.1800000002,72121.45,218704.789,1037379.76,n.d.,311820.49000000005,81782.12000000001,183410.39,265192.51,155878.5,229620.83,1225135.94,173094.68,n.d.,1588.6799999999998,1588.6799999999998,1698396.5,45683.51,1698437.05,n.d.,784.47,350316.3,1479.6499999999999,347836.65,1037379.76,3.0,-222770.1,1000,780965.19,1153014.49,477646.89900000003,22668.71,113097.67,22668.71,351175.83,n.d.,182606.18,136922.669,183410.39,661057.2899999999,136922.669,-804.21,n.d.,659368.71,1598980.48,1598980.48,439071.66,FREIXA RIGAU SA_resum
2020,n.d.,9457.07,955468.91,72121.45,135289.29,638388.11,n.d.,224266.65,79567.52,75053.97,154621.49,387964.44,602774.02,1114950.6700000002,138292.63,n.d.,758.2800000000001,758.2800000000001,1081932.1,18573.92,1081932.1,n.d.,0,432098.42,2403.56,428694.86,638388.11,4.0,-150629.87,1000,343237.82,1042829.22,368490.02,9111.18,254048.41,9111.18,263505.47900000005,n.d.,74295.69,55721.77,75053.97,443543.99000000005,55721.77,-758.2800000000001,n.d.,337873.57,1387567.33,1387567.33,292914.12,FREIXA RIGAU SA_resum
2019,n.d.,184808.29,924848.52,72121.45,103142.769,911956.9600000001,n.d.,344592.93000000005,58293.62,67610.43999999999,125904.06,376622.0,536406.639,1059228.8990000002,130833.03,n.d.,3817.99,3817.99,1303023.09,18943.3,1303023.09,n.d.,0,369525.94,3339.4700000000003,365186.47,911956.96,3.0,-134329.04,1000,203633.59,987107.45,323455.689,9111.18,41226.09,9111.18,226034.38,n.d.,63792.45,44849.149,67610.43999999999,391066.13,44849.149,-3817.99,n.d.,198269.34,1294374.46,1294374.46,256737.089,FREIXA RIGAU SA_resum
2018,n.d.,124729.40999999999,836380.56,72121.45,100731.61,871776.7799999999,7918.39,294032.8,57615.78,61841.880000000005,119457.66,375571.12,544874.509,951798.9,128521.48,n.d.,992.32,992.32,1238062.26,17928.129999999997,1238091.52,n.d.,194.4,329653.3,4275.38,324377.92000000004,871776.7799999999,2.0,-118335.6,1000,166776.64,879677.4500000001,304472.86,10720.9,70866.26,10720.9,203514.06,n.d.,61043.96,43115.83,61841.880000000005,366314.74,43115.83,-797.92,n.d.,166776.64,1166033.86,1166033.86,248173.54,FREIXA RIGAU SA_resum
2017,n.d.,116863.54,762776.0,72121.45,125413.64,728475.39,12364.140000000001,294436.82,58665.66,93702.56,152368.22,345600.68,523173.96,913512.22,123375.59,n.d.,1503.6699999999998,1503.6699999999998,1112461.32,25528.22,1135032.41,n.d.,77.31,379565.88,5330.04,374235.84,728475.39,2.0,-130813.209,n.d.,122738.5,841390.769,312854.46,12330.62,87271.35900000001,12330.62,216499.04,n.d.,92276.2,66747.979,93702.56,406557.02,66747.979,-1426.36,n.d.,122738.5,1142341.88,1142341.88,275821.119,FREIXA RIGAU SA_resum
2016,27942.260000000002,185570.53,950747.2,72121.45,74077.16,639479.4500000001,24533.41,314376.63,58709.57,27186.84,85896.40999999999,405611.58,534417.6789999999,856820.2799999999,132507.769,n.d.,3125.86,3125.86,981862.83,8693.39,981862.83,n.d.,0,423681.54,6939.42,416742.12,639479.4500000001,2.0,-123979.19900000001,n.d.,230758.99,784698.8300000001,315196.53900000005,15733.96,263828.3,43676.219999999994,473932.24,n.d.,24060.980000000003,15367.59,27186.84,342383.38,15367.59,-3125.86,n.d.,230758.99,1374428.74,1374428.74,218404.179,FREIXA RIGAU SA_resum
2015,69107.73999999999,101318.43999999999,1010324.07,72121.45,65393.64,700838.88,40722.44,323039.86,48643.07,33813.87,82456.93999999999,455244.46,676965.88,855300.2799999999,134667.9,n.d.,8212.98,8212.98,996170.04,8850.32,996170.04,n.d.,0,417258.65,9045.49,408213.16,700838.88,2.0,-78206.32,n.d.,232039.75,783178.829,261517.289,20349.829999999998,340783.99000000005,89457.57,482824.87,n.d.,25600.89,16750.57,33813.87,295331.16,16750.57,-8212.98,n.d.,232039.75,1427582.72,1427582.72,217124.84,FREIXA RIGAU SA_resum
2014,94806.68000000001,131202.59,925726.91,72121.45,54618.67,640978.72,n.d.,343677.96,40803.45,25075.56,65879.009,502534.02,715009.39,864675.16,122199.56,n.d.,6605.27,6605.27,944193.16,4655.07,944193.16,n.d.,0,418049.16,7846.78,410202.38,640978.72,2.0,-115135.87000000001,n.d.,79514.93,792553.71,278138.88,7174.44,245917.199,101981.12000000001,377119.79,n.d.,18470.29,13815.22,25075.56,303214.44,13815.22,-6605.27,n.d.,79514.93,1343776.07,1343776.07,188078.569,FREIXA RIGAU SA_resum
