Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,127754.77,197808.19,604265.15,109000.0,10100.29,417180.61,5374.35,179104.3,4757.92,19870.75,24628.67,205100.0,186396.11,239505.01,373118.11,n.d.,12932.61,12932.61,878714.02,1595.77,878714.02,n.d.,0.0,45531.51,n.d.,45154.58,417180.61,11.0,-63786.63,376.93,220060.85,130505.01,441662.66,0,79354.34,127754.77,282536.88,n.d.,6938.14,5342.37,19870.75,461533.41000000003,5342.37,-12932.61,n.d.,54041.93,649796.66,649796.66,397746.779,FUSTA VERDA SL_resum
2022,150276.87,76227.6,451751.48,109000.0,11978.03,338966.41000000003,954.2,90689.39,8396.12,11687.52,20083.64,128065.0,142526.79,234162.64,311338.91000000003,n.d.,6911.64,6911.64,725828.4400000001,1193.97,725828.4400000001,n.d.,0.0,50289.43,n.d.,49912.5,338966.41000000003,10.0,-55439.48,376.93,232997.09,125162.64,375174.509,0,40419.6,150276.87,117601.4,n.d.,4775.88,3581.9100000000003,11687.52,386862.02900000004,3581.9100000000003,-6911.64,n.d.,75742.73999999999,502040.91,502040.91,331422.55,FUSTA VERDA SL_resum
2021,104867.8,41815.159999999996,388904.9900000001,109000.0,7361.809,308288.79000000004,n.d.,115487.36,4431.13,9823.53,14254.66,102385.0,176057.199,230580.73,204345.69,n.d.,5915.95,5915.95,596217.1,976.9,596217.1,n.d.,0.0,55047.350000000006,n.d.,54670.42,308288.79000000004,7.0,-69327.95999999999,376.93,171032.63,121580.73,278104.78,0,66688.649,104867.8,108503.81,n.d.,3907.58,2930.68,9823.53,287928.31,2930.68,-5915.95,n.d.,51944.119999999995,443952.34,443952.34,218600.35,FUSTA VERDA SL_resum
2020,28739.609999999997,66260.509,310399.16,109000.0,6396.74,273592.82,n.d.,123758.2,4467.5,10369.63,14837.13,104784.0,162281.691,227650.05,203380.32,n.d.,7797.31,7797.31,583666.93,643.08,583666.93,n.d.,0.0,52962.16,n.d.,52585.23,273592.82,6.0,-91856.65900000001,376.93,81856.95999999999,118650.05,299704.48000000004,0,40711.15,28739.609999999997,106971.66,n.d.,2572.32,1929.24,10369.63,310074.11,1929.24,-7797.31,n.d.,25612.24,363361.32,363361.32,218217.45,FUSTA VERDA SL_resum
2019,n.d.,100027.43,339940.13,109000.0,7359.08,422408.83,n.d.,72830.26,2334.8500000000004,10086.26,12421.11,98400.0,71202.83,225720.81,165186.25,n.d.,3387.28,3387.28,657726.24,1674.75,657726.24,n.d.,0.0,36059.5,n.d.,35682.57,422408.83,6.0,-57710.049,376.93,168709.87,116720.81,225231.15,0,50251.39,n.d.,150278.81999999998,n.d.,6698.98,5024.23,10086.26,235317.40899999999,5024.23,-3387.28,n.d.,109416.18000000001,375999.63,375999.63,177607.36,FUSTA VERDA SL_resum
2018,29740.88,26547.75,278640.87,109000.0,5388.72,234213.25,n.d.,40575.32,2474.36,5385.320000000001,7859.68,129600.0,143627.57,220696.58,113145.29,n.d.,1499.5,1499.5,411916.95,971.46,411916.95,n.d.,0.0,27588.42,n.d.,27211.49,234213.25,4.0,-56698.72899999999,376.93,108465.549,111696.58,172318.379,0,29244.08,29740.88,55791.83,n.d.,3885.82,2914.36,5385.320000000001,177703.7,2914.36,-1499.5,n.d.,52769.49,306229.29000000004,306229.29000000004,121004.97,FUSTA VERDA SL_resum
2017,900.8199999999999,20360.260000000002,253171.39,109000.0,6514.83,245253.49,n.d.,45807.56,2625.3,8029.25,10654.55,119750.0,145197.3,217782.22,80879.62000000001,n.d.,2843.21,2843.21,405589.17,1296.51,405589.17,n.d.,0.0,32246.64,n.d.,31869.71,245253.49,4.0,-68801.51,376.93,87613.83,108782.22,152306.43,0,46374.73,900.8199999999999,66734.98999999999,n.d.,5186.04,3889.529,8029.25,160335.68,3889.529,-2843.21,n.d.,25925.64,285418.03,285418.03,91534.17,FUSTA VERDA SL_resum
2016,45066.14,35769.689999999995,379242.09,109000.0,n.d.,205942.24000000002,n.d.,86915.64,n.d.,35657.71,35657.71,129500.0,180645.95,213892.69,42613.98,n.d.,8452.51,8452.51,309055.3,6801.3,309055.3,n.d.,0.0,34871.94,n.d.,34495.01,205942.24,3.0,-24841.37,376.93,162826.449,104892.69,67455.35,0,119385.51,45066.14,155155.2,n.d.,27205.2,20403.9,35657.71,103113.06,20403.9,-8452.51,n.d.,136133.21000000002,414114.03,414114.03,78271.69,FUSTA VERDA SL_resum
2015,249011.29,22999.980000000003,220591.53,109000.0,-18250.429,123701.79,3.53,55849.49,975.4499999999999,-6154.49,-5179.04,129500.0,162349.509,193488.79,31565.64,n.d.,19480.02,19480.02,170364.41,-6408.63,170364.41,n.d.,0.0,294426.27,n.d.,287640.71,123701.79,3.0,-20276.02,6785.56,35242.04,84488.79,52817.11,0,49514.21,249011.29,72517.72,n.d.,-25634.51,-19225.879,-6154.49,46662.619999999995,-19225.879,-19480.02,n.d.,1048.44,515017.8,515017.8,26386.6,FUSTA VERDA SL_resum
2014,253803.58,11779.08,240382.36,109000.0,31187.04,177915.51,n.d.,105390.31,27787.93,25845.83,53633.76,129500.0,223111.23,212714.67,82878.78,n.d.,21313.69,21313.69,348789.36,1133.04,348789.36,n.d.,0.01,288793.09,n.d.,288616.16,177915.51,5.0,-34361.310000000005,176.93,5492.049,103714.67,145028.02,0,50878.12,253803.58,62657.2,n.d.,4532.150000000001,3399.109,25845.83,170873.849,3399.109,-21313.68,n.d.,2707.1,529175.449,529175.449,136512.55,FUSTA VERDA SL_resum
