Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,5073.29,51239.54,218289.87,3006.0,22182.13,233901.97,12242.46,34883.61,4391.0,24736.41,29127.41,24968.0,8612.07,126123.88,104457.45,n.d.,1159.21,1159.21,430880.91,5786.07,430880.91,n.d.,0,18365.24,n.d.,18365.24,256069.97,4,-63394.079,n.d.,158438.26,123117.88,172242.52899999998,0,41975.94,5073.29,105457.94,n.d.,23577.2,17791.129999999997,24736.41,196978.93899999998,17791.129999999997,-1159.21,n.d.,155346.57,236655.11,236655.11,133584.85899999997,FUSTERIA D'ALUMINI SAMI SL_resum
2022,8910.17,32108.17,172368.87999999998,3006.0,42630.14,259241.55,7327.39,36480.71,3211.44,54768.7,57980.14,2800.0,7172.54,108504.75,89379.87000000001,n.d.,930.62,930.62,456492.04,14419.38,456766.959,n.d.,0,22756.24,n.d.,22756.24,259241.55,4,-50165.4,n.d.,133088.169,105498.75,142756.71000000002,0,38274.64,8910.17,77710.2,n.d.,53838.08,39418.7,54768.7,197525.40899999999,39418.7,-930.62,n.d.,130651.42,195125.12,195125.12,147360.01,FUSTERIA D'ALUMINI SAMI SL_resum
2021,13261.52,31910.69,134239.76,3006.0,14301.71,254664.78,1415.01,43777.73,3114.42,17134.06,20248.480000000003,2800.0,14667.04,69086.05,92740.15,n.d.,909.29,909.29,417443.9900000001,5037.48,417761.9900000001,n.d.,0,15432.18,n.d.,15432.18,254664.78,4,-50108.58,n.d.,87662.03,66080.05,145963.15,0,33998.67,13261.52,67324.37000000001,n.d.,16224.77,11187.29,17134.06,163097.21000000002,11187.29,-909.29,n.d.,87547.03,149671.94,149671.94,112988.62900000002,FUSTERIA D'ALUMINI SAMI SL_resum
2020,15000,28199.3,102735.25,3006.0,7765.469,164359.09,38.61,39294.52,1336.61,10927.08,12263.69,2800.0,13895.219,57898.76,76053.02,n.d.,1110.88,1110.88,294389.11,3452.12,294389.11,n.d.,64.78,4827.59,n.d.,4827.59,164359.09,2,-41713.310000000005,n.d.,60640.72899999999,54892.76,119102.93999999999,0,6426.17,15000,34664.08,n.d.,9880.98,6428.860000000001,10927.08,130030.019,6428.860000000001,-1046.1,n.d.,57044.82,107562.84,107562.84,88381.48999999999,FUSTERIA D'ALUMINI SAMI SL_resum
2019,833.3399999999999,14292.62,76457.95999999999,3006.0,10104.15,186459.11000000002,257.339,41933.93,1306.02,14577.16,15883.18,2800.0,30441.309,51469.9,73722.0,n.d.,1220.1799999999998,1220.1799999999998,327586.07,4558.85,327586.07,n.d.,0,6164.2,n.d.,6164.2,186459.11,2,-51521.78,n.d.,31724.03,48463.899,126549.8,0,15768.96,833.3399999999999,30318.92,n.d.,13356.98,8798.130000000001,14577.16,141126.96,8798.130000000001,-1220.1799999999998,n.d.,31609.03,82622.16,82622.16,89605.18000000001,FUSTERIA D'ALUMINI SAMI SL_resum
2018,n.d.,19115.79,95292.92,3006.0,21273.02,136906.13,1951.73,63655.46,1421.77,27145.64,28567.41,2800.0,47339.669,42671.77,69409.3,n.d.,677.3,677.3,284042.24,6617.09,284042.24,n.d.,0,1650.22,n.d.,1650.22,136906.13,3,-49159.4,n.d.,28837.460000000003,39665.77,119990.47,0,33203.850000000006,n.d.,54271.37,n.d.,26468.34,19851.25,27145.64,147136.11000000002,19851.25,-677.3,n.d.,28757.460000000003,96943.14,96943.14,97976.71,FUSTERIA D'ALUMINI SAMI SL_resum
2017,n.d.,20975.73,91446.61,3005.9300000000003,11949.259,191325.43,8435,63543.82,2427.8900000000003,12905.05,15332.939,6100.0,48668.09,22820.52,63445.26,n.d.,710.64,710.64,313716.73000000004,2673.04,313716.73000000004,n.d.,0,3071.99,n.d.,3071.99,163025.43,3,-43613.1,n.d.,21802.79,19814.59,109486.25,0,42287.350000000006,n.d.,71698.08,n.d.,12194.41,9521.369,12905.05,122391.299,9521.369,-710.64,n.d.,21722.79,94518.6,94518.6,78778.2,FUSTERIA D'ALUMINI SAMI SL_resum
2016,n.d.,24097.45,78616.9,3005.9300000000003,7672.68,157696.18,n.d.,26827.45,3015.86,5280.84,8296.7,41480.0,44210.0,13299.15,55076.350000000006,n.d.,624.02,624.02,260660.9,n.d.,260660.9,n.d.,0,4508.14,n.d.,4508.14,157696.18,1,-39591.67,n.d.,10309.45,10293.22,97683.87900000002,0,45728.44,n.d.,69825.89,n.d.,4656.820000000001,4656.820000000001,5280.84,102964.72,4656.820000000001,-624.02,n.d.,10229.45,83125.04,83125.04,63373.049,FUSTERIA D'ALUMINI SAMI SL_resum
2015,n.d.,14893.79,84061.31,3005.9300000000003,3032.86,166983.65,3574.79,33777.23,1351.21,2566.07,3917.28,41480.0,60363.44,8642.33,53849.87,n.d.,884.42,884.42,265414.75,n.d.,265834.75,n.d.,0,7243.94,n.d.,7243.94,166983.65,1,-41083.950000000004,n.d.,8804.08,5636.4,96285.03,0,64194.34,n.d.,82662.92,n.d.,1681.65,1681.65,2566.07,98851.1,1681.65,-884.42,n.d.,8724.08,91305.25,91305.25,57767.15,FUSTERIA D'ALUMINI SAMI SL_resum
2014,n.d.,21514.960000000003,100686.75,3005.9300000000003,7439.360000000001,113525.1,4233.17,50460.51,6794.98,1851.72,8646.699,41480.0,70425.55,6960.68,38813.6,n.d.,1207.34,1207.34,199350.69,n.d.,199350.69,n.d.,0,6287.94,-3628.19,9916.13,113525.1,n.d.,-38365.28999999999,n.d.,8746.240000000002,3954.749,83973.87000000001,0,74265.88,n.d.,100014.01,n.d.,644.38,644.38,1851.72,85825.59,644.38,-1207.34,n.d.,8666.240000000002,106974.69,106974.69,47460.29899999999,FUSTERIA D'ALUMINI SAMI SL_resum
