Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,825852.51,60390.380000000005,212202.88,721200.0,452520.87,427492.64999999997,506559.08,14925.3,356892.76,165009.03,521901.79,2264.3500000000004,-43200.72899999999,1875238.74,1051159.33,n.d.,37769.98,37769.98,2601844.27,31876.04,2750999.92,n.d.,265.1,3405727.44,6064.48,2615297.2,427492.65,34.0,-750446.15,784365.76,195013.229,1154038.739,2158498.24,83187.35,266702.26,909039.86,833651.72,n.d.,127504.15,95628.109,165009.03,2323507.27,95628.109,-37504.880000000005,n.d.,103152.97,3617930.32,3617930.32,1573326.22,GENOVER 4 SL._resum
2022,1116867.1700000002,114383.38,246585.97,721200.0,535255.52,337602.23000000004,472348.93000000005,31385.3,378126.5,252205.22,630331.72,25788.65,-57209.43,1779610.63,998788.37,n.d.,42909.69,42909.69,2423887.55,52376.34,2557603.23,n.d.,209.83,3514184.74,2304.66,2678740.51,337602.23000000004,34.0,-590880.91,833139.57,189412.02,1058410.6290000002,1967795.78,91191.43999999999,186369.16,1208058.61,773101.47,n.d.,209505.36,157129.02,252205.22,2220001,157129.02,-42699.86,n.d.,113460.48,3760770.71,3760770.71,1629329.92,GENOVER 4 SL._resum
2021,1503999.63,52435.840000000004,368318.62,721200.0,496507.8,182524.88999999998,385374.18,53528.47,389950.63,190116.83,580067.4600000001,34171.01,35263.64,1622481.61,639003.57,n.d.,48202.3,48202.3,1565420.94,35533.759999999995,1801757.72,n.d.,176.4,3417375.64,1004.97,2562625.73,182524.89,28.0,-400161.8,853744.9400000001,280619.14,901281.61,1429116,41938.42,179464.58,1545938.05,617274.6,n.d.,142090.93,106557.169,190116.83,1619232.83,106557.169,-48025.9,n.d.,256270.16,3785694.26,3785694.26,1219247.43,GENOVER 4 SL._resum
2020,1511076.1900000002,11643.140000000001,169828.4,721200.0,60268.08,149345.22,424387.04,36194.52,282743.76,-242437.04,40306.72,30527.65,55079.03,1515924.44,380986.31,n.d.,52774.26,52774.26,712838.06,-72718.18000000001,832330.76,n.d.,17.439999999999998,3648861.99,2810.27,2736449.62,149345.22,26.0,-261692.509,909602.1,103106.23,794724.4400000001,925422.58,44779.77,310879.81,1555855.96,746909.99,n.d.,-295193.86,-222475.68,-242437.04,682985.54,-222475.68,-52756.82,n.d.,78460.93999999999,3818690.39,3818690.39,421310.47,GENOVER 4 SL._resum
2019,1649048.58,9447.61,308565.03,721204.12,276924.21900000004,256107.15,441049.75,23208.36,270618.93000000005,63701.55,334320.48000000004,34343.97,48104.72,1738400.12,917848.75,n.d.,55458.95,55458.95,1875466.52,2067.59,2001626.41,n.d.,130.28,3758435.79,25500.14,2881414.32,256107.15,30.0,-493350.03,851521.3300000001,251012.7,1017196.0,1681817.71,45307.77,183746.99,1694356.35,634244.3500000001,n.d.,8372.878999999999,6305.289,63701.55,1745519.26,6305.289,-55328.67,n.d.,194784.26,4067000.82,4067000.82,1252299.508,GENOVER 4 SL._resum
2018,1788716.64,12461.31,382422.95,721204.12,199758.8,253241.67,412770.75,61103.58,197340.33,179474.47999999998,376814.81,41319.36,89961.63,1732094.83,1004152.0,n.d.,176984.26,52266.01,1958379.56,403.54,2086016.13,n.d.,331.79,3731894.2,27308.53,2839018.07,253241.67,31.0,-451807.64999999997,865567.6,280000.01,1010890.71,1653299.98,44680.03,123593.59,1833396.67,548825.65,n.d.,2822.01,2418.4700000000003,179474.47999999998,1832774.46,2418.4700000000003,-176652.47,n.d.,223870.51,4114317.15,4114317.15,1256580.35,GENOVER 4 SL._resum
2017,1332824.49,23255.27,113285.82,721204.12,286800.86,322236.41000000003,318244.44,22072.77,280516.64,59995.07,340511.71,14575.26,13392.759,1730952.56,943595.74,n.d.,49619.65,49619.65,1856805.76,4161.02,1975075.39,n.d.,69.82,3466088.41,29343.29,2439697.88,322236.41000000003,29.0,-368731.53,997047.24,76637.79,1009748.44,1592843.91,47799.8,126297.669,1380624.29,467797.38,n.d.,10445.240000000002,6284.219,59995.07,1652838.98,6284.219,-49549.83,n.d.,31533.13,3579374.23,3579374.23,1284177.27,GENOVER 4 SL._resum
2016,1166079.65,14828.640000000001,125612.73,721204.12,280275.3,222476.56,290489.08,9346.76,260027.11,146535.87,406562.98,6719.51,1237.63,1726324.51,773726.93,n.d.,120334.42,50198.62,1660095.03,6615.38,1770947.77,n.d.,662.12,3180347.49,26728.82,2141436.2,222476.56,24.0,-368181.3,1012182.47,109546.46,1005120.389,1401935.3390000002,70932.33,37306.01,1237011.98,342623.73000000004,25000,26863.57,20248.19,146535.87,1548471.21,20248.19,-119672.3,n.d.,109486.46,3305960.22,3305960.22,1110816.23,GENOVER 4 SL._resum
2015,863499.91,41957.28,32846.23,721204.12,255940.2,135783.83,378872.13999999996,4610.95,248681.94,60026.22,308708.16,5703.21,-31643.12,1843543.51,695112.52,n.d.,51542.91,51542.91,1460474.06,1777.6,1576530.07,n.d.,552.55,3186743.38,23006.480000000003,2077363.06,135783.83,20.0,-436925.56,1086373.84,22532.07,1122339.39,1380720.019,43544.33,48172.44,907044.24,469001.86,n.d.,9035.86,7258.26,60026.22,1440746.24,7258.26,-50990.36,n.d.,22532.07,3219589.61,3219589.61,1004373.23,GENOVER 4 SL._resum
2014,850167.08,32606.420000000002,84343.32,721204.12,264612.21,193907.75,371395.41000000003,5880.95,243650.26,79964.8,323615.06,944.45,-25781.019,1840356.48,571395.06,n.d.,54318.9,51962.53,1418690.61,5240.49,1507546.23,n.d.,556.54,3076681.77,n.d.,2035537.29,193907.75,20.0,-418628.36,1041144.48,77517.92,1119152.3590000002,1233673.6800000002,45794.2,20705.5,895961.2799999999,424707.33,n.d.,26202.44,20961.949,79964.8,1313638.48,20961.949,-53762.36,n.d.,77517.92,3161025.09,3161025.09,893210.2899999999,GENOVER 4 SL._resum
