Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,108.5,457911.21,147007.56,110520.609,n.d.,n.d.,174811.08,18461.15,123752.05,142213.2,n.d.,174702.58,321929.94,517405.36,n.d.,0,n.d.,1510721.21,31904.13,1511106.21,n.d.,211.54,55061.78,n.d.,54863.75,n.d.,12,-851487.65,198.03,283100.13,174922.37999999998,1387354.1600000001,0,190934.55,n.d.,191043.05,n.d.,123963.59,92059.459,123752.05,1511106.21,92059.459,211.54,n.d.,283100.13,512972.9900000001,512972.9900000001,659830.1,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2022,n.d.,772.49,383881.02,147007.56,79213.82,n.d.,n.d.,158671.11000000002,21024.32,78776.56,99800.88,n.d.,157898.62,285513.95,503655.39,n.d.,0,n.d.,1179645.1900000002,20614.13,1179645.1900000002,n.d.,27.07,69935.55,n.d.,69737.52,n.d.,13,-576188.92,198.03,225209.91,138506.38999999998,1100868.6300000001,0,167530.13,n.d.,168302.62,n.d.,78803.63,58189.5,78776.56,1179645.1900000002,58189.5,27.07,n.d.,225209.91,453816.57,453816.57,603483.3400000001,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2021,n.d.,n.d.,346678.23000000004,147007.56,90050.07,n.d.,n.d.,105167.3,17425.18,98050.82,115476.0,n.d.,105167.3,303187.47000000003,465022.82,n.d.,0,n.d.,993878.99,25425.93,993878.99,n.d.,0.0,82256.9,n.d.,82058.87000000001,n.d.,12,-413380.17,198.03,241510.93,156179.91,895828.1699999999,0,125747.66,n.d.,125747.66,n.d.,98050.82,72624.89,98050.82,993878.99,72624.89,0.0,n.d.,241510.93,428935.13,428935.13,580498.8200000001,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2020,n.d.,n.d.,319867.47000000003,97964.97,53903.14,n.d.,n.d.,157761.65,11781.05,59774.24,71555.29,n.d.,157761.65,231939.57,488550.81,n.d.,0,n.d.,955840.39,17652.149999999998,956840.39,n.d.,0.0,58422.47,n.d.,58224.44,n.d.,12,-396734.29000000004,198.03,162105.81999999998,133974.599,897066.15,0,146350.37,n.d.,146350.37,n.d.,59774.24,42122.09,59774.24,956840.39,42122.09,0.0,n.d.,162105.81999999998,378289.94,378289.94,560106.1,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2019,n.d.,n.d.,484457.81,97964.97,116710.79,n.d.,n.d.,155390.9,8756.01,143939.76,152695.77000000002,n.d.,155390.9,314965.55,448236.24,n.d.,0.05,0.05,1088210.72,35984.93,1088210.72,n.d.,0.0,21917.47,n.d.,21719.44,n.d.,12,-487278.71,198.03,329066.91000000003,217000.58,944270.9600000001,0,191409.73,n.d.,191409.73,n.d.,143939.71000000002,107954.78,143939.76,1088210.72,107954.78,-0.05,n.d.,329066.91000000003,506375.28,506375.28,600932.01,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2018,n.d.,n.d.,489697.5,97964.97,114798.34,n.d.,n.d.,150422.33,5045.53,146337.09,151382.62,n.d.,150422.33,312010.77,444956.01,n.d.,0,n.d.,1070380.28,36584.28,1070380.28,n.d.,0.0,16694.84,32.27,16464.54,n.d.,11,-474041.64999999997,198.03,339275.17,214045.8,924043.19,0,194381.57,n.d.,194381.57,n.d.,146337.09,109752.81,146337.09,1070380.28,109752.81,0.0,n.d.,339275.17,506392.34,506392.34,596338.63,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2017,n.d.,n.d.,459961.5,97964.97,66815.25,n.d.,n.d.,169446.57,5549.78,81687.3,87237.08,n.d.,169446.57,318931.77,432450.23,n.d.,0,n.d.,1013644.41,20421.83,1013644.41,n.d.,0.0,18889.15,142.33,18548.79,n.d.,12,-493957.1,198.03,290514.93000000005,220966.8,931957.11,0,159918.879,n.d.,159918.87999999998,n.d.,81687.3,61265.47,81687.3,1013644.41,61265.47,0.0,n.d.,290514.93000000005,478850.65,478850.65,519687.31,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2016,n.d.,n.d.,476103.06,97964.97,104425.85,n.d.,n.d.,174131.13,8913.44,126865.75,135779.19,n.d.,174131.13,347666.3,396118.66,n.d.,0,n.d.,1013023.93,31370.81,1013023.93,n.d.,17.47,20514.42,252.39000000000001,20064.0,n.d.,11,-481126.079,198.03,301971.93000000005,249701.33,886158.1789999999,0,148951.18,n.d.,148951.18,n.d.,126883.22,95512.41,126865.75,1013023.93,95512.41,17.47,n.d.,301971.93000000005,496617.48,496617.48,531915.319,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2015,n.d.,n.d.,446076.03,97964.97,84325.77900000001,n.d.,n.d.,152207.51,13224.9,93848.34,107073.239,n.d.,152207.51,322153.89,393152.51,n.d.,6.23,6.23,951586.84,23233.63,951586.84,n.d.,492.4,13814.06,n.d.,13616.03,n.d.,11,-451361.09,198.03,293868.52,224188.92,857738.5,0,137736.2,n.d.,137736.2,n.d.,94334.51,71100.87900000002,93848.34,951586.8400000001,71100.87900000002,486.169,n.d.,293868.52,459890.09,459890.09,500718.15,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
2014,n.d.,n.d.,420715.42,97964.97,62163.21,n.d.,n.d.,141553.01,15722.17,58615.86,74338.03,n.d.,141553.01,301053.01,373974.98,n.d.,7.1499999999999995,7.1499999999999995,876241.13,15013.68,876241.13,n.d.,2846.01,17941.93,n.d.,17743.9,n.d.,11,-427928.12,198.03,279162.41000000003,203088.04,817625.2699999999,0,137604.34,n.d.,137604.34,n.d.,61454.72,46441.04,58615.86,876241.13,46441.04,2838.86,n.d.,279162.41000000003,438657.35,438657.35,451159.019,GESTORIA SANTIAGO FERNANDEZ CARBO SL_resum
