Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,n.d.,87547.42,15025.3,n.d.,187012.09,n.d.,38854.310000000005,n.d.,1666.56,1666.56,16450.0,55304.310000000005,273219.84,28965.44,n.d.,0.0,n.d.,224692.42,2729.14,224692.42,n.d.,9250.0,200000,n.d.,n.d.,187012.09,2.0,-7048.33,200000,32243.11,258194.54,36013.77,0,14327.58,n.d.,14327.58,n.d.,10916.56,8187.42,1666.56,37680.33,8187.42,9250.0,n.d.,32243.11,287547.42000000004,287547.42000000004,39882.0,GIROCUIRS SA_resum
2022,n.d.,n.d.,107139.96,15025.3,n.d.,383696.25,n.d.,68230.05,n.d.,4153.929999999999,4153.929999999999,15975.0,84205.05,442812.42,28965.44,n.d.,0.0,n.d.,423593.72,4413.48,423593.72,n.d.,13500.0,350000,n.d.,n.d.,383696.25,2.0,-6778.1,350000,22934.91,427787.12,35743.54,0,14327.54,n.d.,14327.54,n.d.,17653.93,13240.45,4153.929999999999,39897.469,13240.45,13500.0,n.d.,22934.91,457139.96,457139.96,46619.369,GIROCUIRS SA_resum
2021,n.d.,8006.75,138786.27000000002,15025.3,n.d.,563434.5,n.d.,33374.64,n.d.,18389.16,18389.16,11800.0,37167.89,607351.97,28965.44,n.d.,0.0,n.d.,618921.4600000001,9034.98,618921.4600000001,n.d.,17750.75,500000,n.d.,n.d.,563434.5,2.0,-8132.360000000001,500000,93611.63,592326.6699999999,37097.79899999999,0,23427.55,n.d.,31434.3,n.d.,36139.91,27104.93,18389.16,55486.959,27104.93,17750.75,n.d.,93611.63,638786.2699999999,638786.2699999999,65105.350000000006,GIROCUIRS SA_resum
2020,n.d.,6736.860000000001,191836.07,15025.3,n.d.,348629.76,n.d.,132050.22,n.d.,11950.89,11950.89,15220.0,140533.36,758027.04,28965.44,n.d.,0.0,n.d.,396515.86,8706.47,396515.86,n.d.,22875.0,650000,n.d.,n.d.,348629.76,2.0,-6969.7699999999995,650000,44565.850000000006,743001.74,35935.21,0,77072.17000000001,n.d.,83809.03,n.d.,34825.89,26119.42,11950.89,47886.098999999995,26119.42,22875.0,n.d.,44565.850000000006,841836.07,841836.07,63791.33,GIROCUIRS SA_resum
2019,n.d.,11533.26,127678.57,15025.3,n.d.,355674.13999999996,n.d.,35021.57,n.d.,10182.29,10182.29,35675.0,59163.310000000005,909687.62,24827.52,n.d.,123.54,123.54,398033.6,7042.160000000001,398033.6,n.d.,18109.89,800000,n.d.,n.d.,355674.14,1.0,-7349.650000000001,800000,56982.0,894662.3200000001,32177.17,0,6457.6900000000005,n.d.,17990.95,n.d.,28168.64,21126.480000000003,10182.29,42359.459,21126.480000000003,17986.35,n.d.,56982.0,927678.57,927678.57,53119.7,GIROCUIRS SA_resum
2018,n.d.,n.d.,305144.95,15025.3,n.d.,647563.9600000001,n.d.,250953.31,n.d.,-2217.15,-2217.15,25525.0,276478.31,888561.14,14482.72,n.d.,172.95000000000002,172.95000000000002,666409.39,4417.22,666409.39,n.d.,20058.97,600000,n.d.,n.d.,647563.9600000001,1.0,-6579.860000000001,600000,28666.64,873535.8400000001,21062.578999999998,0,16583.809999999998,n.d.,16583.809999999998,n.d.,17668.87,13251.649,-2217.15,18845.43,13251.649,19886.02,n.d.,12201.84,905144.95,905144.95,32324.539,GIROCUIRS SA_resum
2017,n.d.,11257.54,276229.66,15025.3,n.d.,497284.37,n.d.,95488.95,n.d.,-1902.94,-1902.94,13839.8,98071.209,875309.49,14482.72,n.d.,285.6,285.6,512093.1,5096.31,512093.1,n.d.,22573.78,616464.8,n.d.,n.d.,497284.37,1.0,-2228.9500000000003,616464.8,166900.91,860284.19,16711.668999999998,0,6127.429999999999,n.d.,17384.97,n.d.,20385.24,15288.93,-1902.94,14808.729000000001,15288.93,22288.18,n.d.,102970.82,892694.4600000001,892694.4600000001,35153.56,GIROCUIRS SA_resum
2016,n.d.,28830.760000000002,499125.1,15025.3,n.d.,679880.73,n.d.,104835.55,n.d.,-8153.7,-8153.7,12478.73,88483.52,860020.56,14482.72,n.d.,18.29,18.29,701092.54,2721.24,701092.54,n.d.,18996.84,400000,n.d.,n.d.,679880.73,1.0,-14882.79,400000,381810.82,844995.26,29365.51,0,10273.78,n.d.,39104.54,n.d.,10824.85,8103.610000000001,-8153.7,21211.809999999998,8103.610000000001,18978.55,n.d.,39346.68,899125.1,899125.1,25325.86,GIROCUIRS SA_resum
2015,n.d.,64848.68,577764.05,15025.3,n.d.,2586441.23,23508.34,212150.91,n.d.,13646.78,13646.78,15190.69,162492.91999999998,851916.9500000001,14482.72,n.d.,2030.75,2030.75,2683633.5,5863.96,2683633.5,n.d.,9326.68,400000,n.d.,n.d.,2586441.23,1.0,-69062.77,400000,350422.45,836891.65,83545.48999999999,0,37490.08,n.d.,125847.1,n.d.,20942.71,15078.75,13646.78,97192.27,15078.75,7295.929999999999,n.d.,133681.94999999998,977764.05,977764.05,37456.18,GIROCUIRS SA_resum
2014,n.d.,n.d.,1053382.72,15025.3,n.d.,2596697.8099999996,148773.67,652528.25,n.d.,61479.39,61479.39,64438.0,716966.25,836838.2,14482.72,n.d.,2663.63,2663.63,2744479.56,20184.53,2744479.56,n.d.,8466.01,n.d.,n.d.,n.d.,2621519.77,1.0,-71819.64,n.d.,336416.47000000003,821812.9,86302.36,0,67770.85,n.d.,216544.52,n.d.,67281.77,47097.24,61479.39,147781.75,47097.24,5802.38,n.d.,77688.35,1053382.72,1053382.72,84428.12000000001,GIROCUIRS SA_resum
2013,n.d.,n.d.,1083711.13,15025.3,n.d.,3230478.55,14229.6,852974.09,n.d.,91726.51,91726.51,39616.04,892590.13,1043740.96,14482.72,n.d.,8616.77,8616.77,3408816.88,25135.64,3408816.88,n.d.,675.71,n.d.,n.d.,n.d.,3230478.55,1.0,-72129.1,n.d.,191121.0,1028715.659,86611.82,0,25740.57,n.d.,39970.17,n.d.,83785.45,58649.810000000005,91726.51,178338.33,58649.810000000005,-7941.06,n.d.,190820.49,1083711.13,1083711.13,106884.94,GIROCUIRS SA_resum
2012,n.d.,25890.9,1166464.05,15025.3,n.d.,3002907.3899999997,83195.86,933660.53,n.d.,90938.28,90938.28,62985.39,970755.02,985091.14,14482.72,n.d.,11699.95,11699.949999999999,3166969.3,24881.72,3166969.3,n.d.,3700.72,n.d.,n.d.,n.d.,3002907.39,1.0,-58640.91,n.d.,169818.13,970065.84,73123.63,0,72286.15000000001,n.d.,181372.91,n.d.,82939.05,58057.33,90938.28,164061.90899999999,58057.33,-7999.23,n.d.,134759.57,1166464.05,1166464.05,109121.72,GIROCUIRS SA_resum
2011,34758.05,n.d.,1156120.22,15025.3,n.d.,3121763.8099999996,192242.81,795590.2899999999,n.d.,90503.05,90503.05,118147.77,913738.06,927033.81,12923.12,n.d.,9589.08,3410.51,3272831.91,26130.71,3273371.91,n.d.,6188.38,34758.05,n.d.,n.d.,3121763.81,1.0,-48181.93,34758.05,242382.16,912008.51,61105.05,0,36843.6,34758.05,229086.41,n.d.,87102.35,60971.64,90503.05,151608.1,60971.64,-3400.7,n.d.,192634.59,1190878.27,1190878.27,103435.98,GIROCUIRS SA_resum
2010,n.d.,n.d.,1062272.1,15025.3,n.d.,2952095.8,193074.67,584984.1,n.d.,108905.6,108905.6,199336.23,784320.3300000001,866062.1699999999,12923.12,n.d.,8338.66,8338.66,3129407.11,30975.9,3129407.11,n.d.,2686.05,100000,n.d.,n.d.,2952095.8,1.0,-55482.59,100000,277951.77,851036.87,68405.709,0,103135.26,n.d.,296209.93000000005,n.d.,103252.99,72277.09,108905.6,177311.31,72277.09,-5652.610000000001,n.d.,277651.26,1162272.1,1162272.1,124514.769,GIROCUIRS SA_resum
2009,n.d.,923.9599999999999,1180915.6900000002,15025.3,n.d.,2142192.069,367610.68,1061452.49,n.d.,54533.28999999999,54533.28999999999,85060.66,1145589.1900000002,793785.08,12923.12,n.d.,16637.527000000002,16637.527000000002,2259170.25,11379.8,2259170.25,n.d.,36.89,n.d.,n.d.,n.d.,2142192.069,1.0,-49521.77,n.d.,34402.54,778759.7799999999,62444.89,0,18595.969,n.d.,387130.61,n.d.,37932.65,26552.85,54533.28999999999,116978.18000000001,26552.85,-16600.637,n.d.,30742.03,1180915.6900000002,1180915.6900000002,67493.298,GIROCUIRS SA_resum
2008,n.d.,21.16,1092395.82,15025.3,n.d.,3396720.69,295061.91000000003,839690.2899999999,n.d.,93781.87,93781.87,171869.47,1011538.6,767232.23,12923.12,n.d.,22934.26,22934.260000000002,3546602.61,21408.01,3546602.61,n.d.,512.429,n.d.,n.d.,n.d.,3396720.69,1.0,-43176.93,n.d.,80836.06,752206.93,56100.05,0,30080.52,n.d.,325163.59,n.d.,71360.04,49952.03,93781.87,149881.919,49952.03,-22421.831,n.d.,80535.55,1092395.82,1092395.82,107217.419,GIROCUIRS SA_resum
2007,n.d.,n.d.,1739908.72,60101.21,n.d.,n.d.,n.d.,1018028.58,n.d.,107604.51,107604.51,695311.69,1713340.27,717280.2,12923.12,n.d.,30146.66,30146.66,4293770.859999999,25344.12,4293770.859999999,n.d.,524.058,n.d.,n.d.,n.d.,4133161.26,1.0,n.d.,n.d.,26568.45,657178.99,n.d.,n.d.,1022628.52,n.d.,1022628.52,n.d.,77981.90999999999,52637.78999999999,107604.51,n.d.,52637.78999999999,-29622.6,n.d.,26568.449,1739908.72,1739908.72,121051.69,GIROCUIRS SA_resum
2006,n.d.,n.d.,1734799.86,60101.21,53221.78,n.d.,n.d.,937978.6,8.28,107867.47,107875.75,753076.24,1691054.8390000002,664642.409,12923.12,n.d.,26970.77,26970.77,4634978.45,28653.43,4634978.45,n.d.,970.23,n.d.,n.d.,n.d.,4476709.09,1.0,n.d.,n.d.,43745.02,604541.2,n.d.,n.d.,1070157.45,n.d.,1070157.45,n.d.,81866.93,53213.499,107867.47,n.d.,53213.5,-26000.54,n.d.,43745.02,1734799.86,1734799.86,121769.099,GIROCUIRS SA_resum
2005,n.d.,n.d.,1588442.42,60101.21,43266.51,n.d.,n.d.,706610.4500000001,9.01,84647.98999999999,84657.0,846320.4400000001,1552930.89,611428.909,6472.48,n.d.,18400.67,18400.67,3876606.5,23292.5,3876606.5,n.d.,302.68,8.28,n.d.,8.28,3747534.95,1.0,n.d.,0,35511.53,551327.7,n.d.,n.d.,977021.79,n.d.,977021.79,n.d.,66550.0,43257.5,84647.98999999999,n.d.,43257.5,-18097.99,n.d.,35511.53,1588450.7,1588450.7,91432.159,GIROCUIRS SA_resum
2004,n.d.,n.d.,1758933.1,60101.21,44281.5,n.d.,n.d.,751160.7,15.9,77425.34,77441.239,915450.14,1666610.8390000002,568171.409,6472.48,n.d.,14846.57,14846.57,3479164.5,18970.97,3479164.5,n.d.,657.8,17.29,n.d.,17.29,3355054.19,1.0,n.d.,0,92322.26,508070.199,n.d.,n.d.,1190778.98,n.d.,1190778.98,n.d.,63236.57,44265.6,77425.34,n.d.,44265.6,-14188.77,n.d.,92322.26,1758950.39,1758950.39,84571.519,GIROCUIRS SA_resum
2003,n.d.,n.d.,1111277.07,60101.21,47559.06,n.d.,n.d.,611376.0,19.37,83166.39,83185.76,430150.86,1041526.86,523905.809,6472.48,n.d.,15932.05,15932.05,3743356.65,20374.16,3743356.65,n.d.,679.51,33.190000000000005,n.d.,33.190000000000005,3611336.64,1.0,n.d.,0,69750.20999999999,463804.5990000001,n.d.,n.d.,587404.4500000001,n.d.,587404.4500000001,n.d.,67913.85,47539.69,83166.39,n.d.,47539.69,-15252.54,n.d.,69750.209,1111310.26,1111310.26,90337.75,GIROCUIRS SA_resum
2002,n.d.,n.d.,1149292.08,60101.21,45002.44,n.d.,n.d.,672258.6,19.37,86540.75,86560.12000000001,441960.3,1114218.9,476366.12,6472.48,n.d.,19179.22,19179.22,3843139.46,24221.66,3843139.46,n.d.,1843.2,52.56,n.d.,52.56,3720206.61,1.0,n.d.,0,35073.18,416264.91,n.d.,n.d.,672978.52,n.d.,672978.52,n.d.,69204.73,44983.069,86540.75,n.d.,44983.07,-17336.02,n.d.,35073.18,1149344.64,1149344.64,94875.799,GIROCUIRS SA_resum
2001,n.d.,n.d.,995248.07,60101.21,56648.01,n.d.,n.d.,652825.4,19.37,98361.54,98380.909,112103.7,764929.1,431383.059,6703.58,n.d.,14916.67,14916.67,5011824.75,30492.34,5011824.75,n.d.,3676.11,71.94000000000001,n.d.,71.94000000000001,4876127.03,1.0,n.d.,0,230318.969,371281.849,n.d.,n.d.,563936.9500000001,n.d.,563936.9500000001,n.d.,87120.98,56628.64,98361.54,n.d.,56628.64,-11240.56,n.d.,230318.97,995320.01,995320.01,108760.599,GIROCUIRS SA_resum
2000,n.d.,n.d.,1585689.44,60101.21,82179.53,n.d.,n.d.,1271992.82,19.37,141280.14,141299.51,173246.58,1445239.4,374754.42,7011.78,n.d.,17186.03,17186.03,5169430.0,44240.09,5169430.0,n.d.,2306.13,91.31,n.d.,91.31,4987151.23,1.0,n.d.,0,140450.039,314653.21,n.d.,n.d.,1211026.32,n.d.,1211026.32,n.d.,126400.24,82160.15000000001,141280.14,n.d.,82160.16,-14879.9,n.d.,140450.04,1585780.75,1585780.75,150617.43,GIROCUIRS SA_resum
