Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,203123.45,176960.59,1153834.6,75126.0,242292.06,487888.22000000003,129448.65000000001,519192.63,69211.16,77940.90999999999,147152.07,359956.67,702188.71,884465.4400000001,790263.57,n.d.,17395.329999999998,11453.94,1547313.97,16982.18,1617758.1700000002,n.d.,129517.5,654347.92,17635.780000000002,627632.58,424100.69,19,-192454.31,9079.56,274685.3,809339.4400000001,1051929.039,36618.25,377566.14,239741.7,683975.38,n.d.,190063.08,173080.9,77940.90999999999,1129869.95,173080.9,112122.17,n.d.,244148.28,1808182.52,1808182.52,1060991.749,GUIVES GIRONA SA_resum
2022,117079.5,232630.64,1000978.07,75126.0,165833.48899999997,459343.29000000004,201454.16,562022.04,66550.039,137753.14,204303.179,347742.75,677134.15,769652.41,765950.2899999999,n.d.,8937.619,7181.2,1580800.37,29532.07,1628022.14,n.d.,0,528559.0789999999,25704.58,493774.94,564658.91,21,-198425.37999999998,9079.56,91213.28,694526.41,1030925.7089999999,31278.920000000002,177441.52,148358.41999999998,611526.3200000001,n.d.,128815.52,99283.45,137753.14,1168678.85,99283.45,-8937.619,n.d.,57642.68,1529537.15,1529537.15,968497.049,GUIVES GIRONA SA_resum
2021,128151.19,140414.33,1044579.18,75126.0,519532.829,452089.32,197636.52,613786.7,60387.09,182113.48,242500.57,242727.13,716099.5,780539.91,823062.99,n.d.,9296.85,7649.21,1712152.64,47375.46,1751440.3590000002,n.d.,333704.57,477002.94,21577.14,446346.24,401586.63,23,-233787.479,9079.56,188065.34999999998,705413.91,1117237.56,29127.329999999998,245712.84,157278.52,583763.69,n.d.,506521.2,459145.74,182113.48,1299351.04,459145.74,324407.72000000003,n.d.,135682.44,1521582.12,1521582.12,1397620.49,GUIVES GIRONA SA_resum
2020,206586.29,183461.38999999998,893417.07,75126.0,73896.53,339641.18,211506.28,563699.3,51505.27,43168.62,94673.89,292279.82,672517.73,674131.3,767163.73,n.d.,12035.05,12035.05,1334225.45,8753.42,1382326.02,n.d.,11.11,517190.98,15117.84,501333.53,334503.18,21,-180847.22,739.61,37437.950000000004,599005.3,999516.22,28704.3,106218.49,235290.59,501186.16,n.d.,31144.68,22391.26,43168.62,1042684.8400000001,22391.26,-12023.939,n.d.,14228.89,1410608.05,1410608.05,861848.73,GUIVES GIRONA SA_resum
2019,157370.19,155851.49,1021024.77,75126.0,121766.269,417845,160793.07,585550.7899999999,32626.68,138164.21000000002,170790.88899999997,297417.82,727117.12,726740.04,780097.61,n.d.,19236.81,19236.81,1523577.55,29787.81,1525316.41,n.d.,0,339763.63,20140.75,318883.27,440517.0,20,-156582.91,739.61,138056.16,651614.04,969307.2,26808.79,133224.81999999998,184178.98,449869.38,n.d.,118927.4,89139.59,138164.21000000002,1107471.41,89139.59,-19236.81,n.d.,127417.98,1360788.4,1360788.4,950888.5,GUIVES GIRONA SA_resum
2018,229463.07,117458.59,1275012.39,75126.0,101550.89,1186883.48,378806.72000000003,824763.51,26555.11,115986.44,142541.55,273770.82,981075.74,701225.69,761777.8300000001,n.d.,25091.1,25091.1,2246161.54,16264.51,2247393.29,n.d.,364.95,333256.44,21621.54,310895.29000000004,1105262.48,20,-156190.43,739.61,176478.06,626099.69,944523.37,26691.71,154623.05,256154.78,650888.3600000001,n.d.,91260.29,74995.78,115986.44,1060509.81,74995.78,-24726.149,n.d.,12675.240000000002,1608268.83,1608268.83,904684.33,GUIVES GIRONA SA_resum
2017,282312.88,562688,1538339.5,75126.0,52663.34,1112261.99,302846.49000000005,962800.47,19777.29,73090.19,92867.48,347466.82,747579.2899999999,626229.91,813664.89,n.d.,29344.21,21119.93,2219474.77,10962.02,2219786.77,n.d.,102.09,357954.61,n.d.,357215.0,1168078.81,23,-200992.41,739.61,228072.209,551103.91,1034434.59,25973.460000000003,96243.37,308286.34,961777.86,n.d.,43848.07,32886.05,73090.19,1107524.779,32886.05,-29242.12,n.d.,73995.45,1896294.11,1896294.11,898410.1799999999,GUIVES GIRONA SA_resum
2016,244447.91,221781.21000000002,951780.25,75126.0,35787.369,348461.94,15261.66,571240.4600000001,19562.47,40620.4,60182.87,313850.0,663309.25,593343.8600000001,818800.1,n.d.,19218.18,15438.21,1404086.14,5441.63,1409261.66,n.d.,264.31,357939.4,n.d.,318238.57,368799.12,23,-181816.75,39700.83,66689.789,518217.86,1020179.3200000001,26538.24,208346.77,270986.15,445389.64,n.d.,21666.53,16224.899,40620.4,1060799.719,16224.899,-18953.87,n.d.,n.d.,1309719.65,1309719.65,875467.309,GUIVES GIRONA SA_resum
2015,68172.73999999999,255554.62,815904.09,75126.0,41489.259,392661.85,29572.018999999997,532891.2699999999,31524.03,45073.3,76597.33,283012.82,560349.47,577118.9600000001,1003802.48,n.d.,31084.3,24728.67,1766283.7,4023.77,1766283.7,n.d.,0,340148.45,n.d.,300447.62,662274.1799999999,28,-293222.04,39700.83,n.d.,501992.959,1328548.55,27904.54,197729.659,96077.28,482856.3,n.d.,13989.0,9965.23,45073.3,1373621.85,9965.23,-31084.3,n.d.,n.d.,1156052.54,1156052.54,1074044.1800000002,GUIVES GIRONA SA_resum
2014,271216.56,111688.48,1142750.39,112689.0,49925.0,820034.58,n.d.,966838.9,41245.4,64284.11,105529.51,175911.49,1031061.91,1094235.24,1152637.97,n.d.,54196.09,49303.41,2473808.09,2936.53,2473808.09,n.d.,1528.11,600975.8300000001,n.d.,562196.22,729916.07,30,-395606.03,38779.61,n.d.,981546.24,1589489.4,34025.75,232560.19,305242.31,344248.67,n.d.,11616.13,8679.599,64284.11,1653773.51,8679.599,-52667.98,n.d.,n.d.,1743726.22,1743726.22,1254802.909,GUIVES GIRONA SA_resum
