Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,238409.71000000002,872086.13,1857047.36,24040.480000000003,266693.36,4110157.4499999997,n.d.,304949.73000000004,26899.44,320744.99000000005,347644.43000000005,545093.2699999999,-22043.13,1252940.41,958650.84,n.d.,4173.99,4173.99,5735423.8,76875.7,5747423.8,n.d.,98.61999999999999,845971.11,222.16,566763.7899999999,4110157.45,22,-330971.08,278985.16,1007004.36,1228899.93,1316521.3590000002,0,339582.22000000003,238409.71000000002,1211668.35,n.d.,316669.62,239793.919,320744.99000000005,1637266.3490000002,239793.919,-4075.37,n.d.,1007004.3600000001,2703018.47,2703018.47,1306393.89,HIPER ESCOLA GIRONA SL_resum
2022,322969.4,632877.24,1435551.66,24040.480000000003,177499.08,3493658.72,n.d.,329352.3,28770.76,206989.13,235759.89,443917.51,140392.57,1064676.55,858390.1699999999,n.d.,10846.75,10846.75,4907488.04,47431.47,4907488.04,n.d.,17.41,796447.62,2887,623575.4600000001,3493658.72,21,-319679.26,169985.16,662281.8500000001,1040636.07,1206840.1900000002,0,211476.09,322969.4,844353.3300000001,n.d.,196159.79,148728.31999999998,206989.13,1413829.3190000001,148728.31999999998,-10829.34,n.d.,660751.7899999999,2231999.2800000003,2231999.2800000003,1094167.47,HIPER ESCOLA GIRONA SL_resum
2021,381674.1,598381.74,1426309.27,24040.480000000003,184884.759,3289683.59,n.d.,365669.86,35838.77,209347.54,245186.31,440964.74,208252.86,994455.2,871811.3300000001,n.d.,13242.36,13242.36,4681270.970000001,47059.19,4681270.970000001,n.d.,0,771847.7699999999,5551.84,716310.7699999999,3289683.59,21,-274589.74,49985.16,619674.6699999999,970414.72,1182239.84,0,223646.0,381674.1,822027.74,n.d.,196105.18,149045.99,209347.54,1391587.3800000001,149045.99,-13242.36,n.d.,618144.61,2198157.04,2198157.04,1116997.64,HIPER ESCOLA GIRONA SL_resum
2020,445390.37,631578.64,1269888.1,24040.480000000003,84183.16,2435097.6,n.d.,281559.5,44324.16,67952.53,112276.69,371305.25,21286.109,840404.07,646008.7,n.d.,15978.87,15978.87,3406364.52,12114.66,3406364.52,n.d.,0,802662.5,3211.54,749465.8,2435097.6,21,-212981.53,49985.16,617023.3500000001,816363.59,903314.39,0,155177.52,445390.37,786756.16,n.d.,51973.66,39859.0,67952.53,971266.919,39859.0,-15978.87,n.d.,615493.2899999999,2072550.6,2072550.6,758285.39,HIPER ESCOLA GIRONA SL_resum
2019,505675.77,685027.73,1311784.07,24040.480000000003,128467.93,3001222.3899999997,n.d.,254237.24,35154.259999999995,139059.02,174213.28,458260.47,27469.979,802720.61,798576.8300000001,n.d.,16265.51,16129.11,4240449.848999999,29479.84,4240449.848999999,n.d.,0,846986.66,3211.54,793789.9600000001,3001222.39,21,-266437.349,49985.16,599286.3600000001,778680.13,1100168.44,0,165346.62,505675.77,850374.3500000001,n.d.,122793.51,93313.67,139059.02,1239227.459,93313.67,-16265.51,n.d.,509153.25,2158770.73,2158770.73,972653.71,HIPER ESCOLA GIRONA SL_resum
2018,472841.27,503044.06,1059013.01,24040.480000000003,81103.07900000001,2732415.16,2439.8300000000004,208753.46,32361.4,77767.2,110128.6,404451.51,110160.909,709406.9400000001,724524.22,n.d.,13981.68,13981.68,3825583.43,15043.84,3825583.43,n.d.,0,765250.65,3211.54,712053.9500000001,2732415.16,16,-258515.44999999998,49985.16,445808.04,685366.4600000001,1015401.07,0,136531.56,472841.27,642015.4500000001,n.d.,63785.52,48741.679,77767.2,1093168.27,48741.679,-13981.68,n.d.,355674.93000000005,1824263.66,1824263.66,834652.8200000001,HIPER ESCOLA GIRONA SL_resum
2017,525355.439,607865.3400000001,1104480.51,24040.480000000003,68627.16,2459820.3899999997,n.d.,180786.17,32525.44,61470.73,93996.17,375805.8,-51273.369,660665.26,671484.48,n.d.,14887.87,14887.87,3478117.94,10481.14,3478117.94,n.d.,0,811505.61,3211.54,758308.91,2459820.39,16,-252816.9,49985.16,547888.54,636624.7799999999,956826.819,0,122100.08,525355.439,729965.42,n.d.,46582.86,36101.72,61470.73,1018297.549,36101.72,-14887.87,n.d.,470501.69,1915986.12,1915986.12,765480.649,HIPER ESCOLA GIRONA SL_resum
2016,564313.93,441245.16,941636.93,24040.480000000003,74855.31,2392794.62,n.d.,175516.37,31985.87,70882.27,102868.14,334859.66,69130.87000000001,624563.54,654388.25,n.d.,15642.69,15642.69,3395098.0,12445.97,3395098.0,n.d.,75.83,814930.8600000001,3211.54,761734.16,2392794.62,16,-245046.99,49985.16,431260.9,600523.06,931421.11,0,126445.16,564313.93,567690.3200000001,n.d.,55315.41,42869.44,70882.27,1002303.379,42869.44,-15566.86,n.d.,352100.18,1756567.79,1756567.79,757332.22,HIPER ESCOLA GIRONA SL_resum
2015,610565.97,557358.47,1022045.74,24040.480000000003,104374.45,2367053.4899999998,n.d.,294737.32,39100.06,108542.45,147642.51,353507.39,90886.239,581694.1,628567.16,n.d.,23361.19,23361.19,3350301.87,20085.49,3350301.87,n.d.,178.62,844511.7,1492.29,793034.25,2367053.49,16,-207038.71000000002,49985.16,373801.029,557653.62,874705.93,0,116938.9,610565.97,674297.37,n.d.,85359.88,65274.39,108542.45,983248.379,65274.39,-23182.57,n.d.,285058.36,1866557.44,1866557.44,776388.2899999999,HIPER ESCOLA GIRONA SL_resum
2014,642534.22,608101.08,1037550.69,24040.480000000003,102127.59,2338701.64,n.d.,255798.51,51948.45,73822.05,125770.5,332023.36,-20279.209,516419.71,591983.02,n.d.,8512.43,8512.43,3329402.16,16726.39,3329402.16,n.d.,1595.91,831388.1,n.d.,814740.41,2338701.64,17,-272946.99900000007,16647.687,449728.82,492379.23,916878.47,0,101883.78,642534.22,709984.8600000001,n.d.,66905.53,50179.14,73822.05,990700.52,50179.14,-6916.52,n.d.,449728.82,1868938.79,1868938.79,719349.43,HIPER ESCOLA GIRONA SL_resum
2013,15352.369999999999,510612.52,1040352.28,24040.480000000003,95605.88,2223151.18,n.d.,264328.65,27628.27,88378.56,116006.83,302842.19,56558.32,466240.57,575915.8400000001,n.d.,1193.76,1193.76,3142289.8,22659.2,3142289.8,n.d.,3452.01,62325.24,n.d.,56339.380000000005,2223151.18,15,-227215.94999999998,5985.860000000001,473181.44,442200.089,830760.059,0,110472.06,15352.369999999999,621084.58,n.d.,90636.81,67977.61,88378.56,919138.619,67977.61,2258.25,n.d.,471568.83,1102677.52,1102677.52,695374.6789999999,HIPER ESCOLA GIRONA SL_resum
2012,27553.460000000003,401338.7,864243.72,24040.480000000003,97113.01,2070421.1900000002,n.d.,232012.83,30918.63,90357.68,121276.31,295382.1,126056.229,398262.96,526031.72,n.d.,2098.51,2098.51,2948367.42,22064.79,2948367.42,n.d.,0,89953.51,n.d.,83967.65000000001,2070421.19,14,-230638.199,5985.860000000001,336848.79000000004,374222.48,787588.55,0,127042.11,27553.460000000003,528380.81,n.d.,88259.17000000001,66194.38,90357.68,877946.23,66194.38,-2098.51,n.d.,336848.79000000004,954197.23,954197.23,647308.03,HIPER ESCOLA GIRONA SL_resum
2011,50759.11,433496.72000000003,806454.89,24040.480000000003,88085.78,2245300.8,n.d.,271698.35,36824.9,72477.2,109302.1,292828.66,131030.29,332068.58,555543.09,n.d.,4129.359,4129.359,3152578.95,17086.960000000003,3152578.95,n.d.,0,120462.14,n.d.,114476.28,2245300.8,15,-242432.96,5985.860000000001,241927.88,308028.1,834800.9500000001,0,110592.62,50759.11,544089.3400000001,n.d.,68347.84,51260.880000000005,72477.2,907278.15,51260.880000000005,-4129.359,n.d.,241927.87999999998,926917.03,926917.03,664845.1889999999,HIPER ESCOLA GIRONA SL_resum
2010,108939.51,681055.7,1001909.67,24040.480000000003,99285.17,2511178.57,n.d.,338632.19,48497.75,69535.48,118033.23,315534.55,-26888.959,280807.7,513467.34,n.d.,6051.21,6051.21,3368032.31,12696.85,3368032.31,n.d.,0,182585.47,n.d.,173885.21000000002,2511178.57,17,-225353.17,8700.26,347742.93000000005,256767.219,787318.26,0,113692.23,108939.51,794747.93,n.d.,63484.27,50787.42,69535.48,856853.74,50787.42,-6051.21,n.d.,347742.93000000005,1184495.14,1184495.14,631500.57,HIPER ESCOLA GIRONA SL_resum
2009,139646.71000000002,722026.53,1003498.36,24040.480000000003,89198.0,2207705.61,n.d.,328034.74,27530.35,88649.13,116179.48,303622.25,-90369.54,230020.28,468538.78,n.d.,11564.57,11564.57,2998859.67,15416.91,2998859.67,n.d.,0,197625.31,n.d.,189405.85,2207705.61,17,-206435.8,8219.458999999999,371841.37,205979.8,702504.93,0,109430.15,139646.71000000002,831456.6799999999,n.d.,77084.56,61667.649,88649.13,791154.06,61667.649,-11564.57,n.d.,371841.37,1201123.6700000002,1201123.6700000002,584718.26,HIPER ESCOLA GIRONA SL_resum
2008,96100.37000000001,464165.64999999997,666188.97,24040.480000000003,71446.34,2059287.93,n.d.,291072.69,26272.89,66254.899,92527.789,324039.84,150946.87999999998,168352.63,398057.57,n.d.,6023.63,6023.63,2772714.16,15057.82,2772714.16,n.d.,0,158660.84,n.d.,150441.37999999998,2059287.93,15,-222840.87,8219.458999999999,51076.44,144312.15,647171.3300000001,0,96231.16,96100.37000000001,560396.81,n.d.,60231.27,45173.45,66254.899,713426.23,45173.45,-6023.63,n.d.,51076.44,824849.81,824849.81,490585.36,HIPER ESCOLA GIRONA SL_resum
2007,112653.07,n.d.,627619.05,24040.480000000003,52080.91,n.d.,n.d.,197536.84,16288.44,64732.78999999999,81021.23,307545.12,505081.959,123179.18,353516.74,8341.69,10061.63,10061.62,2448608.44,11930.83,2448608.44,1393.83,n.d.,168397.03,n.d.,165897.03,1782975.76,16,n.d.,2500.0,122537.09,99138.7,n.d.,n.d.,560183.8300000001,112653.07,560183.8300000001,n.d.,54671.16,42740.33,64732.78999999999,n.d.,35792.47,-10061.63,-6947.860000000001,122537.09,796016.08,796016.08,427590.1,HIPER ESCOLA GIRONA SL_resum
2006,75963.02,n.d.,572577.5,24040.480000000003,48706.33,n.d.,n.d.,215003.25,16840.23,46143.13,62983.36,353394.57,568397.8200000001,87386.70999999999,286177.09,4306.84,4398.72,4398.71,2207308.67,13656.89,2207308.67,8085.42,n.d.,115222.33,n.d.,111222.33,1603973.04,13,n.d.,4000.0,4179.679,63346.23,n.d.,n.d.,524450.1,75963.02,524450.1,n.d.,41744.41,28087.52,46143.13,n.d.,31866.1,-4398.72,3778.58,4179.68,687799.8300000001,687799.8300000001,352939.02,HIPER ESCOLA GIRONA SL_resum
2005,21468.93,n.d.,495791.52,24040.480000000003,32392.57,n.d.,n.d.,178357.54,17643.309999999998,-1707.79,15935.52,258599.08,436956.62,55520.61,243370.62,21052.58,2111.46,2111.46,1837181.04,6321.1,1837181.04,45942.189999999995,n.d.,17560.829999999998,n.d.,13560.83,1393448.92,10,n.d.,4000.0,58834.9,31480.13,n.d.,n.d.,436362.81,21468.93,436362.81,n.d.,-3819.25,-10140.35,-1707.79,n.d.,14749.26,-2111.46,24889.609999999997,58834.9,513352.35,513352.35,284195.75,HIPER ESCOLA GIRONA SL_resum
2004,26934.29,n.d.,399292.68,24040.480000000003,20570.489,n.d.,n.d.,154610.2,14357.73,11969.8,26327.53,211186.92,365797.12,40750.78999999999,219051.51,830.8,2263.64,2263.64,1540060.22,2662.6,1540060.22,n.d.,n.d.,30746.45,n.d.,30746.45,1160587.11,10,n.d.,0.0,33495.559,16710.309999999998,n.d.,n.d.,362354.05,26934.29,362354.05,n.d.,9706.16,7043.559,11969.8,n.d.,6212.76,-2263.64,-830.8,33495.559,430039.13,430039.13,244548.24,HIPER ESCOLA GIRONA SL_resum
2003,13500,n.d.,370269.06,24040.480000000003,10749.29,n.d.,n.d.,117106.62,6733.89,7080.46,13814.35,221298.05,338404.67,34558.59,187141.9,3512.61,1681.99,1681.99,1437042.26,1720.88,1437776.53,3808.01,42.41,18743.43,215.45000000000002,18527.980000000003,1114848.6,9,n.d.,0.0,31864.39,10518.109,n.d.,n.d.,340953.9,13500,340953.9,n.d.,5440.88,3720.0,7080.46,n.d.,4015.4,-1639.58,295.4,31864.39,389012.4900000001,389012.4900000001,201294.06,HIPER ESCOLA GIRONA SL_resum
