Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,140.22,993.69,1489298.23,60101.21,9016.220000000001,183032.07,n.d.,918118.38,1888.07,51025.03,52913.1,18103.04,935227.73,1470850.11,n.d.,n.d.,41660.82,n.d.,22872.23,2376.06,22872.23,n.d.,140.0,9992.93,1418.11,4343.21,183032.07,n.d.,213072.94,4231.610000000001,553076.809,1410748.9,-211184.87,0,27307.14,140.22,28300.83,n.d.,9504.21,7128.150000000001,51025.03,-160159.84,7128.150000000001,-41520.82,n.d.,547433.8400000001,1499291.16,1499291.16,11392.279,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2022,265264.68,3919.4300000000003,2474828.52,60101.21,-2442.02,786677.8600000001,n.d.,1109259.6800000002,2181.05,-111012.75,-108831.7,34916.68,1140256.93,2213721.96,n.d.,n.d.,0.0,n.d.,912722.35,-1541.03,912722.35,n.d.,104848.65,13229.68,2106.32,5350.72,786677.8600000001,n.d.,-234876.19,5772.639,1330652.16,2153620.75,237057.24000000002,0,5152.13,265264.68,9071.56,n.d.,-6164.1,-4623.07,-111012.75,126044.489,-4623.07,104848.65,n.d.,1324948.23,2488058.2,2488058.2,-3983.05,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2021,313935.6,5481.3,2530196.31,60101.21,7138.860000000001,1229736.3800000001,n.d.,1328689.8,3817.61,-36510.57,-32692.960000000003,62810.26,1386018.76,2218345.03,n.d.,n.d.,3.52,3.52,1532998.04,1107.08,1532998.04,n.d.,40942.42,13835.0,2794.53,6808.860000000001,1229736.38,n.d.,-335954.62,4231.610000000001,1138696.25,2158243.82,339772.23000000004,0,6269.38,313935.6,11750.68,n.d.,4428.33,3321.25,-36510.57,303261.66,3321.25,40938.9,n.d.,1133053.28,2544031.31,2544031.31,8249.46,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2020,313935.6,11812.83,2544497.98,60101.21,42015.98,1254356.91,n.d.,1026411.43,5258.58,197828.79,203087.37,103669.21,1118267.81,2215023.7800000003,n.d.,n.d.,148818.91999999998,n.d.,1946651.02,12252.47,1946651.02,n.d.,0.0,17435.109999999997,3482.74,9720.76,1254356.91,n.d.,-489206.74,4231.610000000001,1414417.34,2154922.57,494465.32,0,21160.88,313935.6,32973.71,n.d.,49009.87,36757.4,197828.79,692294.11,36757.4,-148818.91999999998,n.d.,1408774.37,2561933.09,2561933.09,54268.45,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2019,278767.48000000004,104753.98999999999,2598973.09,60101.21,147868.93,2061604.3900000001,n.d.,1177900.6800000002,7215.8,160304.87999999998,167520.68,129546.99,1202693.6800000002,2178266.38,n.d.,n.d.,0.0,n.d.,2559862.8,46884.380000000005,2559862.8,n.d.,27232.63,13164.29,n.d.,8932.68,2061604.39,n.d.,-330737.73000000004,4231.610000000001,1291525.42,2118165.17,337953.52900000004,0,50349.53,278767.48000000004,155103.52,n.d.,187537.51,140653.13,160304.87999999998,498258.40900000004,140653.13,27232.63,n.d.,1285983.27,2612137.38,2612137.38,194753.31,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2018,355218.45,50703.08,2691126.82,60101.21,249957.579,1643376.97,n.d.,1179071.42,6336.610000000001,286702.28,293038.89,330073.26,1458441.5990000002,2237613.25,n.d.,n.d.,0.0,n.d.,2206273.5,81207.0,2206273.5,n.d.,38125.689,17167.05,1355.74,11579.7,1643376.97,n.d.,-269857.639,4231.610000000001,1181982.14,2177512.04,276194.249,0,64759.09,355218.45,115462.17,n.d.,324827.97000000003,243620.969,286702.28,562896.53,243620.969,38125.689,n.d.,1176439.99,2708293.87,2708293.87,331164.579,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2017,355218.45,9386.240000000002,2304311.43,60101.21,-91266.48,1086026.54,n.d.,661523.65,6789.88,8009.969999999999,14799.85,239769.14,891906.55,1993992.28,1320.53,n.d.,139855.58,n.d.,1333830.01,-32685.460000000003,1333830.01,n.d.,1103.79,55859.22,1547.87,17394.280000000002,1086026.54,n.d.,-231683.09,36917.07,1403018.64,1933891.069,239793.5,0,1573.6799999999998,355218.45,10959.92,n.d.,-130741.82,-98056.36,8009.969999999999,247803.46899999998,-98056.36,-138751.789,n.d.,1395622.34,2360170.65,2360170.65,-122631.41,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2016,355218.45,50523.93,2504128.1,60101.21,84165.83,1343996.49,n.d.,1015259.97,5798.469999999999,52109.39,57907.86,188233.13,1152969.1700000002,2092048.64,31526.55,n.d.,0.0,n.d.,1730224.21,26122.460000000003,1731242.72,n.d.,52380.43,25296.83,n.d.,23196.83,1343996.49,1,-297811.82,2100,1300635.0,2031947.43,335136.83900000004,0,31633.91,355218.45,82157.84,n.d.,104489.82,78367.36,52109.39,387246.23000000004,78367.36,52380.43,n.d.,1293234.16,2529424.93,2529424.93,141814.84,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2015,353677.89,50561.1,2774525.66,60101.21,238232.22,1697813.34,n.d.,1371505.93,5487.72,191570.63,197058.35,268067.96,1589012.789,2313681.2800000003,66742.08,n.d.,206.97,206.97,2353031.19,77267.76,2353502.31,n.d.,118648.599,28860.3,n.d.,28860.3,1697813.34,1,-391888.54,n.d.,1134951.77,2253580.07,464118.33999999997,0,85465.69,353677.89,136026.79,n.d.,310012.26,232744.5,191570.63,655688.97,232744.5,118441.62900000002,n.d.,1128858.01,2803385.96,2803385.96,382449.029,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
2014,n.d.,55574.57,2111611.819,60101.21,26352.378999999997,1308520.1500000001,n.d.,920748.17,7221.1,2323.3300000000004,9544.43,252552.19,1117725.79,2080936.78,31245.629999999997,n.d.,523.909,n.d.,1660548.76,6377.09,1660598.77,n.d.,23708.949,34348.02,n.d.,34348.02,1308520.15,1,-311288.56,n.d.,938311.46,2020835.57,349755.29000000004,0,9448.49,n.d.,65023.06,n.d.,25508.37,19131.28,2323.3300000000004,352078.62,19131.28,23185.04,n.d.,926949.6,2145959.839,2145959.839,63975.1,IBERCUB SUMINISTROS INDUSTRIALES Y HOTELEROS SA_resum
