Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,67996.45999999999,16906.19,601496.81,4507.5,-64921.72,349435.53,190501.5,159290.49,8026.81,-81599.95999999999,-73573.15000000001,440572.12,582956.42,367745.17,604889.39,n.d.,19514.07,19514.07,984872.39,-24349.51,985408.12,n.d.,3815.99,179876.6,8833.88,31609.31,294760.19,13.0,-104656.35,139433.409,1634.2,363237.669,717572.55,0,138224.09,67996.45999999999,345631.78,n.d.,-97298.04,-72948.53,-81599.95999999999,635972.59,-72948.53,-15698.08,n.d.,1634.2,781373.41,781373.41,535132.23,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2022,89249.84,82105.92,750634.11,4507.5,13268.098,392406.12,156893.84,257332.49,8214.218,17020.920000000002,25235.138,493137.39,668363.9600000001,440693.7,674071.41,n.d.,13795.63,13795.630000000001,1196862.8,1684.6299999999999,1204051.97,n.d.,3513.22,258801.41,11790.56,34819.44,366972.1,15.0,-112339.3,212191.409,164.23,436186.2,794624.9280000001,0,240492.22,89249.84,479491.98,n.d.,6738.51,5053.88,17020.920000000002,811645.8500000001,5053.88,-10282.41,n.d.,164.23,1009435.52,1009435.52,702819.768,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2021,123182.5,98347.85,746962.4500000001,4507.5,8865.220000000001,315753.03,99441.85,217287.08,7558.37,7215.56,14773.93,528415.7089999999,647354.939,435639.82,778505.55,n.d.,9862.98,9862.98,1221687.87,518.9499999999999,1222416.6700000002,n.d.,4473.22,268700.26,14747.240000000002,40076.98,406065.44,17.0,-113384.16,213876.039,1259.6599999999999,431132.319,899448.08,0,259050.69,123182.5,456840.39,n.d.,1825.8,1306.85,7215.56,906663.64,1306.85,-5389.759,n.d.,1259.6599999999999,1015662.71,1015662.71,797752.7,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2020,124720.54,98593.92,606974.51,4507.5,-68506.33,247239,42684.7,283608.78,5981.4,-94964.73,-88983.33,322578.99000000005,507593.85,434332.97,697457.89,n.d.,7646.820000000001,7646.820000000001,965691.19,-24829.24,965919.99,n.d.,3294.58,269202.58,17703.920000000002,37103.67,350778.48000000004,16.0,-110206.43,214394.99,786.74,429825.47,813645.72,0,175844.96,124720.54,317123.58,n.d.,-99316.97,-74487.73,-94964.73,718680.99,-74487.73,-4352.24,n.d.,786.74,876177.09,876177.09,611769.14,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2019,6133.2699999999995,54311.3,588809.3600000001,4507.5,6348.419,327138.68,58609.18,371832.17,2318.99,6781.57,9100.56,213883.87,531404.74,508820.7,558684.74,n.d.,5522.22,5522.22,996929.09,1343.1399999999999,998157.49,n.d.,4113.22,234115.02,14235.5,30313.77,380753.78,12.0,-103233.51,189565.75,3093.32,504313.2,664237.24,0,195049.93,6133.2699999999995,307970.41000000003,n.d.,5372.57,4029.429,6781.57,671018.81,4029.429,-1409.0,n.d.,3093.32,822924.38,822924.38,571898.519,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2018,n.d.,55493.01,468704.16,4507.5,6839.53,316918.389,n.d.,308127.4,3020.8500000000004,4809.08,7829.929999999999,134314.65,386949.04,504791.27,397400.42,n.d.,2630.72,2630.72,824279.63,1272.9,824327.91,n.d.,2913.22,213995.6,n.d.,23086.71,294280.6,9.0,-102179.17000000001,190908.89,26262.109999999997,500283.769,502600.4390000001,0,122415.48,n.d.,177908.49,n.d.,5091.58,3818.68,4809.08,507409.52,3818.68,282.5,n.d.,26262.109999999997,682699.76,682699.76,408143.569,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2017,n.d.,53091.77,465867.16,4507.5,33181.21,169769.84,24244.79,312474.72000000003,5654.44,36018.350000000006,41672.78999999999,153392.44,412775.389,500972.59,336955.54,n.d.,2229.21,2229.21,647972.89,9175.59,649202.13,n.d.,2913.22,221718.33,n.d.,29536.54,222299.62,11.0,-100803.959,192181.789,n.d.,496465.09,443413.94,0,109276.34,n.d.,186612.9,n.d.,36702.36,27526.77,36018.350000000006,479432.29000000004,27526.77,684.009,n.d.,n.d.,687585.49,687585.49,381541.55,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2016,n.d.,52393.37,364535.11,4507.5,14246.439,435197.12,n.d.,245104.58,8972.01,9817.16,18789.17,54564.0,247275.209,473445.82,297815.29000000004,n.d.,5705.79,5705.79,873654.39,1758.1399999999999,873654.39,n.d.,2921.2,235103.36,n.d.,33745.98,386157.18,10.0,-121852.81,201357.38,64866.53,468938.319,428640.11,0,73799.28,n.d.,126192.65,n.d.,7032.57,5274.429,9817.16,438457.26900000003,5274.429,-2784.59,n.d.,64866.53,599638.47,599638.47,319525.66,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2015,n.d.,87762.01,402455.35,4507.5,-12804.129,305446.77,27780.55,273044.13,9553.68,-22052.82,-12499.14,128556.94,313839.06,468171.39,246724.57,n.d.,1209.28,1209.28,628311.81,2494.46,628311.81,n.d.,3398.75,245833.51,n.d.,42717.99,314599.94,9.0,-88639.61,203115.52,854.2800000000001,463663.889,344917.86,0,64574.91,n.d.,180117.47,n.d.,-19863.35,-22357.809,-22052.82,322865.04,-22357.809,2189.4700000000003,n.d.,854.2800000000001,648288.8600000001,648288.8600000001,237624.18,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
2014,n.d.,28948.93,286996.86,4507.5,-14459.59,129996.77,n.d.,171930.84,9271.02,-34468.67,-25197.649,82876.77,225858.68,490529.2,188114.33,n.d.,637.1800000000001,637.1800000000001,379224.57,-7910.2,379224.57,n.d.,3465.04,255054.08,n.d.,49444.1,156733.54,8.0,-86311.12000000001,205609.979,32189.25,486021.699,283696.47000000003,0,22572.81,n.d.,51521.74,n.d.,-31640.81,-23730.61,-34468.67,249227.8,-23730.61,2827.86,n.d.,32189.25,542050.9400000001,542050.9400000001,166381.719,INSTAL LACIONS ELECTRIQUES I DE CONTROL SL_resum
