Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,196960.7,37275.68,172723.31999999998,42070.850000000006,12045.76,84860.73999999999,n.d.,66980.229,18642.129999999997,-4826.0,13816.13,18784.54,48489.089,53761.03,42439.75,n.d.,1770.37,1661.94,175252.28,n.d.,199252.28,n.d.,0,125627.61,13823.28,109059.19,84860.73999999999,3,-58135.659999999996,2745.14,86958.55,11690.18,119217.54,0,10353.52,196960.7,47629.2,n.d.,-6596.37,-6596.37,-4826.0,114391.54,-6596.37,-1770.37,n.d.,12176.44,298350.93000000005,298350.93000000005,56147.45,J TERRADAS SL_resum
2022,185259.76,30794.280000000002,166570.37,42070.850000000006,32184.920000000002,32451.88,n.d.,29897.21,30556.49,4028.22,34584.71,50784.54,49887.47,60357.4,34096.14,n.d.,2272.73,2208.9300000000003,125608.89,127.06,139158.88999999998,n.d.,0,143635.02,13823.28,127066.6,32451.88,3,-38026.159999999996,2745.14,85888.62000000001,18286.548000000003,102678.79,0,33793.950000000004,185259.76,64588.23,n.d.,1755.49,1628.43,4028.22,106707.01,1628.43,-2272.73,n.d.,13024.56,310205.39,310205.39,68617.049,J TERRADAS SL_resum
2021,192972.51,29280.67,180256.54,42070.850000000006,27707.809999999998,42226.310000000005,n.d.,36399.97,28955.07,1020.46,29975.53,26284.54,33403.840000000004,67370.98999999999,39591.61,n.d.,2428.57,2428.57,156840.66,n.d.,171072.24000000002,n.d.,160.85000000000002,118328.72,13823.28,104152.94,42226.310000000005,2,-59278.78999999999,352.5,117572.03,25300.14,127825.47,0,8961.09,192972.51,38241.76,n.d.,-1247.26,-1247.26,1020.46,128845.93,-1247.26,-2267.72,n.d.,7326.650000000001,298585.26,298585.26,69727.98999999999,J TERRADAS SL_resum
2020,183596.94,27765.18,198328.53,42070.850000000006,18600.34,30101.34,734.52,53118.1,13515.08,9012.54,22527.62,26284.54,51637.46,68618.23,38276.87,n.d.,2232.19,1883.44,128058.42,1695.09,128058.42,n.d.,0,92283.79,13823.28,78108.01,30101.34,2,-37152.59,352.5,118925.89,26547.379,88944.54,0,9897.45,183596.94,38397.15,n.d.,6780.35,5085.26,9012.54,97957.08,5085.26,-2232.19,n.d.,n.d.,290612.32,290612.32,60455.74,J TERRADAS SL_resum
2019,102457.15,27868.34,145624.22,42070.850000000006,n.d.,76171.5,n.d.,48157.310000000005,n.d.,8820.53,8820.53,26284.54,46573.51,63532.97,52346.52,n.d.,2415.2,2392.36,174208.87,1601.33,174214.52,n.d.,0,63391.17,13823.28,48653.78999999999,76171.5,3,-36875.97,914.1,71182.37000000001,21462.118,89222.489,0,15156.93,102457.15,43025.27,n.d.,6405.33,4804.0,8820.53,98043.019,4804.0,-2415.2,n.d.,19406.309999999998,209015.39,209015.39,61144.21,J TERRADAS SL_resum
2018,121575.8,31155.53,164066.88999999998,42070.850000000006,8856.01,38098.87,n.d.,35348.44,3680,8066.37,11746.369,59713.25,63906.16,58728.97,55203.58,n.d.,1165.03,1132.61,181619.46,1725.33,181619.46,n.d.,0,63391.17,13823.28,48653.78999999999,38098.87,2,-76570.64,914.1,69005.2,16658.12,135454.22,0,15997.76,121575.8,47153.28999999999,n.d.,6901.34,5176.01,8066.37,143520.59,5176.01,-1165.03,n.d.,17108.85,227458.06,227458.06,66917.53,J TERRADAS SL_resum
2017,143226.53,18002.58,178934.88999999998,42070.850000000006,21476.609999999997,48953.78,n.d.,26169.05,21600,4038.26,25638.26,71619.25,79785.72,53552.96,71051.13,n.d.,3845.88,3822.56,186672.52,315.77,186672.52,n.d.,0,54434.310000000005,13823.28,40427.78999999999,48953.78,3,-41029.350000000006,183.23999999999998,81146.59,11482.11,133680.47999999998,0,18587.13,143226.53,36589.71,n.d.,192.38,-123.389,4038.26,137718.74000000002,-123.389,-3845.88,n.d.,11586.58,233369.2,233369.2,96666.07,J TERRADAS SL_resum
2016,129473.63,23808.06,160411.51,42070.850000000006,68827.63,-8963.25,n.d.,57281.74,22771.29,53288.55,76059.84,72162.37000000001,105636.049,53676.350000000006,73538.68000000001,n.d.,1171.55,1077.62,187735.66,6060.660000000001,187735.66,n.d.,0,76034.31,13823.28,62027.78999999999,56466.75,3,-47100.39,183.23999999999998,30967.4,11605.5,143410.36,0,29487.78,129473.63,53295.84,n.d.,52117.0,46056.34,53288.55,196698.91,46056.34,-1171.55,n.d.,26403.73,236445.82,236445.82,149504.59,J TERRADAS SL_resum
2015,97017.8,31931.57,55018.4,42070.850000000006,22846.75,64935.51,n.d.,25102.35,21823.79,2442.71,24266.5,6732.37,-96.85,7620.01,49567.25,n.d.,1419.75,1135.09,184717.43,n.d.,184717.43,n.d.,0,98805.6,13823.28,84799.08,64935.51,2,-45948.17,183.23999999999998,23183.68,-34450.840000000004,117339.20999999999,0,17254.62,97017.8,49186.19,n.d.,1022.96,1022.96,2442.71,119781.919,1022.96,-1419.75,n.d.,14075.53,153824.0,153824.0,73549.09,J TERRADAS SL_resum
2014,148245.62,32606.91,70027.05,42070.850000000006,49505.56,81130.58,n.d.,21225.23,43901.99,8329.03,52231.02,6732.37,-4649.31,18872.79,53622.08,n.d.,2725.46,806.9399999999999,221005.84,n.d.,225923.78,n.d.,0,142287.02,13823.28,128463.74,81130.58,2,-38940.1,n.d.,42069.45,-23198.06,136464.169,17.939999999999998,12570.81,148263.56,45177.72,n.d.,5603.57,5603.57,8329.03,144793.2,5603.57,-2725.46,n.d.,28914.47,212314.07,212314.07,103934.58,J TERRADAS SL_resum
