Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,11728.949999999999,1128138.14,79632.5,27303.14,404893.19,n.d.,83632.18000000001,13601.01,18269.5,31870.51,11014.79,82918.02,1150396.89,78745.11,n.d.,0.0,n.d.,547352.58,4567.37,558656.58,n.d.,0,54701.27,n.d.,28869.52,382493.19,3,-43147.77,25831.75,1033491.169,1070764.39,135493.88899999997,0,20713.57,n.d.,32442.52,n.d.,18269.5,13702.13,18269.5,153763.38899999997,13702.13,0.0,n.d.,267518.09,1182839.41,1182839.41,110615.62,JOAN TRULLS SL_resum
2022,n.d.,21672.8,1090643.6700000002,79632.5,-415.299,101470.17000000001,n.d.,81974.93999999999,8501.2,-12216.18,-3714.979,33414.78999999999,93716.93,1136694.76,66192.5,n.d.,0.0,n.d.,186289.56,-2972.17,196091.36,n.d.,327.51,72869.65000000001,n.d.,42470.53,123870.17,2,-32143.67,30399.12,975253.94,1057062.26,106837.37000000001,0,5145.76,n.d.,26818.56,n.d.,-11888.67,-8916.5,-12216.18,94621.18900000001,-8916.5,327.51,n.d.,459888.15,1163513.32,1163513.32,62805.03,JOAN TRULLS SL_resum
2021,n.d.,7463.07,1139149.1900000002,79632.5,-61613.99,57678.77,n.d.,22361.77,8512.12,-101636.69,-93124.57,11014.79,25913.489,1195611.26,48348.73,n.d.,242.51,242.51,31112.07,-23375.44,40038.869,n.d.,8377.65,78398.68000000001,n.d.,50971.73,57678.77,n.d.,-27135.940000000002,27426.95,1105772.6290000002,1115978.76,83996.79,0,14473.54,n.d.,21936.61,n.d.,-93501.55,-70126.11,-101636.69,-17639.9,-70126.11,8135.139,n.d.,840436.03,1217547.87,1217547.87,-36398.189,JOAN TRULLS SL_resum
2020,n.d.,4790.73,1216404.75,79632.5,4900.73,90113.81,n.d.,19835.36,17055.27,-29160.81,-12105.54,11014.79,26059.42,1265737.37,57132.93,n.d.,0.0,n.d.,160928.71000000002,-4051.51,168536.47,n.d.,12954.76,63535.36,n.d.,59483.850000000006,90113.81,3,-33395.26899999999,4051.51,1185554.6,1186104.87,107583.47,0,9412.01,n.d.,14202.740000000002,n.d.,-16206.05,-12154.539,-29160.81,78422.66,-12154.539,12954.76,n.d.,997286.46,1279940.11,1279940.11,57982.15,JOAN TRULLS SL_resum
2019,n.d.,8599.03,1226336.73,79632.5,115917.5,270034.56,232.93,23451.07,18050.23,110765.92,128816.15,11014.79,25866.83,1277891.91,75498.58,n.d.,0.0,n.d.,512361.34,32622.42,526186.3400000001,n.d.,19723.77,76539.12000000001,n.d.,76539.12000000001,210034.56,3,-51837.05,n.d.,1191870.87,1198259.41,145385.86,0,16151.98,n.d.,24983.94,n.d.,130489.69,97867.27,110765.92,256151.78,97867.27,19723.77,n.d.,839938.6,1302875.85,1302875.85,224038.5,JOAN TRULLS SL_resum
2018,n.d.,54984.27,1215353.34,79632.5,33946.74,478952.63999999996,n.d.,140517.87,17070.2,38261.11,55331.310000000005,71014.79,156548.38899999997,1230024.64,77706.27,n.d.,16264.72,16264.720000000001,650173.4,5625.51,663973.4,n.d.,505.66,123041.94,n.d.,94589.35,516952.64,3,-51983.18,28452.59,1003820.68,1150392.14,146759.65,0,53386.369,n.d.,108370.64,n.d.,22502.05,16876.54,38261.11,185020.76,16876.54,-15759.06,n.d.,479355.88,1338395.28,1338395.28,133543.239,JOAN TRULLS SL_resum
2017,n.d.,14004.4,1108010.85,79632.5,13033.85,224372.31999999998,275,116157.51,8512.12,-3895.75,4616.37,33014.78999999999,135167.9,1213148.1,61644.2,n.d.,197.7,197.7,331513.02,1507.24,339713.02,n.d.,10122.42,144634.65,n.d.,110556.55,209608.32,3,-49080.13,34078.1,958838.55,1133515.6,119236.45,0,25218.0,n.d.,39497.4,n.d.,6028.969999999999,4521.73,-3895.75,115340.7,4521.73,9924.72,n.d.,436747.31,1252645.5,1252645.5,76382.989,JOAN TRULLS SL_resum
2016,n.d.,5090.51,1269274.71,79632.5,659.37,27736.93,n.d.,7447.06,8512.12,-26293.92,-17781.799,47778.78999999999,50135.34,1408626.37,65288.54,n.d.,0.0,n.d.,106231.56,-2617.58,113281.56,n.d.,15823.59,154654.01,n.d.,119068.67,64500.93,3,-38037.89,35585.340000000004,1214048.8590000002,1328993.87,111838.549,0,10211.84,n.d.,15302.35,n.d.,-10470.33,-7852.75,-26293.92,85544.63,-7852.75,15823.59,n.d.,312151.02,1423928.72,1423928.72,63330.33,JOAN TRULLS SL_resum
2015,n.d.,14705.369999999999,1277254.6900000002,79632.5,-16348.099,141563.66,n.d.,52596.880000000005,8512.12,-51508.44,-42996.32,11014.79,48906.29899999999,1416479.12,68246.84,n.d.,0.0,n.d.,215849.53,-8286.730000000001,219449.53,n.d.,18361.49,160548.55,n.d.,127580.79,111563.66,2,-52635.350000000006,32967.759999999995,1213643.02,1336846.62,129394.30900000001,0,6618.75,n.d.,21324.12,n.d.,-33146.949,-24860.219,-51508.44,77885.87000000001,-24860.219,18361.49,n.d.,116798.79,1437803.24,1437803.24,43612.011,JOAN TRULLS SL_resum
2014,n.d.,22445.4,1311841.28,79632.5,-26580.16,114378.64,n.d.,44544.43,10834.83,-67662.34,-56827.509,38771.59,60870.619,1441339.34,66214.61,n.d.,0.0,n.d.,176409.73,-12471.66,176409.73,n.d.,17775.69,160773.94,n.d.,136092.91,144378.64,2,-52643.99,24681.03,1228525.26,1361706.84,129693.43,0,8830.48,n.d.,31275.88,n.d.,-49886.65,-37414.99,-67662.34,62031.09,-37414.99,17775.69,n.d.,156262.52,1472615.22,1472615.22,27162.789,JOAN TRULLS SL_resum
