Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,2580.15,21484.12,916820.89,18030.36,191822.34,178117.81,n.d.,291336.27,30563.51,206693.49,237257.0,n.d.,269852.15,879187.92,216109.63,n.d.,82.26,82.26,829692.09,45352.4,829692.09,n.d.,0.0,106148.97,n.d.,101049.82,178117.81,7.0,-198207.65,5099.150000000001,625484.62,861157.559,444880.79000000004,0,119717.67,2580.15,141201.79,n.d.,206611.23,161258.83,206693.49,651574.2799999999,161258.83,-82.26,n.d.,623213.53,1022969.86,1022969.86,453366.63,JOSEP OLIVET EXCAVACIONS SL_resum
2022,14580.15,38545.25,752761.65,18030.36,149267.29,187491.14,5482.05,308417.69,30739.460000000003,157199.51,187938.97,n.d.,269872.44,717929.09,174989.12,n.d.,646.73,646.73,753285.64,38024.950000000004,766278.8400000001,n.d.,0.0,129675.15,n.d.,124516.52,187491.14,5.0,-215859.61000000002,5158.63,444343.96,699898.73,421588.19,0,105900.26,14580.15,149927.56,n.d.,156552.78,118527.83,157199.51,578787.7,118527.83,-646.73,n.d.,442072.87,882436.8,882436.8,362928.09,JOSEP OLIVET EXCAVACIONS SL_resum
2021,26580.15,20677.629999999997,640203.2699999999,18030.36,92974.18,193790.63,363.87,296567.3,32049.6,79928.63,111978.23,n.d.,275889.67,599401.26,139296.69,n.d.,364.08,364.08,579632.39,18668.980000000003,579632.39,n.d.,29.01,88091.97,n.d.,84486.90999999999,193790.63,4.0,-134566.84,3605.06,343635.97000000003,581370.9,305913.13,0,81272.33,26580.15,102313.83,n.d.,79593.56,60924.58,79928.63,385841.76,60924.58,-335.07,n.d.,341364.88,728295.24,728295.24,251303.93,JOSEP OLIVET EXCAVACIONS SL_resum
2020,156616.21000000002,19012.62,714361.9500000001,18030.36,111580.329,95396.58,11811.7,192012.17,36560.01,97179.18,133739.19,n.d.,172999.55,538476.6799999999,137333.2,n.d.,270.23,270.22999999999996,498073.65,21888.629999999997,498073.65,n.d.,0.0,113509.68,n.d.,110481.37,95396.58,4.0,-131604.68,3028.3100000000004,522349.78,520446.32,305497.89,0,101954.42,156616.21000000002,132778.739,n.d.,96908.95,75020.319,97179.18,402677.07,75020.319,-270.23,n.d.,522349.78,827871.63,827871.63,271072.39,JOSEP OLIVET EXCAVACIONS SL_resum
2019,180567.19,25808.609999999997,644119.8300000001,18030.36,137750.37999999998,108579.45,12325.82,285408.45,39434.18,133610.34,173044.52,n.d.,259599.84,463456.36,146636.05,n.d.,556.8399999999999,556.8399999999999,584046.01,34737.3,584046.01,n.d.,0.0,150046.44,n.d.,147041.37999999998,108579.45,5.0,-155785.99,3005.06,358711.38,445426.0,341856.22000000003,0,112008.29,180567.19,150142.72,n.d.,133053.5,98316.2,133610.34,475466.56,98316.2,-556.8399999999999,n.d.,358711.38,794166.2699999999,794166.2699999999,319680.57,JOSEP OLIVET EXCAVACIONS SL_resum
2018,187806.74,19352.4,448683.43000000005,18030.36,76587.59,77646.34,7933.48,133985.799,40161.380000000005,48613.84,88775.22,n.d.,114633.399,365140.16,79391.25,n.d.,45.56,45.56,384499.98,12142.07,384499.98,n.d.,0.0,163723.0,n.d.,160717.94,77646.34,3.0,-138687.17,3005.06,314697.63,347109.8,258239.8,0,32173.65,187806.74,59459.53,n.d.,48568.28,36426.21,48613.84,306853.63999999996,36426.21,-45.56,n.d.,312480.57,612406.43,612406.43,168166.47,JOSEP OLIVET EXCAVACIONS SL_resum
2017,171393.33,7098.23,354344.71,18030.36,73385.76,34962.65,n.d.,90806.91,52629.02,21107.42,73736.43999999999,n.d.,83708.68000000001,328713.95,58344.67,n.d.,0.0,n.d.,258385.0,442.44,258385.0,n.d.,91.76,163786.87999999998,n.d.,160781.81999999998,34962.65,3.0,-91341.23999999999,3005.06,263537.8,310683.59,202314.93,0,10926.08,171393.33,18024.31,n.d.,21199.18,20756.74,21107.42,223422.34999999998,20756.74,91.76,n.d.,263537.8,518131.59,518131.59,132172.87,JOSEP OLIVET EXCAVACIONS SL_resum
2016,171393.33,3630.92,286663.6,18030.36,119541.62,12862.76,n.d.,117081.89,56269.05,63230.73,119499.78,99.38,113550.35,307957.21,16722.95,n.d.,0.0,n.d.,196184.49,n.d.,196184.49,n.d.,41.84,203502.68,n.d.,200497.62,12862.76,1.0,-47099,3005.06,169482.33,289926.85,120091,0,7184.820000000001,171393.33,10815.740000000002,n.d.,63272.57,63272.57,63230.73,183321.729,63272.57,41.84,n.d.,169482.33,490166.28,490166.28,136264.57,JOSEP OLIVET EXCAVACIONS SL_resum
2015,188913.33,7342.09,198730.33,18030.36,95980.02,23177.69,n.d.,100799.22,64109.61,31868.24,95977.85,675.1800000000001,94132.31,244684.64,17186.329999999998,n.d.,0.0,n.d.,195894.66,n.d.,195894.66,n.d.,2.17,251853.11,n.d.,248848.05,23177.69,1.0,-59552.78999999999,3005.06,97255.93,226654.28,140848.729,0,9643.38,188913.33,16985.47,n.d.,31870.41,31870.41,31868.24,172716.97,31870.41,2.17,n.d.,97255.93,450583.44,450583.44,113166.35,JOSEP OLIVET EXCAVACIONS SL_resum
2014,187913.33,3699.57,83900.29,18030.36,10167.169,11875.210000000001,n.d.,59496.64,27237.32,-17083.37,10153.95,1514.96,57312.03,212814.23,14205.82,n.d.,0.0,n.d.,65685.88,n.d.,65685.88,n.d.,13.22,322010.72000000003,n.d.,319005.66,11875.210000000001,1.0,-29450.9,3005.06,22888.69,194783.87,70894.04,0,1483.88,187913.33,5183.45,n.d.,-17070.149999999998,-17070.149999999998,-17083.37,53810.67,-17070.149999999998,13.22,n.d.,22888.69,405911.01,405911.01,24372.989,JOSEP OLIVET EXCAVACIONS SL_resum
