Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,162483.08,112156.38,448664.91,12020.240000000002,170388.77000000002,13197.69,n.d.,218334.47,141332.12,53086.56,194418.68,1181.94,107360.03,410922.58,292939.49000000005,n.d.,16075.58,16075.58,922485.63,10080.2,942512.37,n.d.,2125.8700000000003,371339.59,n.d.,309177.52,13197.69,7,-441956.51,62162.07,229148.5,398902.34,876228.12,0,134442.46,162483.08,246598.84,n.d.,39136.850000000006,29056.649,53086.56,929314.6799999999,29056.649,-13949.71,n.d.,101857.62,820004.5,820004.5,489484.04,LAZARO ROBERT SL_resum
2022,176246.61000000002,137962.74000000002,439252.56,12020.240000000002,134747.02,1297.37,n.d.,179965.93,116847.77,24486.3,141334.07,1181.94,43185.13,399765.18,308824.26,n.d.,3983.04,3983.04,1029824.4,5998.3,1054808.71,n.d.,3394.29,369235.46,n.d.,307073.39,1297.37,5,-603353.01,62162.07,258104.69,387744.94,1029025.039,0,94513.49,176246.61000000002,232476.23,n.d.,23897.55,17899.25,24486.3,1053511.3390000002,17899.25,-588.75,n.d.,167793.94999999998,808488.02,808488.02,453552.62,LAZARO ROBERT SL_resum
2021,190049.77,136740.81,370106.2,12020.240000000002,120954.91,n.d.,n.d.,220351.74,100220.61,26594.71,126815.32,1181.94,84792.87000000001,390600.23,292878.44,n.d.,6161.360000000001,5335.860000000001,1012132.9,2762.69,1018225.06,n.d.,3063.64,425083.23,n.d.,362921.16,n.d.,5,-598531.3,62162.07,148572.52,378579.9900000001,991630.3500000001,0,77798.62000000001,190049.77,214539.43,n.d.,23496.99,20734.3,26594.71,1018225.06,20734.3,-3097.719,n.d.,148572.41999999998,795189.43,795189.43,421931.899,LAZARO ROBERT SL_resum
2020,69716.58,137412.29,434447.83,12020.240000000002,87205.43,44,n.d.,187094.0,63346.96,31323.15,94670.11,73119.01,122800.72,369865.93000000005,243892.76,n.d.,3929.79,3929.79,881456.26,3534.8900000000003,888274.2699999999,n.d.,0.0,276188.99000000005,n.d.,231106.77,44,5,-549667.4,45082.219999999994,174234.81999999998,357845.689,856907.12,0,133642.019,69716.58,271054.31,n.d.,27393.36,23858.47,31323.15,888230.2699999999,23858.47,-3929.79,n.d.,174234.81999999998,710636.8200000001,710636.8200000001,338562.87,LAZARO ROBERT SL_resum
2019,88691.85,87872.88,330823.57,12020.240000000002,73346.43,1505.75,n.d.,181932.63,61494.23,22887.17,84381.4,29283.37,123343.12,346007.46,278775.68,n.d.,7598.05,7598.05,842140.55,4809.929999999999,849349.05,n.d.,1373.01,317618.6,n.d.,272536.38,1505.75,6,-484686.22000000003,45082.219999999994,119607.57,333987.22000000003,824956.13,0,125869.98,88691.85,213742.86,n.d.,16662.129999999997,11852.2,22887.17,847843.3,11852.2,-6225.04,n.d.,119607.57,648442.1699999999,648442.1699999999,364530.089,LAZARO ROBERT SL_resum
2018,54688.19,105459.66,324993.0,12020.240000000002,93298.609,n.d.,n.d.,217439.03,71012.98,29129.77,100142.75,42283.189999999995,154262.56,334155.26,271214.17,n.d.,1436.04,1436.04,873094.23,5408.1,884250.1789999999,n.d.,0.0,239230.25,n.d.,195520.61,n.d.,6,-512893.259,43709.64,65270.78,322135.02,855120.409,0,69920.14,54688.19,175379.8,n.d.,27693.73,22285.629,29129.77,884250.1789999999,22285.629,-1436.04,n.d.,65270.78,564223.25,564223.25,371356.91900000005,LAZARO ROBERT SL_resum
2017,75332.14,152342.78,286436.83,12020.240000000002,102880.08,n.d.,n.d.,272584.69,77670.67000000001,33730.7,111401.37,9430.7,129672.61,311869.63,317076.69,n.d.,3082.36,3082.36,1080723.01,5441.150000000001,1080723.01,n.d.,2.22,310243.23000000004,n.d.,266533.59,n.d.,8,-652244.9500000001,43709.64,4421.44,299849.389,1046992.309,0,57135.51,75332.14,209478.29,n.d.,30650.56,25209.41,33730.7,1080723.01,25209.41,-3080.14,n.d.,4421.44,596680.06,596680.06,428480.279,LAZARO ROBERT SL_resum
2016,62467.64,126368.57,266473.669,12020.240000000002,83617.57,n.d.,n.d.,223397.88,55385.75,33704.73,89090.48,4063.07,101092.38,286660.22000000003,334944.13,n.d.,4396.35,4396.35,1140179.32,7386.9,1140179.32,n.d.,6310.34,278515.55,n.d.,234805.91,n.d.,8,-716144.71,43709.64,39012.72,274639.98000000004,1106474.59,0,69492.79,62467.64,195861.36,n.d.,35618.719999999994,28231.82,33704.73,1140179.32,28231.82,1913.989,n.d.,29012.72,544989.22,544989.22,430344.949,LAZARO ROBERT SL_resum
2015,107577.03,135450.15,359518.42000000004,12020.240000000002,124834.95,2050,n.d.,216784.69,104246.93,28621.83,132868.76,4735.89,86070.43,270428.4,337553.92000000004,n.d.,6318.08,6318.08,1215752.03,5219.81,1215752.03,n.d.,3504.08,247401.3,n.d.,203691.66,2050,7,-743279.3500000001,43709.64,137997.84,258408.16,1185080.2,0,93464.14,107577.03,228914.29,n.d.,25807.83,20588.02,28621.83,1213702.03,20588.02,-2814.0,n.d.,127997.84,606919.72,606919.72,473926.76,LAZARO ROBERT SL_resum
2014,163154.97,170812.17,335726.53,12020.240000000002,136824.55,-2050,n.d.,270177.06,115826.97,30480.24,146307.21000000002,9033.93,108398.819,249840.38,279642.92000000004,n.d.,10319.06,10319.06,1155868.05,5569.09,1155868.05,n.d.,6405.49,309499.75,n.d.,266684.65,-2050,7,-731967.919,42815.1,56515.54,237820.14,1127437.8090000001,0,61418.76,163154.97,232230.93,n.d.,26566.67,20997.579,30480.24,1157918.05,20997.579,-3913.569,n.d.,56515.54,645226.2799999999,645226.2799999999,432355.619,LAZARO ROBERT SL_resum
