Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,295013.77,n.d.,498199.15,30060.0,-249073.77000000002,n.d.,n.d.,1365.3,25764.99,-348872.98000000004,-323107.99000000005,n.d.,1365.3,1234111.1900000002,31412.58,n.d.,10662.64,10662.64,62563.53,-78371.85,93007.08,n.d.,6325.01,1046681.0,n.d.,106163.56,n.d.,2,-384702.49000000005,940517.44,496833.85,1204051.1900000002,441880.06,0,15755.19,295013.77,15755.19,n.d.,-353210.61,-274838.76,-348872.98000000004,93007.08,-274838.76,-4337.629000000001,n.d.,186453.85,1544880.15,1544880.15,-285370.39900000003,LOREDO TURISTICA SL_resum
2022,373260.26,n.d.,936682.07,30060.0,31569.35,0.03,n.d.,202.07,24602.01,11748.83,36350.84,n.d.,202.07,1502801.14,10000,n.d.,2563.73,2563.73,53098.5,2494.9500000000003,80098.5,n.d.,277.19,947284.6,16.74,121817.42,0.03,n.d.,-33747.63,825450.4400000001,936480.0,1472741.14,68349.64,0,7905.269999999999,373260.26,7905.269999999999,n.d.,9462.29,6967.34,11748.83,80098.47,6967.34,-2286.54,n.d.,275185.77,1883966.67,1883966.67,46628.03,LOREDO TURISTICA SL_resum
2021,402627.02,n.d.,964405.38,30060.0,-117855.499,n.d.,n.d.,520.01,5373.160000000001,-16557.22,-11184.06,n.d.,520.01,1518540.64,35000,n.d.,450645.19,2645.19,32848.850000000006,-41035.450000000004,59280.289,n.d.,302938.3,970433.19,125.8,128630.24,n.d.,1,-35464.350000000006,841677.15,963885.37,1488480.64,75837.51,0,13670.91,402627.02,13670.91,n.d.,-164264.11000000002,-123228.659,-16557.22,59280.289,-123228.659,-147706.88999999998,n.d.,353505.37,1934838.57,1934838.57,-121245.759,LOREDO TURISTICA SL_resum
2020,429349.36,n.d.,1218410.64,30060.0,46308.52,-2.56,n.d.,183.89,3459.7599999999998,-59159.12,-55699.36,n.d.,183.89,1630324.56,35000,n.d.,2126.03,2126.03,8566.29,14432.92,15966.29,n.d.,118566.83,915323.68,234.86,258735.84,-2.56,1,-36668.21,656352.98,1218226.75,1600264.56,75127.969,0,74060.4,429349.36,74060.4,n.d.,57281.68,42848.76,-59159.12,15968.849999999999,42848.76,116440.8,n.d.,196.75,2133734.319,2133734.319,97867.469,LOREDO TURISTICA SL_resum
2019,398064.08,n.d.,1392873.54,30060.0,-9988.569,n.d.,n.d.,162.47,2701.3500000000004,-17098.47,-14397.12,n.d.,162.47,1569791.3,n.d.,n.d.,1199.72,1199.72,n.d.,-4229.969999999999,7800.0,n.d.,1378.3,588021.26,343.91999999999996,34852.83,n.d.,n.d.,-22197.12,552824.51,1392711.07,1539731.3,24898.47,0,13039.42,398064.08,13039.42,n.d.,-16919.89,-12689.919,-17098.47,7800,-12689.919,178.57899999999998,n.d.,1307411.76,1980894.8,1980894.8,-13018.82,LOREDO TURISTICA SL_resum
2018,n.d.,n.d.,1036635.23,60101.21,n.d.,1138.95,n.d.,40656.23,n.d.,4089662.74,4089662.74,n.d.,40656.23,1582471.82,185624.21000000002,n.d.,10432.619,235.9,n.d.,974960.6799999999,130.85000000000002,n.d.,0.0,1536100.0,n.d.,27000.0,1138.95,1,4276295.05,1509100.0,995979.0,1522370.6090000002,-4090670.84,0,990263.41,n.d.,990263.41,n.d.,4079230.12,3104269.44,4089662.74,-1008.1,3104269.44,-10432.619,n.d.,979.0,2572735.23,2572735.23,4265090.23,LOREDO TURISTICA SL_resum
2017,23043.72,n.d.,28027.54,60101.21,25223.59,203035.57,n.d.,8336.5,17618.8,10284.67,27903.47,1056.1499999999999,9392.65,65316.66,258027.74000000002,n.d.,2679.88,2679.88,674025.22,n.d.,678540.7889999999,n.d.,0.0,91673.65,n.d.,89887.15000000001,203035.57,10,-189574.01,1786.5,18634.89,5215.45,465220.55,0,31340.81,23043.72,31340.81,n.d.,7604.79,7604.79,10284.67,475505.21900000004,7604.79,-2679.88,n.d.,18634.89,119701.19,119701.19,285931.20900000003,LOREDO TURISTICA SL_resum
2016,45416.27,82.23,139506.37999999998,60101.21,8478.39,162904.34,n.d.,11379.72,25342.99,-13554.27,11788.72,6360.2,17657.69,193616.87,240523.64,n.d.,3310.3300000000004,3310.3300000000004,588923.37,n.d.,593336.39,n.d.,0.0,106882.36,n.d.,103581.68,162904.34,9,-178119.69,3300.68,121766.46,133515.659,443986.32,0,7273.37,45416.27,7355.6,n.d.,-16864.6,-16864.6,-13554.27,430432.05,-16864.6,-3310.3300000000004,n.d.,121766.46,246388.74,246388.74,252312.36,LOREDO TURISTICA SL_resum
2015,67137.19,n.d.,158644.18,60101.21,12515.93,132358.84999999998,n.d.,24146.47,31611.01,-15117.45,16493.558999999997,9891.49,34037.96,210481.47,225376.9,n.d.,4016.08,4016.08,545921.4600000001,-38.449999999999996,550630.51,n.d.,0.0,124680.45,n.d.,121379.77,132358.84999999998,8,-176401.2,3300.68,124606.22,150380.259,433389.11,0,5705.969999999999,67137.19,5705.969999999999,n.d.,-19133.53,-19095.079,-15117.45,418271.66,-19095.079,-4016.08,n.d.,124606.22,283324.63,283324.63,241870.46,LOREDO TURISTICA SL_resum
2014,88225.48,n.d.,172531.91,60101.21,25666.84,151457.38999999998,n.d.,15985.9,46660.28999999999,-16846.149999999998,29814.14,7438.31,23424.21,230508.62,238168.68,n.d.,4329.6,4329.6,582872.41,-182.3,588737.43,n.d.,0.0,155738.23,n.d.,152437.55,151457.38999999998,9,-169297.22,3300.68,149107.7,170407.409,454126.189,38.449999999999996,9497.59,88263.93,9497.59,n.d.,-21175.75,-20993.45,-16846.149999999998,437280.04,-20993.45,-4329.6,n.d.,149107.7,328270.14,328270.14,267982.819,LOREDO TURISTICA SL_resum
