Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,80512.47,260288.66,162273.27000000002,20842.12,553014.89,n.d.,14.76,752.04,19197.29,19949.33,185611.11,105113.4,204748.96,123362.53,n.d.,2536.9500000000003,2536.9500000000003,778251.63,-173.47,778251.63,n.d.,3256.27,31909.68,n.d.,43.83,553014.89,5,-81924.88,31865.85,74662.79,42475.69,206039.44999999998,0,6936.91,n.d.,87449.38,n.d.,19916.61,20090.08,19197.29,225236.74000000002,20090.08,719.3199999999999,n.d.,74662.79,292198.34,292198.34,146568.13,LUSITALIA SL_resum
2022,n.d.,108303.05,266899.91900000005,162273.27000000002,2212.98,561313.02,n.d.,0.19,1188.5,2086.3,3274.8,188098.76,79795.9,184658.88,132317.609,n.d.,2010.72,2010.72,782367.03,341.5,782367.03,n.d.,1290.4,32488.25,n.d.,795.87,561313.02,5,-85461.6,31692.38,78800.97,22385.61,218967.709,0,6426.24,n.d.,114729.29,n.d.,1365.98,1024.48,2086.3,221054.01,1024.48,-720.319,n.d.,78800.97,299388.17,299388.17,136882.80899999998,LUSITALIA SL_resum
2021,n.d.,100780.51,293964.56,162273.27000000002,6964.0,565875.65,n.d.,205.7,1188.5,9236.59,10425.09,181575.62,81000.81,218857.17,141195.79,n.d.,2289.67,2289.67,789688.75,1925.1699999999998,791188.75,n.d.,753.75,34018.25,n.d.,1984.37,565875.65,6,-73692.22,32033.88,112183.24,56583.899,216076.51,0,8345.129,n.d.,109125.64,n.d.,7700.67,5775.5,9236.59,225313.099,5775.5,-1535.92,n.d.,112183.24,327982.81,327982.81,152374.63,LUSITALIA SL_resum
2020,n.d.,26084.780000000002,206500.09,162273.27000000002,8667.939,605220.41,n.d.,n.d.,10198.06,-695.7900000000001,9502.27,180352.95,154268.17,213081.67,152021.2,n.d.,2921.12,2921.12,848983.15,-510.04,849333.15,n.d.,1576.75,37131.92,n.d.,3172.8700000000003,605220.41,6,-82589.27,33959.05,26147.14,50808.399,244808.53,0,4465.56,n.d.,30550.34,n.d.,-2040.16,-1530.12,-695.7900000000001,244112.74000000002,-1530.12,-1344.37,n.d.,26147.14,243632.01,243632.01,163100.22,LUSITALIA SL_resum
2019,n.d.,89343.98999999999,265309.9,162273.27000000002,16863.54,523272.89,n.d.,663.76,13876.92,4296.74,18173.66,178132.88999999998,89452.66,214611.79,138892.87,n.d.,1869.43,1869.43,757498.8,995.54,757498.8,n.d.,1554.85,46819.94,n.d.,13370.93,523272.89,5,-77159.38,33449.009,86513.25,52338.52,229929.17,0,8174.06,n.d.,97518.05,n.d.,3982.16,2986.62,4296.74,234225.91,2986.62,-314.58,n.d.,86513.25,312129.84,312129.84,158621.37999999998,LUSITALIA SL_resum
2018,n.d.,104038.17000000001,261885.61,162273.27000000002,17589.18,538720.66,n.d.,n.d.,14202.07,7778.2,21980.27,177202.0,73163.83,211625.17,137431.44999999998,n.d.,3262.05,3262.05,780622.4600000001,1129.04,780622.4600000001,n.d.,0.0,61652.4,n.d.,27247.85,538720.66,6,-82490.08,34404.55,84683.61,49351.9,234123.6,0,7874.67,n.d.,111912.84,n.d.,4516.150000000001,3387.109,7778.2,241901.799,3387.109,-3262.05,n.d.,84683.61,323538.01,323538.01,159411.72,LUSITALIA SL_resum
2017,n.d.,101654.93,241227.46,162273.27000000002,21969.88,546561.8500000001,n.d.,511.66,14446.2,11177.56,25623.76,166877.55,65734.28,208238.06,127738.89,n.d.,1145.99,1145.99,773523.16,2507.8900000000003,773523.16,n.d.,0.0,76683.51,n.d.,41449.92,546561.8500000001,4,-73598.66,35233.59,73838.25,45964.78999999999,215783.75,0,8017.98,n.d.,109672.91,n.d.,10031.57,7523.68,11177.56,226961.31,7523.68,-1145.99,n.d.,73838.25,317910.97000000003,317910.97000000003,153362.65,LUSITALIA SL_resum
2016,n.d.,98952.02,218677.49,162273.27000000002,4224.319,553260.51,n.d.,205.7,15204.71,-9368.31,5836.4,170074.79,71328.47,200714.38,130979.62,n.d.,1331.79,1331.79,763429.16,280.61,763429.16,n.d.,0.32,89987.6,n.d.,52696.12,553260.51,4,-73352.63,37291.48,48397.0,38441.11,219536.96,0,8998.69,n.d.,107950.71,n.d.,-10699.78,-10980.39,-9368.31,210168.65,-10980.39,-1331.47,n.d.,48397.0,308665.09,308665.09,136816.34,LUSITALIA SL_resum
2015,n.d.,102658.89,215610.41,162273.27000000002,17137.760000000002,527853.829,n.d.,0.31000000000000005,15246.89,3721.18,18968.07,171561.15,68902.569,211694.77,132856.4,n.d.,1201.61,1201.61,758662.72,630.2900000000001,758662.72,n.d.,1.59,104972.86,n.d.,67900.83,527853.829,7,-78984.42,37072.03,44048.95,49421.5,227087.71000000002,0,6229.610000000001,n.d.,108888.5,n.d.,2521.16,1890.87,3721.18,230808.88999999998,1890.87,-1200.02,n.d.,44048.95,320583.27,320583.27,151826.06,LUSITALIA SL_resum
2014,n.d.,100309.04,199885.61,162273.27000000002,-14616.97,497423.11,n.d.,8549.33,9328.66,-27716.980000000003,-18388.32,153455.04,61695.33,209803.9,134125.64,n.d.,2267.9300000000003,2267.9300000000003,693962.49,-5986.41,693962.49,n.d.,52.87,116990.9,n.d.,79498.58,497423.11,7,-80802.06,37492.32,37881.24,47530.62899999999,224256.36,0,6763.57,n.d.,107072.61,n.d.,-29932.04,-23945.63,-27716.980000000003,196539.37999999998,-23945.63,-2215.06,n.d.,37881.24,316876.51,316876.51,115790.19,LUSITALIA SL_resum
