Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,231375.17,12723.859999999999,836521.07,618398.9500000001,84912.82,882791.01,345291.22000000003,235447.16,56147.9,65447.94,121595.84,545508.49,768231.7899999999,794232.8200000001,765474.41,n.d.,27014.34,27014.34,2139584.549,9668.68,2139584.549,n.d.,0.0,554149.4600000001,12108.640000000001,527140.819,882791.01,24,-369723.29000000004,14900,55565.42,175833.87,1191345.6,0,7047.46,231375.17,365062.54,n.d.,38433.6,28764.92,65447.94,1256793.539,28764.92,-27014.34,n.d.,55565.42,1390670.53,1390670.53,887070.25,MADERAS COLL VIADER SL_resum
2022,188038.59,7954.4,783182.1,618398.25,75194.18000000001,566142.9500000001,n.d.,197446.02,48748.65,49445.95,98194.6,531520.81,721012.43,789633.9500000001,607651.7,n.d.,14185.240000000002,14185.240000000002,1526703.04,8815.18,1541078.83,n.d.,0.0,413708.16,12108.640000000001,n.d.,566142.9500000001,10,-269089.58,401599.52,54215.27,171235.699,925489.93,0,211263.32,188038.59,219217.72,n.d.,35260.71,26445.53,49445.95,974935.88,26445.53,-14185.240000000002,n.d.,46315.27,1196890.26,1196890.26,705846.2989999999,MADERAS COLL VIADER SL_resum
2021,248110.52,3789.44,774815.4500000001,618398.9500000001,71311.43,498616.6,74685.87000000001,181336.28,47124.8,47746.01,94870.81,474993.36,652540.2,781112.06,474132.75,n.d.,15497.17,15497.17,1371019.72,8062.21,1371019.72,n.d.,0.0,337654.41000000003,6170.46,331483.95,498616.6,10,-303399.56,n.d.,118485.81,162713.11000000002,824657.11,0,4771.969999999999,248110.52,83247.28,n.d.,32248.84,24186.63,47746.01,872403.12,24186.63,-15497.17,n.d.,10784.56,1112469.86,1112469.86,569003.56,MADERAS COLL VIADER SL_resum
2020,314905.53,5897.14,738720.65,618398.9500000001,62926.99,353182.87,n.d.,169784.26,48754.119999999995,37673.06,86427.18000000001,448551.12,612438.24,759292.54,236662.84999999998,n.d.,18775.91,18775.91,893734.19,4724.28,893734.19,n.d.,0.0,348654.41000000003,6170.46,342483.95,353182.87,10,-217461.29,n.d.,120385.27,140893.59,502878.26,0,7279.85,314905.53,13176.99,n.d.,18897.15,14172.87,37673.06,540551.3200000001,14172.87,-18775.91,n.d.,12684.02,1087375.06,1087375.06,323090.02900000004,MADERAS COLL VIADER SL_resum
2019,172254.0,12457.12,654048.63,618398.9500000001,55155.77,340022.83999999997,58175,154907.38999999998,49058.47,32530.27,81588.73999999999,392465.78,534916.05,758685.02,289568.41000000003,n.d.,22875.62,22875.62,898728.24,3557.3500000000004,898728.24,n.d.,0.0,357397.96,6170.46,343327.5,340022.83999999997,9,-187548.25,7900,106675.46,140286.069,526175.13,0,9875.45,172254.0,80507.57,n.d.,9654.65,6097.299,32530.27,558705.399,6097.299,-22875.62,n.d.,6874.21,1011446.59,1011446.59,371157.15,MADERAS COLL VIADER SL_resum
2018,235375.07,7645.6,647588.98,618398.9500000001,67713.52,321113.37,58159.1,131025.96,48050.87,46366.99,94417.86,411349.52,534729.88,748012.9500000001,228380.06,n.d.,20150.12,20150.12,820324.7699999999,6554.22,820324.7699999999,n.d.,0.0,406456.43000000005,6170.46,392385.97000000003,321113.37,8,-176413.47999999998,7900,105213.5,129614.0,452844.41000000003,0,4852.6900000000005,235375.07,70657.39,n.d.,26216.87,19662.649,46366.99,499211.4,19662.649,-20150.12,n.d.,5412.25,1054045.409,1054045.409,322797.92000000004,MADERAS COLL VIADER SL_resum
2017,215059.41,16101.47,745725.07,618398.9500000001,62786.810000000005,218027.57,62781.9,199129.1,44125.119999999995,60369.47,104494.59,435039.62,618067.25,884595.9600000001,231834.03,n.d.,35487.219999999994,35487.219999999994,685782.2799999999,6220.56,685782.2799999999,n.d.,0.0,442205.61,6170.46,428135.14999999997,218027.57,5,-131426.09,7900,111556.35,266197.01,407385.24,0,9391.94,215059.41,88275.31,n.d.,24882.25,18661.69,60369.47,467754.71,18661.69,-35487.219999999994,n.d.,11755.1,1187930.6800000002,1187930.6800000002,336328.62,MADERAS COLL VIADER SL_resum
2016,692116.2899999999,10745.6,636002.99,118397.0,n.d.,n.d.,160650,169291.27000000002,n.d.,17513.04,17513.04,454614.44,613160.11,323996.89,n.d.,n.d.,0.0,n.d.,710270.1,n.d.,710270.1,n.d.,0.0,560330.73,6170.46,452260.27,n.d.,n.d.,-692757.06,101900,12097.28,205599.89,692757.06,0,8824.94,692116.2899999999,180220.54,n.d.,17513.04,17513.04,17513.04,710270.1,17513.04,0.0,n.d.,12097.28,1196333.72,1196333.72,17513.04,MADERAS COLL VIADER SL_resum
2015,549523.15,n.d.,638166.05,118397.0,n.d.,n.d.,115464.2,138120.09,n.d.,26214.75,26214.75,493767.02,631887.11,315483.85,n.d.,n.d.,0.0,n.d.,608107.76,n.d.,608107.76,n.d.,0.0,380532.68,n.d.,380532.68,n.d.,n.d.,-581893.01,n.d.,6278.94,197086.85,581893.01,0,38227.53,549523.15,153691.73,n.d.,26214.75,26214.75,26214.75,608107.76,26214.75,0.0,n.d.,6278.94,1018698.73,1018698.73,26214.75,MADERAS COLL VIADER SL_resum
2014,477554.45,n.d.,603840.8400000001,118397.0,n.d.,n.d.,154212.69,179884.52,n.d.,30140.12,30140.12,412845.64,592730.16,318631.42000000004,n.d.,n.d.,0.0,n.d.,622038.0,n.d.,622038.0,n.d.,0.0,373933.91,n.d.,373933.91000000003,n.d.,n.d.,-591897.88,n.d.,11110.68,200234.419,591897.88,0,27376.19,477554.45,181588.88,n.d.,30140.12,30140.12,30140.12,622038,30140.12,0.0,n.d.,11110.68,977774.75,977774.75,30140.12,MADERAS COLL VIADER SL_resum
