Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,663627.15,81746.20999999999,3177704.48,245880.0,111228.35,1593885.33,473827.96,1227449.41,91410.89,90293.99,181704.88,1876211.64,3021914.84,1947849.51,744952.98,n.d.,63870.71,63870.71,3072600.15,6605.820000000001,3109692.48,n.d.,0.0,720436.3200000001,58.48,719577.8400000001,1562232.77,22.0,-589149.2899999999,800,74043.43,1701969.509,1425513.1600000001,0,731089.97,663627.15,1286664.14,n.d.,26423.28,19817.460000000003,90293.99,1515807.1500000001,19817.460000000003,-63870.71,n.d.,61043.43,3898140.8,3898140.8,926657.86,MADERERA GERUNDENSE SA_resum
2022,668939.61,73733.33,3487731.19,245880.0,79260.36,1903792.3800000001,539057.2899999999,1402995.6700000002,48465.57,84281.06,132746.63,1993196.6,3322458.94,1818124.38,730831.37,n.d.,41750.25,41750.25,3408769.7800000003,11736.02,3408769.7800000003,n.d.,0.0,350766.11,58.48,349907.63,1818029.62,22.0,-641399.4,800,91538.92,1572244.38,1420696.34,0,738642.69,668939.61,1351433.31,n.d.,42530.810000000005,30794.789,84281.06,1504977.4,30794.789,-41750.25,n.d.,78538.92,3838497.3,3838497.3,863577.999,MADERERA GERUNDENSE SA_resum
2021,733289.64,55792.77,3533342.17,245880.0,49580.68,1843989.5,528581.0889999999,1372872.91,41691.89,45261.75,86953.64,2069050.1,3386130.239,1787329.59,655877.8500000001,n.d.,34663.36,34663.36,3047046.06,2709.6,3047046.06,n.d.,0.0,312318.54,58.48,311460.06,1794163.41,22.0,-460225.07,800,91419.16,1541449.59,1157794.8090000001,0,740667.62,733289.64,1325041.48,n.d.,10598.39,7888.789,45261.75,1203056.56,7888.789,-34663.36,n.d.,91419.16,3845660.71,3845660.71,742831.49,MADERERA GERUNDENSE SA_resum
2020,742858.23,44121.47,3540296.99,245880.0,41072.08,1621595.05,480262.68,1269035.21,40455.78999999999,31661.81,72117.6,2180269.04,3405182.7800000003,1779440.8,682545.91,n.d.,30840.08,30840.08,2796065.84,205.44,2808261.889,n.d.,0.0,300194.29000000004,58.48,299335.81,1625997.01,25.0,-432003.33,800,90992.74,1533560.8,1155005.03,0,793808.1,742858.23,1318192.25,n.d.,821.73,616.2900000000001,31661.81,1186666.8390000002,616.2900000000001,-30840.08,n.d.,90992.74,3840491.28,3840491.28,754663.51,MADERERA GERUNDENSE SA_resum
2019,115496.81,81711.04,3068098.66,245880.0,43578.72899999999,1729114.1600000001,498460.04,841011.64,41226.99,47858.46,89085.45,2172940.65,2932241.25,1778824.51,741961.66,n.d.,44420.86,44420.86,3073229.21,1085.86,3073229.21,n.d.,0.0,338107.08,58.48,337248.6,1747488.13,27.0,-513067.94,800,54146.37,1532944.51,1296256.59,859.15,930854.19,116355.96,1511025.27,n.d.,3437.6,2351.74,47858.46,1344115.05,2351.74,-44420.86,n.d.,54146.37,3406205.74,3406205.74,831047.11,MADERERA GERUNDENSE SA_resum
2018,42836.15,74546.37000000001,3052924.22,245880.0,55993.539,1767270.1700000002,570341.2899999999,872852.3400000001,43671.62,54683.72,98355.34,2143078.2,2941384.17,1776472.77,701336.49,n.d.,38022.8,38022.8,3072803.87,4339.0,3072803.87,n.d.,0.0,352563.28,58.48,351704.8,1775583.85,27.0,-505841.87,800,36993.68,1530592.77,1250849.98,1115.77,940175.149,43951.92,1585062.81,n.d.,16660.918999999998,12321.919,54683.72,1305533.7,12321.919,-38022.8,n.d.,36993.68,3405487.5,3405487.5,799691.829,MADERERA GERUNDENSE SA_resum
2017,67633.93999999999,151350.22,3042854.87,245880.0,54819.350000000006,1527324.6600000001,382389.98000000004,878603.13,43063.380000000005,56868.26,99931.64,2128922.58,2856175.489,1764150.85,683433.4600000001,n.d.,41031.95,41031.95,2798794.26,4080.34,2798794.26,n.d.,0.0,366679.29,58.48,365820.81,1522849.44,26.0,-488104.5,800,35329.16,1518270.85,1214601.3390000002,793.8399999999999,1043215.33,68427.78,1576955.53,n.d.,15836.31,11755.97,56868.26,1271469.5990000002,11755.97,-41031.95,n.d.,35329.16,3409534.16,3409534.16,783365.1,MADERERA GERUNDENSE SA_resum
2016,118151.76,151481.5,2906235.99,245880.0,69765.90999999999,1462373.98,281336.639,746604.8400000001,58609.19,58892.880000000005,117502.07,2135961.38,2731084.719,1752394.88,648544.59,n.d.,43529.78,43529.78,2734361.86,4206.38,2734361.86,n.d.,0.0,390017.25,58.48,388329.19,1456435.97,26.0,-505941.22000000003,1629.58,23669.77,1506514.88,1213095,517.919,992370.54,118669.68,1425188.6800000002,n.d.,15363.1,11156.72,58892.880000000005,1271987.8800000001,11156.72,-43529.78,n.d.,23669.77,3296253.24,3296253.24,766046.659,MADERERA GERUNDENSE SA_resum
2015,194732.01,217064.04,2893832.27,245880.0,137863.0,1048318.8480000001,296680.74,704402.63,106218.34,67752.23999999999,173970.58,2161465.96,2648804.55,1741238.16,653002.38,n.d.,71003.7,71003.7,2413830.89,-34896.119999999995,2413830.89,n.d.,0.0,441829.67,58.48,438172.57,1069098.8890000002,26.0,-538539.08,3598.62,27963.68,1495358.16,1297759.8,4187.71,881759.2799999999,198919.72,1395504.06,n.d.,-3251.46,31644.66,67752.23999999999,1365512.041,31644.66,-71003.7,n.d.,27963.68,3335661.94,3335661.94,826972.9600000001,MADERERA GERUNDENSE SA_resum
2014,150649.68,209278.97999999998,2832912.2800000003,245880.0,111105.63,989356.3200000001,481401.91000000003,678934.15,127564.82,42744.07,170308.88999999998,2141252.359,2610907.529,1709593.5,661835.69,n.d.,64042.49,64042.49,2280522.42,-4839.23,2280522.42,n.d.,0.0,535461.959,58.48,533410.2699999999,1030333.34,26.0,-459021.52,1993.21,12725.77,1463713.501,1248422.03,41216.78,776233.39,191866.46,1466914.28,n.d.,-21298.42,-16459.189,42744.07,1291166.1,-16459.189,-64042.49,n.d.,12725.77,3368374.24,3368374.24,832144.5789999999,MADERERA GERUNDENSE SA_resum
