Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1292626.76,3357452.99,42641686.58,171900.0,3413186.18,17067839.03,948875.33,27136214.130000003,446790.68,2987807.54,3434598.22,1265897.0,25044658.14,37009497.58,1291741.61,n.d.,112864.24,112864.24,24355640.04,614945.75,24400553.83,n.d.,706397.9500000001,3543545.05,n.d.,722548.99,16876584.03,42.0,-2606374.969,2820996.06,14239575.45,36837597.58,4344907.26,3882.29,3572896.679,1296509.05,7879225.0,n.d.,3581341.25,2966395.5,2987807.54,7332714.799,2966395.5,593533.71,n.d.,281070.96,46185231.63,46185231.63,5432737.78,MANUFACTURAS MAX PLASTIC SA_resum
2022,2241502.08,3008721.21,40964633.720000006,171900.0,482424.44,15865800.68,1226821.11,25513170.34,328948.85,297199.21,626148.06,1653180.0,24157629.130000003,34043102.08,1090772.13,n.d.,112532.23,86864.54,20262616.39,31191.39,20284998.06,n.d.,0.0,3146887.45,n.d.,867434.75,16060318.68,34.0,-2702277.19,2279452.7,13798283.38,33871202.08,4121998.17,40811.880000000005,3550562.809,2282313.96,7786105.13,n.d.,184666.98,153475.59,297199.21,4419197.38,153475.59,-112532.23,n.d.,154150.47999999998,44111521.17,44111521.17,1691252.5,MANUFACTURAS MAX PLASTIC SA_resum
2021,3459446.96,2572809.36,41032261.24,171900.0,9708411.01,14218302.11,1228258.27,3355848.19,351597.58,1255800.97,1607398.55,1612523.0,2395561.829,33889626.49,641576.37,n.d.,90343.88,62762.5,17508102.330000002,4029.56,17524268.4,n.d.,8195385.9,3277284.35,n.d.,983787.57,14227724.11,31.0,-1056991.37,2293496.7800000003,36063890.05,33717726.489,2050165.32,56462.9,3102941.61,3515909.86,6904009.24,n.d.,9360842.99,9356813.43,1255800.97,3305966.2890000003,9356813.43,8105042.02,n.d.,154332.31,44309545.59,44309545.59,10416779.44,MANUFACTURAS MAX PLASTIC SA_resum
2020,3591410.51,2513268.45,20700473.18,171900.0,123387.819,13582297.58,470175.22,4863658.25,331201.07,-205512.42,125688.65,1526858.0,3877247.8,24532813.06,542597.49,n.d.,71571.93999999999,30915.85,16315654.26,-69271.09,16343984.73,n.d.,0.02,13568018.04,n.d.,1264861.96,13549693.58,19.0,-2093401.01,12303156.08,14309956.93,24360913.06,2967199.57,48964.71,3111859.2690000003,3640375.22,6095302.94,n.d.,-277084.34,-207813.25,-205512.42,2761687.15,-207813.25,-71571.92,n.d.,250966.6,34268491.220000006,34268491.220000006,627630.07,MANUFACTURAS MAX PLASTIC SA_resum
2019,974664.15,2531334.66,17954252.310000002,171900.0,1488176.069,17352621.51,752165.74,5767848.69,188974.75,709329.61,898304.3600000001,1448034.0,4684548.03,24740626.31,638337.8300000001,n.d.,34719.42,10503.04,21619472.610000003,64754.87,21620148.110000003,n.d.,689346.0,13803813.29,n.d.,1532057.23,17255524.51,20.0,-2730884.4099999997,12271756.06,10738369.62,24568726.31,3558196.9899999998,22597.329999999998,2736677.409,997261.48,6020177.81,n.d.,1363956.1900000002,1299201.319,709329.61,4267526.598999999,1299201.319,654626.58,n.d.,474594.65,31758065.6,31758065.6,2201771.81,MANUFACTURAS MAX PLASTIC SA_resum
2018,551568.9,2797624.41,16582462.93,171900.0,1412733.02,18524924.259999998,719693.97,6388804.78,136790.83,1553946.37,1690737.2,1455466.0,5046646.37,23441424.99,649349.8500000001,n.d.,16707.618999999995,12186.76,23527333.4,261296.56,23540197.04,n.d.,0.0,13012206.85,n.d.,734058.52,18709424.26,21.0,-2675185.73,12278148.329,8738192.15,23269524.99,3461326.4099999997,18680.809999999998,2065676.7,570249.71,5582995.08,n.d.,1537238.75,1275942.1900000002,1553946.37,5015272.779,1275942.1900000002,-16707.618999999995,n.d.,153717.1,29594669.78,29594669.78,2335566.19,MANUFACTURAS MAX PLASTIC SA_resum
2017,632618.3,3890404.58,16921224.16,171900.0,1657016.56,20845385.21,1356430.88,7671577.5,155667.87,1893962.96,2049630.83,1148899.0,4930071.92,22174253.04,682846.54,n.d.,16996.23,12256.36,26178899.01,375621.61,26212627.66,n.d.,3.57,13039320.49,n.d.,754679.89,20844826.21,23.0,-2634765.079,12284640.6,8100747.658999999,22002353.04,3473279.489,19433.1,1887404.75,652051.4,7134240.21,n.d.,1876970.3,1501348.6900000002,1893962.96,5367242.449,1501348.6900000002,-16992.66,n.d.,265478.659,29960544.65,29960544.65,2727741.07,MANUFACTURAS MAX PLASTIC SA_resum
2016,689109.63,3612501.45,14866829.76,171900.0,1334160.38,20180898.82,1160913.45,7173988.78,164584.88999999998,1358132.12,1522717.01,1089281.0,4650768.33,20692979.38,728550.05,n.d.,17390.03,13500.04,25524646.14,171469.73,25558186.92,n.d.,303.13,12940204.28,n.d.,646371.42,20254030.82,24.0,-3126021.04,12293832.86,6603559.979,20521079.38,4019155.98,22374.58,1629155.549,711484.21,6402570.45,n.d.,1341045.22,1169575.49,1358132.12,5377288.1,1169575.49,-17086.898999999998,n.d.,196820.42,27807034.04,27807034.04,2247680.2,MANUFACTURAS MAX PLASTIC SA_resum
2015,879764.73,2892902.04,13101720.04,171900.0,916215.23,19509236.150000002,1206744.45,6497029.42,171710.31,777076.97,948787.28,927083.0,4531210.38,19543478.92,772828.0,n.d.,22753.2,21636.4,24014232.47,9875.23,24059275.29,n.d.,56.38,13089565.91,223.85000000000002,789998.57,19552648.15,26.0,-2828423.86,12299343.49,5677607.619999999,19371578.92,3772962.17,27637.39,1640758.42,907402.12,5740404.91,n.d.,754380.15,744504.92,777076.97,4550039.14,744504.92,-22696.82,n.d.,48231.37,26191285.95,26191285.95,1720554.8590000002,MANUFACTURAS MAX PLASTIC SA_resum
2014,639601.7799999999,2843492.41,12068774.43,171900.0,2500796.3,18573201.05,1174572.16,7055689.06,193140.9,1541593.29,1734734.1900000002,866731.0,5078927.648999999,18829569.03,888201.01,n.d.,34194.17,34133.119999999995,23797986.110000003,-12198.75,23875418.71,n.d.,788057.53,12961694.27,7611.4,635728.62,18590065.05,30.0,-2679282.46,12318354.25,4146354.37,18657669.029,3760624.369,34077.97,1509155.35,673679.75,5527219.92,n.d.,2295456.65,2307655.4,1541593.29,5302217.659999999,2307655.4,753863.3600000001,n.d.,30529.08,25030468.7,25030468.7,3410931.68,MANUFACTURAS MAX PLASTIC SA_resum
2013,802505.6699999999,3257750.97,9454254.51,171900.0,1079427.24,18487125.24,2037072.74,7327417.42,417109.84,686317.6699999999,1103427.51,861844.0,4931510.449,16517859.96,1005100.34,n.d.,42995.91,42995.91,22913925.73,-2253.63,22990954.69,n.d.,16742.008,14302846.54,15206.449999999999,692622.07,18481329.24,36.0,-2395301.6,13595018.02,1264993.0890000002,16345959.96,3817511.7800000003,32340.69,1109571.02,834846.3600000001,6404394.73,n.d.,660063.7699999999,662317.4,686317.6699999999,4503829.45,662317.4,-26253.902,n.d.,17441.18,23757101.05,23757101.05,2125269.859,MANUFACTURAS MAX PLASTIC SA_resum
2012,1350897.14,2631806.07,8248616.46,171900.0,961692.34,17481516.87,1323271.0890000002,6376542.649999999,574582.97,477575.29,1052158.26,888003.0,4632739.58,15905145.46,1274570.57,n.d.,62683.75,59818.06,22176048.58,57016.93,22289594.74,n.d.,29234.76,14293268.8,22801.5,1157270.24,17283526.87,40.0,-2481349.04,13113197.06,984070.81,15733245.459,4330502.58,64177.21,1266588.29,1415074.35,5221665.45,n.d.,444126.3,387109.37,477575.29,4808077.868999999,387109.37,-33448.99,n.d.,984070.81,22541885.26,22541885.26,2353097.9,MANUFACTURAS MAX PLASTIC SA_resum
2011,2022607.78,1858147.86,8618219.39,171900.0,1066440.53,18886838.830000002,2273027.62,6814452.34,600203.76,656181.98,1256385.74,1128697.0,6085001.479,15668920.9,1245031.92,n.d.,148598.449,147753.43,23847745.33,65081.46,23976778.25,n.d.,23734.7,14818510.9,622.5,1659943.73,18833728.83,37.0,-2588521.7600000002,13157944.67,675070.05,15497020.899,4433757.44,113743.16,1500282.97,2136350.94,5631458.45,n.d.,531318.23,466236.769,656181.98,5089939.42,466236.769,-124863.749,n.d.,675070.05,23436730.29,23436730.29,2524307.34,MANUFACTURAS MAX PLASTIC SA_resum
2010,2673063.19,2302525.85,9518695.06,171900.0,1419982.08,18205259.19,3461113.719,7645569.5,830084.66,769405.07,1599489.73,1322631.0,6665674.649999999,15126508.75,1203058.4,n.d.,103717.99,103694.13,23577252.18,83612.31,23641705.72,n.d.,7822.650000000001,15370408.72,830,2162136.25,18108858.19,37.0,-2633898.4,13207442.47,550494.56,14954608.75,4667041.46,110742.73999999999,1215149.53,2783805.93,6978789.1,n.d.,673509.73,589897.419,769405.07,5436446.528999999,589897.419,-95895.34,n.d.,550494.56,24889103.78,24889103.78,2810346.92,MANUFACTURAS MAX PLASTIC SA_resum
2009,3517676.47,1968575.37,8529333.5,171900.0,1254561.01,17352645.29,3148090.82,7097406.44,787197.51,739325.25,1526522.76,1310820.0,6439651.07,14575447.85,1226528.62,n.d.,207468.32,207468.32,22311954.41,75737.54,22362701.5,n.d.,11244.11,15902936.37,1037.5,2533400.02,16817816.29,38.0,-2257004.8299999996,13368498.85,121107.06,14403547.85,4270730.96,163151.52,1059327.8390000002,3680827.99,6175994.03,n.d.,543101.04,467363.5,739325.25,5010056.21,467363.5,-196224.21,n.d.,120607.06,24432269.87,24432269.87,2764295.489,MANUFACTURAS MAX PLASTIC SA_resum
2008,3590167.79,2456823.95,9766428.91,171900.0,979841.52,22958041.99,3545103.55,7588246.75,690685.93,702838.8500000001,1393524.78,2088270.0,7219692.8,14024489.68,1138732.28,n.d.,399747.73,399728.9,28397115.7,31418.7,28398770.52,n.d.,17483.17,15368332.44,1245,2747707.06,23157830.99,34.0,-2908471.4699999997,12619380.38,89912.15900000001,13852589.68,4737889.68,139755.76,1378420.62,3729923.55,7380348.119999999,n.d.,320574.29000000004,289155.58900000004,702838.8500000001,5440728.53,289155.58900000004,-382264.56,n.d.,88504.65000000001,25134761.35,25134761.35,2549721.4,MANUFACTURAS MAX PLASTIC SA_resum
2007,3796194.45,3937144.32,10322695.12,171900.0,752575.7,n.d.,3380042.51,8261650.04,640736.1,309694.77,950430.87,2032217.0,6356722.719,13660988.61,1107936.0,21917.23,219678.41,219668.85,27865537.08,-2107.4500000000003,27870408.68,5461.42,36171.6,15087787.38,462032.36,1958865.68,23289911.05,35.0,n.d.,12666889.34,28828.079,13489088.61,n.d.,n.d.,636112.61,3796194.45,7953299.44,n.d.,126187.96,128295.41,309694.77,n.d.,111839.6,-183506.81,-16455.808999999997,2801.08,25410482.5,25410482.5,2078073.1,MANUFACTURAS MAX PLASTIC SA_resum
2006,4103195.91,4010538.77,10724374.25,171900.0,697919.57,n.d.,3662446.82,8326987.51,804481.05,-34582.65,769898.4,2004585.0,6321033.74,13549149.01,1137971.4,10554.869999999999,165202.65,165202.65,28700715.28,-60614.21,28709223.03,13647.02,29517.460000000003,15132871.2,259607.11000000002,2158019.32,24150567.610000003,39.0,n.d.,12715244.77,392801.74,13377249.01,n.d.,n.d.,531914.9400000001,4103195.91,8204900.53,n.d.,-170267.84,-109653.63,-34582.65,n.d.,-106561.48,-135685.19,3092.149,383492.64,25857245.45,25857245.45,1940479.41,MANUFACTURAS MAX PLASTIC SA_resum
2005,4581918.02,5549343.95,12498141.45,171900.0,1761712.2,n.d.,3324815.75,9165796.46,815923.7,1378394.63,2194318.33,3121497.0,6737949.51,13655710.49,1218678.21,12453.25,131070.14,131070.14,27872643.43,349625.58,27881124.36,20244.440000000002,40298.4,15526043.64,484270.26,2279841.26,21901413.26,40.0,n.d.,12761932.12,210847.989,13483810.49,n.d.,n.d.,912396.879,4581918.02,9786556.58,n.d.,1287622.89,937997.309,1378394.63,n.d.,945788.5,-90771.74,7791.189,207353.73,28024185.09,28024185.09,3461086.13,MANUFACTURAS MAX PLASTIC SA_resum
2004,171194.0,2864505.35,8228734.57,300506.05,2331264.99,n.d.,1566218.46,6564554.21,978424.51,1870425.57,2848850.08,1187714.0,4887762.858999999,19636644.84,1270673.07,6836.1,30902.12,30902.12,23421521.93,566803.6699999999,23436365.68,31854.87,55101.93,17268275.68,992674.14,1884380.73,17144901.559,41.0,n.d.,14391220.809,476466.36,19336138.79,n.d.,n.d.,1258447.6,171194.0,5689171.41,n.d.,1894625.38,1327821.71,1870425.57,n.d.,1352840.48,24199.81,25018.769,462459.67,25497010.25,25497010.25,4199643.848999999,MANUFACTURAS MAX PLASTIC SA_resum
