Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,8326.08,42746.91,3005.1,n.d.,25267.77,n.d.,5469.2,n.d.,2997.11,2997.11,14232.62,11375.740000000002,6465.05,64285.619999999995,n.d.,1210.33,1210.33,115228.96,n.d.,115228.96,n.d.,0,n.d.,n.d.,n.d.,25267.77,4,-22678.460000000003,n.d.,23045.09,3459.9500000000003,86964.08,0,27955.780000000002,n.d.,36281.86,n.d.,1786.78,1786.78,2997.11,89961.19,1786.78,-1210.33,n.d.,23045.09,42746.91,42746.91,67282.73,MARIN-FARRERAS 97 SL_resum
2022,n.d.,5212.48,30346.81,3005.1,n.d.,47466.810000000005,n.d.,7652.6900000000005,n.d.,2385.75,2385.75,n.d.,2440.21,4678.27,68284.67000000001,n.d.,308.04,308.04,141926.67,n.d.,141926.67,n.d.,0,n.d.,n.d.,n.d.,47466.810000000005,3,-23789.440000000002,n.d.,22694.12,1673.1699999999998,92074.11,0,20456.06,n.d.,25668.54,n.d.,2077.71,2077.71,2385.75,94459.86,2077.71,-308.04,n.d.,22694.12,30346.81,30346.81,70670.42,MARIN-FARRERAS 97 SL_resum
2021,n.d.,5440.72,30230.21,3005.1,n.d.,42877.44,n.d.,20938.82,n.d.,1020.59,1020.59,9120.3,24618.399,2600.56,68331.03,n.d.,589.09,589.09,130126.02,n.d.,130126.02,n.d.,0,n.d.,n.d.,n.d.,42877.44,3,-17896.960000000003,n.d.,171.09,-404.539,86227.989,0,22188.93,n.d.,27629.65,n.d.,431.5,431.5,1020.59,87248.58,431.5,-589.09,n.d.,171.09,30230.21,30230.21,69351.62000000001,MARIN-FARRERAS 97 SL_resum
2020,n.d.,10649.83,40217.12,3005.1,n.d.,50302.94,n.d.,18412.08,n.d.,5172.84,5172.84,8929.08,16691.329999999998,2169.06,62253.880000000005,n.d.,52.54,52.54,140850.34,n.d.,140850.34,n.d.,0,n.d.,n.d.,n.d.,39251.32,3,-23120.68,n.d.,12875.96,-836.04,85374.56,0,27398.23,n.d.,38048.06,n.d.,5120.3,5120.3,5172.84,90547.4,5120.3,-52.54,n.d.,12875.96,40217.12,40217.12,67426.719,MARIN-FARRERAS 97 SL_resum
2019,n.d.,1309.75,37583.62,3005.1,n.d.,5498.88,n.d.,1198.9,n.d.,5278.73,5278.73,19980.7,19869.85,-2951.24,74997.56,n.d.,168.7,168.7,100938.1,n.d.,100938.1,n.d.,294.67,n.d.,n.d.,n.d.,5498.88,3,-15162.93,n.d.,16404.02,-5956.339,90160.489,0,39225.11,n.d.,40534.86,n.d.,5404.7,5404.7,5278.73,95439.22,5404.7,125.97,n.d.,16404.02,37583.62,37583.62,80570.959,MARIN-FARRERAS 97 SL_resum
2018,n.d.,1410.1499999999999,48139.74,3005.1,19561.18,32251.84,n.d.,7920.820000000001,2869.25,16460.809999999998,19330.06,620.3,7130.969,-8355.94,92363.54,n.d.,172.26,172.26,172832.66,n.d.,172832.66,n.d.,403.38,n.d.,n.d.,n.d.,32251.84,3,-28887.22,n.d.,39598.62,-11361.04,124120.01,0,55085.53,n.d.,56495.68,n.d.,16691.93,16691.93,16460.809999999998,140580.81999999998,16691.93,231.12,n.d.,39598.619999999995,48139.74,48139.74,112096.98,MARIN-FARRERAS 97 SL_resum
2017,n.d.,1979.5,5130.13,3005.1,4627.14,40706.810000000005,n.d.,1103.08,2869.25,1495.6,4364.85,950.7,74.279,-25047.87,35282.15,n.d.,143.38000000000002,143.38000000000002,96920.89,n.d.,96920.89,n.d.,405.67,2869.25,n.d.,2869.25,40706.810000000005,2,-16567.08,n.d.,3076.3500000000004,-28052.97,54718.48,0,31067.75,n.d.,33047.25,n.d.,1757.89,1757.89,1495.6,56214.08,1757.89,262.29,n.d.,3076.3500000000004,7999.38,7999.38,40052.67,MARIN-FARRERAS 97 SL_resum
2016,n.d.,3617.4900000000002,33319.55,3005.1,5832.21,21511.1,n.d.,n.d.,2869.25,3051.8100000000004,5921.059,870.3,-2747.189,-26805.76,51892.75,n.d.,88.85,88.85,93052.03,n.d.,93052.03,n.d.,0,5738.5,n.d.,5738.5,21511.1,2,-13727.12,n.d.,32449.25,-29810.859,68489.12000000001,0,62246.32,n.d.,65863.81,n.d.,2962.96,2962.96,3051.8100000000004,71540.93,2962.96,-88.85,n.d.,32449.25,39058.05,39058.05,57813.810000000005,MARIN-FARRERAS 97 SL_resum
2015,n.d.,n.d.,2572.62,3005.1,9074.5,49993.01,n.d.,n.d.,2869.25,6364.48,9233.73,1050.7,1050.7,-29768.72,11981.11,n.d.,159.23,159.23,77782.98999999999,n.d.,77782.98999999999,n.d.,0,8607.75,n.d.,8607.75,49993.01,1,-6575.14,n.d.,1521.92,-32773.82,21425.5,0,40949.09,n.d.,40949.09,n.d.,6205.25,6205.25,6364.48,27789.980000000003,6205.25,-159.23,n.d.,1521.92,11180.37,11180.37,21214.84,MARIN-FARRERAS 97 SL_resum
2014,n.d.,n.d.,21285.82,3005.1,989.9,14160.81,n.d.,n.d.,1434.6299999999999,-165.52,1269.11,18080.7,18080.7,-35973.97,n.d.,n.d.,279.21,279.21,20263.7,n.d.,20263.7,n.d.,0,11477,n.d.,11477,14160.81,n.d.,-4833.78,n.d.,3205.12,-38979.07,6268.41,0,68736.79,n.d.,68736.79,n.d.,-444.73,-444.73,-165.52,6102.89,-444.73,-279.21,n.d.,3205.12,32762.82,32762.82,1269.11,MARIN-FARRERAS 97 SL_resum
2013,n.d.,n.d.,29321.61,3005.1,-4209.26,16515.23,n.d.,n.d.,1434.6299999999999,-4493.58,-3058.9500000000003,28870.3,28870.3,-35529.24,n.d.,n.d.,1150.31,1150.31,21581.37,n.d.,21581.37,n.d.,0,12911.630000000001,n.d.,12911.630000000001,16515.23,n.d.,-8125.09,n.d.,451.31,-38534.34,9559.720000000001,0,77762.48,n.d.,77762.48,n.d.,-5643.89,-5643.89,-4493.58,5066.139,-5643.89,-1150.31,n.d.,451.31,42233.24,42233.24,-3058.9500000000003,MARIN-FARRERAS 97 SL_resum
2012,n.d.,3211.9100000000003,43015.91,3005.1,-5739.09,28456.420000000002,n.d.,n.d.,4245.41,-9338.05,-5092.639,42950.5,39738.59,-29885.35,n.d.,n.d.,646.4499999999999,646.4499999999999,35619.259999999995,n.d.,35619.259999999995,n.d.,0,14346.26,n.d.,14346.26,28456.42,n.d.,-12255.48,n.d.,65.41000000000001,-32890.449,16500.89,0,84035.61,n.d.,87247.52,n.d.,-9984.5,-9984.5,-9338.05,7162.84,-9984.5,-646.4499999999999,n.d.,65.41000000000001,57362.17,57362.17,-5092.64,MARIN-FARRERAS 97 SL_resum
