Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,1526992.72,4238675.8,30050.61,15921.3,4226428.768999999,n.d.,1042575.2,378,20767.27,21145.27,2594337.06,2109919.54,1902671.04,664943.51,n.d.,0.0,n.d.,5562915.14,5237.83,5577015.14,n.d.,13.86,2023.12,n.d.,1134,4226428.768999999,16.0,-664497.59,889.12,601763.54,1872620.43,1329819.1,0,811035.16,n.d.,2338027.88,n.d.,20781.13,15543.3,20767.27,1350586.37,15543.3,13.86,n.d.,600378.2699999999,4240698.92,4240698.92,686102.64,MATERIALS MIQUEL ALT EMPORDA SL_resum
2022,6910.22,1832948.03,4546246.53,30050.61,n.d.,4651432.85,n.d.,1426669.22,n.d.,17764.05,17764.05,2626921.38,2220642.569,1887127.74,594601.59,n.d.,4288.26,n.d.,5648258.05,16005.97,5661668.05,n.d.,51462.15,889.12,n.d.,n.d.,4651432.85,15.0,-397869.56,889.12,492655.93000000005,1857077.13,992471.149,0,820149.66,6910.22,2653097.69,n.d.,64937.94,48931.97,17764.05,1010235.2,48931.97,47173.89,n.d.,446569.28,4547135.649999999,4547135.649999999,659539.53,MATERIALS MIQUEL ALT EMPORDA SL_resum
2021,3221.01,1385324.3,4045125.44,30050.61,n.d.,4298327.54,n.d.,1433389.4,n.d.,44662.78,44662.78,2454606.99,2502672.09,1838195.77,572475.19,n.d.,32190.52,n.d.,5158606.79,3689.21,5173176.79,n.d.,2059.449,41692.75,n.d.,40803.63,4298327.54,14.0,-257711.28,889.12,157129.05,1808145.16,830186.47,0,860077.11,3221.01,2245401.41,n.d.,14531.71,10842.5,44662.78,874849.25,10842.5,-30131.071,n.d.,156469.05,4086818.19,4086818.19,587006.899,MATERIALS MIQUEL ALT EMPORDA SL_resum
2020,n.d.,1772321.33,4226073.21,30050.61,n.d.,3494054.13,n.d.,1307600.65,n.d.,12701.19,12701.19,631.55,-464089.13,1827353.27,520354.79,n.d.,0.0,n.d.,4228819.26,3221.01,4250734.939,n.d.,182.859,78498.35,n.d.,72803.63,3494054.13,13.0,-223624.83,5694.72,2917841.01,1797302.66,743979.62,0,704896.9600000001,n.d.,2477218.29,n.d.,12884.05,9663.039,12701.19,756680.809,9663.039,182.859,n.d.,333684.03,4304571.56,4304571.56,533238.839,MATERIALS MIQUEL ALT EMPORDA SL_resum
2019,n.d.,1470944.1600000001,3841476.15,30050.61,n.d.,3678877.3899999997,n.d.,1159405.1800000002,n.d.,-36197.07,-36197.07,2645473.98,2333935.0,1817690.23,678347.31,n.d.,0.0,n.d.,4530372.37,3982.33,4559848.71,n.d.,52126.39,112998.35,n.d.,107303.63,3678877.39,14.0,-238821.08,5694.72,36596.99,1787639.6190000002,917168.39,0,665840.11,n.d.,2136784.27,n.d.,15929.32,11946.99,-36197.07,880971.319,11946.99,52126.39,n.d.,36596.99,3954474.5,3954474.5,694276.63,MATERIALS MIQUEL ALT EMPORDA SL_resum
2018,n.d.,3150152.55,5049187.34,30050.61,n.d.,3808738.38,n.d.,1083104.52,n.d.,21191.68,21191.68,2630162.47,563114.4400000001,1805743.24,588659.3500000001,n.d.,7018.75,n.d.,4662544.859999999,3543.3500000000004,4689953.94,n.d.,0.45,16194.720000000001,n.d.,10500,3808738.38,13.0,-271364.53,5694.72,1335920.3490000002,1775692.63,860023.88,0,109486.27,n.d.,3259638.82,n.d.,14173.38,10630.029,21191.68,881215.56,10630.029,-7018.3,n.d.,273263.74,5065382.06,5065382.06,602832.73,MATERIALS MIQUEL ALT EMPORDA SL_resum
2017,n.d.,3472113.12,5319314.44,30050.61,n.d.,3670736.65,n.d.,1190808.6800000002,n.d.,8601.869999999999,8601.869999999999,2806307.18,525002.74,1795113.21,590676.7899999999,n.d.,0.0,n.d.,4514849.06,2155.05,4538284.5,n.d.,18.339,8030,n.d.,3000,3670736.65,13.0,-268269.19,5030,1322198.58,1765062.5990000002,858945.98,0,60118.11,n.d.,3532231.23,n.d.,8620.210000000001,6465.159000000001,8601.869999999999,867547.8500000001,6465.159000000001,18.339,n.d.,291905.16,5327344.44,5327344.44,599297.0,MATERIALS MIQUEL ALT EMPORDA SL_resum
2016,n.d.,3159291.54,5003332.8,30050.61,n.d.,3262578.34,n.d.,1361756.77,n.d.,7299.57,7299.57,2776439.45,978904.68,1788648.05,583450.2799999999,n.d.,0.0,n.d.,4232176.33,1828.18,4257798.71,n.d.,13.139,3030,n.d.,3000,3262578.34,14.0,-404470.52,30,865136.58,1758597.44,987920.8,0,58423.21,n.d.,3217714.75,n.d.,7312.71,5484.53,7299.57,995220.37,5484.53,13.139,n.d.,24022.72,5006362.8,5006362.8,590762.99,MATERIALS MIQUEL ALT EMPORDA SL_resum
2015,n.d.,2629968.71,4497448.14,30050.61,n.d.,3280588.53,n.d.,1046029.01,n.d.,4774.22,4774.22,2613326.51,1029386.809,1783163.52,575431.2,n.d.,0.0,n.d.,4208920.968,1439.46,4230550.578000001,n.d.,983.63,30,n.d.,n.d.,3280588.53,13.0,-369756.63,30,838092.62,1753112.91,945187.8300000001,0,84345.90999999999,n.d.,2714314.62,n.d.,5757.85,4318.39,4774.22,949962.0480000001,4318.39,983.63,n.d.,204819.4,4497478.14,4497478.14,581189.049,MATERIALS MIQUEL ALT EMPORDA SL_resum
2014,n.d.,2398790.7600000002,4241530.308999999,30050.61,n.d.,3003448.02,n.d.,662347.48,n.d.,7319.269999999999,7319.269999999999,2573999.73,837556.4500000001,1778845.13,576072.2799999999,n.d.,0.01,n.d.,3971651.88,1831.2,3987997.01,n.d.,5.55,30,n.d.,n.d.,3003448.02,13.0,-401157.44,30,1005183.1,1748794.52,977229.72,0,63924.42,n.d.,2462715.18,n.d.,7324.81,5493.610000000001,7319.269999999999,984548.989,5493.610000000001,5.54,n.d.,214844.27,4241560.308999999,4241560.308999999,583397.09,MATERIALS MIQUEL ALT EMPORDA SL_resum
2013,n.d.,2175479.4099999997,4046794.24,30050.61,n.d.,3441654.52,n.d.,682396.52,n.d.,8050.26,8050.26,2292674.24,799591.3500000001,1773351.52,563672.3500000001,n.d.,0.0,n.d.,4582503.6,2017.2,4600235.6,n.d.,18.55,30,n.d.,n.d.,3441654.52,13.0,-586858.47,30,1071723.48,1743300.91,1150530.8190000001,0,97993.31,n.d.,2273472.72,n.d.,8068.81,6051.610000000001,8050.26,1158581.0790000001,6051.610000000001,18.55,n.d.,126657.33,4046824.24,4046824.24,571741.16,MATERIALS MIQUEL ALT EMPORDA SL_resum
2012,n.d.,2108171.609,3968260.98,30050.61,n.d.,3507726.9699999997,n.d.,624890.66,n.d.,7737.04,7737.04,2301527.7,818246.751,1767299.91,609356.02,n.d.,0.0,n.d.,4484718.9,2366.22,4504513.7,n.d.,150.36,n.d.,n.d.,n.d.,3507726.97,13.0,-379693.67,n.d.,1041842.619,1737249.3,989049.69,0,92789.46,n.d.,2200961.07,n.d.,7887.4,5521.18,7737.04,996786.73,5521.18,150.36,n.d.,239037.07,3968260.98,3968260.98,617243.42,MATERIALS MIQUEL ALT EMPORDA SL_resum
2011,n.d.,1741774.31,3584479.06,30050.61,n.d.,4295200.17,n.d.,607807.23,n.d.,12475.69,12475.69,2204132.01,1070164.929,1762404.93,646962.74,n.d.,5.69,n.d.,5377170.06,3757.24,5405774.430000001,n.d.,54.13,n.d.,n.d.,n.d.,4295200.17,15.0,-451135.83,n.d.,772539.8200000001,1732354.319,1098098.57,0,80299.82,n.d.,1822074.13,n.d.,12524.13,8766.89,12475.69,1110574.259,8766.89,48.44,n.d.,15423.58,3584479.06,3584479.06,659486.87,MATERIALS MIQUEL ALT EMPORDA SL_resum
2010,n.d.,2831823.53,4689287.31,30050.61,n.d.,4694693.7,n.d.,1307335.7,n.d.,12065.42,12065.42,1873224.3,348736.47000000003,1753638.39,661159.04,n.d.,0.0,n.d.,5865882.19,3636.37,5894892.83,n.d.,55.81,n.d.,n.d.,n.d.,4694693.7,15.0,-526974.6699999999,n.d.,1508727.31,1723587.78,1188133.71,0,103825.39,n.d.,2935648.92,n.d.,12121.23,8484.859999999999,12065.42,1200199.1300000001,8484.859999999999,55.81,n.d.,101418.1,4689287.31,4689287.31,673280.2699999999,MATERIALS MIQUEL ALT EMPORDA SL_resum
2009,n.d.,775304.6,2627067.83,30050.61,n.d.,5877666.07,7777.8,1078012.31,n.d.,61124.12,61124.12,1301021.11,1603728.819,1745153.53,658268.1799999999,n.d.,251.43,n.d.,7467412.49,18397.18,7481333.94,n.d.,451.24,n.d.,n.d.,n.d.,5877666.07,17.0,-884275.57,n.d.,248034.409,1715102.92,1542543.75,0,98831.9,n.d.,881914.3,n.d.,61323.93,42926.75,61124.12,1603667.87,42926.75,199.81,n.d.,147664.36,2627067.83,2627067.83,719592.11,MATERIALS MIQUEL ALT EMPORDA SL_resum
