Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,2996.9300000000003,334266.28,12020.0,173276.51,3488.75,n.d.,3315.44,41431.94,175792.76,217224.7,111050.4,111368.91,323218.29000000004,1068540.3790000002,n.d.,0,n.d.,1552085.07,43948.189999999995,1552085.07,n.d.,0.0,168974.22,55924.189999999995,110069.41,10340.0,21.0,-262831.24,2980.62,219900.44,311198.29000000004,1372803.5590000001,0,177025.28,n.d.,180022.21000000002,n.d.,175792.76,131844.57,175792.76,1548596.32,131844.57,0.0,n.d.,487.05,503240.5,503240.5,1285765.079,OCINE VIA SABA SL._resum
2022,n.d.,983.81,206062.67,12020.0,150618.86,-95675.90999999999,n.d.,3212.63,36049.16,152759.61000000002,188808.77,104199.15000000001,106427.97,191373.72,748324.76,n.d.,0,n.d.,1063376.62,38189.91,1063917.61,n.d.,0.0,112482.3,48642.91,60522.93,7659.84,16.0,-222459.99,3316.46,98650.89,179353.72,1006833.91,0,126187.44,n.d.,127171.25,n.d.,152759.61000000002,114569.699,152759.61000000002,1159593.52,114569.699,0.0,n.d.,139.9,318544.97000000003,318544.97000000003,937133.53,OCINE VIA SABA SL._resum
2021,n.d.,2325.86,58596.23,12020.0,57602.82,8325.75,n.d.,3345.0,26080.11,42057.13,68137.239,863.4,1882.539,76804.02,609372.39,n.d.,14.97,14.97,778711.07,10519.449999999999,837033.7989999999,n.d.,0.0,104621.34,29754.4,71214.64,8325.75,15.0,-151198.419,3652.3,54387.83,64784.019,786650.919,0,84087.69,n.d.,86413.55,n.d.,42042.16,31522.71,42057.13,828708.049,31522.71,-14.97,n.d.,178.86,163217.57,163217.57,677509.63,OCINE VIA SABA SL._resum
2020,n.d.,1360.1699999999998,13619.64,12020.0,51401.18,663.8,n.d.,10659.86,20879.76,40695.23,61574.99,2717.4,12017.09,45281.310000000005,585414.7899999999,n.d.,0,n.d.,721548.72,10173.81,806167.8500000001,n.d.,0.0,95154.53,30377.86,60888.53,663.8,15.0,-158514.27000000002,3888.14,242.38,33261.309,764808.8200000001,0,62132.69,n.d.,63492.86,n.d.,40695.23,30521.42,40695.23,805504.049,30521.42,0.0,n.d.,242.38,108774.17,108774.17,646989.7799999999,OCINE VIA SABA SL._resum
2019,n.d.,8621.12,311370.28,12020.0,58944.14,9069.55,n.d.,311290.09,13088.45,61140.92,74229.37000000001,n.d.,302668.97000000003,103759.89,702419.49,n.d.,0,n.d.,1001540.0,15285.230000000001,1002991.99,n.d.,0.0,85175.98999999999,2228.77,78723.23999999999,9069.55,14.0,-217273.58,4223.98,80.19,91739.89,932781.52,0,284165.26,n.d.,292786.38,n.d.,61140.92,45855.69,61140.92,993922.4400000001,45855.69,0.0,n.d.,80.19,396546.27,396546.27,776648.8600000001,OCINE VIA SABA SL._resum
2018,n.d.,1017.14,68659.69,12020.0,-14734.739,8782.91,n.d.,63613.55,10646.48,-33841.63,-23195.149,4822.4,67418.81,57904.2,598606.91,n.d.,0,n.d.,746618.63,-8460.41,772907.63,n.d.,0.0,67991.08,3192.77,60238.49,8782.91,12.0,-188712.96,4559.820000000001,223.74,45884.2,797966.3500000001,0,77729.43,n.d.,78746.57,n.d.,-33841.63,-25381.219,-33841.63,764124.72,-25381.219,0.0,n.d.,223.74,136650.77000000002,136650.77000000002,575411.76,OCINE VIA SABA SL._resum
2017,n.d.,1029.5,136644.41,12020.0,-11783.56,7635.610000000001,n.d.,58838.46,11130.52,-30552.11,-19421.59,6303.6,64112.56,83285.42,493402.7,n.d.,0,n.d.,633521.25,-7638.03,634631.91,n.d.,0.0,51908.26,3603.4100000000003,43409.19,7635.610000000001,9.0,-153015.19,4895.660000000001,71502.35,71265.42,657548.41,0,104237.75,n.d.,105267.25,n.d.,-30552.11,-22914.08,-30552.11,626996.3,-22914.08,0.0,n.d.,117.35,188552.67,188552.67,473981.11,OCINE VIA SABA SL._resum
2016,n.d.,1726.27,126235.97,12020.0,31808.6,6844.03,n.d.,50716.09,12840.13,22816.56,35656.689999999995,n.d.,48989.82,106199.5,411422.09,n.d.,212.87,212.87,610579.3200000001,6322.83,611380.399,n.d.,2687.61,53632.43,3170.27,45230.66,6844.03,9.0,-157457.59,5231.5,75519.88,94179.5,581719.809,0,71942.63,n.d.,73668.9,n.d.,25291.3,18968.47,22816.56,604536.3690000001,18968.47,2474.74,n.d.,229.94,179868.4,179868.4,449766.39,OCINE VIA SABA SL._resum
2015,n.d.,232.62,701594.4,12020.0,131280.23,5629.17,n.d.,76071.39,16106.01,159730.54,175836.55,n.d.,75838.77,657231.03,293239.74,n.d.,1310.91,1310.91,602018.64,45299.77,618288.48,n.d.,2054.36,62253.76,10207.79,47241.37,5629.17,8.0,-143583.02,4804.6,625523.01,645211.03,452928.77,0,106384.51,n.d.,106617.13,n.d.,160473.99,115174.22,159730.54,612659.309,115174.22,743.4499999999999,n.d.,217.16,763848.16,763848.16,471130.649,OCINE VIA SABA SL._resum
2014,n.d.,2062.8,577490.3500000001,12020.0,126906.689,3730.9300000000003,n.d.,56206.03,13034.06,159078.76,172112.81999999998,n.d.,54143.22899999999,542056.81,288639.33,n.d.,0,n.d.,584473.69,48802.55,597571.47,n.d.,3596.42,75864.58,15793.640000000001,54930.5,3730.93,8.0,-133088.38999999998,5140.44,521284.32,530036.81,434761.78,0,109235.32,n.d.,111298.12,n.d.,162675.18,113872.62900000002,159078.76,593840.539,113872.62900000002,3596.42,n.d.,247.39,653354.93,653354.93,464348.57,OCINE VIA SABA SL._resum
