Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,42754.27,4731.75,15141.45,60101.21,-18481.7,22722.309999999998,n.d.,7547.91,12288.59,-30770.29,-18481.7,3240.0,6056.160000000001,101589.25,30686.01,n.d.,0.0,n.d.,45239.310000000005,n.d.,45239.310000000005,n.d.,0.0,286830.41000000003,n.d.,286830.41000000003,22722.31,1,-10312.689,n.d.,4353.54,41488.04,53287.28999999999,0,152896.59,42754.27,157628.34,n.d.,-30770.29,-30770.29,-30770.29,22516.999,-30770.29,0.0,n.d.,4353.54,301971.86,301971.86,12204.309,PARCOMA SA_resum
2022,42754.27,4789.74,16028.91,60101.21,-27002.15,45650.65,n.d.,12944.05,13016.240000000002,-39699.6,-26683.36,2715.0,10869.31,131063.54,31618.59,n.d.,318.79,318.78999999999996,60106.44,n.d.,60106.44,n.d.,0.0,299119.0,n.d.,299119.0,45650.65,1,-9520.56,n.d.,369.86,70962.32900000001,54155.39,0,136540.36,42754.27,141330.1,n.d.,-40018.39,-40018.39,-39699.6,14455.79,-40018.39,-318.79,n.d.,369.86,315147.91000000003,315147.91000000003,4935.23,PARCOMA SA_resum
2021,53645.53,6501.4,58003.59,60101.21,-5020.22,13880.08,n.d.,7631.7,13038.64,-18058.86,-5020.22,48365.65,49495.95,101035.69,46311.33,n.d.,0.0,n.d.,72431.73999999999,n.d.,72431.73999999999,n.d.,0.0,312135.24,n.d.,312135.24,13880.08,3,-17260.55,n.d.,2006.24,40934.48,76610.52,0,208956.21,53645.53,215457.61,n.d.,-18058.86,-18058.86,-18058.86,58551.659999999996,-18058.86,0.0,n.d.,2006.24,370138.83,370138.83,41291.11,PARCOMA SA_resum
2020,53645.53,6091.09,56839.92,60101.21,-25599.239,11968.34,n.d.,6904.67,13122.9,-38520.71,-25397.809,47015.4,47828.979,119094.55,36355.810000000005,n.d.,201.43,201.43,42228.01,n.d.,42228.01,n.d.,0.0,325173.88,n.d.,325173.88,11968.34,2,-19301.67,n.d.,2919.8500000000004,58993.339,68780.38,0,203182.63,53645.53,209273.72,n.d.,-38722.14,-38722.14,-38520.71,30259.67,-38722.14,-201.43,n.d.,2919.8500000000004,382013.8,382013.8,10957.999,PARCOMA SA_resum
2019,56577.23,4789.74,72859.73999999999,60101.21,15939.369,21952.12,12722.65,20308.33,14509.63,2422.15,16931.780000000002,48265.4,63783.99,157816.69,41357.850000000006,n.d.,992.41,992.4,102355.07,n.d.,102355.07,n.d.,0.0,338296.74,n.d.,338296.74,21952.12,2,-22113.32,n.d.,4286.01,97715.48,77980.8,0,179250.169,56577.23,196762.56,n.d.,1429.74,1429.74,2422.15,80402.95,1429.74,-992.41,n.d.,4286.01,411156.48,411156.48,58289.619,PARCOMA SA_resum
2018,56577.23,18801.14,84516.78,60101.21,-20901.629,24325.2,31232.16,28867.03,14658.29,-34037.5,-19379.21,54185.4,64251.289,156386.94999999998,39372.59,n.d.,1543.41,1543.4,67514.23999999999,n.d.,67961.95,n.d.,20.99,352806.37,n.d.,352806.37,24325.2,2,-23643.37,n.d.,1464.35,96285.74,77674.249,0,174325.669,56577.23,224358.97,n.d.,-35559.92,-35559.92,-34037.5,43636.75,-35559.92,-1522.42,n.d.,1464.35,437323.15,437323.15,20014.36,PARCOMA SA_resum
2017,63823.310000000005,10412.84,94911.48,60101.21,-22768.89,32657.3,35890.05,40876.28,15602.26,-36093.59,-20491.329,54035.2,84498.64,191946.87,39307.55,n.d.,2277.56,2277.56,84462.68000000001,n.d.,85387.489,n.d.,0.0,367324.45,n.d.,367324.45,32657.3,2,-33913.97,n.d.,n.d.,131845.66,88823.78,0,160162.86,63823.310000000005,206465.75,n.d.,-38371.15,-38371.15,-36093.59,52730.189,-38371.15,-2277.56,n.d.,n.d.,462235.93000000005,462235.93000000005,18816.22,PARCOMA SA_resum
2016,79407.03,8206.67,79013.87000000001,60101.21,-5727.3,41473.44,18292.97,22357.27,15832.9,-17159.72,-1326.82,55265.2,69415.8,230318.02,36374.94,n.d.,4420.48,4420.48,103547.27,n.d.,103843.42,n.d.,20.0,382926.71,n.d.,382926.71,41473.44,2,-27321.86,n.d.,1391.4,170216.81,79529.7,0,125715.889,79407.03,152215.53,n.d.,-21560.2,-21560.2,-17159.72,62369.979,-21560.2,-4400.48,n.d.,1391.4,461940.58,461940.58,35068.119,PARCOMA SA_resum
2015,357675.73000000004,14644.03,89399.38,60101.21,11846.45,28299.39,40648.119999999995,27323.95,10024.01,7502.22,17526.23,55265.2,67945.12000000001,-15507.09,41541.94,n.d.,5679.78,5678.46,107810.98,n.d.,108893.08,n.d.,0.0,398602.63,n.d.,398602.63,28299.39,2,-21525.52,n.d.,6810.23,-75608.299,73091.47,0,90541.22,357675.73000000004,145833.37,n.d.,1822.44,1822.44,7502.22,80593.69,1822.44,-5679.78,n.d.,6810.23,488002.01,488002.01,59066.850000000006,PARCOMA SA_resum
2014,368136.1,13215.04,103518.26,60101.21,17709.960000000003,71468.5,46000.59,43645.18,17012.329999999998,7621.820000000001,24634.15,55265.2,85695.34,-17329.53,59800.33,n.d.,6931.7,6907.23,187706.82,n.d.,187838.03,n.d.,7.51,382205.66,n.d.,382205.66,71468.5,3,-31935.05,n.d.,4607.88,-77430.739,108747.70999999999,0,75701.72,368136.1,134917.34999999998,n.d.,697.63,697.63,7621.820000000001,116369.53,697.63,-6924.1900000000005,n.d.,4607.88,485723.92,485723.92,84417.52,PARCOMA SA_resum
