Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,38000,405017.49000000005,74759.0,12020.0,-22884.71,206587.77000000002,71170.25,66911.33,23905.23,-58274.49,-34369.259,5767,-332339.16,29689.59,98415.8,n.d.,2500.8300000000004,2500.8300000000004,298768.81,-13976.210000000001,299782.17,n.d.,9.17,491881.35,866.56,116191.98,206587.77,4.0,-29147.86,374822.81,2080.67,17669.59,151468.88899999997,0,22763.02,38000,498950.76,n.d.,-60766.15,-46789.94,-58274.49,93194.4,-46789.94,-2491.66,n.d.,2080.67,566640.3500000001,566640.3500000001,64055.71,PLATS CUINATS VILANOVA SL_resum
2022,47500,424214.24,101228.16,12020.0,-49726.849,179535.26,94666.34,87170.70999999999,23905.22,-104734.85,-80829.63,12125,-324918.52900000004,76479.53,116433.23,n.d.,3370.26,3370.26,276082.74,-24544.02,277336.54,n.d.,9929.02,574810.37,1023.66,139940.11000000002,179535.26,4.0,-62197.68,433846.6,1932.45,64459.53,202536.13,0,33178.42,47500,552059.0,n.d.,-98176.09,-73632.069,-104734.85,97801.27900000001,-73632.069,6558.76,n.d.,1932.45,676038.53,676038.53,45532.62,PLATS CUINATS VILANOVA SL_resum
2021,67500,352552.99000000005,112950.17,12020.0,-38421.99,239330.99,n.d.,99525.17,23706.1,-88888.86,-65182.76,13425,-239602.82,150111.6,164689.4,n.d.,3589.01,3589.01,378651.11,-20709.37,383294.779,n.d.,9640.41,564242.81,1180.76,163688.23,239330.99,6.0,-44457.15,399373.819,n.d.,138091.6,232852.65,0,107028.39,67500,459581.38,n.d.,-82837.45999999999,-62128.09,-88888.86,143963.789,-62128.09,6051.4,n.d.,n.d.,677192.98,677192.98,109147.049,PLATS CUINATS VILANOVA SL_resum
2020,97500,280494.06,149671.59,12020.0,-56826.86,192430.01,n.d.,113242.47,23608.72,-113899.64,-90290.92,15825.75,-151425.84,212239.69,143959.8,n.d.,2706.61,2706.61,275959.43000000005,-26811.86,286509.89,n.d.,9358.81,554367.47,1337.86,184004.73,192430.01,6.0,-40411,369024.88,20603.37,200219.69,207979.52,0,113805.31,97500,394299.37,n.d.,-107247.44,-80435.58,-113899.64,94079.88,-80435.58,6652.1990000000005,n.d.,20603.37,704039.06,704039.06,63027.689,PLATS CUINATS VILANOVA SL_resum
2019,120000,205249.53,194467.89,12020.0,-41312.21,220558.69,n.d.,96412.74,14169.1,-80583.67000000001,-66414.569,30422.149999999998,-78414.63900000001,292098.94,151318.0,n.d.,2477.64,2477.64,348253.34,-18493.780000000002,350377.72000000003,n.d.,9086.22,541982.9400000001,1241.57,207887.16,220558.69,5.0,-44915.6,332854.20900000003,67633,280078.94,210402.7,576.3299999999999,118526.03,120576.33,323775.56,n.d.,-73975.09,-55481.310000000005,-80583.67000000001,129819.03,-55481.310000000005,6608.58,n.d.,67633,736450.8300000001,736450.8300000001,93989.65,PLATS CUINATS VILANOVA SL_resum
2018,n.d.,105511.72,126867.16,12020.0,4175.41,171298.57,n.d.,63398.26,2519.05,-6511.74,-3992.689,25906.25,-16207.209,347590.78,90059.54,n.d.,101.35,101.35,269633.96,552.12,270691.5,n.d.,8821.57,364099.6,n.d.,59225.39,171298.57,3.0,-13326.08,304874.21,37562.65,335570.77900000004,105904.66900000001,576.3299999999999,37287.93,576.3299999999999,142799.65,n.d.,2208.48,1656.36,-6511.74,99392.93,1656.36,8720.220000000001,n.d.,37562.65,490966.76,490966.76,94888.42,PLATS CUINATS VILANOVA SL_resum
2017,n.d.,66432.759,117021.49,12020.0,11102.82,174454.86,n.d.,71690.95999999999,4318.95,541.3399999999999,4860.29,12750,18008.201,345743.0,86417.42,n.d.,60.81,60.81,269569.65,2261.3,270519.79000000004,n.d.,8564.640000000001,306448.87,n.d.,12396.23,174454.86,3.0,-4787.22,294052.63999999996,32580.53,333723.0,95523.59,369.34000000000003,10925.26,369.34000000000003,77358.02,n.d.,9045.17,6783.87,541.3399999999999,96064.93,6783.87,8503.83,n.d.,32580.53,423470.36,423470.36,99842.349,PLATS CUINATS VILANOVA SL_resum
2016,n.d.,38311.96,87598.65000000001,12020.0,14791.8,163450.9,n.d.,60562.45,5626.18,4043.83,9670.01,3506.25,25756.739,338948.6,86309.29,n.d.,138.04,138.04,265445.91900000005,3055.21,265445.91900000005,n.d.,8315.04,302203.18,n.d.,16715.18,163450.9,3.0,-6015.72,285488,23529.95,326928.6,97951.19,0,12541.27,n.d.,50853.23,n.d.,12220.83,9165.619,4043.83,101995.019,9165.619,8177.0,n.d.,23529.95,389801.83,389801.83,104294.339,PLATS CUINATS VILANOVA SL_resum
2015,n.d.,44614.380000000005,83600.43999999999,12020.0,7585.04,171261.57,n.d.,44923.45,5626.18,-6659.67,-1033.489,6003.13,6312.1990000000005,329778.72000000003,85089.90999999999,n.d.,101.56,101.56,262029.59,652.9599999999999,262029.59,n.d.,9373.05,299514.36,n.d.,22341.36,171261.57,3.0,-6711.599,277173,32673.86,317758.72000000003,97427.69,0,8721.7,n.d.,53336.08,n.d.,2611.82,1958.86,-6659.67,90768.019,1958.86,9271.49,n.d.,32673.86,383114.8,383114.8,93429.47,PLATS CUINATS VILANOVA SL_resum
2014,n.d.,42351.53,355532.28,12020.0,10980.78,155358.08,1212.08,320508.63,5827.52,-3155.32,2672.2,6725,284882.1,327819.86,82667.86,n.d.,289.47,289.47,258579.33,1717.75,258579.33,n.d.,10315.8,27967.54,n.d.,27967.54,155358.08,5.0,-17881.19,n.d.,28298.649999999998,315799.86,106376.57,0,12116.35,n.d.,55679.96,n.d.,6871.01,5153.26,-3155.32,103221.25,5153.26,10026.33,n.d.,28298.649999999998,383499.82,383499.82,95655.86,PLATS CUINATS VILANOVA SL_resum
