Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,8214.29,902.66,179116.37999999998,36060.0,22928.440000000002,1890.49,474.96999999999997,131375.84999999998,11454,17046.67,28500.67,n.d.,130473.19,94802.92,282783.92000000004,n.d.,2058.28,2058.28,441941.68,3513.9500000000003,446941.68,n.d.,0.0,82553.20999999999,1058.1599999999999,79854.02,1890.49,5,-133766.6,1641.03,47740.53,58742.92,428004.52,0,157274.75,8214.29,158652.37999999998,n.d.,14988.39,11474.439,17046.67,445051.19,11474.439,-2058.28,n.d.,47740.53,261669.59,261669.59,311284.59,PRATS ASSESSORIA I GESTIO SLP_resum
2022,14287.52,n.d.,166027.97,36060.0,12514.29,3415.8500000000004,1023.02,153266.97,9697.09,5622.34,15319.43,n.d.,153266.97,83328.48,300821.38,n.d.,2805.14,2805.14,443157.51,n.d.,443157.51,n.d.,0.0,92211.43,1619.49,85436.95999999999,3415.8500000000004,5,-123600.849,5154.98,12761,47268.48,434119.32,0,159600.37999999998,14287.52,160623.4,n.d.,2817.2,2817.2,5622.34,439741.66,2817.2,-2805.14,n.d.,n.d.,258239.4,258239.4,316140.81,PRATS ASSESSORIA I GESTIO SLP_resum
2021,20242.16,n.d.,149811.96,36060.0,5325,1176.83,324.71,137230.01,3847.2,3817.61,7664.809,2225,139455.01,80511.28,361642.61,n.d.,2339.8100000000004,2339.8100000000004,461084.93000000005,n.d.,461611.13,n.d.,0.0,102979.51,n.d.,97824.53,1176.83,6,-91126.88,5154.98,10356.949999999999,44451.28,456616.69,0,151713.31999999998,20242.16,152038.03,n.d.,1477.8,1477.8,3817.61,460434.3,1477.8,-2339.8100000000004,n.d.,n.d.,252791.47,252791.47,369307.42,PRATS ASSESSORIA I GESTIO SLP_resum
2020,26512.88,1598.8899999999999,159680.73,36060.0,n.d.,687.21,1606.82,157455.73,n.d.,3475.3100000000004,3475.3100000000004,2225,158081.84,79033.48,322283.11,n.d.,2063.19,2063.19,417583.35,1035.1699999999998,417637.8,n.d.,0.0,106826.71,n.d.,101671.73,687.21,6,-91192.17000000001,5154.98,n.d.,42973.479,413475.27900000004,0,157755.37,26512.88,160961.08,n.d.,1412.12,376.949,3475.3100000000004,416950.58900000004,376.949,-2063.19,n.d.,n.d.,266507.44,266507.44,325758.42000000004,PRATS ASSESSORIA I GESTIO SLP_resum
2019,n.d.,n.d.,144863.08,36060.0,n.d.,198.6,1667.51,142638.08,n.d.,2116.14,2116.14,2225,144863.08,77843.84,317318.9,n.d.,1715.8,1715.8,392452.05,n.d.,397452.05,n.d.,0.0,95188.21,n.d.,89810.75,198.6,7,-77818.40999999999,5377.46,n.d.,41783.839,395137.31,0,160539.94,n.d.,162207.44999999998,n.d.,400.34,400.34,2116.14,397253.45,400.34,-1715.8,n.d.,n.d.,240051.29,240051.29,319435.04,PRATS ASSESSORIA I GESTIO SLP_resum
2018,n.d.,n.d.,151085.18,36060.0,13959.76,476.98999999999995,1111.46,145912.61000000002,11900.2,4504.06,16404.260000000002,2225,148137.61000000002,77443.5,296561.56,n.d.,1708.51,1708.51,410819.21,735.99,411719.21,n.d.,0.0,71695.25,n.d.,66317.789,476.99,8,-98276.4,5377.46,2947.57,41383.499,406738.16,0,144225.47,n.d.,145336.93,n.d.,2795.55,2059.56,4504.06,411242.22000000003,2059.56,-1708.51,n.d.,2947.57,222780.43,222780.43,312965.82,PRATS ASSESSORIA I GESTIO SLP_resum
2017,n.d.,35.83,210538.65,36060.0,n.d.,144.22,986.7,208313.65,n.d.,3936.99,3936.99,2225,210502.82,75383.93999999999,269907.98000000004,n.d.,3697.38,3697.38,343635.32,n.d.,344335.32,n.d.,0.0,49106.01,n.d.,42992.56,144.22,8,-70346.13,6113.45,n.d.,39323.939,340254.11,0,183238.19,n.d.,184260.72,n.d.,239.61,239.61,3936.99,344191.1,239.61,-3697.38,n.d.,n.d.,259644.66,259644.66,273844.97000000003,PRATS ASSESSORIA I GESTIO SLP_resum
2016,n.d.,152.32000000000002,211387.94,36060.0,10849.94,1372.07,396.67,175084.08,9544.58,8187.78,17732.36,2225,177156.759,75144.33,262743.34,n.d.,6099.76,6099.76,357010.39,782.66,357526.549,n.d.,0.0,49106.01,n.d.,42992.56,1372.07,8,-75678.78,6113.45,34078.86,39084.329,347966.7,0,184800.63,n.d.,185349.62,n.d.,2088.02,1305.36,8187.78,356154.47900000005,1305.36,-6099.76,n.d.,34078.86,260493.95,260493.95,280475.7,PRATS ASSESSORIA I GESTIO SLP_resum
2015,n.d.,94.58,160040.58,36060.0,-28170.99,1659.79,539.8499999999999,150314.02,13219.630000000001,-32119.83,-18900.2,2225,152444.44,73838.97,266285.53900000005,n.d.,9270.79,9270.79,343722.51,n.d.,345554.39,n.d.,0.0,59433.25,n.d.,52537.14,1659.79,8,-96509.26,6896.110000000001,7501.56,37778.969,376014.42900000006,0,145000.43,n.d.,145634.86,n.d.,-41390.62,-41390.62,-32119.83,343894.6,-41390.62,-9270.79,n.d.,7501.56,219473.83,219473.83,247385.339,PRATS ASSESSORIA I GESTIO SLP_resum
2014,2574.5,491.46,153038.23,36060.0,-52626.719999999994,5407.87,n.d.,150813.23,14012.7,-60928.53,-46915.83,2225,152546.77000000002,115229.59,257515.1,n.d.,5720.92,5720.92,326932.51,n.d.,326932.51,n.d.,10.03,68159.04,n.d.,61262.93,5407.87,8,-110925.37000000001,6896.110000000001,n.d.,79169.589,382453.17,0,102901.72,2574.5,103393.18,n.d.,-66639.42,-66639.42,-60928.53,321524.63999999996,-66639.42,-5710.89,n.d.,n.d.,221197.27,221197.27,210609.3,PRATS ASSESSORIA I GESTIO SLP_resum
