Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,1523127.6,1839212.28,60110.0,n.d.,10351770.12,n.d.,1826343.45,n.d.,11101.97,11101.97,n.d.,303215.849,249587.74,n.d.,n.d.,0.0,n.d.,10767458.81,2537.67,10767458.83,n.d.,0.0,n.d.,n.d.,n.d.,10351770.12,n.d.,-404586.74,n.d.,12868.83,189477.74,404586.74,0,66496.939,n.d.,1589624.54,n.d.,11101.97,8564.3,11101.97,415688.71,8564.3,0.0,n.d.,12868.83,1839212.28,1839212.28,11101.97,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2022,n.d.,1315943.48,1596481.5,60110.0,n.d.,7446691.81,n.d.,1534513.1700000002,n.d.,12168.88,12168.88,n.d.,218569.689,241023.44,n.d.,n.d.,0.0,n.d.,7970266.78,2892.9100000000003,7971000.41,n.d.,0.0,n.d.,n.d.,n.d.,7446691.81,n.d.,-512139.72000000003,n.d.,61968.33,180913.44,512139.72000000003,0,39514.58,n.d.,1355458.06,n.d.,12168.88,9275.97,12168.88,524308.6,9275.97,0.0,n.d.,61968.33,1596481.5,1596481.5,12168.88,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2021,n.d.,1205478.6900000002,1461145.4,60110.0,n.d.,5759837.24,n.d.,1366490.94,n.d.,10187.5,10187.5,n.d.,161012.25,231747.47,n.d.,n.d.,9.09,9.09,5980301.55,2444.02,5980301.55,n.d.,0.0,n.d.,n.d.,n.d.,5759837.24,n.d.,-210276.81,n.d.,94654.46,171637.47,210276.81,0,23919.24,n.d.,1229397.93,n.d.,10178.41,7734.389,10187.5,220464.30899999998,7734.389,-9.09,n.d.,91428.58,1461145.4,1461145.4,10187.5,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2020,n.d.,704480.21,958234.38,60110.0,n.d.,6454029.98,n.d.,919003.18,n.d.,12461.81,12461.81,n.d.,214522.97,224013.08,n.d.,n.d.,394.84,394.84000000000003,6621334.2700000005,1472.56,6621334.2700000005,n.d.,0.0,n.d.,n.d.,n.d.,6454029.98,n.d.,-154842.479,n.d.,39231.2,163903.08,154842.479,0,29741.09,n.d.,734221.3,n.d.,12066.97,10594.41,12461.81,167304.289,10594.41,-394.84,n.d.,37936.880000000005,958234.38,958234.38,12461.81,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2019,n.d.,876810.26,1108415.06,60110.0,n.d.,3546971.79,n.d.,743709.3200000001,n.d.,86433.06,86433.06,n.d.,-133100.94,213418.67,n.d.,n.d.,163.67,163.67,3797746.08,22044.88,3797746.08,n.d.,0.0,n.d.,n.d.,n.d.,3546971.79,n.d.,-164341.229,n.d.,364705.74,153308.67,164341.229,0,18186.13,n.d.,894996.39,n.d.,86269.39,64224.509,86433.06,250774.29,64224.509,-163.67,n.d.,364705.74,1108415.06,1108415.06,86433.06,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2018,n.d.,1210551.54,1449575.3,60110.0,n.d.,2898507.38,64771.24,1156704.92,n.d.,13794.34,13794.34,n.d.,-53846.62,149194.16,n.d.,n.d.,142.25,142.25,3020197.2,2630.27,3020197.2,n.d.,0.0,n.d.,n.d.,n.d.,2898507.38,n.d.,-107895.48,n.d.,292870.38,89084.16,107895.48,0,25058.36,n.d.,1300381.14,n.d.,13652.09,11021.82,13794.34,121689.82,11021.82,-142.25,n.d.,292870.38,1449575.3,1449575.3,13794.34,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2017,n.d.,596249.57,793204.24,60110.0,n.d.,1741054.12,4041.34,658035.93,n.d.,-2963.3900000000003,-2963.3900000000003,40.33,61826.69,138172.34,n.d.,n.d.,169.26,169.26,1857831.09,n.d.,1857831.09,n.d.,0.0,n.d.,n.d.,n.d.,1741054.12,n.d.,-119740.36,n.d.,135127.97999999998,78062.34,119740.36,0,54740.99,n.d.,655031.9,n.d.,-3132.65,-3132.65,-2963.3900000000003,116776.969,-3132.65,-169.26,n.d.,135127.97999999998,793204.24,793204.24,-2963.3900000000003,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2016,n.d.,364851.95,509123.22,60110.0,n.d.,1295443.58,n.d.,374176.68,n.d.,9364.05,9364.05,n.d.,9324.729,141304.99,n.d.,n.d.,361.64,361.64000000000004,1350972.6800000002,2072.06,1350972.6800000002,n.d.,0.0,n.d.,n.d.,n.d.,1295443.58,n.d.,-46165.05,n.d.,134946.54,81194.98999999999,46165.05,0,2966.28,n.d.,367818.23,n.d.,9002.41,6930.35,9364.05,55529.098999999995,6930.35,-361.64,n.d.,134946.54,509123.22,509123.22,9364.05,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2015,n.d.,739101.6,879424.63,60110.0,n.d.,2483561.14,n.d.,729025.43,n.d.,34511.49,34511.49,n.d.,-10076.169,134374.64,n.d.,n.d.,913.64,913.63,2558151.6,9425.5,2558351.6,n.d.,0.0,n.d.,n.d.,n.d.,2483561.14,n.d.,-40278.97,n.d.,150399.2,74264.64,40278.97,0,5948.39,n.d.,745049.99,n.d.,33597.850000000006,24172.35,34511.49,74790.459,24172.35,-913.64,n.d.,150399.2,879424.63,879424.63,34511.479,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2014,n.d.,707480.3500000001,819821.72,60110.0,n.d.,3188154.77,n.d.,601947.3300000001,n.d.,38426.28,38426.28,n.d.,-105533.02,110202.29,n.d.,n.d.,419.46,419.46,3271634.82,6760.03,3273154.82,n.d.,0.0,n.d.,n.d.,n.d.,3188154.77,n.d.,-46573.77,n.d.,217874.39,50092.28999999999,46573.77,0,2139.08,n.d.,709619.43,n.d.,38006.82,31246.79,38426.28,85000.049,31246.79,-419.46,n.d.,217874.39,819821.72,819821.72,38426.28,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
2013,n.d.,352610.98000000004,431650.13,60110.0,n.d.,1603789.85,n.d.,289380.95,n.d.,-577.43,-577.43,n.d.,-63230.029,78955.5,n.d.,n.d.,0.0,n.d.,1603789.85,n.d.,1618912.47,n.d.,0.0,n.d.,n.d.,n.d.,1603789.85,n.d.,-15700.05,n.d.,142269.18,18845.5,15700.05,0,83.64999999999999,n.d.,352694.63,n.d.,-577.43,-577.43,-577.43,15122.62,-577.43,0.0,n.d.,142269.18,431650.13,431650.13,-577.43,PRODUCTOS CARNICOS FLUVIA SOCIEDAD ANONIMA._resum
