Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,4814.91,81296.38,24040.0,n.d.,46130.25,n.d.,15668.86,n.d.,9831.81,9831.81,27273.06,38127.009,71016.25,36400.0,n.d.,0,n.d.,114136.45,2108.61,114136.45,n.d.,0,n.d.,n.d.,n.d.,46130.25,n.d.,-21774.39,n.d.,38354.46,46976.25,58174.39,0,5465.22,n.d.,10280.13,n.d.,9831.81,7723.199,9831.81,68006.2,7723.199,0,n.d.,38354.46,81296.38,81296.38,46231.810000000005,PRODUCTOS OLOTINA SL_resum
2022,n.d.,8019.3,80553.03,24040.0,n.d.,52237.59,n.d.,14089.87,n.d.,8673.25,8673.25,26601.08,32671.65,63293.05,36400.0,n.d.,0,n.d.,120802.24,2033.72,120802.24,n.d.,0,n.d.,n.d.,n.d.,52237.59,n.d.,-23491.4,n.d.,39862.08,39253.05,59891.4,0,9240.68,n.d.,17259.980000000003,n.d.,8673.25,6639.53,8673.25,68564.65000000001,6639.53,0,n.d.,39862.08,80553.03,80553.03,45073.25,PRODUCTOS OLOTINA SL_resum
2021,n.d.,10964.6,75681.55,24040.0,6532.469,58377.18,n.d.,15518.07,1148.81,7178.22,8327.03,27202.47,31755.94,56653.52,35000.0,n.d.,0,n.d.,126752.7,1794.56,126752.7,n.d.,0,n.d.,n.d.,n.d.,58377.18,n.d.,-25048.49,n.d.,32961.01,32613.52,61197.3,0,8063.429999999999,n.d.,19028.03,n.d.,7178.22,5383.660000000001,7178.22,68375.519,5383.660000000001,0,n.d.,32961.01,75681.55,75681.55,43327.03,PRODUCTOS OLOTINA SL_resum
2020,n.d.,9820.84,74855.18000000001,24040.0,4231.889,44426.46,n.d.,18819.86,1838.02,3088.8700000000003,4926.889,28644.88,37643.9,51269.86,35000.0,n.d.,0,n.d.,104843.93,695,104843.93,n.d.,0,1148.81,n.d.,1148.81,44426.46,1,-20490.58,n.d.,27390.44,27229.859,57328.6,0,14913.289,n.d.,24734.13,n.d.,3088.8700000000003,2393.8700000000003,3088.8700000000003,60417.469,2393.8700000000003,0,n.d.,27390.44,76003.98999999999,76003.98999999999,39926.89,PRODUCTOS OLOTINA SL_resum
2019,n.d.,7923.64,81298.03,24040.0,9251.91,36795.6,n.d.,17703.82,1838.02,9501.83,11339.85,31298.37,41078.55,48875.99,35000.0,n.d.,0,n.d.,109157.99,2087.94,109157.99,n.d.,0,2986.8300000000004,n.d.,2986.8300000000004,36795.6,1,-26022.54,n.d.,32295.84,24835.989,62860.56,0,27485.23,n.d.,35408.87,n.d.,9501.83,7413.889,9501.83,72362.39,7413.889,0,n.d.,32295.84,84284.86,84284.86,46339.850000000006,PRODUCTOS OLOTINA SL_resum
2018,n.d.,5125.64,75632.25,24040.0,17618.848,42948.94,n.d.,18759.33,919,16699.848,17618.848,22954.35,36588.04,41462.1,29249.5,n.d.,0,n.d.,109807.14,n.d.,109807.14,n.d.,0,4824.85,n.d.,4824.85,42948.94,1,-19989.85,n.d.,33918.57,17422.098,50158.350000000006,0,33869.36,n.d.,38995.0,n.d.,16699.848,16699.848,16699.848,66858.2,16699.848,0,n.d.,33918.57,80457.1,80457.1,46868.348000000005,PRODUCTOS OLOTINA SL_resum
2017,n.d.,8574.32,73932.05,24040.0,n.d.,43085.729999999996,n.d.,22515.84,n.d.,13048.740000000002,13048.740000000002,23680.95,37622.47,24762.25,25071.0,n.d.,0,n.d.,101199.01,n.d.,101199.01,n.d.,0,0.05,n.d.,0.05,43085.73,n.d.,-19993.54,n.d.,27735.26,722.249,45064.539,0,40595.53,n.d.,49169.850000000006,n.d.,13048.740000000002,13048.740000000002,13048.740000000002,58113.278999999995,13048.740000000002,0,n.d.,27735.26,73932.1,73932.1,38119.74,PRODUCTOS OLOTINA SL_resum
2016,n.d.,9188.359999999999,69771.82,24040.0,18712.86,47019.91,n.d.,26128.76,842.47,17870.39,18712.86,21334.38,38274.78,11713.51,20470.56,n.d.,0,n.d.,107238.46,n.d.,107238.46,n.d.,0,0.05,n.d.,0.05,47019.91,1,-21035.129999999997,n.d.,22308.68,-12326.489,42348.159999999996,0,48870.0,n.d.,58058.36,n.d.,17870.39,17870.39,17870.39,60218.55,17870.39,0,n.d.,22308.68,69771.87000000001,69771.87000000001,39183.42,PRODUCTOS OLOTINA SL_resum
2015,n.d.,4852.41,50138.2,24040.0,4382.51,36350.719999999994,n.d.,19681.03,1343.36,3039.15,4382.51,26842.49,41671.11,-6156.88,21067.64,n.d.,0,n.d.,83533.01,n.d.,83533.01,n.d.,0,842.52,n.d.,842.52,36350.72,1,-21732.14,n.d.,3614.68,-30196.879,44143.14,0,52285.19,n.d.,57137.6,n.d.,3039.15,3039.15,3039.15,47182.289,3039.15,0,n.d.,3614.68,50980.72,50980.72,25450.15,PRODUCTOS OLOTINA SL_resum
2014,n.d.,8355.49,50912.63,24040.0,-1789.8799999999999,35542.28999999999,n.d.,17948.69,1332.27,-3122.96,-1790.6899999999998,27352.25,36945.45,-9196.03,34800.0,n.d.,0,n.d.,88200.29,n.d.,88200.29,n.d.,0.81,2185.88,n.d.,2185.88,35542.28999999999,2,-19648.69,n.d.,5611.6900000000005,-33236.03,55780.96,0,53939.05,n.d.,62294.54,n.d.,-3122.15,-3122.15,-3122.96,52657.998999999996,-3122.15,0.81,n.d.,5611.6900000000005,53098.51,53098.51,33010.119,PRODUCTOS OLOTINA SL_resum
