Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,205267.19,1560630.05,20013697.23,2771491.77,-473957.699,10244272.01,2824732.429,2958041.94,1016241.14,-1972229.7,-955988.559,14364119.2,15761531.09,33156896.62,3900288.08,n.d.,58196.87,58196.87,18218938.75,-498434.07,18252786.89,n.d.,41793.66,17938180.59,76726.64,10158215.58,11101606.65,88,-5064215.359999999,7703238.37,2691536.09,30385404.85,9980744.58,0,204351.53,205267.19,4589714.01,n.d.,-1988632.91,-1490198.8390000002,-1972229.7,8008514.88,-1490198.8390000002,-16403.21,n.d.,175570.41,37951877.82,37951877.82,2986093.18,RAMON VENTULA SA_resum
2022,194000,1480000.0,19388000.0,2771000.0,-907000.0,10590000,41000,3525000.0,934000.0,-2530000.0,-1596000.0,13263000.0,15308000.0,34658000.0,3116000.0,n.d.,2000.0,2000,17504000.0,-616000.0,17531000.0,n.d.,75000.0,17139000.0,7000,9931000.0,9460000.0,77,-5421000,7201000.0,2600000.0,31887000.0,9471000,0,154000.0,194000,1675000.0,n.d.,-2457000.0,-1841000.0,-2530000.0,6941000,-1841000.0,73000.0,n.d.,385000.0,36527000.0,36527000.0,1595000.0,RAMON VENTULA SA_resum
2021,171000,534000.0,22645000.0,2771000.0,-1865000.0,10961000,2000,3316000.0,837000.0,-3625000.0,-2788000.0,14358000.0,17140000.0,36793000.0,3248000.0,n.d.,1000.0,1000,15219000.0,-900000.0,15257000.0,n.d.,24000.0,15136000.0,11000,8625000.0,9653000.0,87,-3836000,6500000.0,4971000.0,34022000.0,7921000,17000,264000.0,188000,800000.0,n.d.,-3602000.0,-2702000.0,-3625000.0,4296000,-2702000.0,23000.0,n.d.,1078000.0,37781000.0,37781000.0,484000.0,RAMON VENTULA SA_resum
2020,n.d.,307000.0,31777000.0,2771000.0,649000.0,10831000,n.d.,3222000.0,586000.0,-2610000.0,-2024000.0,15834000.0,18749000.0,39569000.0,3351000.0,n.d.,0.0,n.d.,15624000.0,-640000.0,15679000.0,n.d.,2033000.0,8408000.0,17000,7603000.0,11327000.0,95,-3521000,788000.0,12721000.0,36798000.0,7458000,42000,267000.0,42000,574000.0,n.d.,-577000.0,63000.0,-2610000.0,4848000,63000.0,2033000.0,n.d.,1641000.0,40185000.0,40185000.0,3360000.0,RAMON VENTULA SA_resum
2019,n.d.,205000.0,34768000.0,2771000.0,605000.0,9486000,n.d.,3268000.0,494000.0,110000.0,604000.0,15211000.0,18274000.0,39447000.0,3344000.0,n.d.,0.0,n.d.,17426000.0,28000.0,17451000.0,n.d.,29000.0,5515000.0,28000,5337000.0,11320000.0,100,-4017000,150000.0,16289000.0,36676000.0,7855000,22000,609000.0,22000,814000.0,n.d.,139000.0,111000.0,110000.0,7965000,111000.0,29000.0,n.d.,5524000.0,40283000.0,40283000.0,3977000.0,RAMON VENTULA SA_resum
2018,500000,286000.0,36567000.0,2771000.0,554000.0,9914000,n.d.,3226000.0,390000.0,272000.0,662000.0,13304000.0,16244000.0,39099000.0,2986000.0,n.d.,47000.0,n.d.,17186000.0,79000.0,17207000.0,n.d.,18000.0,4515000.0,30000,4284000.0,13186000.0,92,-3645000,201000.0,20037000.0,36328000.0,7021000,22000,1175000.0,522000,1461000.0,n.d.,243000.0,164000.0,272000.0,7293000,164000.0,-29000.0,n.d.,10308000.0,41082000.0,41082000.0,3619000.0,RAMON VENTULA SA_resum
2017,1500000,255000.0,38193000.0,2771000.0,642000.0,10565000,n.d.,3874000.0,414000.0,274000.0,688000.0,10019000.0,13638000.0,39902000.0,2792000.0,n.d.,0.0,n.d.,17400000.0,76000.0,17414000.0,n.d.,30000.0,4651000.0,36000,3768000.0,9253000.0,89,-3369000,847000.0,24300000.0,37131000.0,6575000,29000,1158000.0,1529000,1413000.0,n.d.,304000.0,228000.0,274000.0,6849000,228000.0,30000.0,n.d.,19081000.0,42844000.0,42844000.0,3510000.0,RAMON VENTULA SA_resum
2016,n.d.,305000.0,38220000.0,2771000.0,751000.0,11646000,n.d.,3159000.0,452000.0,234000.0,686000.0,11356000.0,14210000.0,43317000.0,2920000.0,n.d.,0.0,n.d.,18861000.0,65000.0,18876000.0,n.d.,130000.0,5563000.0,29000,4077000.0,8858000.0,89,-3624000,1457000.0,23705000.0,40546000.0,6996000,1000,160000.0,1000,465000.0,n.d.,364000.0,299000.0,234000.0,7230000,299000.0,130000.0,n.d.,7411000.0,43783000.0,43783000.0,3736000.0,RAMON VENTULA SA_resum
2015,n.d.,271000.0,38128000.0,2771000.0,1543000.0,16892000,n.d.,3643000.0,451000.0,1405000.0,1856000.0,14100000.0,17472000.0,43028000.0,3031000.0,n.d.,0.0,n.d.,25824000.0,404000.0,25824000.0,n.d.,91000.0,5390000.0,11000,3929000.0,17919000.0,93,-4045000,1450000.0,20385000.0,40257000.0,7527000,4000,215000.0,4000,486000.0,n.d.,1496000.0,1092000.0,1405000.0,8932000,1092000.0,91000.0,n.d.,4495000.0,43518000.0,43518000.0,4978000.0,RAMON VENTULA SA_resum
2014,n.d.,133000.0,37496000.0,2771000.0,1034000.0,18808000,n.d.,4561000.0,506000.0,591000.0,1097000.0,13142000.0,17570000.0,41932000.0,3028000.0,n.d.,0.0,n.d.,27106000.0,225000.0,27106000.0,n.d.,162000.0,4920000.0,3000,4059000.0,18756000.0,92,-4173000,858000.0,19793000.0,39161000.0,7707000,3000,348000.0,3000,481000.0,n.d.,753000.0,528000.0,591000.0,8298000,528000.0,162000.0,n.d.,3107000.0,42416000.0,42416000.0,4287000.0,RAMON VENTULA SA_resum
