Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1030425.08,1356265.87,4421939.41,127612.0,2218335.67,5762560.149999999,462902.7,2958928.21,588272.4500000001,2182111.47,2770383.92,267815.59,1870477.929,5444830.01,2245617.52,n.d.,53585.11,53585.11,12410945.05,504357.45,12454352.16,n.d.,5894.31,4377789.819999999,48345.4,4282003.159999999,5762551.319999999,65,-1675790.5690000001,47441.26,1195195.61,5317218.01,4509680.54,73267.35,432038.22,1103692.43,2251206.79,n.d.,2134420.67,1630063.22,2182111.47,6691792.01,1630063.22,-47690.8,n.d.,1141353.25,8799729.229999999,8799729.229999999,5021895.75,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2022,1162570.4,1153056.61,3847938.24,127612.0,1575480.44,6742084.1,504695.94,2364537.61,510584.15,1433551.28,1944135.43,221252.79,1432733.789,3814766.79,2583643.76,n.d.,15878.9,15878.9,12522406.93,353858.8,12669125.82,n.d.,1082.71,3266033.39,41930,3184485.53,6742084.1,68,-1399262.53,39617.86,1262147.84,3687154.79,4493490.439,77304.57,401577.32,1239874.97,2059329.87,n.d.,1418755.09,1064896.29,1433551.28,5927041.72,1064896.29,-14796.189,n.d.,1204004.01,7113971.63,7113971.63,4528861.9,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2021,967266.65,1622699.34,4507438.73,127612.0,1987018.94,5936206.08,482106.49000000005,2781475.85,494258.81,2010643.43,2504902.239,121115.29,1279891.8,4331223.49,2469378.03,n.d.,19407.87,13407.87,12369263.45,500520.06,12421028.148999998,n.d.,2044.63,3201907.24,20330,2874335.56,5936206.08,68,-1510541.799,307241.68,1604847.5890000002,4203611.489,4474178.64,80234.93,225815.07,1047501.58,2330620.9,n.d.,1993280.19,1492760.13,2010643.43,6484822.068999999,1492760.13,-17363.24,n.d.,1220131.42,7709345.970000001,7709345.970000001,4970324.898999999,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2020,1466456.6900000002,928115.1699999999,4048116.71,127612.0,1557894.779,4411130.03,732889.1799999999,2474994.08,525559.5889999999,1411091.35,1936650.939,91731.24,1638610.15,3826117.69,2256366.18,n.d.,17115.460000000003,17115.460000000003,10010341.9,363537.05,10027447.01,n.d.,1896.35,3371729.27,7490,2813426.11,4411130.03,58,-1423299.86,550813.16,1481391.39,3698505.69,4205225.628999999,119291.19,346976.06,1585747.88,2007980.41,35360,1395872.24,1032335.19,1411091.35,5616316.979,1032335.19,-15219.109,n.d.,1144174.6900000002,7419845.98,7419845.98,4194913.469,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2019,1199345.6,1010460.11,2727623.97,127612.0,826936.3400000001,5128987.63,827849.89,2049131.27,539518.66,408558.1,948076.76,117569.0,1156240.16,3411066.46,2402900.17,n.d.,22211.06,22211.06,9793426.14,101213.27,9810605.34,n.d.,2283.9100000000003,4058006.67,n.d.,3251710.3,5128987.63,58,-1330640.78,806296.37,560923.7,3283454.46,4273059.609999999,92423.51,244485.07,1291769.11,2082795.07,n.d.,388630.95,287417.68,408558.1,4681617.71,287417.68,-19927.15,n.d.,223620.2,6785630.64,6785630.64,3353260.84,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2018,2027197.52,1120127.56,3136043.99,127612.0,-1685699.27,4939088.76,926119.7799999999,2243681.38,496729.98,501719.53,998449.51,129231.05,1252784.8690000002,3247105.58,2348051.13,n.d.,3408779.56,26679.56,9529679.51,-720042.8200000001,9547946.65,n.d.,4587.96,4445411.71,n.d.,3519897.11,4939088.76,63,-1262357.25,925514.6,763131.56,3119493.58,4107138.3589999997,107428.47,153476.79,2134625.99,2199724.13,n.d.,-2902472.07,-2182429.25,501719.53,4608857.89,-2182429.25,-3404191.6,n.d.,446982.29,7581455.7,7581455.7,-31011.399,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2017,1699167.66,1190407.73,3671476.39,127612.0,1141869.62,4358570.44,561968.8400000001,2605275.29,478952.39,875947.43,1354899.82,102713.62,1517581.1800000002,5429534.83,2119118.19,n.d.,22358.34,22358.34,8966994.52,203024.44999999998,8989477.77,n.d.,12352.59,5532711.819999999,n.d.,3020120.74,4358570.44,57,-1156889.3190000001,2512591.079,963487.48,5301922.83,3754959.9,122433.43,200675.72,1821601.09,1953052.29,n.d.,865941.6799999999,662917.23,875947.43,4630907.328999999,662917.23,-10005.75,n.d.,641598.2699999999,9204188.21,9204188.21,3486370.6,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2016,1050484.28,829258.16,2258328.29,109800.0,1104215.46,4198901.73,392939,1620883.86,457719.9,851085.3200000001,1308805.22,86567.11,878192.81,4099820.43,1794536.98,n.d.,18367.76,18367.76,8579293.739999998,198149.29,8591791.06,n.d.,11927.29,4461473.38,n.d.,3196965.73,3889301.73,53,-1289547.1300000001,1264507.65,550877.3200000001,3990020.43,3541804.01,141265.43,206034.37,1191749.71,1428231.53,n.d.,844644.8500000001,646495.559,851085.3200000001,4392889.33,646495.559,-6440.469,n.d.,382523.93000000005,6719801.67,6719801.67,3115269.489,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2015,441801.13,945926.24,2400745.05,109800.0,746643.4600000001,4083744.24,295242.45900000003,1464161.74,338772.07,592629.4500000001,931401.52,557492.69,1075728.1900000002,3453324.87,1731131.05,n.d.,23123.07,23123.07,8210125.109999999,175341.12,8227289.359999999,n.d.,13706.13,3078423.42,n.d.,2433895.83,4393344.24,56,-1481012.55,644527.59,379090.62,3343524.87,3550915.67,182949.02,159924.75,624750.15,1401093.45,n.d.,583212.51,407871.39,592629.4500000001,4143545.119,407871.39,-9416.94,n.d.,268501.91000000003,5479168.470000001,5479168.470000001,2676238.699,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
2014,388772.75,754405.25,2485764.83,109800.0,1035691.3,3638727.9899999998,260075.49,1468068.44,366748.26,926928.76,1293677.02,235570.44,949233.629,3045453.48,1562320.56,n.d.,27825.49,27281.15,7745605.56,236172.36,7758511.449,n.d.,6012.13,2194916.38,n.d.,1987835.12,3638727.99,47,-1263785.8800000001,207081.26,782125.9500000001,2935653.48,3192854.699,149324.18,82650.06,538096.93,1097130.8,n.d.,905115.4,668943.04,926928.76,4119783.459,668943.04,-21813.36,n.d.,670860.59,4680681.21,4680681.21,2861465.369,RECUPERACIONS MARCEL NAVARRO I FILLS SOCIEDAD LIMITADA_resum
