Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,34556.92,76602.70999999999,733365.22,150253.03,112015.86,565640.31,n.d.,237899.85,34110.01,103556.15,137666.16,48981.22,210278.36,625990.12,260151.07,n.d.,1877.0,1877,1068910.6490000002,23773.309999999998,1069605.278,n.d.,0.01,161440.31999999998,2161.3700000000003,156278.94999999998,565640.31,4,-106147.739,3000,446484.15,475737.089,400408.82,0,157655.79,34556.92,234258.5,n.d.,101679.16,77905.85,103556.15,503964.968,77905.85,-1876.99,n.d.,446484.14999999997,894805.54,894805.54,397817.24,REGSISTEM SL_resum
2022,35523.2,101784.12000000001,701453.02,150253.03,114316.959,687820.55,n.d.,393803.07,48457.729999999996,89770.34,138228.07,50293.32,342312.27,548084.2699999999,265394.74,n.d.,1927.26,1927.26,1203316.76,21987.25,1206564.0,n.d.,3.4,161323.86,2161.3700000000003,159162.49,687820.55,4,-115120.64,n.d.,257356.63,397831.23900000006,428973.11,0,177385.29,35523.2,279169.41000000003,n.d.,87846.48,65859.229,89770.34,518743.449,65859.229,-1923.86,n.d.,257356.63,862776.88,862776.88,403626.209,REGSISTEM SL_resum
2021,36439.219999999994,127443.58,796391.71,150253.03,89406.85,671766.92,n.d.,425118.46,43078.5,61661.66,104740.16,78913.05,376587.93000000005,682225.04,272191.14,n.d.,941.49,941.49,1153688.51,14391.88,1153688.51,n.d.,0.06,208526.59,2161.3700000000003,206365.22,671766.92,4,-104990.29,n.d.,292360.2,531972.01,420259.93000000005,0,158810.46,36439.219999999994,286254.04,n.d.,60720.23,46328.350000000006,61661.66,481921.58900000004,46328.350000000006,-941.43,n.d.,292360.2,1004918.3,1004918.3,376931.36,REGSISTEM SL_resum
2020,21953.960000000003,58354.259999999995,736381.16,150253.03,67372.62000000001,603645.65,n.d.,278249.82,36896.42,40843.96,77740.38,108738.19,328633.75,635896.69,267225.13,n.d.,1141.89,1141.8899999999999,1055873.5,9225.88,1055972.3,n.d.,0.01,136432.19,2161.3700000000003,134270.81999999998,603645.65,4,-107361.14,n.d.,349393.15,485643.66,411482.689,701.4399999999999,155907.0,22655.4,214261.26,n.d.,39702.08,30476.2,40843.96,452326.64999999997,30476.2,-1141.88,n.d.,349393.14999999997,872813.3500000001,872813.3500000001,344965.52,REGSISTEM SL_resum
2019,29057.24,50216.1,666280.92,150253.03,65973.17900000002,525354.93,n.d.,300089.69,37987.51,38154.02,76141.53,123757.13,373630.72,605420.49,264494.37,n.d.,1805.64,1805.6399999999999,965487.56,8363.03,965487.57,n.d.,0.32000000000000006,172238.71000000002,2161.3700000000003,170077.34,525354.93,4,-99496.73999999999,n.d.,242434.1,455167.459,401978.62,964.19,152861.61000000002,30021.43,203077.71,n.d.,36348.7,27985.67,38154.02,440132.63999999996,27985.67,-1805.32,n.d.,242434.1,838519.63,838519.63,340636.22000000003,REGSISTEM SL_resum
2018,37495.229999999996,44192.13,633304.05,150253.03,68037.81,523362.06,23455.55,286591.46,39072,40014.43,79086.43,137824.49,380223.82,577434.8200000001,264076.718,n.d.,2212.78,2212.7799999999997,957808.53,8835.84,957819.53,n.d.,0,208742.28,2161.3700000000003,206580.91,523362.06,4,-91294.32,n.d.,208888.1,427181.79,394443.038,964.19,158504.41,38459.42,226152.09,n.d.,37801.65,28965.81,40014.43,434457.47000000003,28965.81,-2212.78,n.d.,208888.1,842046.3300000001,842046.3300000001,343163.1479999999,REGSISTEM SL_resum
2017,52182.21,42399.880000000005,586521.9500000001,150253.03,63804.4,535964.4,25042.68,255111.5,37397.9,36840.37,74238.27,157689.7,370401.32,548469.01,252891.22,n.d.,2282.02,2282.02,961622.05,8194.25,961624.05,n.d.,42.4,226939.41,2161.3700000000003,224778.04,535964.4,4,-98530.16,n.d.,173720.75,398215.98,388819.28,964.19,144403.38999999998,53146.4,211845.95,n.d.,34600.75,26406.5,36840.37,425659.64999999997,26406.5,-2239.62,n.d.,173720.75,813461.3600000001,813461.3600000001,327171.89,REGSISTEM SL_resum
2016,48999.259999999995,58853.55,558906.99,150253.03,49868.11,468592.13,24486.01,247321.09,28141.7,29201.25,57342.95,175809.94999999998,364277.4900000001,522062.51,218946.57,n.d.,460.45,460.45,820612.16,7014.42,820662.9400000001,n.d.,0.03,212553.55,2161.3700000000003,210392.18,468592.13,3,-75781.29,n.d.,135775.94999999998,371809.48,322869.56,964.19,116095.02,49963.450000000004,199434.58,n.d.,28740.83,21726.41,29201.25,352070.81,21726.41,-460.42,n.d.,135775.94999999998,771460.54,771460.54,276289.55,REGSISTEM SL_resum
2015,2134.8300000000004,32390.27,554192.66,150253.03,35307.99,358017.1,n.d.,252139.47,26257.629999999997,12144.27,38401.9,204524.15,424273.35,500336.1,222349.19,n.d.,466.39,466.39,708477.81,2627.52,708477.8200000001,n.d.,0,122782.0,2161.3700000000003,120620.63,358017.1,n.d.,-89709.63,n.d.,97529.04,350083.07,338316.45,262.75,141850.71000000002,2397.58,174240.97999999998,n.d.,11677.88,9050.359,12144.27,350460.72000000003,9050.359,-466.39,n.d.,97529.04,676974.66,676974.66,260751.09,REGSISTEM SL_resum
2014,5893.44,27308.01,533165.3,150253.03,n.d.,412100.33,n.d.,240857.64,n.d.,43025.48,43025.48,202409.9,415959.53,491285.74,228153.13,n.d.,26152.49,26152.49,777683.76,3375.86,777683.76,n.d.,6.33,123196.13,2161.3700000000003,121034.76,412100.33,3,-94404.82,n.d.,89897.76,341032.71,322557.95,0,131874.239,5893.44,159182.25,n.d.,16879.32,13503.46,43025.48,365583.43000000005,13503.46,-26146.16,n.d.,89897.76,656361.43,656361.43,271184.94,REGSISTEM SL_resum
