Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,22573.54,n.d.,309916.4,165278.33,94183.06,n.d.,n.d.,43798.14,41241.44,69024.65000000001,110266.09,n.d.,43798.14,1207844.52,n.d.,n.d.,42.7,42.7,21878.59,16133.53,183144.48,n.d.,93.2,936271.86,n.d.,782258.92,n.d.,n.d.,-72878.39,154012.94,266118.26,1042566.19,114119.83,0,15770.2,22573.54,15770.2,n.d.,69075.15000000001,52941.619,69024.65000000001,183144.47999999998,52941.619,50.5,n.d.,265363.19,1246188.26,1246188.26,110359.29,RESTAURANTE EL BULLI SL_resum
2022,22573.54,n.d.,212666.85,165278.33,86850.92,n.d.,n.d.,48812.78999999999,39628.12,62955.33,102583.45,n.d.,48812.78999999999,1155753.16,n.d.,n.d.,0.0,n.d.,11160.94,15740.94,165688.5,n.d.,8.41,972135.93,n.d.,801989.4600000001,n.d.,n.d.,-63105.05,170146.47,163854.06,990474.83,102733.17000000001,0,6476.08,22573.54,6476.08,n.d.,62963.74,47222.79899999999,62955.33,165688.5,47222.79899999999,8.41,n.d.,163000.16,1184802.78,1184802.78,102591.86,RESTAURANTE EL BULLI SL_resum
2021,22573.54,n.d.,131008.69,165278.33,84799.68000000001,n.d.,n.d.,44149.51,39628.12,60184.33,99812.45,n.d.,44149.51,1108530.36,n.d.,n.d.,0.0,n.d.,42175.97,15057.19,194927.07,n.d.,44.419,1027504.99,n.d.,841617.58,n.d.,n.d.,-95114.62000000001,185887.41,86859.18000000001,943252.03,134742.74000000002,0,27409.780000000002,22573.54,27409.780000000002,n.d.,60228.75,45171.56,60184.33,194927.07,45171.56,44.419,n.d.,86030.15000000001,1158513.6800000002,1158513.6800000002,99856.87,RESTAURANTE EL BULLI SL_resum
2020,22573.54,n.d.,209742.04,165278.33,77934.40999999999,n.d.,n.d.,60028.34,39628.12,51215.05,90843.17,n.d.,60028.34,1188358.8,n.d.,n.d.,0.0,n.d.,19073.0,12908.76,163119.8,n.d.,0.0,1082190.3,n.d.,881245.7,n.d.,n.d.,-72276.62900000002,200944.6,149713.699,1023080.47,111904.749,0,81000,22573.54,81000,n.d.,51215.05,38306.28999999999,51215.05,163119.8,38306.28999999999,0.0,n.d.,148945.77000000002,1291932.34,1291932.34,90843.17,RESTAURANTE EL BULLI SL_resum
2019,22573.54,n.d.,211386.24,165278.33,145294.919,n.d.,n.d.,52045.24,39675.69,61418.89,101094.58,n.d.,52045.24,1241302.51,n.d.,n.d.,0.0,n.d.,31034.51,-9200.25,202673.3,n.d.,35000.09,1133489.81,n.d.,920873.8,n.d.,n.d.,-101578.72,212616.01,159341.0,1076024.1800000002,141254.41,0,81000,22573.54,81000,n.d.,96418.98,105619.23,61418.89,202673.3,105619.23,35000.09,n.d.,158586.97999999998,1344876.05,1344876.05,136094.669,RESTAURANTE EL BULLI SL_resum
2018,22573.54,n.d.,97291.57,165278.33,159756.099,n.d.,n.d.,52891.71,40008.68,97594.71,137603.38999999998,n.d.,52891.71,1235683.28,n.d.,n.d.,0.0,n.d.,98977.26,22847.29,346455.33900000004,n.d.,45000.0,1160965.25,n.d.,960549.49,n.d.,n.d.,-208851.94999999998,200415.76,44399.86,1070404.95,248860.63,0,n.d.,22573.54,n.d.,n.d.,142594.71000000002,119747.419,97594.71,346455.33900000004,119747.419,45000.0,n.d.,43392.2,1258256.82,1258256.82,182603.389,RESTAURANTE EL BULLI SL_resum
2017,22573.54,n.d.,580002.25,165278.33,224227.96,n.d.,n.d.,62649.27,40393.62,-15172.04,25221.58,n.d.,62649.27,1735935.86,n.d.,n.d.,1104.929,1080.34,131787.049,n.d.,270943.449,n.d.,200111.31,1200973.93,n.d.,1000558.17,n.d.,n.d.,-245721.87,200415.76,517352.98,1570657.53,286115.49000000005,0,22466.780000000002,22573.54,22466.780000000002,n.d.,183834.34,183834.34,-15172.04,270943.449,183834.34,199006.38,n.d.,26495.24,1780976.1800000002,1780976.1800000002,225308.3,RESTAURANTE EL BULLI SL_resum
2016,1500.0,n.d.,434149.14,165278.33,-483203.28,n.d.,n.d.,53825.4,39441.37,-803450.8,-764009.43,98508.33,152333.73,1552101.52,n.d.,n.d.,5911.160000000001,5911.13,142733.11000000002,-171706.63,155344.38899999997,n.d.,115010.68,1176357.81,n.d.,996755.56,n.d.,n.d.,-919353.8200000001,179602.25,281815.41000000003,1386823.1900000002,958795.19,0,56905.43,1500.0,56905.43,n.d.,-694351.2799999999,-522644.65,-803450.8,155344.38899999997,-522644.65,109099.519,n.d.,29804.51,1610506.95,1610506.95,-648998.7799999999,RESTAURANTE EL BULLI SL_resum
2015,1500.0,148.09,763211.26,165278.33,13321.32,n.d.,n.d.,195682.85,39820.850000000006,-26888.21,12932.64,533547.1989999999,729081.959,2074746.17,n.d.,n.d.,0.0,n.d.,175774.25,n.d.,188436.83,n.d.,388.68,1687178.7,n.d.,1679283.08,n.d.,n.d.,-175504.19,7895.620000000001,33981.21,1909467.84,215325.04,0,373995.699,1500.0,374143.79000000004,n.d.,-26499.53,-26499.53,-26888.21,188436.83,-26499.53,388.68,n.d.,32039.49,2450389.96,2450389.96,13321.32,RESTAURANTE EL BULLI SL_resum
2014,1500.0,390.55,892160.01,165278.33,489394.87,n.d.,562.25,180920.56,39964.350000000006,253276.22,293240.57,533547.1989999999,714077.2089999999,2101245.7,302571.07,n.d.,5.53,5.53,456556.12,3840.63,470885.39,n.d.,200000.46,1387350.9,n.d.,1379455.28,n.d.,5,124926.25,7895.620000000001,177692.25,1935967.37,217609.169,0,175812.41,1500.0,176765.21000000002,n.d.,453271.15,449430.52,253276.22,470885.39,449430.52,199994.93,n.d.,34614.759999999995,2279510.91,2279510.91,795812.1,RESTAURANTE EL BULLI SL_resum
