Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,10580.94,442457.78,60100.0,63850.7,60088.51,n.d.,256257.24,10000.0,72671.48999999999,82671.48999999999,n.d.,245676.3,406333.48,868221.52,n.d.,870.55,870.55,1164494.06,17950.24,1173422.47,n.d.,0.0,93812.03,10000,82412.03,60088.51,19.0,-162440.94999999998,1400,186200.54,346233.48000000004,1040662.47,0,119355.39,n.d.,129936.33,n.d.,71800.93999999999,53850.7,72671.48999999999,1113333.96,53850.7,-870.55,n.d.,186200.54,536269.81,536269.81,950893.01,RIBAS-ALVAREZ-OLOT SL_resum
2022,n.d.,21831.62,436499.0,60100.0,58516.09,46478.41,n.d.,247605.29,12925.81,61726.47,74652.28,n.d.,225773.67,412482.78,845013.56,n.d.,934.43,934.43,1106113.9,15201.76,1118663.47,n.d.,0.0,103812.03,20000,82412.03,46478.41,19.0,-152519.22,1400,188893.71,352382.78,1010458.59,0,105996.63,n.d.,127828.25,n.d.,60792.04,45590.28,61726.47,1072185.06,45590.28,-934.43,n.d.,188893.71,540311.03,540311.03,919665.84,RIBAS-ALVAREZ-OLOT SL_resum
2021,n.d.,5534.88,405604.44,60100.0,63199.239,28615.57,n.d.,187802.58,13519.28,67173.45999999999,80692.73999999999,n.d.,182267.699,406892.5,805751.7,n.d.,933.51,933.51,1054186.51,16559.99,1061963.52,n.d.,0.0,114907.7,24988.25,88519.45,28615.57,20.0,-146903.51,1400,217801.86,346792.5,966174.49,0,108084.76,n.d.,113619.64,n.d.,66239.95,49679.959,67173.45999999999,1033347.9500000001,49679.959,-933.51,n.d.,217771.74,520512.14,520512.14,886444.4400000001,RIBAS-ALVAREZ-OLOT SL_resum
2020,n.d.,9273.99,394729.64,60100.0,64698.08,31256.52,n.d.,253079.56,19135.14,61423.33,80558.47,n.d.,243805.57,397212.54,769691.01,n.d.,706.07,706.07,1012043.45,15154.32,1015206.279,n.d.,0.0,116476.38,27500,87576.38,31256.52,18.0,-133700.28,1400,141650.08,337112.54,922526.43,0,104719.489,n.d.,113993.48,n.d.,60717.26,45562.94,61423.33,983949.759,45562.94,-706.07,n.d.,141650.08,511206.02,511206.02,850249.48,RIBAS-ALVAREZ-OLOT SL_resum
2019,n.d.,7818.9,382703.03,60100.0,54928.26,155363.1,n.d.,260541.33,9241.41,61327.71,70569.12000000001,n.d.,252722.43,401649.6,740487.61,n.d.,411.90999999999997,411.90999999999997,1098647.36,15228.95,1102017.29,n.d.,0.0,129919.64,36368,92151.64,155363.1,18.0,-135597.46,1400,122161.7,341549.6,885326.48,0,103154.17,n.d.,110973.07,n.d.,60915.8,45686.850000000006,61327.71,946654.19,45686.850000000006,-411.91,n.d.,122161.7,512622.67,512622.67,811056.73,RIBAS-ALVAREZ-OLOT SL_resum
2018,n.d.,6090.29,348606.88,60100.0,46833.329,86770.75,n.d.,260221.84,15207.53,42137.33,57344.86,n.d.,254131.55,380962.75,728023.51,n.d.,0,n.d.,1015138.01,10541.94,1017659.7,n.d.,30.41,130098.05,32500,96198.05,86770.75,18.0,-145520.58,1400,88385.04,320862.75,888751.62,0,91651.89,n.d.,97742.18,n.d.,42167.74,31625.799,42137.33,930888.9500000001,31625.799,30.41,n.d.,88385.04,478704.93000000005,478704.93000000005,785398.7799999999,RIBAS-ALVAREZ-OLOT SL_resum
2017,n.d.,7972.1,353763.28,60100.0,46618.28,29063.55,n.d.,271773.66,17299.23,39058.24,56357.47,n.d.,263801.56,374336.95,714320.4600000001,n.d.,0,n.d.,928078.9,9773.01,930348.61,n.d.,33.82,124151.97,35000,87751.97,29063.55,19.0,-130607.13,1400,81989.62000000001,314236.95,862226.8200000001,0,95606.2,n.d.,103578.3,n.d.,39092.06,29319.049,39058.24,901285.059,29319.049,33.82,n.d.,81989.62000000001,477915.25,477915.25,770711.75,RIBAS-ALVAREZ-OLOT SL_resum
2016,n.d.,12830.4,338974.23000000004,60100.0,46226.47,27336.77,n.d.,234120.41,17284.64,38396.96,55681.6,n.d.,221290.01,370017.9,677573.87,n.d.,7.659999999999999,7.659999999999999,874208.89,9513.32,884491.75,n.d.,65.85,129260.79,37500,90360.79,27336.77,18.0,-123899.51,1400,104853.82,309917.9,818758.02,0,85386.72,n.d.,98217.12,n.d.,38455.15,28941.83,38396.96,857154.98,28941.83,58.190000000000005,n.d.,101153.82,468235.02,468235.02,733321.3200000001,RIBAS-ALVAREZ-OLOT SL_resum
2015,n.d.,9753.47,352659.44,60100.0,64924.12,28019.82,n.d.,221049.93,28468.19,49642.62,78110.81,n.d.,211296.46,371076.07,631457.21,n.d.,53.03,53.03,860336.43,13372.23,870642.61,n.d.,238.57,138136.05,41105.24,95630.81,28019.82,18.0,-133054.769,1400,131609.51,310976.07,792980.1680000001,0,109965.95,n.d.,119719.42,n.d.,49828.16,36455.93,49642.62,842622.7899999999,36455.93,185.54,n.d.,131609.51,490795.4900000001,490795.4900000001,709806.59,RIBAS-ALVAREZ-OLOT SL_resum
2014,n.d.,11657.77,287105.71,60100.0,39082.25,23334.04,n.d.,159880.58,24689.85,19216.75,43906.6,n.d.,148222.81,344620.14,631692.57,n.d.,124.14999999999999,124.14999999999999,796259.58,4797.469999999999,820169.49,n.d.,97.27,150428.23,49110.07,99918.16,23334.04,18.0,-121236.28,1400,127225.13,284520.14,777618.7,0,81256.03,n.d.,92913.8,n.d.,19189.87,14392.399,19216.75,796835.4500000001,14392.399,-26.88,n.d.,127225.13,437533.94,437533.94,675696.4400000001,RIBAS-ALVAREZ-OLOT SL_resum
