Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,7163661.0,11867368.0,41868037.0,256394.0,8912836.0,46035218,5263060.0,24982346.0,1192462.0,11654537.0,12846999.0,9339728.0,22454706.0,30089896.0,13109894.0,n.d.,1439506.0,1030288.0,84589064.0,2612294.0,84897515.0,n.d.,117637.0,25013065.0,1322344.0,8816963.0,45115180.0,310.0,-12905404,14873758.0,7545963.0,29833502.0,27207760,194758,12302359.0,7358419.0,29432787.0,n.d.,10332668.0,7720374.0,11654537.0,38862297,7720374.0,-1321869.0,n.d.,4376587.0,66881102.0,66881102.0,25665312.0,ROBERLO SA_resum
2022,9718258.0,13177313.0,40115593.0,256393.5,6013537.0,45987708,6279097.0,24953423.0,1123540.0,6094792.0,7218332.0,10180443.0,21956553.0,23869522.0,11705788.0,n.d.,364669.0,359928.0,76947677.0,954614.0,76977938.0,n.d.,114488.0,23352479.0,1919491.0,7988371.0,46171645.0,296.0,-12066110,13444617.0,4981727.0,23613128.5,24895438,189946,10233936.0,9908204.0,29690346.0,n.d.,5844611.0,4889997.0,6094792.0,30990230,4889997.0,-250181.0,n.d.,4351380.0,63468072.0,63468072.0,19033867.0,ROBERLO SA_resum
2021,5836478.0,12155349.0,31122129.0,256394.0,4262489.0,37989832,5858206.0,20296510.0,1010157.0,4619796.0,5629953.0,8725841.0,16867002.0,18979527.0,11205102.0,n.d.,580982.0,410761.0,63687992.0,873366.0,63705666.0,n.d.,86884.0,20116456.0,1796446.0,7493962.0,39763928.0,288.0,-8880779,10826048.0,2099778.0,18723133.0,21096038,185067,8223958.0,6021545.0,26237513.0,n.d.,4125698.0,3252332.0,4619796.0,25715834,3252332.0,-494098.0,n.d.,578121.0,51238585.0,51238585.0,16751718.0,ROBERLO SA_resum
2020,9214659.0,9530049.0,27713255.0,256394.0,4483956.0,28445882,1187315.0,19047558.0,1075060.0,5062702.0,6137762.0,5903382.0,15420891.0,15727352.0,9407964.0,n.d.,452879.0,417518.0,50908145.0,1239602.0,50921330.0,n.d.,38675.0,18455030.0,2135715.0,7390637.0,29020147.0,253.0,-6929722,8928678.0,2762315.0,15470958.0,17412746,233868,10275042.0,9448527.0,20992406.0,n.d.,4648498.0,3408896.0,5062702.0,22475448,3408896.0,-414204.0,n.d.,1666587.0,46168285.0,46168285.0,15549040.0,ROBERLO SA_resum
2019,10358842.0,9323303.0,26638739.0,256394.0,2082200.0,30342093,7257786.0,18276534.0,1348502.0,2747325.0,4095827.0,5306578.0,14259809.0,12318459.0,9092492.0,n.d.,1306850.0,467446.0,51464384.0,743340.0,51494807.0,n.d.,36563.0,18851458.0,2609249.0,7371673.0,30782377.0,227.0,-7964395,8870536.0,3055627.0,12062065.0,18405389,223963,6007844.0,10582805.0,22588933.0,n.d.,1477038.0,733698.0,2747325.0,21152714,733698.0,-1270287.0,n.d.,444690.0,45490197.0,45490197.0,12385478.0,ROBERLO SA_resum
2018,10706507.0,8516780.0,24316896.0,256394.0,2782020.0,27675500,5607984.0,17096128.0,1966727.0,1886463.0,3853190.0,4432289.0,13011637.0,11584762.0,8043728.0,n.d.,1102343.0,521137.0,45777017.0,529129.0,45859885.0,n.d.,560302.0,18376320.0,3059591.0,7179860.0,27206452.0,220.0,-6287467,8136869.0,2788479.0,11328368.0,16297922,260427,6016756.0,10966934.0,20141520.0,n.d.,1344422.0,815293.0,1886463.0,18184385,815293.0,-542041.0,n.d.,360587.0,42693216.0,42693216.0,11876014.0,ROBERLO SA_resum
2017,6675517.0,8854647.0,21647945.0,256394.0,3825149.0,27731200,13143681.0,14648976.0,1836992.0,2546908.0,4383900.0,4728087.0,10522416.0,16975913.0,8047077.0,n.d.,613237.0,546618.0,46623685.0,275488.0,46712398.0,n.d.,329974.0,26487744.0,3043700.0,8434758.0,27496809.0,232.0,-6550221,15009286.0,2270882.0,16719519.0,16434290,175287,2310644.0,6850804.0,24308972.0,n.d.,2263645.0,1988157.0,2546908.0,18981198,1988157.0,-283263.0,n.d.,1269406.0,48135689.0,48135689.0,12694332.0,ROBERLO SA_resum
2016,9944226.0,7871646.0,17901689.0,256394.0,3702417.0,26243471,9591330.0,10684121.0,1813642.0,2337262.0,4150904.0,5001441.0,7813916.0,15212756.0,7573198.0,n.d.,750942.0,686602.0,43817916.0,370594.0,43892975.0,n.d.,673049.0,26684510.0,2768014.0,9705919.0,26292516.0,216.0,-5925402,14210577.0,2216127.0,14956362.0,15312242,174998,1791243.0,10119224.0,19254219.0,n.d.,2259369.0,1888775.0,2337262.0,17649504,1888775.0,-77893.0,n.d.,1996597.0,44586199.0,44586199.0,12332811.0,ROBERLO SA_resum
2015,11844422.0,7945060.0,18581892.0,269878.0,3384930.0,25842553,8098359.0,13354846.0,1887236.0,2808614.0,4695850.0,4673961.0,10083747.0,13623982.0,6532706.0,n.d.,1154292.0,754292.0,43044175.0,556894.0,43123056.0,n.d.,400266.0,25685592.0,2298463.0,10731669.0,26024028.0,183.0,-6051947,12655460.0,553085.0,13354104.0,14471889,142396,2613265.0,11986818.0,18656684.0,n.d.,2054588.0,1497694.0,2808614.0,17280503,1497694.0,-754026.0,n.d.,450430.0,44267484.0,44267484.0,11228822.0,ROBERLO SA_resum
2014,12017895.0,8073834.0,17728867.0,269878.0,2557278.0,24190022,7905860.0,11821896.0,1833777.0,1706515.0,3540292.0,4555736.0,8303798.0,12226288.0,6151035.0,n.d.,883113.0,513113.0,38993080.0,239857.0,39060701.0,n.d.,139956.0,25243939.0,2015307.0,10794487.0,24074119.0,167.0,-5179352,12434145.0,1351235.0,11956410.0,13164164,268155,2480774.0,12286050.0,18460468.0,n.d.,963358.0,723501.0,1706515.0,14870679,723501.0,-743157.0,n.d.,1305153.0,42972806.0,42972806.0,9461283.0,ROBERLO SA_resum
