Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,n.d.,n.d.,2093.9,3005.5,n.d.,n.d.,n.d.,n.d.,n.d.,-5790.46,-5790.46,n.d.,n.d.,11973.55,n.d.,n.d.,0.0,n.d.,n.d.,-1447.62,n.d.,n.d.,0.0,84834.40999999999,n.d.,67883.88,n.d.,n.d.,-5790.46,16950.53,2093.9,8968.05,5790.46,0,74954.76,n.d.,74954.76,n.d.,-5790.46,-4342.84,-5790.46,n.d.,-4342.84,0.0,n.d.,2093.9,86928.31,86928.31,-5790.46,ROSDECOGUIX SL_resum
2022,n.d.,n.d.,2505.67,3005.5,n.d.,n.d.,n.d.,411.77,n.d.,n.d.,n.d.,n.d.,411.77,16316.39,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,0.0,98586.79,n.d.,83083.88,n.d.,n.d.,n.d.,15502.91,2093.9,13310.89,n.d.,0,84776.07,n.d.,84776.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,2093.9,101092.46,101092.46,n.d.,ROSDECOGUIX SL_resum
2021,n.d.,n.d.,2505.67,3005.5,n.d.,n.d.,n.d.,411.77,n.d.,n.d.,n.d.,n.d.,411.77,16316.39,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,0.0,98586.79,n.d.,83083.88,n.d.,n.d.,n.d.,15502.91,2093.9,13310.89,n.d.,0,84776.07,n.d.,84776.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,2093.9,101092.46,101092.46,n.d.,ROSDECOGUIX SL_resum
2020,n.d.,n.d.,11655.67,3005.5,n.d.,n.d.,n.d.,9561.77,n.d.,-6873.34,-6873.34,n.d.,9561.77,16316.39,n.d.,n.d.,0.0,n.d.,n.d.,-1718.34,n.d.,n.d.,0.0,98586.79,n.d.,83083.88,n.d.,n.d.,-6873.34,15502.91,2093.9,13310.89,6873.34,0,93926.069,n.d.,93926.07,n.d.,-6873.34,-5155,-6873.34,n.d.,-5155,0.0,n.d.,2093.9,110242.46,110242.46,-6873.34,ROSDECOGUIX SL_resum
2019,123213.55,1217.85,204236.68,3005.5,n.d.,171598.13,n.d.,48483.51,n.d.,16522.55,16522.55,132661.57,179927.23,30919.41,121427.73999999999,n.d.,2048.27,2048.27,348097.06,3627.84,348097.06,n.d.,37.09,96868.45,n.d.,83083.88,160151.49,3,-38548.64,13784.57,23091.6,27913.91,159976.37999999998,0,145754.31999999998,123213.55,146972.17,n.d.,14511.369999999999,10883.53,16522.55,176498.93,10883.53,-2011.18,n.d.,23091.6,301105.13,301105.13,137987.37999999998,ROSDECOGUIX SL_resum
2018,123213.55,51637.83,284263.91000000003,3005.06,n.d.,219643.43,n.d.,105157.89,n.d.,13468.12,13468.12,145859.61000000002,199379.669,20035.88,153942.17,n.d.,1602.83,1602.83,422303.43000000005,3010.73,422303.43000000005,n.d.,177.62,100496.29,n.d.,83083.88,214144.84999999998,5,-35249.71,17412.41,33246.41,17030.82,189191.87999999998,0,189872.94,123213.55,241510.77,n.d.,12042.91,9032.18,13468.12,202659.99899999998,9032.18,-1425.21,n.d.,33246.41,384760.2,384760.2,167587.91,ROSDECOGUIX SL_resum
2017,123213.55,28266.07,243428.12,3005.06,n.d.,60127.219999999994,n.d.,64856.11,n.d.,10244.75,10244.75,152116.29,188706.33,11003.7,133364.51,n.d.,857.93,857.93,234256.2,2354.4100000000003,234256.2,n.d.,30.81,103507.02,n.d.,83083.88,59101.42,4,-30519.72,20423.14,26455.72,7998.639,163884.23,0,184451.82,123213.55,212717.89,n.d.,9417.630000000001,7063.219,10244.75,174128.97999999998,7063.219,-827.12,n.d.,26455.72,346935.14,346935.14,143640.07,ROSDECOGUIX SL_resum
2016,123213.55,14732.52,232214.5,3005.06,n.d.,48935.7,n.d.,51710.189999999995,n.d.,-6928.53,-6928.53,153105.99,190083.66,117.72,144894.19,n.d.,8535.09,8535.09,212298.63,n.d.,212298.63,n.d.,172.58,102038.67,n.d.,83083.88,47972.7,5,-25397.27,18954.79,27398.32,-2887.3390000000004,170291.46,0,196189.379,123213.55,210921.9,n.d.,-15291.04,-15291.04,-6928.53,163362.93,-15291.04,-8362.51,n.d.,27398.32,334253.17,334253.17,138138.24000000002,ROSDECOGUIX SL_resum
2015,111658.01,13554.91,193860.21,3005.06,n.d.,57792.259999999995,n.d.,39132.55,n.d.,-24644.260000000002,-24644.260000000002,154727.66,180305.3,-6830.2,105301.61,n.d.,6400.28,6400.28,164908.3,-7761.04,164908.3,n.d.,0.4,127577.49,n.d.,100861.66,57792.259999999995,5,-26458.69,26715.829999999998,n.d.,-9835.259,131760.299,0,203054.979,111658.01,216609.89,n.d.,-31044.14,-23283.1,-24644.260000000002,107116.039,-23283.1,-6399.88,n.d.,n.d.,321437.7,321437.7,80657.75,ROSDECOGUIX SL_resum
2014,111658.01,10583.9,191691.08,3005.06,n.d.,35091.18,n.d.,26682.8,n.d.,-48056.21,-48056.21,165008.28,181107.18,78603.48999999999,137961.67,n.d.,2497.06,2497.06,157328.5,-12638.32,157328.5,n.d.,0.0,171416.41,n.d.,100861.66,35091.18,6,-32331.858999999997,70554.75,n.d.,75598.43,170293.53,0,162262.09,111658.01,172845.99,n.d.,-50553.27,-37914.950000000004,-48056.21,122237.32,-37914.950000000004,-2497.06,n.d.,n.d.,363107.4900000001,363107.4900000001,89905.45999999999,ROSDECOGUIX SL_resum
