Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,35132.01,39563.82,239834.91,3005.06,55679.08,222120.74000000002,12686.99,24538.75,24925.980000000003,40729.68,65655.66,8120.0,-6905.07,128676.68,256164.6,n.d.,388.33,388.33,608259.54,9588.25,619229.54,n.d.,0.0,205270.39,n.d.,205270.39,221300.74,7.0,-75288.54,n.d.,207176.16,125671.62,356379.12,0,229045.8,35132.01,281296.61,n.d.,40341.350000000006,30753.1,40729.68,397108.8,30753.1,-388.33,n.d.,207176.16,445105.3,445105.3,321820.26,ROSES RETOLACIO SL_resum
2022,47819.0,55685.55,225725.52,3005.06,41981.25,254047.09,12498.230000000001,34185.64,24379.22,24391.41,48770.63,7980.0,-13519.91,97923.58,210974.29,n.d.,574.2700000000001,574.2700000000001,592656.75,6279.660000000001,592990.91,n.d.,64.55,221180.85,n.d.,221180.85,255327.09,7.0,-79198.9,n.d.,183559.87999999998,94918.52,314552.41000000003,0,232980.01,47819.0,301163.79000000004,n.d.,23881.69,17602.03,24391.41,338943.82,17602.03,-509.719,n.d.,183559.87999999998,446906.37,446906.37,259809.47,ROSES RETOLACIO SL_resum
2021,60317.23,28156.35,178227.04,3005.06,35932.689999999995,184978.54,12312.29,26098.45,23081.2,18351.13,41432.33,5920.0,3862.1,80321.55,195373.03,n.d.,790.99,790.99,501241.23,4708.650000000001,501241.23,n.d.,0.0,227647.94,n.d.,227647.94,180638.54,7.0,-79457.33,n.d.,146208.59,77316.48999999999,297911.56,0,224767.56,60317.23,265236.2,n.d.,17560.14,12851.49,18351.13,316262.689,12851.49,-790.99,n.d.,146208.59,405874.98,405874.98,236805.36,ROSES RETOLACIO SL_resum
2020,72629.52,17135.08,178566.38999999998,3005.06,31237.079,188875.14,9645.88,9324.68,16665.460000000003,17533.260000000002,34198.719999999994,16370.0,8559.599,67470.06,170352.83,n.d.,757.5,757.5,462048.2,2234.5,462048.2,n.d.,30.36,242565.36,n.d.,242565.36,163955.14,7.0,-68621.51,n.d.,152871.71000000002,64465.0,255639.799,0,254251.21,72629.52,281032.17,n.d.,16806.12,14571.619,17533.260000000002,273173.06,14571.619,-727.14,n.d.,152871.71000000002,421131.75,421131.75,204581.909,ROSES RETOLACIO SL_resum
2019,32275.4,21434.23,112819.49,3005.06,22119.49,168713.96,3759.79,28611.9,17821.58,4614.64,22436.22,50800.0,57977.67,52898.44,210495.16,n.d.,316.73,316.73,478409.97,n.d.,478409.97,n.d.,0.0,245563.48,n.d.,245563.48,162113.96,7.0,-76764.62900000002,n.d.,33407.589,49893.380000000005,305081.37,0,248015.11,32275.4,273209.13,n.d.,4297.91,4297.91,4614.64,309696.01,4297.91,-316.73,n.d.,33407.589,358382.97000000003,358382.97000000003,232931.38,ROSES RETOLACIO SL_resum
2018,36035.19,19848.66,140378.6,3005.06,24118.6,151336.66,3636.09,58504.07,16980.52,7956.99,24937.51,59760.0,98415.41,48600.53,206602.31,n.d.,818.91,818.91,441167.7,n.d.,441167.7,n.d.,0.0,250486.71,n.d.,250486.71,154236.66,7.0,-58291.219999999994,n.d.,22114.53,45595.47,281874.05,0,282744.84,36035.19,306229.59,n.d.,7138.08,7138.08,7956.99,289831.04,7138.08,-818.91,n.d.,22114.53,390865.31,390865.31,231539.819,ROSES RETOLACIO SL_resum
2017,39671.28,13794.99,109585.51,3005.06,-5945.56,154398.91999999998,3516.46,49533.15,18560.44,-23910.42,-5349.98,55600.0,91338.159,41462.45,212803.94,n.d.,595.76,595.76,421666.6,n.d.,421666.6,n.d.,0.18,261757.89,n.d.,261757.89,150798.91999999998,7.0,-59813.719,n.d.,4452.360000000001,38457.39,291178.1,0,272898.22000000003,39671.28,290209.67,n.d.,-24506.0,-24506.0,-23910.42,267267.679,-24506.0,-595.58,n.d.,4452.360000000001,371343.4,371343.4,207454.14,ROSES RETOLACIO SL_resum
2016,63587.74,13950.47,148966.66,3005.06,36555.03,207877.06,3400.7599999999998,70428.48,15049.43,23069.13,38118.56,60360.26,116838.269,65968.45,238524.87,n.d.,1159.34,1159.34,553655.98,482.81,553655.98,n.d.,78.61999999999999,273332.94,n.d.,273332.94,187451.06,9.0,-69135.489,n.d.,18177.920000000002,62963.39,322709.79000000004,0,275392.18,63587.74,292743.41000000003,n.d.,21988.41,21505.6,23069.13,345778.92000000004,21505.6,-1080.719,n.d.,18177.920000000002,422299.6,422299.6,276722.05,ROSES RETOLACIO SL_resum
2015,30500.0,18577.82,142693.22,3005.06,15683.72,186277.73,14285.630000000001,52157.91,9472.8,9027.11,18499.91,85386.0,118966.09,44462.850000000006,218519.72,n.d.,2832.27,2832.27,491770.96,n.d.,491770.96,n.d.,16.079,215257.82,n.d.,215257.82,175803.73,8.0,-68473.6,n.d.,5149.31,41457.789,296466.12,0,250124.74,30500.0,282988.19,n.d.,6210.92,6210.92,9027.11,305493.23000000004,6210.92,-2816.1910000000003,n.d.,5149.31,357951.04,357951.04,237035.71,ROSES RETOLACIO SL_resum
2014,49376.17,31195.62,152984.73,3005.06,6634.58,159866.07,14636.28,48084.73,9607.77,1737.75,11345.52,104900.0,121789.11,38251.93,244200.54,n.d.,4771.21,4771.21,480790.65,n.d.,480790.65,n.d.,60.27,228732.96,n.d.,228732.96,159416.07,9.0,-65378.52,n.d.,n.d.,35246.869,319186.83,0,248257.69,49376.17,294089.59,n.d.,-2973.19,-2973.19,1737.75,320924.58,-2973.19,-4710.94,n.d.,n.d.,381717.69,381717.69,255606.33,ROSES RETOLACIO SL_resum
