Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,220786.24000000002,n.d.,5793.71,152000.0,n.d.,9812.58,19800,1781.87,n.d.,-10659.7,-10659.7,1095.05,2876.92,15735.35,1000,n.d.,3414.94,3414.94,594.81,n.d.,594.81,n.d.,0,446018.04,n.d.,n.d.,9812.58,n.d.,-441.929,446018.04,2916.79,-136264.65,1441.929,0,195490.16,220786.24000000002,215290.16,n.d.,-14074.64,-14074.64,-10659.7,-9217.77,-14074.64,-3414.94,n.d.,2916.79,451811.75,451811.75,-9659.699,ROYAL FOOD & DRINK SL_resum
2022,242223.29,1859.98,17312.809999999998,152000.0,-2793.9500000000003,19538.280000000002,17534.64,1387.88,30.919999999999998,-1743.01,-1712.09,10878,10405.9,29809.99,n.d.,n.d.,1081.86,1081.86,20117.2,n.d.,20117.2,n.d.,0,446018.04,n.d.,n.d.,19538.280000000002,n.d.,-2291.01,446018.04,5046.929999999999,-122190.01,2321.9300000000003,0,171902.94999999998,242223.29,191297.57,n.d.,-2824.8700000000003,-2824.8700000000003,-1743.01,578.92,-2824.8700000000003,-1081.86,n.d.,5046.929999999999,463330.85,463330.85,-1712.09,ROYAL FOOD & DRINK SL_resum
2021,260423.29,1766.48,18930.38,152000.0,-13123.59,7185.53,17400,285.57,82.42,-11979.44,-11897.02,12458,10977.09,32634.86,3000,n.d.,1232.6299999999999,1232.6299999999999,1327.4,n.d.,1327.4,n.d.,6.06,446048.96,n.d.,30.919999999999998,7185.53,n.d.,-3038.8900000000003,446018.04,6186.81,-119365.139,6121.309,0,152754.71000000002,260423.29,171921.19,n.d.,-13206.01,-13206.01,-11979.44,-5858.129000000001,-13206.01,-1226.57,n.d.,6186.81,464979.34,464979.34,-8890.96,ROYAL FOOD & DRINK SL_resum
2020,278078.25,599.8,26654.65,152000.0,-21084.21,25672.980000000003,16753.89,998.39,82.42,-19470.44,-19388.02,19627,20025.59,45840.87,14400,n.d.,1696.1899999999998,1696.1899999999998,29109.6,n.d.,29109.6,n.d.,0,446131.38,n.d.,113.34,25672.980000000003,1,-8424.640000000001,446018.04,6029.26,-106159.13,22907.058999999997,0,131513.22,278078.25,148866.91,n.d.,-21166.63,-21166.63,-19470.44,3436.619,-21166.63,-1696.1899999999998,n.d.,6029.26,472786.03,472786.03,-4988.02,ROYAL FOOD & DRINK SL_resum
2019,295274.69,1121.98,89212.01,152000.0,23040.469,75796.06,37609.119999999995,4165.39,82.42,25475.11,25557.53,29987,33030.409,67007.5,14400,n.d.,2517.06,2517.06,123038.5,n.d.,123038.5,n.d.,0,446213.8,n.d.,195.76,75796.06,1,-7284.91,446018.04,55059.62,-84992.5,21767.328999999998,0,134412.52,295274.69,173143.62,n.d.,22958.05,22958.05,25475.11,47242.44,22958.05,-2517.06,n.d.,55059.619999999995,535425.81,535425.81,39957.53,ROYAL FOOD & DRINK SL_resum
2018,311336.35,n.d.,68911.03,152000.0,2501.96,36617.42,14606.52,14164.5,51.51,4735.469999999999,4786.98,40926.950000000004,55091.45,44049.45,14400,n.d.,2285.02,2285.02,64661.82,n.d.,64661.82,n.d.,0,446296.22000000003,n.d.,278.18,36617.42,1,-8857.42,446018.04,13819.58,-107950.55,23308.929,0,145214.93,311336.35,159821.44999999998,n.d.,2450.4500000000003,2450.4500000000003,4735.469999999999,28044.4,2450.4500000000003,-2285.02,n.d.,13819.58,515207.25,515207.25,19186.980000000003,ROYAL FOOD & DRINK SL_resum
2017,325986.48000000004,628.04,77999.83,152000.0,4898.73,55084.36,19394.97,2617.11,48.82,7768.79,7817.610000000001,39026.950000000004,41016.02,41599.0,14400,n.d.,2918.88,2918.88,96411.25,n.d.,96411.25,n.d.,0,446018.04,n.d.,n.d.,55084.36,1,-19109.280000000002,446018.04,36355.77,-110400.999,33558.1,0,136409.379,325986.48000000004,156432.38999999998,n.d.,4849.91,4849.91,7768.79,41326.89,4849.91,-2918.88,n.d.,36355.77,524017.87,524017.87,22217.61,ROYAL FOOD & DRINK SL_resum
2016,328163.03,n.d.,58735.87,152000.0,-17896.32,11072,13521,4125.729,1198.78,-16116.94,-14918.16,49044,53169.72899999999,36749.09,14400,n.d.,2978.16,2978.16,15945.15,n.d.,15945.15,n.d.,0,446066.86,48.82,n.d.,11072,1,-5391.309,446018.04,5566.14,-115250.91,20990.09,0,126369.61,328163.03,139890.61000000002,n.d.,-19095.1,-19095.1,-16116.94,4873.150000000001,-19095.1,-2978.16,n.d.,5566.14,504802.73,504802.73,-518.159,ROYAL FOOD & DRINK SL_resum
2015,326231.78,n.d.,52968.23,152000.0,-22924.23,7521.89,12469.48,2813.07,2666.4700000000003,-21787.01,-19120.539,49164,51977.07,56088.49,14400,n.d.,3803.72,3803.72,5773.68,n.d.,5773.68,n.d.,0.03,447265.63999999996,1247.6,n.d.,7521.89,1,-2972.3300000000004,446018.04,991.16,-95911.51,20038.8,0,105444.12,326231.78,117913.6,n.d.,-25590.7,-25590.7,-21787.01,-1748.21,-25590.7,-3803.689,n.d.,991.16,500233.87,500233.87,-4720.51,ROYAL FOOD & DRINK SL_resum
2014,301418.83,n.d.,35099.49,152000.0,-20509.69,681.53,11520,3371.71,2672.9900000000002,-18917.86,-16244.87,29182.920000000002,32554.629,81923.48999999999,14400,n.d.,4264.820000000001,4264.820000000001,789.1,n.d.,789.1,n.d.,0,449932.11,3914.07,n.d.,681.53,1,-1952.439,446018.04,2544.86,-70076.509,19025.429,0,90169.28,301418.83,101689.28,n.d.,-23182.68,-23182.68,-18917.86,107.57,-23182.68,-4264.820000000001,n.d.,2544.86,485031.6,485031.6,-1844.87,ROYAL FOOD & DRINK SL_resum
