Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,1230276.93,n.d.,317871.9,551838.2,178470.71000000002,25789.66,n.d.,176165.66,102491.57,101784.91,204276.48,5844.39,182010.05,1510747.31,148581.37,n.d.,331.64000000000004,331.64000000000004,436852.62,25474.129999999997,579665.3300000001,n.d.,0.0,2457079.44,n.d.,2170724.86,25789.66,4.0,-201017.81999999998,286354.579,135861.849,958909.11,452090.76,0,33927.1,1230276.93,33927.1,n.d.,101453.27,75979.14,101784.91,553875.669,75979.14,-331.64000000000004,n.d.,112089.68,2774951.34,2774951.34,352857.85,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2022,1434001.77,n.d.,319759.14,551838.2,145398.68,8631.51,n.d.,162257.03,114558.69,42160.96,156719.65,897.8399999999999,163154.87,1434768.1700000002,110014.36,n.d.,978.3,978.3,289176.45,10342.67,442206.42,n.d.,0.0,2571286.02,n.d.,2259457.31,8631.51,5.0,-166840.9,311828.70900000003,156604.27000000002,882929.97,391413.95,0,22275.22,1434001.77,22275.22,n.d.,41182.66,30839.99,42160.96,433574.91000000003,30839.99,-978.3,n.d.,148031.03,2891045.16,2891045.16,266734.01,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2021,1444782.84,n.d.,177125.38999999998,551838.2,13927.11,1275.1599999999999,n.d.,104623.47,152506.47999999998,-138211.29,14295.19,2503.2599999999998,107126.73,1404257.22,77038.66,n.d.,368.08,368.08,133431.67,n.d.,212827.99,n.d.,0.0,2683967.56,280.14000000000004,2361516.04,1275.1599999999999,3.0,-120218.98,322171.38,69998.66,852419.02,349764.12,0,12052.89,1444782.84,12052.89,n.d.,-138579.37,-138579.37,-138211.29,211552.83,-138579.37,-368.08,n.d.,63491.73,2861092.95,2861092.95,91333.85,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2020,1540611.6500000001,n.d.,276818.71,551838.2,145966.04,25282.109999999997,n.d.,100068.27,100939.47,60097.63,161037.1,1346.26,101414.53,1542836.59,163136.56,n.d.,62.2,62.2,354824.95,15008.859999999999,480794.98,n.d.,0.0,2827995.2800000003,3228.66,2502595.24,25282.109999999997,8.0,-131339.209,322171.38,175404.18,990998.39,395415.23900000006,0,21365.75,1540611.6500000001,21365.75,n.d.,60035.43,45026.57,60097.63,455512.87,45026.57,-62.2,n.d.,170880.18,3104813.99,3104813.99,324173.66,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2019,1471464.52,n.d.,241355.42,551838.2,173486.41,10180.75,n.d.,132072.98899999997,146419.97999999998,28551.11,174971.09,1302.4,133375.38899999997,1497810.02,143239.81,n.d.,490.84000000000003,490.84000000000003,336086.83999999997,9028.17,454486.35,n.d.,8034.33,2752098.75,4844.71,2544232.44,10180.75,3.0,-126094.7,203021.6,107980.03,945971.82,415754.49000000005,0,24179.63,1471464.52,24179.63,n.d.,36094.6,27066.43,28551.11,444305.6,27066.43,7543.49,n.d.,107980.03,2993454.17,2993454.17,326245.23000000004,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2018,1748044.9,n.d.,408990.21,551838.2,192583.88,7644.1900000000005,10000,108482.58,158988.37999999998,41655.89,200644.27,1981.85,110464.43,1470743.59,129773.38,n.d.,1086.48,1086.48,364662.83999999997,10723.5,461562.84,n.d.,3749.59,2894963.22,8759.43,2653153.01,7644.1900000000005,12.0,-123501,233050.78,298525.77900000004,918905.39,412262.76,0,75164.93999999999,1748044.9,85164.93999999999,n.d.,44319.0,33595.5,41655.89,453918.64999999997,33595.5,2663.11,n.d.,247102.83,3303953.43,3303953.43,334167.24,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2017,1763110.75,n.d.,203724.46,551838.2,148518.409,14322,27382.9,155670.54,131709.799,34031.9,165741.699,2758.4300000000003,158428.97,1451466.37,148419.37999999998,n.d.,2528.62,2528.62,309580.28,22995.460000000003,474975.15,n.d.,8300.79,3043760.07,11127.34,2789096.5,14322,6.0,-146492.07,243536.229,45295.49,899628.169,426621.249,0,5524.51,1763110.75,32907.41,n.d.,39804.07,16808.609999999997,34031.9,460653.14999999997,16808.609999999997,5772.17,n.d.,9917.54,3247484.53,3247484.53,322461.869,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2016,1902653.24,n.d.,181205.68,551838.2,130004.329,17371.940000000002,n.d.,117688.22,133054.68,-37174.32,95880.359,2758.4300000000003,120446.65,1434657.76,124777.57,n.d.,4669.83,4669.83,263129.659,-1016.7800000000001,382235.269,n.d.,37777.02,3159413.71,15310.59,2877431.43,17371.940000000002,5.0,-144205.4,266671.69,60759.03,882819.56,402037.64999999997,0,3308.3900000000003,1902653.24,3308.3900000000003,n.d.,-4067.13,-3050.3500000000004,-37174.32,364863.328,-3050.3500000000004,33107.189,n.d.,39981.08,3340619.39,3340619.39,258434.949,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2015,1844528.4,n.d.,153336.29,551838.2,87844.9,16803.68,n.d.,92034.74,122091.9,-39243.98,82847.919,1764.1299999999999,93798.87,1437708.11,118910.1,n.d.,7018.6900000000005,7018.6900000000005,242142.46,-11415.67,365687.42,n.d.,600.0,3130500.77,n.d.,2885295.86,16803.68,5.0,-147125.72,245204.909,59537.42,885869.91,388127.72000000003,0,1600.55,1844528.4,1600.55,n.d.,-45662.67,-34247.0,-39243.98,348883.74,-34247.0,-6418.6900000000005,n.d.,48899.47,3283837.06,3283837.06,202358.02,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
2014,1889538.6500000001,n.d.,134288.23,551838.2,90790.82,20546.68,n.d.,62525.5,125739.36,-37592.93,88146.43,3209.04,65734.539,1471955.11,108528.86,n.d.,9050.68,9050.68,233457.47,-11649.52,351360.79000000004,n.d.,45.55,3229847.77,n.d.,2996058.53,20546.68,5.0,-134138.81999999998,233789.24,68553.69,920116.909,368407.04,0,2642.24,1889538.6500000001,2642.24,n.d.,-46598.06,-34948.539,-37592.93,330814.11,-34948.539,-9005.130000000001,n.d.,68553.69,3364136.0,3364136.0,196720.84,SA DE VIAJES Y SERVICIOS DE AUTOPISTAS_resum
