Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,10665980.49,1885317.6,55783344.28,10618290.0,9403539.78,88427101.32,3724811.73,3888993.32,3587147.11,6725496.8,10312643.91,42021354.48,44025030.19900001,97568233.16,6182859.430000001,n.d.,210110.25,210110.25,109352930.62,754322.12,110207047.68,n.d.,55328.24,65561820.58,2539407.61,55599341.65,89679357.73,155.0,-5284443.02,7423071.319999999,9872996.48,86949943.16,15054449.559,0,7500821.88,10665980.49,13110951.21,n.d.,6570714.79,5816392.67,6725496.8,21779946.36,5816392.67,-154782.01,n.d.,9708913.3,121345164.86,121345164.86,16550831.579,SELECCION BATALLE SA_resum
2022,12736466.35,1624397.99,51033985.4,9692689.5,1917982.84,78082862.29,2238018.56,3406874.32,3307380.45,-1335036.89,1972343.56,40632951.34,42415427.67,83751840.49000001,5566184.68,n.d.,74594.77,74594.77,90322798.3,8130.14,91064277.179,n.d.,28364.19,57916826.1,2280965.53,48043179.04,85726088.9,144.0,-5442886.649999999,7592681.53,6994159.739,74059150.99000001,14316451.78,0,8600088.11,12736466.35,12462504.66,n.d.,-1381267.47,-1389397.6090000002,-1335036.89,12981414.889,-1389397.6090000002,-46230.58,n.d.,6853218.14,108950811.5,108950811.5,7566892.430000001,SELECCION BATALLE SA_resum
2021,464187.9,1650505.98,41792042.58,9692689.5,6498707.608999999,67693880.48900001,35243.93,3340534.98,3440219.23,3639475.41,7079694.64,33308479.8,34998508.8,85141238.1,5446747.930000001,n.d.,2191.5,2123.77,83931843.71000001,671420.1799999999,84786317.94000001,n.d.,92624.65,51445237.61,2220821.9,42187266.01,71680813.13,144.0,-4565994.88,7037149.698999999,5143027.8,75448548.6,13452962.04,0,5946104.279,464187.9,7631854.189999999,n.d.,3729908.56,3058488.38,3639475.41,17092437.45,3058488.38,90433.15,n.d.,5027099.13,93237280.19,93237280.19,12618999.49,SELECCION BATALLE SA_resum
2020,662120.8200000001,1296823.78,43617047.99,9692689.5,11957651.239999998,65268783.309999995,33999.03,4125136.32,3316520.56,10976407.08,14292927.64,29076245.37,31904557.91,81966177.4,5470378.35,n.d.,3976.48,3886.26,88766447.5,2341979.3099999996,89655576.96000001,n.d.,10679.39,45931757.65,2231913.96,38739187.45,65493858.96,140.0,-4623487.659999999,4960656.24,10415666.3,72273487.9,13410386.57,0,5589684.608999999,662120.8200000001,6920507.42,n.d.,10983109.99,8641130.68,10976407.08,24386793.650000002,8641130.68,6702.91,n.d.,10303227.05,89548805.64,89548805.64,19773895.16,SELECCION BATALLE SA_resum
2019,361886.45,1487638.62,43862386.91,9692689.5,12470136.239999998,61409578.54,106441.46,3371764.04,2779424.89,11569825.14,14349250.03,28769889.49,30654014.909,73325046.42,4974076.09,n.d.,12369.13,12369.13,84452997.01,2541168.66,85015543.25,n.d.,674423.999,37818716.29000001,1025436.06,32307834.09,63887860.32,134.0,-4282638.59,4485446.14,11720733.379,63632356.92,12036139.57,0,6400090.25,361886.45,7994170.33,n.d.,12231880.01,9690711.35,11569825.14,23605964.71,9690711.35,662054.8690000001,n.d.,11330274.86,81681103.2,81681103.2,19997750.12,SELECCION BATALLE SA_resum
2018,567685.05,1098381.83,38803051.31,9692689.5,8987567.61,55288197.419,1068816.7,2712385.94,2411802.09,8309310.38,10721112.469,26216166.81,27830170.92,63634335.07,4751769.109999999,n.d.,40246.96,40246.96,73908390.76,1717594.85,74515739.58,n.d.,24296.95,32615046.21,778562.3300000001,27610532.110000003,56959756.87,128.0,-3754660.58,4225951.768999999,9874498.559,53941645.57,10918231.78,0,5048878.868999999,567685.05,7216077.4,n.d.,8293360.37,6575765.52,8309310.38,19227542.16,6575765.52,-15950.009,n.d.,9687680.36,71418097.52,71418097.52,15497178.53,SELECCION BATALLE SA_resum
2017,1764477.55,959556.52,41093528.18,9692689.5,13285642.33,58330039.309,3037519.0,3918512.92,2249657.36,14586745.22,16836402.58,24637337.8,27596294.2,57058569.55,4574996.01,n.d.,247842.12,247842.12,82690799.23,3307752.61,83370991.42,n.d.,4834.48,26491196.67,521367.04,24814776.1,58561312.4,126.0,-3629553.52,1155053.53,12537677.459,47365880.05,10454206.889,0,4764602.23,1764477.55,8761677.75,n.d.,14343737.58,11035984.97,14586745.22,25040952.110000003,11035984.97,-243007.639,n.d.,12486927.43,67584724.849,67584724.849,21416233.07,SELECCION BATALLE SA_resum
2016,4985294.49,1119239.23,39915672.66,9692689.5,8664945.69,55667053.220000006,3847533.56,3910317.13,1870703.97,8221077.39,10091781.36,24293877.43,27084955.33,46118002.04,4346852.45,n.d.,154631.4,154260.55,72611720.81,1831444.33,73190801.57,n.d.,559240.059,20820361.130000003,204201.37,19141982.77,55461788.39,111.0,-3085114.54,1474176.99,11711478.1,36425312.54,9302670.96,0,4665964.470000001,4985294.49,9632737.26,n.d.,8625686.05,6794241.72,8221077.39,17523748.35,6794241.72,404608.659,n.d.,11710402.6,60736033.79000001,60736033.79000001,14997503.02,SELECCION BATALLE SA_resum
2015,9013508.75,1354559.08,28855992.24,7532689.5,3301983.309,61681285.309999995,3796134.52,3018717.62,1813611.24,2164172.15,3977783.389,24572509.98,26236668.52,31324927.55,3986248.35,n.d.,282063.4,282063.4,72292308.66999999,405939.88,72798904.5,n.d.,12203.199,21138154.79,281475.77,19403291.84,58425029.32,110.0,-3153587.449,1453387.1800000002,1264764.64,23792238.049,8953447.04,0,4505017.13,9013508.75,9655710.73,n.d.,1894311.95,1488372.069,2164172.15,11117619.19,1488372.069,-269860.2,n.d.,1263749.14,49994147.03,49994147.03,7976234.94,SELECCION BATALLE SA_resum
2014,12874498.31,1529944.99,31594943.26,7532689.5,5365683.39,65729802.08,3670788.929,3297680.45,1667514.73,5779247.54,7446762.27,27830445.97,29598181.43,29839278.17,3999433.0,n.d.,617257.05,617257.05,79824125.14999999,1479877.53,80274404.94000001,n.d.,16055.7,21996809.53,380213.32,19934955.33,63267944.01,108.0,-3098407.59,1681640.88,466816.84,22306588.669,8765355.32,0,5677242.39,12874498.31,10877976.31,n.d.,5178046.19,3698168.66,5779247.54,14544602.860000001,3698168.66,-601201.3500000001,n.d.,465741.34,53591752.79000001,53591752.79000001,11462250.97,SELECCION BATALLE SA_resum
