Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
2023,74138.17000000001,197829.68,1039217.09,170000.0,139484.43,1040450.6,41505.8,389977.7,71699.23999999999,97153.81,168853.05,73430.92,265578.94,1707786.79,259759.02,n.d.,4003.58,4003.58,1565397.66,25365.04,1612395.91,n.d.,0.0,1065771.04,504.77,980986.64,1040450.6,4.0,-143333.24000000002,84279.63,575808.47,1537786.789,474791.5,15.07,83712.62000000001,74153.23999999999,323048.1,n.d.,93150.23,67785.19,97153.81,571945.309,67785.19,-4003.58,n.d.,520070.9900000001,2104988.13,2104988.13,428612.07,SIBILS SA_resum
2022,114031.08,190609.27000000002,902416.04,170000.0,109239.87,978646.19,31444.25,311367.58,51339.56,83841.62000000001,135181.18,51164.94,171923.25,1641973.9,188321.47,n.d.,4632.860000000001,4632.860000000001,1409911.29,21308.45,1422419.63,n.d.,0.0,1153140.85,876.6800000000001,1041312.13,978646.19,2.0,-120270.79,110952.04,539883.52,1471973.9,359931.82,335.21,77163.18000000001,114366.29,299216.7,n.d.,79208.76,57900.310000000005,83841.62000000001,443773.44,57900.310000000005,-4632.860000000001,n.d.,488080.04,2055556.89,2055556.89,323502.649,SIBILS SA_resum
2021,172963.73,184141.47,800453.65,170000.0,69031.7,877468.25,18961.629999999997,260736.28,41697.13,42172.28,83869.40999999999,45610.06,122204.869,1487791.24,174640.34999999998,n.d.,4339.55,4339.55,1230811.28,11292.39,1235845.2,n.d.,794.23,1136535.6900000002,1248.59,1081121.44,877468.25,3.0,-99867.19,54165.66,494107.31,1317791.24,316204.67,1059.36,72071.90999999999,174023.09,275175.01,n.d.,38626.96,27334.57,42172.28,358376.949,27334.57,-3545.32,n.d.,447255.82,1936989.34,1936989.34,259303.99,SIBILS SA_resum
2020,162458.62,160645.88999999998,839979.1699999999,170000.0,-6314.27,789183.93,2076.7799999999997,236239.56,496.1,-5123.150000000001,-4627.049,42103.63,117697.299,1390450.82,156531.53,n.d.,2151.88,2151.88,1042391.37,-464.65,1045724.09,n.d.,0.01,940452.09,2143.3,872126.59,789183.93,2.0,-104635.68000000001,66182.2,561635.98,1220450.819,261663.31,1783.51,63015.64,164242.13,225738.31,n.d.,-7275.02,-6810.37,-5123.150000000001,256540.15899999999,-6810.37,-2151.8700000000003,n.d.,518608.72,1780431.26,1780431.26,151904.49,SIBILS SA_resum
2019,8334.19,146984.06,604574.07,170000.0,5.41,721138.37,6273.56,156512.99,753.76,2197.02,2950.779,57612.53,67141.459,1307143.13,171083.61000000002,n.d.,1403.32,1403.32,987130.53,1562.08,990949.38,n.d.,20.03,916874.05,2143.3,848289.05,721138.37,3.0,-95776.62000000001,66441.7,390448.55,1137143.13,267613.99000000005,2507.66,50205.52,10841.849999999999,203463.14,n.d.,813.73,-748.3489999999999,2197.02,269811.01,-748.3489999999999,-1383.29,n.d.,318064.23000000004,1521448.12,1521448.12,174054.41999999998,SIBILS SA_resum
2018,n.d.,150510.65,668780.59,170000.0,-47983.36,767424.52,30392.2,243201.5,842.75,-61033.56,-60190.810000000005,58117.44,150808.29,1327195.32,194535.84,n.d.,2220.52,2220.52,1006160.38,-14427.95,1013148.08,n.d.,0.02,905361.49,2018.5,834615.06,767424.52,5.0,-111378.53,68727.93,367461.65,1157195.319,306757.12,3231.8100000000004,62812.1,3231.8100000000004,243714.95,n.d.,-63254.06,-48826.11,-61033.56,245723.55899999998,-48826.11,-2220.5,n.d.,303875.03,1574142.08,1574142.08,134345.05,SIBILS SA_resum
2017,29512.2,158070.29,741789.9600000001,170000.0,-17534.9,920579.6699999999,14343.730000000001,268915.55,9202.89,-30194.87,-20991.980000000003,58883.73,169728.98899999997,1376021.43,201199.48,n.d.,3702.86,3702.86,1168493.45,-7159.94,1180341.3390000002,n.d.,0.0,886940.2899999999,298.5,831617.6699999999,920579.67,5.0,-79554.17000000001,55024.12,413990.68,1206021.43,289956.54,3955.9500000000003,46826.65,33468.15,219240.67,n.d.,-33897.73,-26737.79,-30194.87,259761.669,-26737.79,-3702.86,n.d.,335960.25,1628730.25,1628730.25,180207.5,SIBILS SA_resum
2016,42995.93,201232.1,795740.42,170000.0,-47650.819,982345.97,18773.59,301943.23000000004,11540.8,-76011.4,-64470.599,46003.25,146714.379,1402759.22,223219.43,n.d.,1405.41,1405.41,1244671.74,-17985.17,1259813.08,n.d.,240.02,924566.95,3296.3500000000004,868180.7799999999,982345.97,6.0,-118718.28,53089.82,447793.94,1232759.219,353478.509,4680.1,49866.43,47676.03,269872.12,n.d.,-77176.79,-59191.619,-76011.4,277467.11,-59191.619,-1165.39,n.d.,358523.78,1720307.37,1720307.37,158988.84999999998,SIBILS SA_resum
2015,6043.57,212103.3,912419.46,170000.0,-28582.5,1142066.1500000001,7934.92,292752.03,3811.86,-41917.94,-38106.08,82887.7,163536.43,1461950.84,266941.09900000005,n.d.,540.8199999999999,540.8199999999999,1484176.55,-8899.81,1497129.96,n.d.,1164.59,843300.3300000001,1111.2,806360.3300000001,1142066.15,7.0,-126228.79,35828.8,536779.73,1291950.8390000002,396981.74799999996,5404.25,62282.91,11447.82,282321.13,n.d.,-41294.17,-32394.36,-41917.94,355063.81,-32394.36,623.769,n.d.,436610.56,1755719.79,1755719.79,229999.609,SIBILS SA_resum
2014,13980.91,269052.93000000005,1111696.79,170000.0,7891.53,1090051.37,7777.160000000001,445021.3,5542.92,3720.69,9263.61,42569.36,218537.729,1494345.2,269147.27,n.d.,1082.64,1082.64,1497402.0,2388.4300000000003,1509971.63,n.d.,2098.99,818710.9600000001,n.d.,791057.8300000001,1090051.37,7.0,-141509.37999999998,27653.129,624106.13,1324345.2,416199.57,6128.39,139123.16,20109.3,415953.25,n.d.,4737.04,2348.61,3720.69,419920.259,2348.61,1016.349,n.d.,537265.72,1930407.75,1930407.75,280509.87,SIBILS SA_resum
2013,21760.3,223123.03,1024188.62,170000.0,-69255.68000000001,1042204.63,7603.94,400505.37,16235.82,-111619.34,-95383.519,74818.53,252200.87,1491996.59,282906.76,n.d.,2870.3900000000003,2870.3900000000003,1333985.49,-26234.43,1377455.34,n.d.,2763.8,809033.9600000001,n.d.,778268.26,1042204.63,8.0,-147727.47,30765.699,548864.72,1321996.5890000002,446870.05,6852.53,81886.19,28612.829999999998,312613.16,n.d.,-111725.93,-85491.5,-111619.34,335250.71,-85491.5,-106.589,n.d.,478044.63,1833222.58,1833222.58,190287.04,SIBILS SA_resum
2012,29394.99,151750.46,1057965.58,170000.0,27393.84,1033766.52,7402.08,437595.67,27138.95,1323.85,28462.8,83686.68000000001,369531.89,1577488.09,273278.13,n.d.,1513.06,1513.06,1477001.48,1088.24,1510504.28,n.d.,1532.34,798205.12,n.d.,792949.7,1033766.52,9.0,-174996.83,5255.42,536683.23,1407488.0890000002,475413.91000000003,7576.68,82558.4,36971.67,241710.94,n.d.,1343.13,254.89,1323.85,476737.76,254.89,19.279,n.d.,490806.58,1856170.7,1856170.7,303273.27,SIBILS SA_resum
2011,43120,179124.18,1223516.55,170000.0,71787.98999999999,1028879.6799999999,n.d.,552550.2699999999,58933.68,16896.57,75830.25,89190.98,462617.07,1577233.2,275450.45,n.d.,1529.47,1529.47,1562285.71,5612.620000000001,1582477.48,n.d.,3099.8300000000004,819745.1799999999,n.d.,814489.76,1028879.68,9.0,-202317.099,5255.42,581775.2989999999,1407233.2,536701.23,8300.83,235483.52,51420.83,414607.7,n.d.,18466.93,12854.31,16896.57,553597.7989999999,12854.31,1570.36,n.d.,550517.4500000001,2043261.73,2043261.73,354380.52900000004,SIBILS SA_resum
2010,43120,163841.3,998964.22,170000.0,9553.28,881675.81,n.d.,444092.62,6471.56,5841.48,12313.04,150126.3,430377.619,1564378.89,257276.06,n.d.,1583.45,1583.45,1327151.82,2238.77,1337948.1800000002,n.d.,1062.46,878212.41,n.d.,867180.7899999999,881675.81,8.0,-186683.27000000002,11031.619,404745.3,1394378.89,450430.89,9024.98,96811.46,52144.98,260652.76,n.d.,5320.49,3081.72,5841.48,456272.37,3081.72,-520.99,n.d.,375727.94,1877176.63,1877176.63,270651.56,SIBILS SA_resum
2009,n.d.,272933.16,1095885.77,170000.0,-8067.309,1202138.33,n.d.,570912.08,25976.67,-48464.12,-22487.45,165487.02,463465.94,1571297.1700000002,273829.67,n.d.,1173.04,937.97,1618808.75,-13075.59,1623241.77,n.d.,2517.59,842061.74,n.d.,827886.53,1202138.33,9.0,-169761.22,14175.21,359486.67,1401297.1700000002,469567.56,9929.8,83787.38,9929.8,356720.54,n.d.,-47119.57,-34043.979,-48464.12,421103.4390000001,-34043.979,1344.55,n.d.,337152.09,1937947.51,1937947.51,253624.739,SIBILS SA_resum
2008,n.d.,231151.84,1171839.89,170000.0,114146.759,1498833.31,n.d.,667258.65,87925.18000000001,33780.47,121705.65,179546.68,615653.49,1613841.15,279238.22000000003,n.d.,1626.27,1626.27,2265772.5,9467.51,2274990.25,n.d.,3534.8900000000003,851814.99,n.d.,847967.08,1498833.31,9.0,-375213.07,3847.91,325034.56,1443841.15,742376.47,14085.6,164576.289,14085.6,395728.13,n.d.,35689.09,26221.579,33780.47,776156.9400000001,26221.579,1908.62,n.d.,316272.09,2023654.88,2023654.88,404478.759,SIBILS SA_resum
2007,16451.82,n.d.,1142671.37,170000.0,215312.68,n.d.,n.d.,867335.15,96762.56,160047.4,256809.96,141315.26,1008650.41,1596119.57,267450.349,n.d.,432.09,432.09,2792090.01,43760.23,2799704.23,n.d.,2695.04,936876.4,n.d.,933028.49,1931016.79,8.0,n.d.,3847.91,134020.96,1426119.57,n.d.,n.d.,466976.38,16451.82,466976.38,n.d.,162310.34999999998,118550.12,160047.4,n.d.,118550.12,2262.9500000000003,n.d.,134020.95899999997,2079547.77,2079547.77,526955.349,SIBILS SA_resum
2006,18826.109999999997,n.d.,980075.44,170000.0,75720.77,n.d.,n.d.,697673.08,64698.8,19443.89,84142.69,153908.01,851581.09,1484369.45,264188.968,n.d.,2254.4,2254.4,2093313.31,6472.660000000001,2100171.97,n.d.,305.14000000000004,1026347.68,n.d.,1022123.2,1540915.8,10.0,n.d.,4224.48,128494.349,1314369.45,n.d.,n.d.,503227.56,18826.109999999997,503227.56,n.d.,17494.629999999997,11021.97,19443.89,n.d.,11021.97,-1949.26,n.d.,128494.35,2006423.12,2006423.12,348636.798,SIBILS SA_resum
2005,19372.09,n.d.,923270.33,170000.0,62412.84,n.d.,n.d.,630995.43,33433.97,40546.42,73980.39,211817.96,842813.39,1480147.48,259941.67,n.d.,1507.0,1507.0,2035391.72,13320.29,2041794.41,3000,259.74,1086156.56,n.d.,1081932.08,1502667.89,9.0,n.d.,4224.478999999999,80456.939,1310147.48,n.d.,n.d.,509907.32,19372.09,509907.32,n.d.,39299.16,25978.87,40546.42,n.d.,28978.87,-1247.26,3000,80456.93999999999,2009426.89,2009426.89,337181.8,SIBILS SA_resum
2004,n.d.,n.d.,795874.8,170000.0,144024.96,n.d.,n.d.,462123.56,101676.61,62303.12,163979.73,129049.12,591172.6789999999,1457968.61,264523.52,2536.07,3187.84,3187.84,1585776.36,14277.41,1611924.88,n.d.,46.55,1098039.65,n.d.,1094001.38,938623.1,8.0,n.d.,4038.27,204702.12,1287968.61,n.d.,n.d.,435945.84,n.d.,435945.84,n.d.,59161.83,44884.42,62303.12,n.d.,42348.350000000006,-3141.29,-2536.07,204702.12,1893914.45,1893914.45,426013.73,SIBILS SA_resum
2003,14701.79,n.d.,625589.6699999999,170000.0,60677.119,n.d.,n.d.,491592.34,55533.03,-21224.5,34308.53,132322.15,623914.49,1415620.26,269902.34,n.d.,5948.469999999999,5948.469999999999,1555633.76,-1065.36,1569636.44,28490.149999999998,2761.55,1202840.64,n.d.,1197414.71,1049390.83,9.0,n.d.,5425.929,1675.179,1245620.26,n.d.,21035.420000000002,377072.84,35737.21,377072.84,21035.420000000002,-24411.42,-23346.059,-21224.5,n.d.,5144.09,-3186.92,28490.149999999998,1675.1799999999998,1828430.31,1828430.31,335462.569,SIBILS SA_resum
2002,31403.57,n.d.,751339.61,170000.0,95864.56,n.d.,n.d.,427201.39,73929.45999999999,31427.1,105356.56,192714.83,619916.22,1417276.1700000002,267887.90900000004,115.46000000000001,7550.49,7550.49,1742874.88,5309.28,1755335.65,n.d.,3483.23,1337598.15,102.16999999999999,1332070.05,1128496.1,8.0,n.d.,5425.929,131423.38999999998,1247276.1700000002,n.d.,21035.420000000002,619222.6,52438.99,619222.6,21035.420000000002,27359.84,22050.56,31427.1,n.d.,21935.1,-4067.26,-115.46000000000001,131423.38999999998,2088937.76,2088937.76,376612.23900000006,SIBILS SA_resum
